,,,,,,,,,,,
    台湾地区十五岁以上已婚妇女生育状况,,,,,,,,,,,
    单位：人,,,,,,,,,,,
,,,,,,,,,,,
,    每个妇女活产子女数,,,,,,,,,,
  总计,,,,,,,,,,,
,  0人,  1人,  2人,  3人,  4人,    5人,  6人,  7人,  8人,  9人,  1 0人及
,,,,,,,,,,,  10人以上
"4,076,663","  285,898","  466,782","  6 77,411",  821，137,"  662,626","    433,985","    289,347","    185,004","    1 20,1 07","    66,540","    67,826"
