,,,,,,,,,,,,,,,,,,,,
    台湾地区十五岁以上人口的文化程度,,,,,,,,,,,,,,,,,,,,
        单位：人,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,    初等教育(小学),,    中等教育,,,,,,,,        高等教育,,,,,,,
  总计,  不识字者,  自修,,,    合计,,  初中、初职、简师,,    高中,,  高职、普师,,    合计,,    专科,,    大学,,    研究生,
,,,  毕业,  肄业,  毕业,  肄业,  毕业,  肄业,  毕业,  肄业,  毕业,  肄业,    毕业,    肄业,    毕业,    肄业,    毕业,  肄业,  毕业,  肄业
"12,1 96,806","    1,672,681","  246,059","    3,759,752","    576,858","    3,384,386","    1，347,5 27"," 1,598,7 56","  41 2,5 48","  7 70,41 3","  458,920"," 1，01 5,21 7","  476,059","    861,853","    347,690","    4 27,515","    143,977","    411,647","    1 92,040","    22,6 91","    11,673"
