,,,,
台湾地区常住总人口数与现有总人口数及性别比,,,,
        单位：人,,,,
,,,,
,,,,  性别比
    类 别,    总计,    男,    女,(男性人数/女性人数×100)
,,,,
常住人口,"    17,9 68,7 97","    9,373,555","    8,595,2 42",    1 0 9.06
现有人口,"    1 7,1 94,688","    8,895,339","    8,2 99,349",    10 7.18
