首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,单位：户、人
地    区,合    计,,,"性别比
（女=100）",户籍人口,"少数民族
人口比重
（%）","非农业户口
人口比重
（%）",城乡人口,,家庭户,,,,家庭户类别,,,
,合计,男,女,,,,,城镇人口,乡村人口,户数,人口数,"户规模
（人/户）",,一代户,二代户,三代户,四代以上户
,,,,,,,,,,,,,一人户,,,,
  南乐县,458487,220770,237717,92.87,522516,0.16,4.34,94610,363877,117025,450411,3.85,7864,22775,58675,33512,2063
  范县,469874,234041,235833,99.24,538331,0.19,8.97,96459,373415,128171,462059,3.61,11141,30725,69573,26691,1182
  台前县,332124,167289,164835,101.49,367973,0.32,5.17,66914,265210,87190,324767,3.72,7084,20349,44623,21291,927
  濮阳县,1046654,526942,519712,101.39,1120452,0.19,7.69,298828,747826,262177,1028116,3.92,18679,48791,140879,68981,3526
许昌市,4307488,2206634,2100854,105.04,4767581,1.37,25.01,1656644,2650844,1156026,4070297,3.52,102402,273436,585931,282343,14316
  魏都区,498087,246529,251558,98.00,397281,2.18,84.65,466341,31746,130468,399854,3.06,12763,37424,72665,20010,369
  许昌县,767449,393836,373613,105.41,871615,1.06,25.98,208168,559281,206259,755468,3.66,17054,41320,105686,56392,2861
  鄢陵县,551611,287092,264519,108.53,647725,0.15,13.94,148475,403136,143836,505172,3.51,12465,33815,72527,35758,1736
  襄城县,671315,339483,331832,102.31,841966,2.11,13.73,179267,492048,197761,653737,3.31,22041,59013,98239,38960,1549
  禹州巿,1131896,587465,544431,107.90,1254109,1.55,14.61,372815,759081,299663,1077938,3.60,25767,69895,148490,77113,4165
  长葛市,687130,352229,334901,105.17,754885,1.10,17.42,281578,405552,178039,678128,3.81,12312,31969,88324,54110,3636
漯河市,2544266,1299682,1244584,104.43,2712381,0.98,22.25,994586,1549680,662051,2403155,3.63,53795,136243,341721,175825,8262
  源汇区,323954,161430,162524,99.33,326114,2.07,48.68,177254,146700,86536,293952,3.40,7263,18495,47323,19854,864
  郾城区,493680,254743,238937,106.62,510042,1.17,31.88,212613,281067,124851,441575,3.54,10410,27046,66190,30241,1374
  召陵区,477340,243111,234229,103.79,523894,1.41,20.24,186089,291251,124304,469002,3.77,9236,23600,64934,34174,1596
  舞阳县,538447,274466,263981,103.97,599529,0.33,12.64,173430,365017,146113,513520,3.51,13949,32991,71967,39079,2076
  临颍县,710845,365932,344913,106.09,752802,0.56,12.13,245200,465645,180247,685106,3.80,12937,34111,91307,52477,2352
三门峡市,2234018,1148433,1085585,105.79,2245480,0.47,29.01,982693,1251325,629601,2102846,3.34,63899,148145,355038,122411,4007
  湖滨区,325628,165167,160461,102.93,297216,0.76,67.79,285153,40475,105174,300783,2.86,14795,35302,58042,11615,215
  渑池县,346434,175802,170632,103.03,349931,0.38,26.95,122568,223866,92965,323802,3.48,9543,19847,54488,18086,544
  陕县,343679,178927,164752,108.60,340781,0.15,17.91,118388,225291,96596,320617,3.32,9261,22900,53022,19937,737
  卢氏县,352449,183265,169184,108.32,359864,1.15,9.42,89022,263427,103953,344368,3.31,12154,23969,58881,20506,597
