首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,单位：户、人
地    区,合    计,,,"性别比
（女=100）",户籍人口,"少数民族
人口比重
（%）","非农业户口
人口比重
（%）",城乡人口,,家庭户,,,,家庭户类别,,,
,合计,男,女,,,,,城镇人口,乡村人口,户数,人口数,"户规模
（人/户）",,一代户,二代户,三代户,四代以上户
,,,,,,,,,,,,,一人户,,,,
北京市,19612368,10126430,9485938,106.75,12554049,4.09,61.79,16858692,2753676,6680552,16389723,2.45,1657806,3366014,2632470,671881,10187
市辖区,18827262,9727900,9099362,106.91,11845658,4.01,62.84,16446857,2380405,6394889,15647716,2.45,1607481,3238586,2500993,645569,9741
  东城区,573180,284906,288274,98.83,619886,5.18,84.10,573180,,190192,486043,2.56,46085,79556,84856,25552,228
  西城区,674531,338835,335696,100.94,801675,5.36,81.98,674531,,228304,572542,2.51,50653,99553,102070,26470,211
  崇文区,346073,169572,176501,96.07,333063,4.23,87.19,346073,,124210,315654,2.54,29104,53808,54121,16097,184
  宣武区,568784,283735,285049,99.54,535825,7.49,84.44,568784,,212781,513124,2.41,51939,100922,90205,21516,138
  朝阳区,3545137,1824922,1720215,106.09,1886554,3.96,69.46,3532257,12880,1317845,2981747,2.26,409108,767205,445369,104235,1036
  丰台区,2112162,1078178,1033984,104.27,1054136,3.40,67.86,2098632,13530,795168,1908529,2.40,200350,411089,314602,68802,675
  石景山区,616083,316238,299845,105.47,360326,3.42,79.96,616083,,219907,546157,2.48,45127,102113,96403,21216,175
  海淀区,3280670,1694525,1586145,106.83,2178283,4.10,71.83,3208563,72107,976376,2329230,2.39,274455,495939,381325,98155,957
  门头沟区,290476,147785,142691,103.57,243302,1.67,67.86,248547,41929,107009,279456,2.61,19404,44807,51195,10888,119
  房山区,944832,485713,459119,105.79,774080,2.96,47.07,635282,309550,314012,859790,2.74,49080,129082,144524,39677,729
  通州区,1184256,610533,573723,106.42,661846,4.07,47.47,724228,460028,419109,1037538,2.48,101479,215081,159361,43795,872
  顺义区,876620,455205,421415,108.02,582184,3.60,39.95,471459,405161,294614,785052,2.66,60581,137431,116002,39976,1205
  昌平区,1660501,889306,771195,115.32,535402,3.99,53.28,1310617,349884,496867,1208293,2.43,122804,265330,182658,48196,683
  大兴区,1365112,738570,626542,117.88,602909,3.58,38.33,965683,399429,425156,1084891,2.55,101509,216467,161099,46317,1273
  怀柔区,372887,196954,175933,111.95,279486,8.46,34.54,253088,119799,135644,342912,2.53,27154,66160,56149,13048,287
  平谷区,415958,212923,203035,104.87,396701,1.04,42.14,219850,196108,137695,396758,2.88,18649,54043,61054,21629,969
县,785106,398530,386576,103.09,708391,5.95,36.78,411835,373271,285663,742007,2.60,50325,127428,131477,26312,446
  密云县,467680,236488,231192,102.29,429342,7.52,34.44,257449,210231,179493,446684,2.49,34802,88234,76006,14965,288
  延庆县,317426,162042,155384,104.28,279049,3.65,40.22,154386,163040,106170,295323,2.78,15523,39194,55471,11347,158
,,,,,,,,,,,,,,,,,
天津市,12938693,6907091,6031602,114.52,9919579,2.56,50.24,10277893,2660800,3661992,10262186,2.80,460072,1337976,1850782,460844,12390
市辖区,11090783,5948246,5142537,115.67,8156160,2.59,55.68,9562255,1528528,3108605,8486345,2.73,413083,1167213,1572313,361196,7883
  和平区,273477,138195,135282,102.15,390989,3.28,84.63,273477,,90152,225565,2.50,17755,36940,43500,9639,73
  河东区,860852,433031,427821,101.22,748741,2.20,94.39,860852,,310544,812131,2.62,43980,113342,165129,31688,385
  河西区,870632,428075,442557,96.73,785179,2.73,90.71,870632,,293578,753300,2.57,46485,114685,149719,28906,268
  南开区,1018196,517193,501003,103.23,839053,3.15,85.53,1018196,,312388,811622,2.60,45453,119075,162783,30235,295
  河北区,788451,420238,368213,114.13,627547,2.45,83.97,788451,,250192,660653,2.64,37327,90804,130832,28250,306
  红桥区,531526,274061,257465,106.45,543140,7.16,87.65,531526,,173507,450431,2.60,24517,65318,91639,16390,160
  东丽区,598966,335320,263646,127.19,351047,2.58,35.21,591040,7926,180448,480715,2.66,27084,79256,83466,17411,315
  西青区,713060,367537,345523,106.37,374509,1.80,36.20,524894,188166,187212,494845,2.64,26883,81873,89536,15574,229
  津南区,593063,336006,257057,130.71,406760,2.23,24.78,590072,2991,150048,443346,2.95,14871,49737,78097,21809,405
  北辰区,669121,348526,320595,108.71,368679,4.93,52.69,575103,94018,199916,549259,2.75,24215,74770,102084,22684,378
  武清区,951078,504396,446682,112.92,845308,1.80,16.11,352659,598419,252847,836917,3.31,19093,65990,120725,63081,3051
  宝坻区,799157,427643,371514,115.11,677401,1.01,17.23,271992,527165,212266,658867,3.10,17646,69021,106039,35649,1557
  滨海新区,2423204,1418025,1005179,141.07,1197807,1.93,44.56,2313361,109843,495507,1308694,2.64,67774,206402,248764,39880,461
县,1847910,958845,889065,107.85,1763419,2.36,17.65,715638,1132272,553387,1775841,3.21,46989,170763,278469,99648,4507
  宁河县,416143,222153,193990,114.52,381818,0.96,22.52,152388,263755,115808,377437,3.26,9847,34122,58627,22258,801
  静海县,646978,336287,310691,108.24,559704,1.04,17.44,293014,353964,203142,620748,3.06,17184,67501,110013,25000,628
  蓟县,784789,400405,384384,104.17,821897,4.20,15.24,270236,514553,234437,777656,3.32,19958,69140,109829,52390,3078
,,,,,,,,,,,,,,,,,
河北省,71854210,36430286,35423924,102.84,71910486,4.17,21.26,31575328,40278882,20395116,68538709,3.36,1886200,5633257,10494814,4086217,180828
石家庄市,10163788,5087913,5075875,100.24,9810454,0.90,30.23,5145133,5018655,2720331,9443736,3.47,264490,699919,1332796,656444,31172
  长安区,479801,237380,242421,97.92,426854,1.88,86.78,479801,,146881,432639,2.95,19134,49776,72541,23980,584
  桥东区,410116,213329,196787,108.41,381875,1.49,87.75,410116,,124846,350034,2.80,21004,47113,61206,16341,186
  桥西区,596164,282651,313513,90.16,512378,2.01,83.00,596164,,170458,478486,2.81,22658,60402,88310,21344,402
  新华区,625119,304252,320867,94.82,489118,1.99,74.22,591611,33508,181298,513844,2.83,24052,63988,94288,22487,535
  井陉矿区,95170,48408,46762,103.52,95404,0.18,91.12,64080,31090,30383,88174,2.90,3781,11690,13614,4969,110
  裕华区,628572,306409,322163,95.11,525291,1.66,86.41,628572,,161849,507021,3.13,14018,45184,87559,28107,999
  井陉县,309882,158588,151294,104.82,324889,0.08,12.16,91804,218078,87786,297375,3.39,9439,23134,43079,20886,687
  正定县,466807,229267,237540,96.52,466898,0.82,11.45,208276,258531,116113,442864,3.81,8512,22396,54393,37290,2034
  栾城县,355775,178211,177564,100.36,351517,0.18,9.24,149273,206502,83475,343337,4.11,5256,12355,39425,29805,1890
  行唐县,406353,203863,202490,100.68,430122,0.20,8.27,82946,323407,115177,397306,3.45,11454,30477,59668,24089,943
  灵寿县,333558,168818,164740,102.48,329244,0.09,10.78,89340,244218,84405,318266,3.77,7453,18653,43226,21511,1015
  高邑县,186478,95635,90843,105.28,185459,0.05,9.94,47020,139458,46959,181529,3.87,3233,9850,21776,14489,844
  深泽县,250264,129676,120588,107.54,253992,0.10,11.51,72203,178061,67264,234383,3.48,6349,19583,29857,16930,894
  赞皇县,244799,126233,118566,106.47,254365,0.02,9.45,50242,194557,65677,235282,3.58,6063,15911,36660,12626,480
  无极县,502662,253533,249129,101.77,505937,2.77,8.95,122816,379846,129011,491683,3.81,9995,27863,58215,40630,2303
  平山县,433429,220805,212624,103.85,470120,0.13,8.26,131550,301879,122297,422031,3.45,14642,34755,56499,29798,1245
  元氏县,418466,212801,205665,103.47,416842,0.06,5.55,100639,317827,95829,411050,4.29,5317,13594,47565,32869,1801
  赵县,571077,294492,276585,106.47,577596,0.05,9.03,175520,395557,148326,556808,3.75,13178,31027,71878,43284,2137
  辛集市,615919,306944,308975,99.34,613336,0.23,12.28,236658,379261,176891,585056,3.31,17905,51676,79559,43414,2242
  藁城市,775110,386589,388521,99.50,784331,1.08,6.99,286136,488974,197063,764535,3.88,14044,34372,95426,63431,3834
  晋州市,537679,271218,266461,101.79,538043,0.06,8.48,160284,377395,144670,527080,3.64,11363,33610,70296,38892,1872
  新乐市,487652,244242,243410,100.34,489781,1.63,8.78,194480,293172,117416,471502,4.02,7550,20568,56669,37837,2342
  鹿泉市,432936,214569,218367,98.26,387062,0.56,15.64,175602,257334,106257,393451,3.70,8090,21942,51087,31435,1793
唐山市,7577289,3871292,3705997,104.46,7335290,3.31,27.90,3850975,3726314,2375634,7218922,3.04,227282,775762,1220632,367234,12006
  路南区,311076,160363,150713,106.40,320317,1.77,65.11,281164,29912,95975,277903,2.90,10194,34567,45690,15385,333
  路北区,743504,371162,372342,99.68,673207,1.81,84.68,724564,18940,229744,659884,2.87,25268,73980,121015,34215,534
  古冶区,358461,179907,178554,100.76,358351,1.31,73.78,291069,67392,126504,351970,2.78,15239,47324,60109,18829,242
  开平区,262571,133779,128792,103.87,238097,3.50,48.97,153413,109158,89942,254364,2.83,9542,33469,44689,11593,191
  丰润区,595467,307368,288099,106.69,575553,2.77,18.93,326502,268965,189128,566358,2.99,16197,63668,98521,26041,898
  丰南区,916092,469030,447062,104.91,916441,2.34,23.90,351479,564613,307903,882775,2.87,33042,118299,151132,37294,1178
  滦县,554315,283066,271249,104.36,550873,1.66,12.10,208212,346103,174418,541849,3.11,14319,51971,97452,24204,791
  滦南县,584518,295444,289074,102.20,580233,2.43,10.01,198167,386351,184264,569939,3.09,14169,58509,94748,29616,1391
  乐亭县,526222,268491,257731,104.17,501304,1.24,16.94,154632,371590,175202,495318,2.83,16961,67468,86728,20384,622
  迁西县,390128,201178,188950,106.47,380255,2.04,12.77,160113,230015,112491,380622,3.38,9921,29068,58618,23978,827
  玉田县,684833,348804,336029,103.80,672336,4.36,11.09,283926,400907,210772,666275,3.16,18714,64346,108018,36805,1603
  唐海县,184931,105915,79016,134.04,142706,1.18,19.22,109126,75805,53466,145275,2.72,6112,22395,27098,3870,103
  遵化市,737011,372554,364457,102.22,729808,12.49,9.79,299759,437252,212087,722135,3.40,18894,53604,109330,47172,1981
  迁安市,728160,374231,353929,105.74,695809,2.44,14.41,308849,419311,213738,704255,3.29,18710,57094,117484,37848,1312
秦皇岛市,2987605,1516194,1471411,103.04,2879710,15.85,32.40,1419487,1568118,957621,2811972,2.94,100369,338442,484340,130593,4246
  海港区,765254,380458,384796,98.87,633317,6.54,74.64,720910,44344,247093,669679,2.71,30838,95397,127360,24046,290
  山海关区,178769,94499,84270,112.14,141201,8.30,55.89,164201,14568,59789,162673,2.72,6993,23220,29998,6469,102
  北戴河区,85647,40116,45531,88.11,64808,4.14,48.49,82766,2881,26729,69269,2.59,3590,11960,12416,2308,45
  青龙满族自治县,496726,260581,236145,110.35,542992,77.35,7.70,114643,382083,142295,487326,3.42,12319,37555,68633,34342,1765
  昌黎县,559697,282925,276772,102.22,555192,1.22,21.59,150886,408811,184921,533597,2.89,19029,69862,91130,23126,803
  抚宁县,517073,262457,254616,103.08,521159,1.62,11.95,120710,396363,165945,508096,3.06,14035,51797,88779,24650,719
  卢龙县,384439,195158,189281,103.10,421041,1.43,8.67,65371,319068,130849,381332,2.91,13565,48651,66024,15652,522
邯郸市,9174683,4617598,4557085,101.33,9376651,0.51,18.57,3985686,5188997,2359454,8902368,3.77,192973,499902,1265970,567657,25925
  邯山区,385626,193820,191806,101.05,351167,1.94,80.45,363494,22132,112677,343719,3.05,11660,34218,60912,17258,289
  丛台区,363778,180833,182945,98.85,324540,1.32,91.96,363778,,111469,344625,3.09,11489,32551,58427,20205,286
  复兴区,192023,100846,91177,110.60,177251,1.36,83.90,192023,,58032,177852,3.06,5249,16511,32505,8901,115
  峰峰矿区,503911,262577,241334,108.80,504887,0.23,61.18,397379,106532,137060,462552,3.37,12819,33502,72752,30239,567
  邯郸县,462012,233020,228992,101.76,413653,0.20,16.86,253892,208120,118489,449160,3.79,9066,24290,65663,27489,1047
  临漳县,600600,293925,306675,95.84,674768,0.01,3.69,194110,406490,148696,593162,3.99,11146,25179,75644,44650,3223
  成安县,377398,182261,195137,93.40,413154,0.08,6.70,138137,239261,97755,370872,3.79,7169,20481,49098,26354,1822
  大名县,767035,382886,384149,99.67,841419,2.25,3.53,219453,547582,183536,763883,4.16,13184,32728,94357,53300,3151
  涉县,413057,213403,199654,106.89,402583,0.04,9.99,176855,236202,122001,399366,3.27,14745,30095,74519,17095,292
  磁县,677884,342468,335416,102.10,683647,0.11,7.46,254276,423608,168158,666334,3.96,12003,28523,86895,50305,2435
  肥乡县,351690,176526,175164,100.78,358384,0.00,3.89,82244,269446,85056,349239,4.11,6057,16262,44056,23240,1498
  永年县,943935,478209,465726,102.68,957422,0.02,3.72,291733,652202,231986,926912,4.00,16523,46136,131192,52403,2255
  邱县,227578,114609,112969,101.45,238872,4.50,5.34,82214,145364,62902,221749,3.53,5833,17443,35466,9596,397
  鸡泽县,274328,138569,135759,102.07,286857,0.02,3.45,76598,197730,69422,269778,3.89,5155,15350,39721,13751,600
  广平县,268993,131277,137716,95.32,281751,0.01,4.87,74967,194026,63560,267474,4.21,3738,9739,33367,19230,1224
  馆陶县,309032,153922,155110,99.23,326516,0.03,6.03,114624,194408,85455,305171,3.57,8272,22803,45955,16015,682
  魏县,809193,401542,407651,98.50,918549,0.01,12.07,303449,505744,184480,786672,4.26,11655,28837,94103,58054,3486
  曲周县,427610,215528,212082,101.62,461252,0.03,4.38,113309,314301,109357,426077,3.90,7828,22859,59273,25785,1440
  武安市,819000,421377,397623,105.97,759979,0.06,13.94,293151,525849,209363,777771,3.71,19382,42395,112065,53787,1116
邢台市,7104103,3606588,3497515,103.12,7222603,0.28,13.23,2842785,4261318,1916890,6849264,3.57,164482,445035,1044359,411018,16478
  桥东区,269603,135486,134117,101.02,247677,1.78,73.48,269603,,80650,244530,3.03,8132,24184,45457,10817,192
  桥西区,400551,206685,193866,106.61,349154,1.14,75.50,399162,1389,113827,348868,3.06,9362,32366,65312,15982,167
  邢台县,466323,236302,230021,102.73,473387,0.15,6.82,180825,285498,131094,442964,3.38,13655,33162,69608,27345,979
  临城县,204086,104021,100065,103.95,206806,0.09,10.42,63400,140686,55073,189928,3.45,4412,14788,27794,11990,501
  内邱县,266620,134857,131763,102.35,268309,0.01,8.96,84416,182204,70240,257485,3.67,4912,13218,36241,19885,896
  柏乡县,190225,96748,93477,103.50,191664,0.01,6.32,53467,136758,48063,188375,3.92,3721,9328,23399,14540,796
  隆尧县,506552,256960,249592,102.95,515313,0.05,2.66,172669,333883,120083,481020,4.01,7468,18609,61894,37636,1944
  任县,327926,166750,161176,103.46,336990,0.02,3.65,105729,222197,80019,323651,4.04,5309,13647,40977,24171,1224
  南和县,325332,165451,159881,103.48,348378,0.02,3.50,105430,219902,85892,324062,3.77,6132,16435,49029,19743,685
  宁晋县,764828,387650,377178,102.78,779871,0.02,5.73,258301,506527,193646,743250,3.84,14096,33036,103224,54730,2656
  巨鹿县,374634,188768,185866,101.56,393607,0.02,7.64,127344,247290,103684,368409,3.55,9373,23252,58945,20663,824
  新河县,169858,84598,85260,99.22,175852,0.01,8.39,52202,117656,51303,166585,3.25,5598,13606,28785,8657,255
  广宗县,283851,141871,141980,99.92,308133,0.16,5.59,59009,224842,82776,281011,3.39,7334,22552,48129,11628,467
  平乡县,300029,153399,146630,104.62,314851,0.02,7.36,93711,206318,80347,296626,3.69,7022,19374,45718,14635,620
  威县,556624,282452,274172,103.02,578078,0.83,5.68,122503,434121,161699,552059,3.41,14372,42356,93937,24529,877
  清河县,386231,198443,187788,105.67,385717,0.10,7.72,168740,217491,105896,376208,3.55,9720,26732,57554,20718,892
  临西县,343384,176228,167156,105.43,367456,0.97,7.61,119056,224328,89496,332249,3.71,7480,20669,47210,20683,934
  南宫市,469030,237148,231882,102.27,475376,0.03,8.12,188260,280770,138331,452163,3.27,15520,41247,70981,25106,997
  沙河市,498416,252771,245645,102.90,505984,0.06,12.39,218958,279458,124771,479821,3.85,10864,26474,70165,27560,572
保定市,11194382,5650947,5543435,101.94,11280217,1.72,15.68,4340339,6854043,3039158,10719345,3.53,248116,723109,1525655,750889,39505
  新市区,463398,228947,234451,97.65,449510,2.26,67.04,410239,53159,149147,442692,2.97,15639,48404,75829,24247,667
  北市区,387339,192393,194946,98.69,303425,3.87,70.22,357972,29367,99772,292135,2.93,11216,31912,53014,14444,402
  南市区,287784,141420,146364,96.62,269199,3.48,57.50,269984,17800,73610,229539,3.12,7387,21985,37071,14079,475
  满城县,406677,209560,197117,106.31,395580,1.08,11.45,139507,267170,108017,393954,3.65,8228,24718,52655,28937,1707
  清苑县,631659,320880,310779,103.25,625588,0.56,6.54,219648,412011,169242,624616,3.69,11529,35922,85250,45349,2721
  涞水县,339063,172582,166481,103.66,343758,5.82,8.86,99998,239065,96562,330878,3.43,8853,22210,51535,21866,951
  阜平县,205299,103815,101484,102.30,218139,0.07,12.27,40330,164969,61404,201203,3.28,7818,18562,31626,10923,293
  徐水县,563030,283898,279132,101.71,576070,1.82,10.76,193770,369260,155050,548409,3.54,10649,34797,76735,41489,2029
  定兴县,517874,257422,260452,98.84,565747,2.83,8.11,121080,396794,136860,506135,3.70,9396,26714,65400,42318,2428
  唐县,529067,260900,268167,97.29,568860,0.07,7.01,123192,405875,140291,519223,3.70,10577,29152,69564,39361,2214
  高阳县,345160,173932,171228,101.58,328373,0.36,9.93,100486,244674,93488,330102,3.53,7503,23987,45987,22222,1292
  容城县,258179,131354,126825,103.57,256818,0.66,8.21,99048,159131,63986,243129,3.80,3799,13399,29785,19570,1232
  涞源县,260678,137399,123279,111.45,267032,0.11,13.93,77610,183068,81197,253133,3.12,11307,25602,44594,10785,216
  望都县,250014,126774,123240,102.87,260566,0.16,9.66,74483,175531,68642,245740,3.58,4519,14437,32442,20747,1016
  安新县,437378,224555,212823,105.51,430788,0.16,5.81,167433,269945,119584,401873,3.36,9393,32810,63290,22379,1105
  易县,537564,272911,264653,103.12,565946,5.69,8.83,126242,411322,148668,526845,3.54,13022,32608,75108,39176,1776
  曲阳县,588559,296755,291804,101.70,599352,0.02,6.30,124237,464322,153570,578243,3.77,12733,30937,87368,33941,1324
  蠡县,505572,259012,246560,105.05,520384,0.14,5.74,164230,341342,130192,498101,3.83,8449,28753,61234,37153,3052
  顺平县,295764,149704,146060,102.49,302705,0.14,7.03,64145,231619,81232,292815,3.60,6163,17622,39506,23097,1007
  博野县,245504,123946,121558,101.96,264824,0.04,4.89,74534,170970,68307,243527,3.57,5112,16798,33835,16623,1051
  雄县,359506,183290,176216,104.01,363573,2.42,8.34,139180,220326,94953,356438,3.75,6184,19422,50252,23983,1296
  涿州市,603535,303125,300410,100.90,635396,1.92,25.47,260493,343042,176029,579920,3.29,15532,45953,87237,41120,1719
  定州市,1165182,587316,577866,101.64,1189257,2.48,10.85,482121,683061,300607,1120961,3.73,21380,61277,144026,89922,5382
  安国市,370317,185386,184931,100.25,387024,0.92,11.87,135524,234793,108016,363824,3.37,10135,28857,50797,26728,1634
  高碑店市,640280,323671,316609,102.23,592303,2.36,12.97,274853,365427,160732,595910,3.71,11593,36271,81515,40430,2516
张家口市,4345485,2225425,2120060,104.97,4637341,1.47,27.58,1962450,2383035,1481690,4164494,2.81,194239,571530,770458,137233,2469
  桥东区,339372,172795,166577,103.73,276441,3.43,71.29,304471,34901,115991,299637,2.58,14381,48790,59916,7198,87
  桥西区,287900,142284,145616,97.71,235040,3.19,68.99,264759,23141,100044,263367,2.63,12470,40051,53233,6698,62
  宣化区,370569,185891,184678,100.66,310904,2.14,69.78,318223,52346,135710,352091,2.59,16237,55862,72507,7275,66
  下花园区,62764,32288,30476,105.95,67353,0.89,55.81,37175,25589,24253,60598,2.50,4298,11182,11694,1364,13
  宣化县,273506,141702,131804,107.51,298907,0.23,6.61,81741,191765,94185,263343,2.80,12697,38076,48542,7456,111
  张北县,318669,162009,156660,103.41,384321,1.22,17.43,103186,215483,110037,303441,2.76,14249,45352,55602,8907,176
  康保县,204975,103811,101164,102.62,279448,1.01,11.91,52012,152963,69030,202382,2.93,6999,24546,36409,7929,146
  沽源县,174619,90011,84608,106.39,228268,2.95,12.49,38575,136044,60792,170263,2.80,7070,22757,33231,4737,67
  尚义县,151639,76685,74954,102.31,195029,0.70,16.45,37197,114442,55596,148138,2.66,8025,24125,27737,3671,63
  蔚县,450236,235171,215065,109.35,495233,0.18,10.79,146274,303962,145376,440550,3.03,23761,51279,74464,19294,339
  阳原县,258086,131517,126569,103.91,282826,0.11,11.44,82997,175089,84856,255690,3.01,11006,28853,47849,8037,117
  怀安县,210914,107146,103768,103.26,242038,0.22,14.06,75489,135425,71247,205985,2.89,8947,28282,35086,7712,167
  万全县,211706,107737,103969,103.62,228548,0.23,14.46,92557,119149,71695,207822,2.90,8250,26984,37702,6850,159
  怀来县,352307,181121,171186,105.80,350759,2.26,24.11,136843,215464,117033,341050,2.91,15306,41675,61484,13613,261
  涿鹿县,333932,175944,157988,111.37,344987,1.23,14.56,93219,240713,105710,316951,3.00,13104,34978,54719,15643,370
  赤城县,238169,124243,113926,109.06,290185,1.28,11.76,62616,175553,82641,231089,2.80,12325,33347,40836,8231,227
  崇礼县,106122,55070,51052,107.87,127054,4.30,14.22,35116,71006,37494,102097,2.72,5114,15391,19447,2618,38
承德市,3473201,1782914,1690287,105.48,3716445,43.16,21.08,1343103,2130098,1024783,3310423,3.23,99259,296872,512874,207793,7244
  双桥区,424897,212796,212101,100.33,375810,19.03,60.47,383772,41125,121817,355602,2.92,14184,42263,61425,17758,371
  双滦区,146878,75640,71238,106.18,143261,25.22,44.23,100255,46623,46584,138038,2.96,5120,15683,24063,6677,161
  鹰手营子矿区,62454,31951,30503,104.75,67221,9.25,64.37,56363,6091,22720,60324,2.66,3276,10048,10020,2607,45
  承德县,388554,203187,185367,109.61,414095,12.82,10.94,101121,287433,111146,377452,3.40,8899,26538,56345,27277,986
  兴隆县,314730,161297,153433,105.13,322321,8.61,14.20,95762,218968,90363,307960,3.41,8344,23776,42125,23268,1194
  平泉县,446939,229622,217317,105.66,470366,36.66,13.70,136401,310538,129228,437700,3.39,10882,32129,65859,30142,1098
  滦平县,287986,147635,140351,105.19,309296,62.93,12.01,79856,208130,83476,279436,3.35,7274,21352,43359,18140,625
  隆化县,372030,191904,180126,106.54,436786,58.53,12.08,96253,275777,109424,360010,3.29,11055,30920,54406,23322,776
  丰宁满族自治县,357029,183768,173261,106.06,394095,72.43,14.15,99355,257674,105945,339739,3.21,9803,30657,57394,17403,491
  宽城满族自治县,250304,131854,118450,111.32,247492,77.62,14.44,86762,163542,70737,242849,3.43,5821,18321,36068,15697,651
  围场满族蒙古族自治县,421400,213260,208140,102.46,535702,67.10,13.38,107203,314197,133343,411313,3.08,14601,45185,61810,25502,846
沧州市,7134062,3647202,3486860,104.60,7161336,3.33,17.06,2912542,4221520,2056649,6924685,3.37,159254,567170,1099545,373249,16685
  新华区,228341,115203,113138,101.83,199414,14.16,73.32,211772,16569,73154,218791,2.99,5875,22325,42378,8292,159
  运河区,308454,153920,154534,99.60,280428,5.91,66.90,287639,20815,91690,275723,3.01,6652,28287,51504,11671,228
  沧县,669019,343798,325221,105.71,686026,3.42,3.30,107692,561327,200188,661916,3.31,15712,58333,109559,31021,1275
  青县,402137,204920,197217,103.91,408467,6.32,14.35,176612,225525,125279,396595,3.17,10354,37946,69434,17340,559
  东光县,356502,180638,175864,102.71,360725,0.28,9.03,147857,208645,108615,351620,3.24,9398,31249,60523,16273,570
  海兴县,201538,103259,98279,105.07,225631,1.80,12.67,61234,140304,59986,199558,3.33,5004,17813,32980,8866,327
  盐山县,436812,225823,210989,107.03,450567,0.71,6.84,154138,282674,113690,418131,3.68,8374,26236,62386,23982,1086
  肃宁县,334639,171392,163247,104.99,338846,1.07,11.05,126167,208472,90820,324576,3.57,6395,22230,42599,24589,1402
  南皮县,366232,188309,177923,105.84,374883,0.55,9.13,94508,271724,104236,361000,3.46,7312,27136,54619,21491,990
  吴桥县,282410,141700,140710,100.70,283655,0.25,15.32,88175,194235,84274,264231,3.14,8202,26280,43620,13962,412
  献县,579831,294951,284880,103.54,595147,0.99,7.03,141328,438503,158888,566317,3.56,11889,39057,84790,33416,1625
  孟村回族自治县,202571,105057,97514,107.74,201809,26.07,8.75,85885,116686,56416,199131,3.53,3633,14482,31651,9861,422
  泊头巿,584308,296563,287745,103.06,599372,2.79,20.75,258203,326105,172378,569621,3.30,16261,48649,90689,31973,1067
  任丘市,822455,418945,403510,103.83,799758,0.82,23.17,430896,391559,236492,803121,3.40,17144,66877,120057,47065,2493
  黄骅市,548507,288402,260105,110.88,530963,4.63,20.96,296978,251529,160879,521201,3.24,11679,47961,91955,20208,755
  河间市,810306,414322,395984,104.63,825645,2.15,9.27,243458,566848,219664,793153,3.61,15370,52309,110801,53239,3315
廊坊市,4358839,2233100,2125739,105.05,4132357,2.58,21.30,2115141,2243698,1204601,4057714,3.37,109581,338964,605348,247295,12994
  安次区,367670,187390,180280,103.94,350456,1.00,25.41,171294,196376,95083,315975,3.32,8564,25475,48216,20586,806
  广阳区,500396,251212,249184,100.81,433880,3.63,57.35,359546,140850,144762,446405,3.08,15430,47169,72886,23716,991
  固安县,418689,213077,205612,103.63,421134,1.79,9.64,171558,247131,105326,396858,3.77,6724,19695,51265,32047,2319
  永清县,356481,181675,174806,103.93,375777,2.06,8.30,116883,239598,95471,350863,3.68,5698,18282,48874,26860,1455
  香河县,343372,178957,164415,108.84,318348,1.66,12.53,177960,165412,95063,316643,3.33,8099,26974,43417,23142,1530
  大城县,477773,245797,231976,105.96,489109,0.18,10.64,171399,306374,137393,470813,3.43,11454,37957,78419,20236,781
  文安县,500967,259291,241676,107.29,491781,2.30,7.95,217167,283800,140655,477437,3.39,10616,41014,77445,21375,821
  大厂回族自治县,118474,60083,58391,102.90,116889,22.51,21.03,50722,67752,37958,111296,2.93,6249,13875,17242,6532,309
  霸州市,622975,320113,302862,105.70,594999,1.16,11.86,291710,331265,168009,603766,3.59,12787,42239,85131,38867,1772
  三河市,652042,335505,316537,105.99,539984,3.68,37.43,386902,265140,184881,567658,3.07,23960,66284,82453,33934,2210
衡水市,4340773,2191113,2149660,101.93,4358082,0.11,14.68,1657687,2683086,1258305,4135786,3.29,126155,376552,632837,236812,12104
  桃城区,522147,259945,262202,99.14,482064,0.32,55.24,389447,132700,154407,465160,3.01,16481,54132,77718,21868,689
  枣强县,394469,198790,195679,101.59,399787,0.05,9.29,131183,263286,120348,377599,3.14,13165,41195,61016,17420,717
  武邑县,315693,159102,156591,101.60,325896,0.05,8.26,80270,235423,91936,305350,3.32,9553,27663,47426,16120,727
  武强县,214549,108300,106249,101.93,218376,0.02,9.23,51212,163337,56148,209934,3.74,4165,12105,26522,16559,962
  饶阳县,280498,141867,138631,102.33,285799,0.04,7.49,82407,198091,80355,275466,3.43,7360,21410,38252,19477,1216
  安平县,328512,167943,160569,104.59,327613,0.06,10.12,114678,213834,93142,315897,3.39,9945,27533,42295,21812,1502
  故城县,487025,246440,240585,102.43,500302,0.12,9.79,158697,328328,136141,470877,3.46,10879,36631,72845,25600,1065
  景县,528693,266845,261848,101.91,531609,0.11,7.33,182813,345880,147807,511068,3.46,12633,37491,80207,28858,1251
  阜城县,341087,172258,168829,102.03,349560,0.10,8.01,93672,247415,102326,332547,3.25,10168,29514,56987,15315,510
  冀州市,362013,181208,180805,100.22,361516,0.06,12.35,165363,196650,116821,330024,2.83,16958,46322,54536,15390,573
  深州市,566087,288415,277672,103.87,575560,0.11,9.44,207945,358142,158874,541864,3.41,14848,42556,75033,38393,2892
,,,,,,,,,,,,,,,,,
山西省,35712101,18338760,17373341,105.56,34728732,0.26,30.72,17160539,18551562,10330207,33484131,3.24,1110999,2963877,5637015,1668277,61038
