首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,,,单位：人
地    区,6岁及以上各种受教育程度人口,,,,,,,,,,,,平均受教育年限（年）,,,15岁及以上文盲人口,,,文盲人口占15岁及以上人口比重（%）,,
,未上过学,,小学,小学,初中,初中,高中,高中,大学专科,大学专科,大学本科及以上,大学本科及以上,,,,,,,,,
,男,女,男,女,男,女,男,女,男,女,男,女,合计,男,女,合计,男,女,合计,男,女
  蓟县,9061,28329,95608,102479,188862,159312,52542,45580,15879,14642,8946,7946,8.77,9.14,8.39,35101,7965,27136,5.32,2.39,8.31
,,,,,,,,,,,,,,,,,,,,,
河北省,590918,1562780,8135891,9583820,17000389,14902596,4969587,4162083,1672986,1656245,995671,917609,9.12,9.41,8.82,1877395,472817,1404578,3.14,1.58,4.71
石家庄市,74323,200276,914189,1072698,2181565,1968278,915028,822233,369782,412056,252098,257856,9.89,10.10,9.69,237024,58582,178442,2.75,1.37,4.11
  长安区,984,4510,30803,36704,74761,69082,59817,58638,31045,32667,26743,28521,11.40,11.53,11.28,4787,703,4084,1.14,0.34,1.91
  桥东区,1354,3422,23129,24044,56830,50607,54941,52887,32425,31146,34944,25826,11.90,12.06,11.73,3677,915,2762,1.01,0.48,1.57
  桥西区,885,3908,26261,30624,61302,60476,64706,69143,65446,77199,48490,58080,12.83,12.86,12.80,4023,610,3413,0.76,0.25,1.22
  新华区,1364,5836,28662,33752,77086,73584,78255,76346,59819,67042,43093,49483,12.34,12.41,12.28,5904,878,5026,1.07,0.33,1.76
  井陉矿区,696,2562,7580,8283,20005,18084,12866,11435,3441,2929,1489,1161,9.91,10.24,9.57,3000,610,2390,3.63,1.45,5.88
  裕华区,1220,4654,32382,37068,76535,71650,63755,66795,54764,67333,60606,58791,12.48,12.54,12.43,4787,802,3985,0.87,0.30,1.40
  井陉县,2178,5331,32446,39121,77022,70111,27861,20181,5607,4364,2016,1609,9.10,9.43,8.76,6102,1529,4573,2.37,1.17,3.63
  正定县,4369,13394,43001,50013,103388,97459,46668,42621,10270,13034,3730,4225,9.35,9.60,9.11,15784,3552,12232,4.02,1.85,6.08
  栾城县,1615,5355,31248,40457,85279,77941,36520,31311,7821,8081,2021,2090,9.40,9.68,9.13,5630,1067,4563,1.86,0.71,2.98
  行唐县,4785,11884,44192,51164,97127,86401,29168,25874,5326,6052,1656,1605,8.79,9.08,8.50,15398,4222,11176,4.78,2.63,6.90
  灵寿县,4860,10161,33441,38070,82637,71883,26923,24138,5058,5543,1605,1533,8.90,9.15,8.64,12331,3699,8632,4.46,2.65,6.31
  高邑县,1545,5325,18092,22264,44070,39536,18147,12390,3281,2897,940,810,9.00,9.47,8.52,6264,1291,4973,4.05,1.66,6.44
  深泽县,2527,4966,30791,32402,69749,58837,13245,11893,3169,3447,933,895,8.64,8.81,8.47,5289,1528,3761,2.48,1.39,3.64
  赞皇县,3710,8003,28383,33546,60727,51230,14757,10289,3101,2478,912,642,8.44,8.86,8.01,10692,3225,7467,5.49,3.27,7.76
  无极县,6110,14921,60880,68856,126363,112241,28303,23664,6542,6773,2023,2137,8.53,8.82,8.23,18712,5073,13639,4.49,2.45,6.52
  平山县,5726,14206,38081,43640,113327,97684,33343,27334,8023,8022,2462,2428,8.98,9.30,8.66,18451,5150,13301,5.22,2.86,7.68
  元氏县,2799,8548,42226,50266,107723,98352,34521,26336,6181,5933,1979,1711,9.05,9.39,8.71,10004,2261,7743,2.93,1.33,4.51
  赵县,5449,14858,65750,73297,144946,125819,42350,32924,7879,7411,2339,2152,8.76,9.10,8.42,17805,4415,13390,3.76,1.85,5.70
  辛集市,3298,8522,65462,77207,155541,147236,52738,47752,8915,8807,3015,2708,9.06,9.26,8.87,8652,2041,6611,1.61,0.77,2.44
  藁城市,8689,21939,88779,105638,192483,172521,54235,45715,10279,13016,2933,3306,8.69,8.96,8.42,27748,7392,20356,4.21,2.26,6.10
  晋州市,4292,11346,58496,71278,143657,128846,36838,29465,6112,5649,1765,1672,8.72,9.01,8.42,13404,3346,10058,2.92,1.46,4.39
  新乐市,4148,10065,48450,59785,120106,109204,35049,30185,8359,9017,1949,2074,8.99,9.26,8.74,11358,2924,8434,2.88,1.50,4.23
  鹿泉市,1720,6560,35654,45219,90901,79494,50022,44917,16919,23216,4455,4397,10.04,10.18,9.90,7222,1349,5873,1.95,0.74,3.12
唐山市,46948,142975,867730,977372,1749083,1512161,603921,517840,209856,205252,133809,116940,9.34,9.58,9.08,168454,38635,129819,2.60,1.17,4.09
  路南区,1384,4812,24953,29441,69378,55599,30921,29420,12609,13996,12837,10084,10.28,10.46,10.09,5422,1125,4297,1.97,0.80,3.21
  路北区,1292,5986,37159,42950,119407,114753,90003,91571,51985,53346,54694,48375,11.69,11.85,11.53,6217,953,5264,0.93,0.29,1.57
  古冶区,2524,9410,32748,36160,88631,79759,35041,32891,8506,9199,4126,3308,9.36,9.61,9.11,10435,2012,8423,3.27,1.26,5.28
  开平区,1582,5333,26398,28895,66725,57061,22521,21057,6116,6721,2656,2530,9.32,9.50,9.13,6278,1287,4991,2.75,1.11,4.45
  丰润区,4088,11744,80392,91011,138102,112712,46158,36149,13413,12048,7008,8179,8.98,9.24,8.70,14636,3618,11018,2.86,1.37,4.44
  丰南区,4721,15125,115256,131094,220802,188091,64512,54537,19650,18965,11016,8835,9.03,9.28,8.77,17142,3651,13491,2.21,0.92,3.56
  滦县,5847,16808,79218,86792,130487,106781,31388,26571,10314,10918,3854,3706,8.54,8.84,8.24,21014,5161,15853,4.54,2.19,6.97
  滦南县,4354,15281,81765,94941,137570,114693,39516,32956,10005,10485,3834,4179,8.65,8.97,8.33,18029,3671,14358,3.64,1.47,5.82
  乐亭县,2848,8278,70999,70782,117387,107781,46539,41670,12840,12450,5148,4531,9.16,9.31,9.00,9501,2260,7241,2.06,0.96,3.20
  迁西县,2980,6524,44064,51608,90497,79339,31225,22784,9351,8669,3940,3717,9.17,9.45,8.87,8001,2361,5640,2.53,1.46,3.65
  玉田县,4787,16156,92314,106500,172224,146435,39420,29627,9721,10404,4436,4031,8.59,8.90,8.27,17755,3674,14081,3.07,1.25,4.93
  唐海县,952,3753,17846,19637,45268,30941,21369,12920,11051,5668,5595,2499,9.89,10.38,9.23,4349,796,3553,2.63,0.83,5.12
  遵化市,4672,9679,87056,96183,185188,171631,45200,38316,13299,13895,5174,4930,8.99,9.14,8.83,12238,3791,8447,2.02,1.24,2.81
  迁安市,4917,14086,77562,91378,167417,146585,60108,47371,20996,18488,9491,8036,9.29,9.61,8.97,17437,4275,13162,2.89,1.39,4.44
秦皇岛市,16313,44666,330528,379956,658546,576016,238599,207557,92472,99406,79864,73756,9.63,9.83,9.43,51914,12572,39342,2.03,0.97,3.10
  海港区,2189,6424,44109,50582,115962,115081,87725,87117,51310,54117,59873,53781,11.66,11.83,11.51,6586,1318,5268,0.97,0.39,1.54
