首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,,,单位：人
地    区,6岁及以上各种受教育程度人口,,,,,,,,,,,,平均受教育年限（年）,,,15岁及以上文盲人口,,,文盲人口占15岁及以上人口比重（%）,,
,未上过学,,小学,小学,初中,初中,高中,高中,大学专科,大学专科,大学本科及以上,大学本科及以上,,,,,,,,,
,男,女,男,女,男,女,男,女,男,女,男,女,合计,男,女,合计,男,女,合计,男,女
  清河区,661,1386,13126,13858,20275,18358,6456,5701,2469,2042,1079,844,8.97,9.18,8.76,1717,508,1209,2.16,1.25,3.11
  铁岭县,2038,3173,60488,61241,90583,78883,9143,8429,3227,4523,774,823,8.21,8.27,8.16,4035,1454,2581,1.36,0.96,1.79
  西丰县,3195,6247,54547,59240,59580,51293,15961,12966,5320,4381,2065,1802,8.28,8.53,8.02,8046,2529,5517,3.19,1.98,4.44
  昌图县,6513,12662,133511,146469,220916,202268,29424,25265,10420,8551,2907,2537,8.29,8.48,8.11,16772,5440,11332,2.32,1.50,3.15
  调兵山市,702,1344,17607,20127,66236,67178,21984,17275,7594,6452,3646,2997,9.75,9.94,9.56,1508,453,1055,0.70,0.42,0.98
  开原市,3879,7331,80143,84442,145386,131317,25205,21747,8412,7029,2958,2490,8.56,8.72,8.39,9390,3029,6361,1.97,1.24,2.72
朝阳市,35060,96194,405082,464797,715910,609728,188583,156749,70649,60999,29966,24137,8.69,9.08,8.30,116261,28281,87980,4.52,2.19,6.87
  双塔区,1424,4193,28639,35208,78937,79064,44705,45323,25892,24863,14708,11407,10.81,11.06,10.56,4216,836,3380,1.18,0.48,1.85
  龙城区,1860,5159,25413,28541,56840,48293,12991,10147,3726,3275,1112,899,8.74,9.04,8.42,6134,1454,4680,3.43,1.58,5.39
  朝阳县,5913,15528,82224,95684,116642,93992,16239,11672,4311,3278,949,789,7.85,8.24,7.44,18644,4647,13997,4.69,2.32,7.09
  建平县,6957,21202,72827,85828,118292,97589,27968,21301,9211,7095,3487,2933,8.28,8.79,7.77,25500,5835,19665,5.99,2.76,9.17
  喀喇沁左翼蒙古族自治县,4204,11684,52150,58674,84761,75376,19763,15711,6681,5906,2448,2218,8.46,8.84,8.09,14242,3439,10803,4.70,2.29,7.04
  北票市,6673,19516,59884,70483,131392,111946,28723,23931,8358,7198,2519,2223,8.45,8.86,8.04,23888,5641,18247,5.53,2.61,8.46
  凌源市,8029,18912,83945,90379,129046,103468,38194,28664,12470,9384,4743,3668,8.54,8.95,8.10,23637,6429,17208,4.98,2.62,7.49
葫芦岛市,22196,50955,320359,348951,678750,613866,144420,126637,56018,49833,32914,28258,8.95,9.19,8.71,63904,17743,46161,2.86,1.58,4.16
  连山区,3341,8264,55916,62224,165869,160879,40807,39361,13154,12990,6569,5632,9.30,9.47,9.15,9790,2490,7300,1.85,0.95,2.73
  龙港区,732,1708,15574,16729,50740,47707,24887,23566,16999,13760,11401,8695,11.02,11.24,10.79,1823,407,1416,0.86,0.37,1.38
  南票区,838,2334,15591,17996,33415,30399,5206,4448,1679,1469,515,400,8.56,8.81,8.30,2756,657,2099,2.67,1.27,4.05
  绥中县,6380,12231,79255,81955,168736,149544,19870,17170,7052,6592,2835,2289,8.46,8.65,8.27,15940,5049,10891,3.20,1.99,4.46
  建昌县,6069,15408,79358,93409,123085,99460,25943,19100,7939,6067,2708,2260,8.27,8.68,7.84,19570,5169,14401,4.59,2.41,6.79
  兴城市,4836,11010,74665,76638,136905,125877,27707,22992,9195,8955,8886,8982,8.84,9.03,8.65,14025,3971,10054,3.02,1.70,4.35
,,,,,,,,,,,,,,,,,,,,,
吉林省,213047,424195,3125630,3479125,6021056,5528156,2429683,2200450,743494,672512,680625,618541,9.49,9.68,9.29,526915,164072,362843,2.18,1.35,3.03
长春市,46475,92836,806036,898589,1556753,1440182,623650,583980,271843,256258,372259,348107,10.06,10.23,9.89,116309,36629,79680,1.72,1.08,2.37
  南关区,2481,5691,37190,43338,109362,112634,94759,99700,57115,57203,109059,115465,12.44,12.55,12.34,6574,1786,4788,0.83,0.46,1.16
  宽城区,3546,5885,56836,57593,156915,145511,74482,67457,22788,20530,18389,17059,10.09,10.18,9.99,8120,3172,4948,1.35,1.03,1.70
  朝阳区,1875,4004,33056,38479,84618,85109,93399,96614,63259,60531,133484,107213,12.87,13.10,12.63,4338,1238,3100,0.57,0.32,0.83
  二道区,3277,6732,53564,57795,125035,120060,61054,55293,24522,26789,25932,30781,10.42,10.46,10.37,8483,2605,5878,1.55,0.96,2.12
  绿园区,2286,5427,42876,48564,128585,127593,105155,102407,54510,48971,57661,49087,11.57,11.76,11.37,6575,1790,4785,0.91,0.49,1.34
  双阳区,4443,8225,47463,52649,93679,85293,17350,14514,7430,6024,9017,12004,8.96,9.12,8.81,11251,3793,7458,3.41,2.31,4.52
  农安县,9291,17284,143363,157670,242647,215252,47922,39472,11864,10135,5499,4895,8.41,8.61,8.20,22655,7504,15151,2.72,1.78,3.69
  九台巿,4686,9328,76669,86022,160909,147823,36684,31029,8867,7703,4181,3680,8.75,8.95,8.55,11651,3659,7992,2.20,1.37,3.04
  榆树市,8987,19658,204590,235583,262355,226304,57417,47011,12198,10268,5251,4370,8.17,8.44,7.91,23434,6800,16634,2.36,1.37,3.35
  德惠市,5603,10602,110429,120896,192648,174603,35428,30483,9290,8104,3786,3553,8.49,8.67,8.31,13228,4282,8946,2.06,1.33,2.81
吉林市,33613,70454,512260,566279,902201,835331,459170,424086,121374,108276,104918,83115,9.53,9.75,9.31,84408,25147,59261,2.15,1.27,3.05
  昌邑区,2727,7465,44361,51962,113884,111758,102605,96977,28856,27149,25229,21312,10.70,10.92,10.49,8369,2027,6342,1.40,0.68,2.13
  龙潭区,2960,7147,49471,54556,100134,94947,69025,64789,16371,14081,21537,13520,10.10,10.37,9.81,7894,2088,5806,1.65,0.86,2.48
  船营区,2855,5779,36794,40713,84101,82690,67708,68761,21525,19158,26074,18585,10.72,10.95,10.48,7030,2173,4857,1.58,0.97,2.20
  丰满区,1743,4072,24089,25898,49331,47213,33382,37710,14786,13921,16855,17071,10.83,10.95,10.72,4474,1205,3269,1.67,0.92,2.39
  永吉县,3117,5409,48648,53790,104083,95187,28177,23712,5631,4770,2230,2022,8.82,8.99,8.64,6656,2241,4415,1.90,1.26,2.56
  蛟河市,5307,10724,71166,75489,94234,84146,34380,29974,7581,6871,2840,2359,8.55,8.77,8.32,13661,4223,9438,3.47,2.12,4.86
  桦甸市,5850,11643,68907,75312,92699,80612,33215,28498,8711,7641,4070,3333,8.61,8.87,8.34,14424,4526,9898,3.73,2.31,5.20
  舒兰巿,4871,9807,94625,106739,150173,136541,50563,41011,8826,7092,2614,1938,8.64,8.87,8.40,12075,3703,8372,2.13,1.29,2.99
  磐石市,4183,8408,74199,81820,113562,102237,40115,32654,9087,7593,3469,2975,8.75,8.97,8.51,9825,2961,6864,2.22,1.31,3.15
四平市,32442,58073,408377,448818,809688,746786,269999,237135,63444,55745,33034,37105,9.00,9.18,8.83,76776,26101,50675,2.60,1.76,3.46
  铁西区,1140,2570,16380,18048,44338,44441,40496,40683,12794,12572,14484,21328,11.27,11.27,11.28,3034,864,2170,1.21,0.72,1.66
  铁东区,2542,4379,33121,34546,68890,65375,43180,40362,11732,11006,3952,3386,9.83,9.96,9.69,5623,1957,3666,1.89,1.30,2.48
  梨树县,8432,15821,107759,118421,200326,176228,43600,35007,11053,9011,3798,3033,8.49,8.74,8.24,21056,6951,14105,3.14,2.04,4.28
  伊通满族自治县,5394,9349,75274,82120,109496,98692,29558,24345,6254,5141,2481,2110,8.41,8.63,8.18,12452,4322,8130,3.04,2.09,4.01
  公主岭市,12031,20187,129587,142052,272062,256934,84127,72988,14935,12484,6160,5294,8.79,8.97,8.60,27688,9887,17801,2.89,2.05,3.73
  双辽市,2903,5767,46256,53631,114576,105116,29038,23750,6676,5531,2159,1954,8.94,9.16,8.72,6923,2120,4803,1.92,1.16,2.70
辽源市,10379,18693,150160,163865,288324,262420,84367,75274,26373,22767,12239,10533,8.98,9.16,8.80,24007,8035,15972,2.32,1.53,3.13
  龙山区,1611,3330,22056,24744,63105,63462,34291,33087,11843,11663,7469,6515,10.24,10.40,10.08,3900,1148,2752,1.49,0.89,2.07
  西安区,2251,3898,14360,15211,49529,46147,16151,14338,5650,3824,1100,905,9.29,9.51,9.05,5174,1815,3359,3.15,2.16,4.19
  东丰县,3113,5803,55344,61314,84023,73473,21544,17745,5490,4413,2238,1816,8.54,8.76,8.31,7168,2322,4846,2.35,1.49,3.24
  东辽县,3404,5662,58400,62596,91667,79338,12381,10104,3390,2867,1432,1297,8.19,8.36,8.01,7765,2750,5015,2.55,1.76,3.38
通化市,20359,41760,294174,320632,505795,452220,217491,194462,60633,53020,31330,28993,9.21,9.42,9.00,50946,15364,35582,2.48,1.47,3.52
  东昌区,2379,5363,24093,27305,57000,54717,57171,56291,18883,17553,13654,13826,10.89,11.07,10.72,6138,1664,4474,1.89,1.03,2.73
  二道江区,968,2260,13393,15321,30312,28474,20332,18372,4379,3961,2296,1906,9.83,10.04,9.61,2754,761,1993,2.08,1.14,3.04
  通化县,2585,5630,36115,39960,60314,46429,17669,14024,4936,4147,2393,2338,8.69,8.96,8.40,6956,2014,4942,3.18,1.75,4.75
  辉南县,4153,8195,55170,58778,79100,71325,24795,21240,6688,5656,2798,2415,8.61,8.84,8.37,10866,3470,7396,3.49,2.20,4.81
  柳河县,3104,5957,58314,63082,85408,75075,21162,18208,6035,4895,1934,1704,8.49,8.69,8.28,6477,1998,4479,2.03,1.23,2.86
  梅河口市,4799,9035,73976,79539,142524,130982,58068,51014,14215,12323,5290,4470,9.18,9.36,8.99,10953,3491,7462,2.02,1.27,2.80
  集安市,2371,5320,33113,36647,51137,45218,18294,15313,5497,4485,2965,2334,8.86,9.15,8.56,6802,1966,4836,3.32,1.89,4.80
白山市,17128,38119,126342,136117,286748,256595,145565,128345,39641,34917,17861,15487,9.44,9.71,9.15,49178,14523,34655,4.28,2.48,6.14
  浑江区,2807,6971,28630,31812,72802,67167,49635,46124,15537,14792,7646,6787,10.20,10.41,9.98,8404,2183,6221,2.59,1.34,3.86
  江源区,3208,7143,25212,26858,62869,56324,27455,23278,5632,4761,1577,1385,9.14,9.39,8.86,8680,2521,6159,3.77,2.14,5.49
  抚松县,5109,11152,30817,32455,69127,60506,28914,24946,8022,6592,3615,3172,9.10,9.42,8.76,15026,4601,10425,5.76,3.45,8.19
  靖宇县,2356,4796,16637,17393,29623,24893,10951,8733,3415,2715,1665,1350,8.82,9.15,8.46,6650,2113,4537,5.79,3.55,8.21
  长白朝鲜族自治县,742,1527,7495,8792,14375,13125,8414,7242,2830,2183,1400,1124,9.68,10.00,9.36,2009,624,1385,3.16,1.92,4.44
  临江市,2906,6530,17551,18807,37952,34580,20196,18022,4205,3874,1958,1669,9.20,9.51,8.89,8409,2481,5928,5.41,3.17,7.68
松原市,23656,45397,402911,456082,671879,617813,185456,155857,51242,45258,27616,23377,8.76,8.99,8.53,57336,18217,39119,2.32,1.47,3.18
  宁江区,4082,7835,62738,69709,119156,122189,70123,62110,21264,19617,13543,11100,9.88,10.11,9.66,9852,3074,6778,1.86,1.17,2.53
  前郭尔罗斯蒙古族自治县,5111,9796,90970,100826,143085,131098,31998,26739,9951,9106,5480,5139,8.61,8.81,8.41,12780,4137,8643,2.47,1.60,3.35
  长岭县,6481,13011,94632,109527,155672,134461,30446,24560,9152,7602,4576,3946,8.40,8.66,8.12,16285,5012,11273,2.98,1.82,4.17
  乾安县,2454,4353,34509,39980,75731,71460,24734,21287,4754,4127,1767,1426,8.96,9.16,8.75,5818,1979,3839,2.21,1.50,2.92
  扶余县,5528,10402,120062,136040,178235,158605,28155,21161,6121,4806,2250,1766,8.16,8.39,7.92,12601,4015,8586,2.07,1.31,2.82
白城市,13956,24605,254410,289841,489751,445901,161587,135806,40988,37424,23115,22005,9.08,9.27,8.90,28332,9161,19171,1.59,1.02,2.18
  洮北区,3379,6532,50324,57147,107453,102575,54770,50773,17155,18032,12918,13304,9.94,10.07,9.80,7351,2220,5131,1.62,0.98,2.24
  镇赉县,1125,1849,39372,42996,78684,69662,21270,16139,5293,4059,2525,1872,8.93,9.11,8.74,2027,697,1330,0.77,0.51,1.06
  通榆县,2686,4701,51623,58299,88882,80374,20971,16523,4505,3731,1950,1835,8.60,8.80,8.39,5416,1712,3704,1.78,1.11,2.47
  洮南市,3790,6519,63554,72112,107795,96616,24234,19876,6056,5384,2222,2002,8.53,8.73,8.33,7805,2653,5152,2.08,1.40,2.77
  大安市,2976,5004,49537,59287,106937,96674,40342,32495,7979,6218,3500,2992,9.10,9.33,8.85,5733,1879,3854,1.50,0.97,2.06
延边朝鲜族自治州,15039,34258,170960,198902,509917,470908,282398,265505,67956,58847,58253,49819,10.00,10.20,9.79,39623,10895,28728,1.93,1.05,2.83
  延吉市,1825,4512,26125,31494,101457,100782,83086,83957,21854,20397,33164,30098,11.14,11.31,10.97,4715,1097,3618,0.93,0.44,1.41
  图们市,641,1619,7553,10003,26922,25841,23009,21599,5085,3988,2883,2047,10.37,10.63,10.10,1728,434,1294,1.38,0.69,2.08
  敦化市,4253,9243,48357,52943,111526,102323,51690,47704,11757,10828,5553,4754,9.42,9.61,9.22,11753,3485,8268,2.75,1.61,3.91
  珲春市,1280,3263,17797,20339,59318,53062,28571,25883,7667,6420,4844,3881,9.92,10.11,9.71,3660,900,2760,1.68,0.80,2.61
  龙井市,922,2464,10860,13891,44017,41133,24214,21987,4122,3144,3409,2544,9.87,10.12,9.62,2597,602,1995,1.57,0.72,2.44
  和龙市,1352,3147,13424,17007,51726,45143,21308,19163,4203,3392,2410,1731,9.53,9.77,9.29,3264,834,2430,1.87,0.93,2.85
  汪清县,2740,6136,22371,25662,62394,56064,29197,26510,6343,4986,2336,1959,9.39,9.64,9.12,7401,2091,5310,3.20,1.78,4.66
  安图县,2026,3874,24473,27563,52557,46560,21323,18702,6925,5692,3654,2805,9.40,9.63,9.16,4505,1452,3053,2.25,1.41,3.13
,,,,,,,,,,,,,,,,,,,,,
黑龙江省,294695,618891,4306896,4904470,9068804,8176463,3032636,2724333,1050234,944873,782202,714966,9.36,9.56,9.15,789231,236863,552368,2.34,1.39,3.31
哈尔滨市,66110,138027,1136260,1253995,2258024,2046305,885380,822919,377418,358815,439451,399806,9.92,10.08,9.75,176466,53342,123124,1.86,1.11,2.63
  道里区,2894,7568,50802,56786,174439,158923,122796,120821,56339,54474,48049,43476,11.14,11.25,11.02,8762,2146,6616,1.03,0.50,1.58
  南岗区,1962,6921,45844,55932,163832,154536,161598,163889,102192,102676,188712,157088,12.70,12.88,12.52,7483,1437,6046,0.61,0.23,1.00
  道外区,3429,9204,55352,63961,193630,179653,112827,110809,42079,40248,35461,27874,10.59,10.76,10.42,11316,2901,8415,1.37,0.70,2.06
  松北区,648,1648,11167,14148,35574,34361,28245,26716,9498,7925,8890,5636,10.81,11.10,10.50,1963,493,1470,1.14,0.56,1.73
  香坊区,1384,3063,22956,26222,47356,40906,10671,9085,5068,4886,30577,24951,10.68,10.95,10.40,4030,1182,2848,1.89,1.07,2.78
  平房区,2690,7756,47606,55724,157656,148643,111813,114897,50802,49910,71302,67011,11.43,11.57,11.30,8901,1970,6931,1.06,0.47,1.65
  呼兰区,4732,9804,91508,101137,166349,150256,38551,32035,28676,28415,31095,48743,9.85,9.83,9.86,12741,3893,8848,1.87,1.17,2.56
  阿城区,4596,8972,71709,75688,147773,136422,43007,38970,14631,13758,6700,8178,9.15,9.27,9.03,11307,3547,7760,2.14,1.33,2.96
  依兰县,3085,5661,57013,62789,95254,86189,22790,18629,6508,5518,1893,1513,8.62,8.82,8.41,7382,2385,4997,2.22,1.42,3.06
  方正县,2154,3850,26436,28724,51769,48130,12630,10263,4121,3415,999,931,8.73,8.94,8.52,4952,1644,3308,2.80,1.84,3.78
  宾县,5902,12600,92300,105492,132049,111188,21659,16359,8498,6584,2832,2711,8.17,8.46,7.87,16907,5188,11719,3.57,2.16,5.02
  巴彦县,4672,10312,95863,109164,150340,130849,21492,17683,6713,5706,2099,1982,8.19,8.43,7.96,14252,4329,9923,2.80,1.69,3.92
  木兰县,2185,3555,39860,43935,74147,66715,13913,11001,3512,2601,740,629,8.47,8.66,8.28,4784,1751,3033,1.98,1.42,2.56
  通河县,2255,4561,24984,25962,52641,48289,14861,13058,5260,4611,1288,1169,8.98,9.19,8.77,6005,1887,4118,3.32,2.06,4.62
  延寿县,2831,5138,37860,38858,59963,53268,12982,10243,3603,2807,1001,826,8.38,8.59,8.17,6901,2345,4556,3.27,2.16,4.46
  双城市,5496,9544,128067,138947,202846,180135,52604,41020,11303,9703,2711,2427,8.55,8.73,8.36,11833,3957,7876,1.64,1.07,2.23
  尚志市,7143,13330,78377,81954,147833,131994,40403,32316,10425,8810,2689,2514,8.66,8.87,8.43,18064,6036,12028,3.53,2.30,4.83
  五常市,8052,14540,158556,168572,204573,185848,42538,35125,8190,6768,2413,2147,8.15,8.33,7.97,18883,6251,12632,2.46,1.62,3.33
齐齐哈尔市,33663,63737,679668,815787,1280511,1153207,393842,338678,121210,99395,60812,57013,9.05,9.27,8.82,78061,24303,53758,1.67,1.04,2.32
  龙沙区,1046,1960,18922,24335,65636,63570,52896,53028,22826,20415,11459,9587,11.02,11.19,10.84,1877,528,1349,0.58,0.32,0.83
  建华区,899,1360,13709,17408,46531,45277,39474,39417,17426,16314,22014,24331,11.74,11.83,11.66,1032,283,749,0.39,0.22,0.55
  铁锋区,1218,2751,19523,23622,70601,65285,52964,48530,17817,11653,5625,4508,10.49,10.73,10.23,2614,588,2026,0.85,0.37,1.37
  昂昂溪区,546,1212,8915,9867,21979,19755,6247,5222,1374,1207,421,426,9.00,9.19,8.81,1369,350,1019,1.91,0.96,2.91
  富拉尔基区,1332,3176,19358,22398,55393,52472,36081,33384,9357,8425,4162,3341,10.09,10.28,9.89,3580,895,2685,1.53,0.76,2.32
  碾子山区,349,848,7142,9365,16525,15320,7506,6622,2366,1991,1032,825,9.54,9.82,9.26,1042,268,774,1.59,0.82,2.35
  梅里斯达斡尔族区,707,1164,21772,25758,46255,41348,7859,6466,2090,1747,762,819,8.71,8.87,8.54,1124,354,770,0.79,0.49,1.10
  龙江县,5737,12461,94946,108773,138101,115415,25951,18714,6876,5441,2486,2279,8.18,8.48,7.87,16274,4805,11469,3.36,1.95,4.84
  依安县,3396,6246,78581,92728,120467,102622,22695,16471,4747,3940,1400,1188,8.25,8.49,8.00,8107,2667,5440,1.96,1.27,2.67
  泰来县,2418,3488,44205,49931,78059,67611,15338,12295,4794,3889,1663,1439,8.56,8.74,8.36,4643,1789,2854,1.78,1.33,2.25
  甘南县,3544,6598,53440,63303,89225,77894,22313,17314,4497,3695,1398,1230,8.45,8.71,8.18,8345,2686,5659,2.65,1.69,3.64
  富裕县,2138,3123,38252,45783,66816,58688,19435,15838,4886,3832,1463,1237,8.76,8.99,8.53,3688,1332,2356,1.55,1.10,2.01
  克山县,2343,4732,56167,68104,103837,95656,20525,16994,5517,4320,1313,1059,8.54,8.78,8.31,6170,1884,4286,1.79,1.10,2.48
  克东县,2348,4375,39979,50660,62580,58263,11824,9202,3463,2665,1344,1141,8.33,8.63,8.05,5676,1848,3828,2.57,1.71,3.39
  拜泉县,1452,2227,73435,90669,147049,132569,19886,13037,4126,2946,1200,962,8.40,8.61,8.19,2362,800,1562,0.53,0.35,0.70
  讷河市,4190,8016,91322,113083,151457,141462,32848,26144,9048,6915,3070,2641,8.51,8.78,8.25,10158,3226,6932,1.93,1.24,2.59
鸡西市,15879,32583,190666,212590,492876,441982,146640,131909,50248,42854,18261,15732,9.22,9.41,9.01,39301,11660,27641,2.37,1.38,3.40
  鸡冠区,1503,2746,23062,26058,80653,78417,47041,44074,19560,16554,7677,6440,10.49,10.65,10.32,2971,875,2096,0.90,0.53,1.29
  恒山区,1916,3535,16668,18043,49695,44016,8849,8106,1769,1932,464,551,8.67,8.81,8.52,4642,1537,3105,3.18,2.07,4.34
  滴道区,1064,2008,11381,12448,32442,28460,5592,4741,884,758,234,259,8.57,8.74,8.39,2667,867,1800,2.82,1.78,3.93
  梨树区,1138,2609,6804,7190,23041,20134,5497,4836,1073,1026,199,174,8.74,8.99,8.47,3362,961,2401,4.85,2.72,7.09
  城子河区,910,2045,12035,13386,39489,35029,8039,7258,1902,2148,381,447,8.93,9.06,8.79,2514,703,1811,2.18,1.20,3.20
  麻山区,275,713,4088,4561,8250,7163,1481,1298,407,344,137,121,8.45,8.69,8.20,859,217,642,3.21,1.60,4.89
  鸡东县,2028,3856,34652,38807,73307,64793,16942,14263,5667,4580,1870,1620,8.86,9.06,8.65,4394,1325,3069,1.83,1.08,2.63
  虎林市,2195,5395,35878,41355,76973,66731,27284,24465,10375,8340,3402,2835,9.29,9.54,9.02,6133,1583,4550,2.18,1.10,3.30
  密山市,4850,9676,46098,50742,109026,97239,25915,22868,8611,7172,3897,3285,8.87,9.10,8.62,11759,3592,8167,3.29,1.97,4.64
鹤岗市,11531,24982,108603,116970,263365,237145,90451,85219,29777,27896,12802,11358,9.27,9.46,9.06,32603,9766,22837,3.45,2.05,4.89
  向阳区,1024,2345,7981,8555,24641,23642,12316,12023,5100,4914,2719,2435,10.13,10.32,9.94,2912,808,2104,2.89,1.61,4.16
  工农区,833,1719,9274,10255,29398,28939,16999,16344,7664,7126,3692,3253,10.52,10.68,10.35,1770,492,1278,1.41,0.78,2.03
  南山区,462,952,11575,13210,33801,30659,8935,8718,2360,2126,941,855,9.23,9.35,9.11,1114,341,773,1.04,0.63,1.46
  兴安区,998,2098,7524,7935,22735,19830,4004,3805,1015,992,339,361,8.68,8.87,8.49,2859,888,1971,4.29,2.61,6.04
  东山区,3473,6271,22021,21747,47428,40877,10992,10319,2158,2765,639,592,8.43,8.59,8.27,9189,3233,5956,5.83,4.01,7.74
  兴山区,686,1734,4674,4553,13106,11386,2819,2853,652,581,213,209,8.62,8.87,8.37,2281,621,1660,5.64,3.01,8.36
  萝北县,2054,5581,22988,26287,51023,44947,20920,19355,6976,6061,2993,2589,9.35,9.64,9.06,6925,1752,5173,3.55,1.78,5.35
  绥滨县,2001,4282,22566,24428,41233,36865,13466,11802,3852,3331,1266,1064,8.85,9.10,8.59,5553,1631,3922,3.67,2.13,5.26
双鸭山市,15896,36332,165079,181939,362555,325205,111519,101397,41449,35217,14484,12499,9.08,9.34,8.82,46977,13462,33515,3.65,2.07,5.26
  尖山区,1874,4503,16809,18830,54953,53192,28564,27734,14029,12419,5853,4909,10.35,10.58,10.12,5400,1462,3938,2.40,1.30,3.49
  岭东区,1425,2849,6087,5817,17105,14307,3375,2937,1140,806,304,227,8.43,8.75,8.08,4012,1309,2703,7.60,4.74,10.72
  四方台区,1110,2365,7075,7088,19440,16578,2548,2214,698,613,164,159,8.32,8.58,8.05,3227,989,2238,5.81,3.45,8.32
  宝山区,1878,4371,10868,11693,39491,34809,9178,8283,2497,2080,534,525,8.88,9.14,8.60,5877,1726,4151,4.99,2.87,7.21
  集贤县,2868,6433,44185,48661,72197,64561,18092,15618,5664,4851,1563,1401,8.59,8.83,8.34,8413,2424,5989,3.23,1.85,4.64
  友谊县,1119,3043,9467,11066,26111,23398,11278,11264,4041,3363,1759,1492,9.59,9.89,9.29,3763,964,2799,3.79,1.94,5.64
  宝清县,3913,8999,53319,59702,97225,86682,26804,23061,8989,7449,2717,2431,8.77,9.04,8.50,11324,3126,8198,3.26,1.78,4.77
  饶河县,1709,3769,17269,19082,36033,31678,11680,10286,4391,3636,1590,1355,9.08,9.36,8.80,4961,1462,3499,3.80,2.20,5.47
大庆市,22175,53214,300082,356204,600590,540793,282719,259771,94368,85139,90719,77205,9.75,10.02,9.47,65599,17517,48082,2.60,1.38,3.82
  萨尔图区,1736,4896,19955,24048,61744,55418,45482,44162,17010,15899,13078,11154,10.81,11.04,10.58,5422,1163,4259,1.87,0.80,2.96
  龙凤区,1967,5325,21419,25480,55610,52102,41353,40081,17205,17071,33142,27011,11.40,11.68,11.12,6722,1670,5052,2.16,1.06,3.28
  让胡路区,2336,6499,34816,41668,84617,83414,85411,84444,32097,28419,30785,27241,11.25,11.49,11.00,7557,1758,5799,1.53,0.71,2.33
  红岗区,976,2695,13181,16173,32877,29870,25944,22810,5596,4860,4768,3784,10.19,10.47,9.89,3288,801,2487,2.17,1.04,3.35
  大同区,3143,7248,29497,35582,53918,47102,17461,15136,4101,3478,2976,2461,8.73,9.09,8.37,9084,2472,6612,4.49,2.45,6.51
  肇州县,3573,7520,52147,62509,102546,89022,20044,16038,5056,4390,1690,1384,8.46,8.74,8.19,9719,2931,6788,2.91,1.74,4.09
  肇源县,3439,7130,60438,71122,91980,81645,20658,16480,5647,4723,1630,1699,8.36,8.62,8.10,8909,2665,6244,2.67,1.60,3.74
  林甸县,3008,7186,37299,43456,59556,50798,12207,8848,3423,2816,1039,979,8.22,8.58,7.87,9088,2516,6572,4.35,2.39,6.34
  杜尔伯特蒙古族自治县,1997,4715,31330,36166,57742,51422,14159,11772,4233,3483,1611,1492,8.67,8.94,8.40,5810,1541,4269,2.90,1.52,4.29
伊春市,11141,28312,84043,96501,301419,280699,118825,112792,31836,29844,11140,10665,9.52,9.75,9.30,35578,9604,25974,3.42,1.85,4.98
  伊春区,796,2296,7309,8942,30272,30673,18643,18706,7883,7262,4611,4639,10.72,10.94,10.51,2369,521,1848,1.79,0.81,2.73
  南岔区,1292,3384,7556,8643,32796,30362,12364,11787,3164,2994,848,784,9.45,9.69,9.22,4333,1161,3172,3.96,2.13,5.80
  友好区,642,1781,2871,3367,15453,13674,5831,6075,1030,977,363,365,9.42,9.65,9.19,2133,552,1581,4.34,2.25,6.43
  西林区,325,645,2738,3386,14401,13275,6976,6119,1568,1344,351,287,9.92,10.10,9.73,757,228,529,1.58,0.93,2.26
  翠峦区,471,1009,2460,2961,13478,12815,4660,4470,665,668,182,158,9.37,9.55,9.19,1328,400,928,3.21,1.95,4.47
  新青区,451,1360,2671,3035,12293,11246,4096,3930,1211,1211,327,299,9.44,9.70,9.18,1676,416,1260,4.27,2.13,6.40
  美溪区,419,744,3136,3196,9190,8317,6776,5767,1161,1101,300,232,9.84,10.00,9.68,821,265,556,2.15,1.34,3.03
  金山屯区,477,1141,2132,2395,11971,10755,3658,3372,1088,1023,207,208,9.42,9.63,9.19,1502,427,1075,4.15,2.32,6.02
  五营区,444,1215,2280,2629,10254,9080,2885,2673,699,660,202,192,9.12,9.40,8.83,1540,408,1132,4.95,2.60,7.35
  乌马河区,212,681,1910,2344,8911,7818,3251,3185,956,923,226,216,9.65,9.86,9.44,835,189,646,2.90,1.30,4.52
  汤旺河区,435,1019,1942,2144,7926,7088,3741,3579,954,891,278,273,9.62,9.86,9.38,1395,406,989,4.96,2.87,7.09
  带岭区,169,630,1759,2200,8165,7778,4123,3965,1224,1139,236,243,9.95,10.19,9.71,721,150,571,2.41,1.02,3.77
  乌伊岭区,304,741,1339,1498,5930,5328,2088,1994,577,498,192,165,9.38,9.66,9.09,960,270,690,5.00,2.79,7.25
  红星区,355,873,1338,1538,6169,5605,2014,2089,591,505,165,100,9.26,9.57,8.95,1194,339,855,5.98,3.42,8.51
  上甘岭区,149,464,955,1466,4117,3695,3243,3161,706,677,270,243,10.21,10.51,9.92,550,123,427,3.04,1.38,4.66
  嘉荫县,813,2096,9226,9821,15071,12881,5320,4812,1923,1630,882,787,8.97,9.28,8.65,2685,716,1969,4.55,2.39,6.76
  铁力市,3387,8233,32421,36936,95022,90309,29156,27108,6436,6341,1500,1474,9.07,9.29,8.85,10779,3033,7746,3.46,1.97,4.92
