首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,单位：人
地    区,15岁及以上人口,,,未婚,,,有配偶,,,离婚,,,丧偶,,,15-64岁妇女,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,"平均活产
子女数","平均存活
子女数"
  新邱区,7181,3518,3663,1211,672,539,5082,2531,2551,312,164,148,576,151,425,0.99,0.98
  太平区,14697,7275,7422,2517,1447,1070,10400,5195,5205,705,357,348,1075,276,799,0.91,0.90
  清河门区,5221,2565,2656,711,415,296,3908,1962,1946,172,80,92,430,108,322,1.16,1.15
  细河区,18626,9321,9305,4461,2606,1855,12646,6250,6396,556,226,330,963,239,724,0.87,0.86
  阜新蒙古族自治县,57747,29191,28556,8390,5089,3301,45057,22459,22598,668,458,210,3632,1185,2447,1.33,1.31
  彰武县,31788,15960,15828,3864,2304,1560,25546,12735,12811,418,268,150,1960,653,1307,1.31,1.30
辽阳市,155476,78078,77398,25848,15021,10827,116098,57840,58258,4799,2594,2205,8731,2623,6108,1.14,1.13
  白塔区,19643,9427,10216,3926,2018,1908,13675,6735,6940,878,375,503,1164,299,865,0.88,0.87
  文圣区,16291,7886,8405,2601,1369,1232,11863,5881,5982,818,386,432,1009,250,759,0.92,0.92
  宏伟区,12624,6332,6292,2191,1293,898,9321,4641,4680,505,233,272,607,165,442,1.00,0.99
  弓长岭区,7495,3769,3726,1038,629,409,5530,2776,2754,386,209,177,541,155,386,1.09,1.09
  太子河区,11542,5832,5710,2182,1301,881,8434,4199,4235,344,178,166,582,154,428,1.08,1.07
  辽阳县,47173,24188,22985,7882,4789,3093,35562,17824,17738,976,642,334,2753,933,1820,1.27,1.26
  灯塔市,40708,20644,20064,6028,3622,2406,31713,15784,15929,892,571,321,2075,667,1408,1.27,1.26
盘锦市,113041,55881,57160,18551,10200,8351,86763,43060,43703,2699,1209,1490,5028,1412,3616,1.10,1.09
  双台子区,17378,8501,8877,2830,1547,1283,13185,6528,6657,595,228,367,768,198,570,1.00,0.99
  兴隆台区,38939,19106,19833,6194,3329,2865,30243,15046,15197,1213,452,761,1289,279,1010,0.99,0.99
  大洼县,32728,16330,16398,5646,3138,2508,24917,12360,12557,536,316,220,1629,516,1113,1.17,1.16
  盘山县,23996,11944,12052,3881,2186,1695,18418,9126,9292,355,213,142,1342,419,923,1.26,1.25
铁岭市,235508,118831,116677,37343,21653,15690,178367,88910,89457,6227,3534,2693,13571,4734,8837,1.21,1.20
  银州区,32184,15946,16238,5638,3087,2551,23469,11711,11758,1393,639,754,1684,509,1175,0.92,0.92
  清河区,7823,3955,3868,1212,728,484,5954,2977,2977,208,107,101,449,143,306,1.17,1.16
  铁岭县,28922,14868,14054,4945,2940,2005,21805,10966,10839,535,375,160,1637,587,1050,1.28,1.27
  西丰县,24910,12622,12288,4601,2609,1992,18239,9077,9162,632,404,228,1438,532,906,1.25,1.23
  昌图县,72872,36525,36347,9099,5370,3729,58534,29008,29526,1035,676,359,4204,1471,2733,1.35,1.34
  调兵山市,20744,10430,10314,3595,2044,1551,15122,7549,7573,850,439,411,1177,398,779,1.02,1.02
  开原市,48053,24485,23568,8253,4875,3378,35244,17622,17622,1574,894,680,2982,1094,1888,1.23,1.22
朝阳市,254694,126474,128220,40457,23224,17233,195448,96130,99318,3393,1970,1423,15396,5150,10246,1.31,1.30
  双塔区,34760,17019,17741,6447,3409,3038,25841,12819,13022,865,340,525,1607,451,1156,0.99,0.98
  龙城区,16647,8421,8226,2704,1598,1106,12771,6372,6399,238,147,91,934,304,630,1.27,1.26
  朝阳县,39932,20109,19823,6977,4117,2860,29986,14687,15299,327,243,84,2642,1062,1580,1.48,1.46
  建平县,42942,21176,21766,6321,3561,2760,33573,16521,17052,477,287,190,2571,807,1764,1.38,1.36
  喀喇沁左翼蒙古族自治县,30708,15078,15630,4403,2627,1776,24013,11565,12448,275,184,91,2017,702,1315,1.38,1.37
  北票市,43717,21775,21942,6209,3557,2652,33926,16839,17087,680,438,242,2902,941,1961,1.24,1.22
  凌源市,45988,22896,23092,7396,4355,3041,35338,17327,18011,531,331,200,2723,883,1840,1.38,1.37
葫芦岛市,216316,108227,108089,37779,22167,15612,161774,79796,81978,3969,2113,1856,12794,4151,8643,1.27,1.26
  连山区,51101,25107,25994,8144,4587,3557,38103,18869,19234,1526,696,830,3328,955,2373,1.11,1.10
  龙港区,20388,10242,10146,3520,2132,1388,15626,7730,7896,466,185,281,776,195,581,0.98,0.97
  南票区,9580,4756,4824,1220,700,520,7470,3734,3736,202,135,67,688,187,501,1.32,1.31
  绥中县,48125,24608,23517,8670,5266,3404,36120,17977,18143,662,412,250,2673,953,1720,1.34,1.33
  建昌县,41333,20672,20661,7843,4837,3006,30301,14584,15717,410,302,108,2779,949,1830,1.58,1.57
  兴城市,45789,22842,22947,8382,4645,3737,34154,16902,17252,703,383,320,2550,912,1638,1.21,1.21
,,,,,,,,,,,,,,,,,
吉林省,2235899,1121232,1114667,434799,245438,189361,1613578,801539,812039,64446,34803,29643,123076,39452,83624,1.15,1.14
长春市,657801,329075,328726,153388,83692,69696,456602,226637,229965,15374,7771,7603,32437,10975,21462,1.05,1.05
  南关区,77453,37429,40024,25366,12565,12801,46776,23214,23562,1980,830,1150,3331,820,2511,0.71,0.70
  宽城区,57804,29043,28761,11990,6774,5216,41207,20558,20649,1698,847,851,2909,864,2045,1.01,1.01
  朝阳区,68754,34761,33993,23487,13031,10456,40444,20044,20400,1851,813,1038,2972,873,2099,0.70,0.70
  二道区,51693,25305,26388,11601,5933,5668,36221,17926,18295,1427,696,731,2444,750,1694,0.95,0.95
  绿园区,72836,36576,36260,16261,9230,7031,51057,25437,25620,2181,957,1224,3337,952,2385,0.86,0.86
  双阳区,33152,16560,16592,7370,4002,3368,23348,11528,11820,758,412,346,1676,618,1058,1.14,1.13
  农安县,83499,42311,41188,18091,9862,8229,60167,29959,30208,1258,792,466,3983,1698,2285,1.25,1.24
  九台巿,53458,26978,26480,10073,5830,4243,38859,19281,19578,1364,760,604,3162,1107,2055,1.27,1.25
  榆树市,94866,47749,47117,16421,9456,6965,71151,35187,35964,1907,1112,795,5387,1994,3393,1.32,1.31
  德惠市,64286,32363,31923,12728,7009,5719,47372,23503,23869,950,552,398,3236,1299,1937,1.31,1.30
吉林市,355547,178178,177369,66978,38716,28262,255316,126645,128671,12210,6569,5641,21043,6248,14795,1.13,1.12
  昌邑区,57786,28528,29258,11094,6285,4809,40756,20186,20570,2497,1198,1299,3439,859,2580,0.95,0.94
  龙潭区,40476,20440,20036,8502,5139,3363,27773,13732,14041,1715,898,817,2486,671,1815,1.02,1.01
  船营区,38327,19079,19248,8225,4723,3502,26191,12956,13235,1651,780,871,2260,620,1640,0.96,0.96
  丰满区,25747,12322,13425,6216,3008,3208,17455,8623,8832,765,368,397,1311,323,988,0.91,0.90
  永吉县,31640,16014,15626,5906,3529,2377,23110,11402,11708,770,454,316,1854,629,1225,1.24,1.23
  蛟河市,37420,18908,18512,6351,3828,2523,27509,13635,13874,1171,696,475,2389,749,1640,1.26,1.25
  桦甸市,33637,17098,16539,6009,3578,2431,24837,12388,12449,887,538,349,1904,594,1310,1.31,1.30
  舒兰巿,54683,27617,27066,9041,5246,3795,40297,20063,20234,1989,1150,839,3356,1158,2198,1.22,1.21
  磐石市,35831,18172,17659,5634,3380,2254,27388,13660,13728,765,487,278,2044,645,1399,1.38,1.36
四平市,279287,139667,139620,50294,27679,22615,208262,103149,105113,6359,3595,2764,14372,5244,9128,1.19,1.18
  铁西区,23249,10958,12291,5645,2437,3208,15813,7826,7987,789,380,409,1002,315,687,0.83,0.83
  铁东区,28901,14477,14424,4912,2813,2099,21312,10601,10711,1038,524,514,1639,539,1100,1.04,1.03
  梨树县,62126,31242,30884,9120,5259,3861,48706,24160,24546,1216,716,500,3084,1107,1977,1.33,1.31
  伊通满族自治县,38673,19687,18986,6678,4016,2662,29235,14418,14817,807,511,296,1953,742,1211,1.26,1.24
  公主岭市,92606,46280,46326,18963,10238,8725,67138,33194,33944,1827,1036,791,4678,1812,2866,1.19,1.19
  双辽市,33732,17023,16709,4976,2916,2060,26058,12950,13108,682,428,254,2016,729,1287,1.23,1.22
辽源市,103583,52340,51243,17654,10423,7231,76095,37740,38355,3639,2114,1525,6195,2063,4132,1.19,1.17
  龙山区,24510,11949,12561,3950,2162,1788,17989,8872,9117,1154,534,620,1417,381,1036,1.04,1.03
  西安区,14472,7435,7037,3137,1878,1259,9390,4692,4698,956,550,406,989,315,674,0.96,0.96
  东丰县,31747,16215,15532,4994,3006,1988,24121,12031,12090,816,524,292,1816,654,1162,1.30,1.29
  东辽县,32854,16741,16113,5573,3377,2196,24595,12145,12450,713,506,207,1973,713,1260,1.28,1.26
通化市,191885,97226,94659,35350,20746,14604,138969,69283,69686,6501,3567,2934,11065,3630,7435,1.18,1.17
  东昌区,29663,14491,15172,5458,2911,2547,21212,10500,10712,1265,597,668,1728,483,1245,0.93,0.93
  二道江区,12518,6291,6227,2115,1282,833,9001,4499,4502,576,286,290,826,224,602,1.04,1.03
  通化县,19954,10169,9785,3788,2271,1517,14347,7167,7180,641,357,284,1178,374,804,1.30,1.28
  辉南县,28758,14738,14020,4814,2891,1923,21309,10702,10607,950,564,386,1685,581,1104,1.26,1.25
  柳河县,30824,15777,15047,6606,3969,2637,21667,10710,10957,884,536,348,1667,562,1105,1.30,1.29
  梅河口市,51123,26053,25070,9214,5335,3879,37675,18820,18855,1499,860,639,2735,1038,1697,1.19,1.18
  集安市,19045,9707,9338,3355,2087,1268,13758,6885,6873,686,367,319,1246,368,878,1.20,1.19
白山市,106989,54055,52934,18051,10826,7225,76235,38206,38029,5373,2916,2457,7330,2107,5223,1.19,1.18
  浑江区,30634,15257,15377,5765,3277,2488,20714,10369,10345,2096,1034,1062,2059,577,1482,1.03,1.02
  江源区,20561,10525,10036,3530,2186,1344,14116,7106,7010,1202,688,514,1713,545,1168,1.16,1.15
  抚松县,25583,12909,12674,3887,2353,1534,19209,9614,9595,877,501,376,1610,441,1169,1.31,1.29
  靖宇县,11081,5714,5367,1962,1219,743,8074,4058,4016,417,235,182,628,202,426,1.41,1.39
  长白朝鲜族自治县,6059,3090,2969,855,536,319,4665,2340,2325,195,119,76,344,95,249,1.28,1.27
  临江市,13071,6560,6511,2052,1255,797,9457,4719,4738,586,339,247,976,247,729,1.21,1.20
松原市,210848,105507,105341,35334,19960,15374,162286,80413,81873,3142,1760,1382,10086,3374,6712,1.31,1.30
  宁江区,49341,24303,25038,8912,4850,4062,37224,18408,18816,1041,467,574,2164,578,1586,1.09,1.09
  前郭尔罗斯蒙古族自治县,42007,21022,20985,6618,3734,2884,32781,16260,16521,534,315,219,2074,713,1361,1.36,1.35
  长岭县,46979,23819,23160,8731,5007,3724,35471,17621,17850,600,379,221,2177,812,1365,1.45,1.44
  乾安县,20770,10424,10346,3507,2023,1484,15994,7876,8118,355,203,152,914,322,592,1.27,1.26
  扶余县,51751,25939,25812,7566,4346,3220,40816,20248,20568,612,396,216,2757,949,1808,1.38,1.37
白城市,154727,77637,77090,22385,13092,9293,119940,59691,60249,3577,1918,1659,8825,2936,5889,1.23,1.22
  洮北区,39967,19713,20254,5931,3323,2608,30760,15260,15500,1001,487,514,2275,643,1632,1.13,1.12
  镇赉县,20502,10360,10142,2503,1504,999,16546,8282,8264,360,204,156,1093,370,723,1.27,1.26
  通榆县,29717,14993,14724,4661,2778,1883,22764,11290,11474,663,368,295,1629,557,1072,1.26,1.25
  洮南市,37716,19052,18664,5874,3450,2424,28408,14190,14218,1056,586,470,2378,826,1552,1.25,1.24
  大安市,26825,13519,13306,3416,2037,1379,21462,10669,10793,497,273,224,1450,540,910,1.27,1.25
延边朝鲜族自治州,175232,87547,87685,35365,20304,15061,119873,59775,60098,8271,4593,3678,11723,2875,8848,1.09,1.09
  延吉市,46490,22607,23883,11284,6023,5261,30215,14909,15306,2318,1161,1157,2673,514,2159,0.93,0.92
  图们市,9840,4885,4955,2013,1152,861,6361,3186,3175,633,342,291,833,205,628,0.96,0.96
  敦化市,36977,18596,18381,5919,3511,2408,27520,13717,13803,1274,709,565,2264,659,1605,1.24,1.23
  珲春市,17517,8873,8644,3174,1890,1284,12505,6283,6222,788,459,329,1050,241,809,1.12,1.11
  龙井市,11832,5929,5903,2219,1321,898,7789,3892,3897,773,459,314,1051,257,794,1.10,1.10
  和龙市,14756,7486,7270,3056,1880,1176,9538,4812,4726,819,477,342,1343,317,1026,1.13,1.12
  汪清县,20333,10381,9952,3965,2385,1580,13959,7023,6936,1022,601,421,1387,372,1015,1.16,1.14
  安图县,17487,8790,8697,3735,2142,1593,11986,5953,6033,644,385,259,1122,310,812,1.19,1.18
,,,,,,,,,,,,,,,,,
黑龙江省,3037416,1525783,1511633,561872,317031,244841,2221556,1107380,1114176,88710,48105,40605,165278,53267,112011,1.15,1.14
哈尔滨市,849963,424995,424968,183561,101440,82121,595484,296313,299171,25236,13127,12109,45682,14115,31567,1.05,1.05
  道里区,76203,37304,38899,15999,8611,7388,52279,26052,26227,3186,1365,1821,4739,1276,3463,0.85,0.84
  南岗区,104633,52164,52469,32008,17786,14222,64390,31856,32534,3234,1320,1914,5001,1202,3799,0.71,0.71
  道外区,69818,34414,35404,13472,7605,5867,49223,24501,24722,2789,1274,1515,4334,1034,3300,0.89,0.89
  松北区,14826,7403,7423,2606,1554,1052,10576,5282,5294,633,295,338,1011,272,739,0.91,0.91
  香坊区,20823,10826,9997,7487,4342,3145,12239,6118,6121,293,159,134,804,207,597,0.94,0.93
  平房区,79970,39107,40863,20481,10647,9834,52323,26099,26224,2864,1291,1573,4302,1070,3232,0.79,0.78
  呼兰区,65947,32340,33607,19851,9740,10111,41617,20715,20902,1449,839,610,3030,1046,1984,0.99,0.98
  阿城区,49056,24582,24474,8450,4838,3612,36006,17887,18119,1719,915,804,2881,942,1939,1.17,1.16
  依兰县,33181,16770,16411,5711,3352,2359,24224,12049,12175,1326,766,560,1920,603,1317,1.30,1.28
  方正县,14539,7421,7118,2350,1415,935,11010,5455,5555,452,299,153,727,252,475,1.35,1.33
  宾县,38504,19345,19159,5622,3174,2448,30191,14992,15199,662,432,230,2029,747,1282,1.34,1.32
  巴彦县,44762,22326,22436,7815,4282,3533,33852,16739,17113,738,451,287,2357,854,1503,1.40,1.39
  木兰县,23624,12099,11525,4824,2802,2022,16933,8403,8530,630,415,215,1237,479,758,1.23,1.21
  通河县,17475,8834,8641,2293,1358,935,13768,6897,6871,479,301,178,935,278,657,1.29,1.28
  延寿县,16554,8552,8002,2875,1727,1148,12465,6240,6225,390,273,117,824,312,512,1.35,1.33
  双城市,67122,34404,32718,12040,7047,4993,49780,24854,24926,1626,1018,608,3676,1485,2191,1.22,1.21
  尚志市,42340,21610,20730,7827,4516,3311,31393,15709,15684,1003,642,361,2117,743,1374,1.23,1.22
  五常市,70586,35494,35092,11850,6644,5206,53215,26465,26750,1763,1072,691,3758,1313,2445,1.27,1.26
齐齐哈尔市,403562,202507,201055,69512,39108,30404,300543,149431,151112,10477,5839,4638,23030,8129,14901,1.23,1.22
  龙沙区,27814,13730,14084,6000,3271,2729,18671,9309,9362,1451,673,778,1692,477,1215,0.86,0.86
  建华区,22965,11114,11851,5988,2994,2994,14935,7434,7501,819,368,451,1223,318,905,0.78,0.78
  铁锋区,27550,14000,13550,5798,3414,2384,18423,9237,9186,1283,651,632,2046,698,1348,0.87,0.86
  昂昂溪区,6352,3207,3145,893,536,357,4822,2419,2403,233,124,109,404,128,276,1.21,1.20
  富拉尔基区,20539,10335,10204,3428,2007,1421,14849,7432,7417,866,446,420,1396,450,946,0.98,0.97
  碾子山区,5597,2779,2818,760,430,330,4149,2069,2080,259,146,113,429,134,295,1.13,1.12
  梅里斯达斡尔族区,12060,6064,5996,1480,892,588,9706,4806,4900,235,155,80,639,211,428,1.36,1.34
  龙江县,50049,25508,24541,7905,4627,3278,38229,19147,19082,1095,702,393,2820,1032,1788,1.36,1.34
  依安县,42529,21686,20843,8702,4766,3936,30637,15409,15228,1010,599,411,2180,912,1268,1.23,1.22
  泰来县,23016,11611,11405,3634,2151,1483,17732,8803,8929,357,230,127,1293,427,866,1.28,1.27
  甘南县,26866,13602,13264,3996,2358,1638,20982,10415,10567,567,348,219,1321,481,840,1.37,1.35
  富裕县,19640,9953,9687,2952,1737,1215,15338,7632,7706,363,217,146,987,367,620,1.33,1.32
  克山县,26664,13218,13446,4050,2239,1811,20764,10168,10596,420,282,138,1430,529,901,1.37,1.36
  克东县,15615,7847,7768,2044,1152,892,12418,6178,6240,292,166,126,861,351,510,1.45,1.43
  拜泉县,37111,18695,18416,7487,4034,3453,26877,13390,13487,686,429,257,2061,842,1219,1.34,1.33
  讷河市,39195,19158,20037,4395,2500,1895,32011,15583,16428,541,303,238,2248,772,1476,1.42,1.41
鸡西市,140130,71124,69006,23129,13840,9289,103468,51829,51639,5262,3029,2233,8271,2426,5845,1.16,1.15
  鸡冠区,28608,14351,14257,6003,3461,2542,19594,9757,9837,1489,688,801,1522,445,1077,0.94,0.92
  恒山区,10834,5594,5240,2023,1269,754,7450,3757,3693,566,333,233,795,235,560,1.10,1.09
  滴道区,7235,3764,3471,1322,856,466,5083,2571,2512,296,197,99,534,140,394,1.20,1.18
  梨树区,5708,2921,2787,932,572,360,4046,2031,2015,291,193,98,439,125,314,1.16,1.14
  城子河区,9924,5015,4909,1821,1065,756,6875,3442,3433,524,325,199,704,183,521,1.10,1.09
  麻山区,2101,1047,1054,346,215,131,1531,753,778,70,41,29,154,38,116,1.40,1.39
  鸡东县,19699,10091,9608,2871,1783,1088,15122,7563,7559,582,400,182,1124,345,779,1.36,1.34
  虎林市,25026,12690,12336,3311,1961,1350,19734,9927,9807,650,395,255,1331,407,924,1.18,1.17
  密山市,30995,15651,15344,4500,2658,1842,24033,12028,12005,794,457,337,1668,508,1160,1.25,1.24
鹤岗市,88580,44552,44028,14604,8423,6181,65656,32850,32806,3144,1759,1385,5176,1520,3656,1.07,1.06
  向阳区,9463,4638,4825,1708,907,801,6682,3333,3349,452,203,249,621,195,426,0.88,0.87
  工农区,12205,6037,6168,2279,1236,1043,8701,4347,4354,545,229,316,680,225,455,0.86,0.85
  南山区,10834,5426,5408,2078,1174,904,7571,3783,3788,495,278,217,690,191,499,0.97,0.97
  兴安区,6456,3258,3198,1188,697,491,4603,2305,2298,263,159,104,402,97,305,1.05,1.05
  东山区,15371,7852,7519,2759,1611,1148,11246,5644,5602,453,302,151,913,295,618,1.12,1.11
  兴山区,3445,1753,1692,648,391,257,2368,1183,1185,168,109,59,261,70,191,0.98,0.97
  萝北县,17823,8993,8830,2381,1438,943,14016,7019,6997,483,300,183,943,236,707,1.17,1.15
  绥滨县,12983,6595,6388,1563,969,594,10469,5236,5233,285,179,106,666,211,455,1.36,1.34
双鸭山市,110017,55417,54600,15864,9429,6435,84856,42367,42489,3404,1914,1490,5893,1707,4186,1.22,1.21
  尖山区,18247,8977,9270,3068,1708,1360,13266,6611,6655,874,377,497,1039,281,758,1.00,0.99
  岭东区,4330,2271,2059,842,551,291,2908,1470,1438,239,153,86,341,97,244,1.18,1.16
  四方台区,4673,2389,2284,620,402,218,3579,1805,1774,165,104,61,309,78,231,1.26,1.24
  宝山区,9632,4882,4750,1508,890,618,7129,3589,3540,379,245,134,616,158,458,1.10,1.09
  集贤县,22214,11154,11060,2634,1585,1049,17903,8928,8975,526,307,219,1151,334,817,1.35,1.34
  友谊县,8405,4246,4159,1006,615,391,6681,3319,3362,278,167,111,440,145,295,1.11,1.11
  宝清县,29988,15138,14850,4313,2563,1750,23586,11744,11842,634,373,261,1455,458,997,1.34,1.32
  饶河县,12528,6360,6168,1873,1115,758,9804,4901,4903,309,188,121,542,156,386,1.20,1.19
大庆市,239432,119542,119890,42484,23860,18624,179851,89728,90123,6035,2783,3252,11062,3171,7891,1.14,1.13
  萨尔图区,27418,13627,13791,5832,3174,2658,19486,9826,9660,954,359,595,1146,268,878,0.91,0.91
  龙凤区,29837,14857,14980,6818,3703,3115,21049,10546,10503,880,337,543,1090,271,819,0.92,0.92
  让胡路区,46406,22998,23408,7839,4386,3453,35193,17591,17602,1445,565,880,1929,456,1473,0.94,0.94
  红岗区,14858,7504,7354,2781,1585,1196,10895,5553,5342,477,208,269,705,158,547,1.03,1.03
  大同区,18821,9351,9470,2996,1687,1309,14506,7218,7288,421,196,225,898,250,648,1.31,1.30
  肇州县,32458,16365,16093,5351,3049,2302,24888,12362,12526,637,388,249,1582,566,1016,1.35,1.34
  肇源县,31333,15654,15679,5291,3027,2264,23823,11749,12074,571,332,239,1648,546,1102,1.35,1.33
  林甸县,18467,9234,9233,2547,1428,1119,14789,7322,7467,263,164,99,868,320,548,1.38,1.37
  杜尔伯特蒙古族自治县,19834,9952,9882,3029,1821,1208,15222,7561,7661,387,234,153,1196,336,860,1.28,1.26
伊春市,92114,46066,46048,13952,8035,5917,68000,34143,33857,3673,2061,1612,6489,1827,4662,1.08,1.08
  伊春区,11656,5649,6007,2179,1151,1028,8228,4092,4136,514,229,285,735,177,558,0.93,0.93
  南岔区,10511,5214,5297,1678,942,736,7538,3783,3755,478,252,226,817,237,580,1.01,1.01
  友好区,4778,2365,2413,796,425,371,3435,1728,1707,160,99,61,387,113,274,0.97,0.96
  西林区,5009,2529,2480,775,454,321,3808,1899,1909,187,105,82,239,71,168,1.02,1.01
  翠峦区,3554,1788,1766,662,402,260,2364,1185,1179,216,120,96,312,81,231,1.02,1.01
  新青区,3649,1820,1829,576,342,234,2604,1304,1300,181,105,76,288,69,219,1.04,1.03
  美溪区,3507,1855,1652,443,261,182,2770,1462,1308,56,33,23,238,99,139,0.93,0.93
  金山屯区,3311,1669,1642,606,356,250,2261,1147,1114,183,95,88,261,71,190,1.01,1.01
  五营区,3098,1552,1546,389,227,162,2294,1165,1129,180,101,79,235,59,176,1.06,1.05
  乌马河区,2726,1359,1367,378,231,147,2093,1046,1047,77,42,35,178,40,138,1.14,1.14
  汤旺河区,2609,1323,1286,349,212,137,1902,961,941,145,83,62,213,67,146,1.09,1.08
  带岭区,2819,1387,1432,413,235,178,2045,1015,1030,138,82,56,223,55,168,1.04,1.03
  乌伊岭区,1760,875,885,250,144,106,1266,632,634,91,56,35,153,43,110,1.06,1.05
  红星区,1753,885,868,192,127,65,1227,611,616,120,79,41,214,68,146,1.20,1.19
  上甘岭区,1745,857,888,184,108,76,1313,660,653,63,39,24,185,50,135,1.06,1.06
  嘉荫县,5400,2737,2663,623,390,233,4340,2176,2164,144,90,54,293,81,212,1.42,1.41
  铁力市,24229,12202,12027,3459,2028,1431,18512,9277,9235,740,451,289,1518,446,1072,1.19,1.18
佳木斯市,214508,108283,106225,38274,21690,16584,158032,78994,79038,6959,3786,3173,11243,3813,7430,1.17,1.16
  向阳区,20376,9930,10446,4824,2510,2314,13651,6767,6884,840,377,463,1061,276,785,0.84,0.83
  前进区,14108,7000,7108,2581,1395,1186,10269,5158,5111,548,252,296,710,195,515,0.87,0.87
  东风区,13971,7037,6934,2856,1541,1315,9588,4839,4749,705,381,324,822,276,546,0.92,0.92
  郊区,25775,13004,12771,5069,2807,2262,18273,9146,9127,985,562,423,1448,489,959,1.10,1.10
  桦南县,39335,19891,19444,7511,4283,3228,28548,14181,14367,1182,698,484,2094,729,1365,1.27,1.26
  桦川县,17094,8758,8336,2851,1754,1097,13125,6546,6579,302,178,124,816,280,536,1.30,1.29
  汤原县,21645,10941,10704,3368,2017,1351,16055,8034,8021,820,454,366,1402,436,966,1.30,1.28
  抚远县,10040,5113,4927,1501,883,618,7975,3994,3981,203,108,95,361,128,233,1.23,1.23
  同江市,15148,7746,7402,2210,1291,919,11990,6027,5963,362,208,154,586,220,366,1.23,1.22
  富锦市,37016,18863,18153,5503,3209,2294,28558,14302,14256,1012,568,444,1943,784,1159,1.31,1.30
七台河市,69226,35191,34035,11627,6965,4662,51453,25745,25708,2526,1399,1127,3620,1082,2538,1.25,1.24
  新兴区,18873,9701,9172,3608,2178,1430,13476,6762,6714,749,465,284,1040,296,744,1.22,1.21
  桃山区,17772,8826,8946,3136,1782,1354,13168,6563,6605,710,304,406,758,177,581,1.08,1.07
  茄子河区,10527,5483,5044,1728,1081,647,8028,4029,3999,296,199,97,475,174,301,1.37,1.35
  勃利县,22054,11181,10873,3155,1924,1231,16781,8391,8390,771,431,340,1347,435,912,1.36,1.35
牡丹江市,227074,113681,113393,43761,24736,19025,163184,81307,81877,7326,3915,3411,12803,3723,9080,1.14,1.13
  东安区,16619,8071,8548,3057,1693,1364,11846,5868,5978,730,279,451,986,231,755,0.94,0.94
  阳明区,19849,9930,9919,3633,2103,1530,14290,7122,7168,713,392,321,1213,313,900,1.14,1.13
  爱民区,21615,10396,11219,6441,3094,3347,13241,6608,6633,790,378,412,1143,316,827,0.77,0.76
  西安区,19709,9733,9976,3331,1905,1426,14281,7116,7165,822,389,433,1275,323,952,0.99,0.98
  东宁县,17230,8734,8496,2790,1683,1107,13100,6563,6537,446,247,199,894,241,653,1.30,1.29
  林口县,31373,16062,15311,6384,3775,2609,22230,11041,11189,935,591,344,1824,655,1169,1.28,1.26
  绥芬河巿,11042,5620,5422,1952,1088,864,8532,4340,4192,239,107,132,319,85,234,1.07,1.06
  海林市,28970,14556,14414,4908,2897,2011,21403,10638,10765,935,533,402,1724,488,1236,1.24,1.23
  宁安市,37459,18650,18809,6533,3753,2780,27774,13731,14043,1103,625,478,2049,541,1508,1.25,1.24
  穆棱市,23208,11929,11279,4732,2745,1987,16487,8280,8207,613,374,239,1376,530,846,1.24,1.22
黑河市,114184,57179,57005,15344,8851,6493,90232,44957,45275,2583,1471,1112,6025,1900,4125,1.25,1.23
  爱辉区,17214,8567,8647,3075,1674,1401,12819,6446,6373,504,253,251,816,194,622,1.04,1.03
  嫩江县,33395,16901,16494,3978,2446,1532,26940,13447,13493,686,405,281,1791,603,1188,1.30,1.29
  逊克县,7595,3812,3783,1023,612,411,6078,3022,3056,160,85,75,334,93,241,1.32,1.30
  孙吴县,7061,3553,3508,935,548,387,5633,2804,2829,148,82,66,345,119,226,1.34,1.33
  北安市,26420,13127,13293,3600,2017,1583,20656,10231,10425,655,381,274,1509,498,1011,1.23,1.22
  五大连池市,22499,11219,11280,2733,1554,1179,18106,9007,9099,430,265,165,1230,393,837,1.28,1.27
绥化市,448573,226939,221634,83247,46866,36381,331553,164925,166628,10383,6093,4290,23390,9055,14335,1.25,1.24
  北林区,74819,37256,37563,13733,7402,6331,54839,27231,27608,2121,1154,967,4126,1469,2657,1.17,1.17
  望奎县,40816,20641,20175,7867,4419,3448,30099,14938,15161,804,492,312,2046,792,1254,1.25,1.24
  兰西县,30859,15617,15242,5147,3018,2129,23731,11744,11987,478,300,178,1503,555,948,1.41,1.40
  青冈县,40251,20487,19764,8432,4639,3793,28821,14360,14461,968,579,389,2030,909,1121,1.22,1.21
  庆安县,31233,15870,15363,5315,3062,2253,23810,11850,11960,618,345,273,1490,613,877,1.21,1.21
  明水县,26683,13638,13045,4830,2826,2004,19911,9918,9993,591,356,235,1351,538,813,1.38,1.36
  绥棱县,25690,13045,12645,4247,2473,1774,19587,9713,9874,619,370,249,1237,489,748,1.24,1.23
  安达市,33625,16985,16640,5550,3243,2307,25491,12696,12795,774,424,350,1810,622,1188,1.24,1.23
  肇东市,78149,39668,38481,15276,8554,6722,57088,28454,28634,1807,1086,721,3978,1574,2404,1.23,1.22
  海伦市,66448,33732,32716,12850,7230,5620,48176,24021,24155,1603,987,616,3819,1494,2325,1.29,1.28
大兴安岭地区,40053,20307,19746,6513,3788,2725,29244,14791,14453,1702,929,773,2594,799,1795,1.14,1.13
