首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,,,,,,,单位：人
地    区,"16岁及以上
人口总计","各种行业人口
总计",,,,,,,,,,,,,,,,,,,,,三次产业人口占行业人口比重(%),,
,,,农林牧渔业,采矿业,制造业,"电力、燃气
及水的生产
和供应业",建筑业,仓储和邮政业,"交通运输、
计算机服务
和软件业","信息传输、
批发和零售业",住宿和餐饮业,金融业,房地产业,"租赁和
商务服务业","科学研究、
技术服务和
地质勘察业","水利、环境
和公共设施
管理业","居民服务和
其他服务业",教育,"卫生、社会
保障和社会
福利业","文化、体育
和娱乐业","公共管理和
社会组织",国际组织,第一产业,第二产业,第三产业
  静海县,50940,31478,13801,29,8880,179,793,1216,193,2179,634,330,42,109,82,99,420,734,383,77,1298,,43.84,31.39,24.77
  蓟县,63915,45347,23420,146,5590,437,4254,3355,120,2716,791,321,124,135,55,290,895,1044,495,88,1071,,51.65,22.99,25.36
,,,,,,,,,,,,,,,,,,,,,,,,,
河北省,5759327,4004477,2006,52704,510753,26590,195871,131610,15151,263577,62431,25204,13263,14179,8600,9225,48544,81016,44106,9683,101488,3,59.70,19.63,20.68
石家庄市,822077,561374,286124,2213,87844,4404,27829,21680,3898,50442,9781,5630,3686,3315,2989,1759,8022,13719,7674,2666,17699,,50.97,21.78,27.25
  长安区,39692,23149,920,23,6742,316,2076,1112,432,5165,808,455,553,486,380,148,500,952,621,411,1049,,3.97,39.56,56.47
  桥东区,31261,17737,351,43,3482,294,555,1284,501,4986,769,689,457,337,240,222,529,909,586,237,1266,,1.98,24.66,73.36
  桥西区,49404,25641,76,18,3523,568,1177,1613,561,6621,1097,1215,705,693,919,213,670,1754,947,408,2863,,0.30,20.62,79.09
  新华区,48432,27793,584,30,5562,640,1344,2261,561,7087,1125,805,581,492,557,261,781,1588,1033,356,2145,,2.10,27.26,70.64
  井陉矿区,7673,3973,113,676,1610,50,163,215,27,293,116,46,11,23,10,20,115,124,101,18,242,,2.84,62.90,34.26
  裕华区,52012,26816,944,44,6050,776,2730,1428,722,4700,772,670,837,554,618,327,741,1837,813,655,1598,,3.52,35.80,60.68
  井陉县,24795,16964,8990,488,2691,148,731,1015,65,1081,367,123,11,50,17,18,249,287,181,20,432,,52.99,23.92,23.08
  正定县,38532,25417,11121,34,5267,128,2080,1580,101,2087,548,131,83,157,21,42,551,530,386,50,520,,43.75,29.54,26.70
  栾城县,29357,20547,8033,1,5313,163,1845,875,84,1780,343,102,100,78,24,34,501,433,221,48,569,,39.10,35.64,25.27
  行唐县,31483,25900,22028,43,609,39,495,328,45,918,154,62,2,33,1,15,183,397,143,17,388,,85.05,4.58,10.37
  灵寿县,26010,18780,14991,82,1334,50,222,298,50,537,212,58,6,19,9,25,147,244,151,27,318,,79.82,8.99,11.19
  高邑县,15157,10728,4753,17,3069,35,497,583,26,734,161,57,12,5,2,24,175,218,83,5,272,,44.30,33.72,21.97
  深泽县,19331,14487,8235,60,2807,33,1156,381,21,790,88,64,4,18,4,66,207,186,82,26,259,,56.84,28.00,15.16
  赞皇县,20104,16040,13780,21,394,26,271,289,23,379,125,30,5,12,3,4,92,189,87,5,305,,85.91,4.44,9.65
  无极县,39523,29159,19888,6,4055,80,1496,480,24,1186,430,109,1,13,7,5,189,369,204,37,580,,68.21,19.33,12.46
  平山县,34281,26542,19187,194,2078,195,732,588,74,1000,519,99,38,45,11,45,294,383,250,85,725,,72.29,12.05,15.66
  元氏县,33543,24494,18143,16,2004,60,795,1276,41,770,183,69,8,19,2,9,192,352,157,11,387,,74.07,11.74,14.19
  赵县,46433,35742,27132,4,3044,87,1401,727,52,1183,190,101,20,21,7,6,207,575,294,12,679,,75.91,12.69,11.40
  辛集市,51736,39820,28473,184,5673,107,698,579,91,1541,292,152,34,58,14,46,297,490,318,37,736,,71.50,16.73,11.77
  藁城市,64348,46619,29865,22,6910,200,2950,1637,188,2181,492,188,36,12,24,22,363,545,302,62,620,,64.06,21.63,14.31
  晋州市,45319,33741,19232,81,8656,97,1061,845,48,1841,232,113,12,28,30,26,351,365,184,28,511,,57.00,29.33,13.67
  新乐市,37724,28153,20683,15,2517,60,1123,813,39,1129,220,95,12,39,33,14,253,416,221,17,454,,73.47,13.20,13.34
  鹿泉市,35927,23132,8602,111,4454,252,2231,1473,122,2453,538,197,158,123,56,167,435,576,309,94,781,,,,
