首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,,,,,,,单位：人
地    区,"16岁及以上
人口总计","各种行业人口
总计",,,,,,,,,,,,,,,,,,,,,三次产业人口占行业人口比重(%),,
,,,农林牧渔业,采矿业,制造业,"电力、燃气
及水的生产
和供应业",建筑业,仓储和邮政业,"交通运输、
计算机服务
和软件业","信息传输、
批发和零售业",住宿和餐饮业,金融业,房地产业,"租赁和
商务服务业","科学研究、
技术服务和
地质勘察业","水利、环境
和公共设施
管理业","居民服务和
其他服务业",教育,"卫生、社会
保障和社会
福利业","文化、体育
和娱乐业","公共管理和
社会组织",国际组织,第一产业,第二产业,第三产业
  丰县,74799,54718,30459,189,9657,109,3539,1720,94,4864,889,184,65,109,18,91,675,951,403,49,653,,55.67,24.66,19.67
  沛县,84884,60101,28057,1161,9892,355,6719,1956,177,5460,1143,322,82,227,41,254,1127,1385,661,150,932,,46.68,30.16,23.16
  铜山县,86017,61915,30825,1291,9272,342,5529,2690,176,4587,1515,232,155,371,33,741,1719,1271,400,107,659,,49.79,26.54,23.67
  睢宁县,79796,57152,15920,39,16002,156,5221,1889,140,12046,1625,169,174,277,13,82,1229,1099,390,72,609,,27.86,37.48,34.67
  新沂市,72678,51784,28434,294,6988,205,4722,1763,199,4752,867,176,78,133,21,110,841,883,462,52,804,,54.91,23.58,21.51
  邳州市,111247,83738,44902,1104,15378,304,2927,1777,122,12552,592,215,79,128,22,131,659,1339,563,70,874,,53.62,23.54,22.84
常州市,389440,268447,32213,452,121984,1867,24176,9861,1710,33512,8282,2683,2753,2850,790,1631,6549,5881,3020,1541,6692,,12.00,55.31,32.69
  天宁区,43838,25885,58,20,9519,381,1699,1473,363,5129,1211,690,613,729,190,209,696,897,739,220,1049,,0.22,44.89,54.89
  钟楼区,41685,24529,62,17,8526,237,1872,1319,377,4798,1334,607,734,593,174,235,845,899,513,389,998,,0.25,43.43,56.32
  戚墅堰区,9197,5577,79,4,3525,76,292,193,44,543,121,60,76,25,14,67,115,112,83,28,120,,1.42,69.88,28.71
  新北区,50911,36043,2130,,20112,181,2919,1198,243,4051,1093,263,435,335,127,241,828,654,264,284,685,,5.91,64.40,29.69
  武进区,133943,98340,9435,82,55567,450,6886,3169,347,11260,2003,544,558,770,183,444,2229,1721,648,302,1742,,9.59,64.05,26.36
  溧阳市,62525,44494,12287,191,12403,315,6593,1454,188,4691,1707,288,207,225,44,240,1052,911,437,125,1136,,27.61,43.83,28.55
  金坛市,47341,33579,8162,138,12332,227,3915,1055,148,3040,813,231,130,173,58,195,784,687,336,193,962,,24.31,49.47,26.22
苏州市,905564,662820,25579,352,379833,4318,40695,22124,4592,78775,19825,5966,8943,9460,2348,6010,15542,11588,6387,4464,16019,,3.86,64.15,31.99
  沧浪区,34319,18982,38,13,4413,277,1284,863,454,3892,1147,756,619,829,379,208,656,1001,605,399,1149,,0.20,31.54,68.26
  平江区,83521,56711,457,24,30631,261,3031,2072,878,7140,2036,748,1732,1319,399,653,1234,1485,611,446,1554,,0.81,59.86,39.33
  金阊区,25056,15074,66,17,5108,182,1117,922,250,3024,762,392,396,618,122,156,495,457,281,170,539,,0.44,42.62,56.95
  虎丘区,49589,34674,619,151,19698,259,2430,1272,330,3856,968,329,748,534,210,521,718,861,311,205,654,,1.79,65.00,33.22
  吴中区,99998,73971,5518,18,39210,399,5415,2045,346,9171,2530,570,1054,712,195,742,1619,1274,492,688,1973,,7.46,60.89,31.65
  相城区,59949,45916,1086,58,27720,283,2543,1905,201,6687,1051,235,293,333,50,483,1048,610,319,235,776,,2.37,66.65,30.98
  常熟市,133726,105188,4376,13,61540,680,6716,3198,370,14453,3041,702,515,1085,193,780,2253,1634,971,580,2088,,4.16,65.55,30.29
  张家港市,107091,75343,4838,39,43563,524,5332,2527,413,6549,1741,632,276,1560,284,581,2201,1237,813,404,1829,,6.42,65.64,27.93
  昆山市,140462,109434,1873,,69255,493,5718,3161,886,11524,3440,732,1870,1708,318,1052,2082,1303,968,754,2297,,1.71,68.96,29.33
  吴江市,110071,82120,3911,18,53878,497,4258,2254,265,7897,1734,472,443,438,101,498,1645,1053,563,300,1895,,4.76,71.42,23.82
  太仓巿,61782,45407,2797,1,24817,463,2851,1905,199,4582,1375,398,997,324,97,336,1591,673,453,283,1265,,6.16,61.96,31.88
南通市,630094,461190,124934,112,158320,2659,52179,13574,1925,49641,9343,2889,2059,3717,708,1542,15360,8261,4478,1023,8466,,27.09,46.24,26.67
  崇川区,73915,44519,1348,7,17682,688,2425,2360,720,7876,1740,969,792,732,331,404,1003,1856,1107,378,2101,,3.03,46.73,50.25
  港闸区,23951,15365,1160,2,7551,80,1311,1051,108,2270,321,106,78,111,15,94,398,264,150,44,251,,7.55,58.21,34.24
  通州区,101058,80801,24906,3,29878,356,10541,1613,239,6971,758,349,151,255,53,228,1561,1198,597,61,1083,,30.82,50.47,18.71
  海安县,77496,57859,16932,24,22030,254,6240,1503,237,5148,879,345,222,190,80,219,937,1029,485,119,986,,29.26,49.34,21.40
  如东县,86765,69174,20563,19,21329,289,8157,2187,161,8163,1868,293,103,160,59,175,3328,894,484,85,857,,29.73,43.07,27.20
  启东市,81658,56805,16832,11,18831,343,7362,1415,118,5466,620,302,135,141,52,97,2722,918,487,73,880,,29.63,46.73,23.64
  如皋市,110274,79264,24289,36,25697,293,10412,2393,185,7865,1870,267,251,295,87,134,1833,1155,696,162,1344,,30.64,45.97,23.39
  海门市,74977,57403,18904,10,15322,356,5731,1052,157,5882,1287,258,327,1833,31,191,3578,947,472,101,964,,32.93,37.31,29.75
连云港市,331426,228768,83004,1428,43756,1644,24867,10017,1061,28675,8024,1369,1731,1793,536,711,6390,5563,2812,581,4806,,36.28,31.34,32.38
  连云区,18778,10616,560,307,2388,260,1056,2189,92,1428,470,153,150,164,40,145,270,324,188,48,384,,5.28,37.78,56.94
  新浦区,43331,23811,3846,238,3540,532,1794,1557,378,4171,1087,638,687,371,271,267,882,1270,629,267,1386,,16.15,25.64,58.21
  海州区,18833,13198,3898,95,2673,218,1973,679,96,1763,408,77,92,84,22,32,324,327,151,30,256,,29.53,37.57,32.89
  赣榆县,73008,52477,19590,155,11146,153,8142,1607,89,5547,1304,153,65,109,20,75,1834,1186,416,78,808,,37.33,37.34,25.33
  东海县,73149,51665,19682,353,9670,152,5641,1377,96,7578,2754,173,387,135,56,70,1149,1127,456,40,769,,38.10,30.61,31.29
  灌云县,59873,43724,19532,275,7979,171,3042,1549,149,5933,1335,75,115,290,108,55,1486,661,328,70,571,,44.67,26.23,29.10
  灌南县,44454,33277,15896,5,6360,158,3219,1059,161,2255,666,100,235,640,19,67,445,668,644,48,632,,47.77,29.28,22.96
淮安市,377582,259823,84561,772,49060,1466,28202,10559,1036,36297,9811,1395,1090,3975,246,832,14941,6401,2797,594,5788,,32.55,30.60,36.86
  清河区,41833,23081,1281,26,6640,222,2061,1118,363,4749,1319,441,347,333,68,203,777,1230,447,129,1327,,5.55,38.77,55.68
  楚州区,76797,53271,20066,4,9859,188,6722,2090,146,7141,2279,188,129,125,17,164,1498,1105,462,118,970,,37.67,31.49,30.85
  淮阴区,61201,43989,15614,63,7259,189,6986,1903,169,4460,1178,201,163,509,33,146,2788,1008,507,65,748,,35.50,32.96,31.55
  清浦区,25381,15477,2868,26,2867,326,1372,831,135,2518,775,182,203,362,54,92,1427,515,326,46,552,,18.53,29.66,51.81
  涟水县,66486,47582,18869,20,6447,135,4795,1128,71,6885,1131,74,63,1159,18,38,4772,950,370,44,613,,39.66,23.95,36.39
  洪泽县,27557,19285,6895,202,4538,158,2115,850,70,1928,907,74,43,60,20,79,422,388,163,31,342,,35.75,36.37,27.88
  盱眙县,51647,37639,11796,237,6254,133,2399,2192,55,6763,1627,104,84,1358,23,70,2627,875,339,78,625,,31.34,23.97,44.69
  金湖县,26680,19499,7172,194,5196,115,1752,447,27,1853,595,131,58,69,13,40,630,330,183,83,611,,36.78,37.22,26.00
盐城市,569460,422540,148434,781,101802,2166,26754,21521,1438,47985,16154,2245,1138,1198,504,1157,29406,7495,4073,1128,7161,,35.13,31.12,33.75
  亭湖区,72950,47866,7187,34,12379,537,3920,3023,434,8270,2459,675,403,299,170,277,3817,1574,773,244,1391,,15.01,35.24,49.74
  盐都区,55421,39950,10128,22,11512,192,3920,2039,158,4821,1615,273,164,182,70,112,2839,649,392,143,719,,25.35,39.16,35.48
  响水县,37516,27028,10505,274,5726,200,1667,1502,62,2908,952,88,52,78,29,66,1737,493,262,48,379,,38.87,29.11,32.03
  滨海县,68945,51707,22376,311,10680,186,2484,2713,76,5139,1948,114,86,67,6,172,3490,803,390,67,599,,43.27,26.42,30.31
  阜宁县,66272,48373,19890,27,10890,141,3115,2322,164,4390,1837,178,81,71,49,78,3274,681,358,204,623,,41.12,29.30,29.58
  射阳县,68112,53379,21788,47,11094,229,1770,2736,164,6099,2298,224,41,58,28,74,4674,879,436,81,659,,40.82,24.62,34.57
  建湖县,55704,39046,13495,5,11551,205,3243,1592,91,3644,1085,239,88,118,17,121,1675,736,387,77,677,,34.56,38.43,27.01
  东台市,84874,66924,25075,53,15942,268,4380,3351,169,7554,2203,222,88,209,59,83,4532,970,560,129,1077,,37.47,30.85,31.69
  大丰市,59666,48267,17990,8,12028,208,2255,2243,120,5160,1757,232,135,116,76,174,3368,710,515,135,1037,,37.27,30.04,32.69
扬州市,382482,254939,54174,1229,85470,2029,31321,9371,1396,27811,8406,2142,1685,1686,630,1230,9036,6171,3090,1248,6814,,21.25,47.09,31.66
  广陵区,29803,16564,409,39,5092,251,973,913,251,4052,890,293,368,272,120,103,626,605,369,184,754,,2.47,38.37,59.16
  邗江区,50199,30803,2503,42,14934,205,4126,978,153,2709,788,328,338,167,110,121,1081,851,301,164,904,,8.13,62.68,29.20
  维扬区,40554,24389,1131,295,9160,444,2262,936,292,3271,1036,441,383,390,203,228,949,1154,470,257,1087,,4.64,49.86,45.50
  宝应县,62154,45472,18927,15,8997,243,4481,1251,186,5663,945,207,126,279,40,101,1470,977,475,116,973,,41.62,30.21,28.17
  仪征市,48993,32152,4511,184,11891,282,6102,1303,149,2567,957,253,100,202,67,187,1519,616,356,148,758,,14.03,57.41,28.56
  高邮市,63722,47594,12810,28,15621,206,4754,2013,111,4928,2429,229,138,128,18,180,1464,891,431,154,1061,,26.92,43.30,29.78
  江都市,87057,57965,13883,626,19775,398,8623,1977,254,4621,1361,391,232,248,72,310,1927,1077,688,225,1277,,23.95,50.76,25.29
镇江市,261785,177326,23897,588,68406,1927,18445,7940,1261,21688,7044,1998,1537,1595,380,876,6441,4420,2143,1049,5691,,13.48,50.40,36.13
  京口区,50733,30093,1381,97,9053,755,4099,1838,388,4278,1370,653,577,475,159,227,726,1503,700,282,1532,,4.59,46.54,48.88
  润州区,24451,14653,648,188,3979,298,1172,1081,256,2698,871,285,354,246,130,153,477,491,318,171,837,,4.42,38.47,57.11
  丹徒区,25887,18392,4065,147,6667,133,1737,673,66,2102,625,76,83,59,9,42,1141,257,123,32,355,,22.10,47.22,30.68
  丹阳市,82681,59906,6482,5,30051,346,4166,2222,281,7240,1778,538,323,539,45,252,2423,1097,517,372,1229,,10.82,57.70,31.48
  扬中市,28430,19970,1436,14,10235,134,1440,747,125,2165,910,232,80,127,3,27,907,408,209,58,713,,7.19,59.20,33.61
  句容市,49603,34312,9885,137,8421,261,5831,1379,145,3205,1490,214,120,149,34,175,767,664,276,134,1025,,28.81,42.70,28.49
泰州市,390448,277166,76883,221,87147,1543,30375,10322,1236,35943,5824,2009,1175,1312,378,900,5904,5470,3023,809,6692,,27.74,43.04,29.22
  海陵区,50020,29964,2152,93,9686,329,3571,1426,371,4906,1294,652,446,310,114,233,898,1044,584,310,1545,,7.18,45.65,47.17
  高港区,24079,16946,3774,9,6159,103,2760,613,56,1451,390,90,46,78,27,69,336,357,149,37,442,,22.27,53.29,24.44
  兴化市,103232,76550,28831,78,21257,280,4973,2270,199,12014,1234,279,174,319,58,113,1301,1121,675,136,1238,,37.66,34.73,27.60
  靖江市,60098,43878,9262,3,18268,292,3890,1737,220,4457,1111,419,216,228,80,131,865,810,510,134,1245,,21.11,51.17,27.72
  泰兴市,90218,64589,20619,25,17733,383,7809,2249,239,9044,859,303,107,160,51,165,1718,1216,635,122,1152,,31.92,40.18,27.90
  姜堰市,62801,45239,12245,13,14044,156,7372,2027,151,4071,936,266,186,217,48,189,786,922,470,70,1070,,27.07,47.71,25.22
宿迁市,358879,249393,112848,312,53868,849,24159,9369,858,21668,5897,965,879,741,243,975,3856,4977,2235,443,4251,,45.25,31.75,23.00
  宿城区,61879,41216,13566,63,11062,259,4025,1889,382,4043,992,388,233,209,95,201,766,1117,546,166,1214,,32.91,37.39,29.70
  宿豫区,51701,36494,11050,126,7814,129,4594,2168,105,5390,2143,62,107,102,85,328,1068,591,211,44,377,,30.28,34.70,35.02
  沭阳县,116424,76473,32817,96,19033,275,7395,3338,205,6085,1214,293,294,244,30,214,1046,1767,794,125,1208,,42.91,35.04,22.04
  泗阳县,59185,43474,26296,10,6781,78,3694,1038,66,2373,560,70,59,122,17,135,602,634,318,46,575,,60.49,24.30,15.22
  泗洪县,69690,51736,29119,17,9178,108,4451,936,100,3777,988,152,186,64,16,97,374,868,366,62,877,,56.28,26.58,17.13
,,,,,,,,,,,,,,,,,,,,,,,,,
浙江省,4611756,3280387,483757,7714,1437674,22029,232138,128575,22768,419929,108269,33581,30121,32357,12494,15487,76528,72020,36777,22699,85465,5,14.75,51.81,33.44
杭州市,745347,494356,49637,1107,175662,3626,43281,21883,8931,75759,20234,8097,7989,10439,6066,3852,12178,15280,7827,5463,17043,2,10.04,45.25,44.71
  上城区,30562,16692,14,1,2002,217,703,1218,508,4434,1232,813,545,936,496,214,453,737,698,394,1077,,0.08,17.51,82.40
  下城区,45736,28081,47,27,4905,196,1431,2073,832,6525,1737,1336,752,1548,861,334,1045,1211,810,676,1734,1,0.17,23.36,76.48
  江干区,85740,53300,364,4,17436,279,4883,2840,1062,12638,2765,820,958,1516,824,375,1481,1595,1014,467,1979,,0.68,42.41,56.91
  拱墅区,51134,32231,46,5,6732,336,2866,1952,1219,8182,2007,824,810,1250,677,299,1286,1095,613,683,1348,1,0.14,30.84,69.02
  西湖区,68641,37770,1057,41,6060,207,3152,1295,2202,6675,2403,1104,1197,1939,1576,479,998,3107,1058,940,2280,,2.80,25.05,72.16
  滨江区,26240,16962,176,3,5135,115,1912,403,1243,2810,746,343,644,638,575,121,468,636,320,179,495,,1.04,42.24,56.72
  萧山区,131042,93717,8279,133,47446,594,9256,3538,598,10531,2284,947,772,775,307,519,1900,2040,955,595,2248,,8.83,61.28,29.89
  余杭区,102268,76489,6293,233,35392,451,7400,3083,611,10507,2247,718,1219,870,332,657,1530,1538,774,632,2002,,8.23,56.84,34.93
  桐庐县,34089,24225,3628,62,10766,258,2418,913,144,2366,880,195,154,224,78,201,513,448,243,121,613,,14.98,55.74,29.28
  淳安县,27851,19809,11800,49,1885,128,1433,558,78,1118,736,133,119,151,34,108,224,414,227,104,510,,59.57,17.64,22.79
  建德市,36342,24319,6308,129,8588,260,1946,1057,81,2139,909,179,122,126,40,113,566,562,311,155,728,,25.94,44.92,29.15
  富阳市,57666,37672,3608,270,16752,341,3421,1742,195,4563,1183,441,443,313,216,244,868,1062,478,343,1189,,9.58,55.17,35.25
  临安市,48036,33089,8017,150,12563,244,2460,1211,158,3271,1105,244,254,153,50,188,846,835,326,174,840,,24.23,46.59,29.18
宁波市,687825,497982,40998,573,247406,3425,35144,22517,2876,62819,16462,5879,6171,5334,1854,2626,11265,10155,5568,3073,13837,,8.23,57.54,34.23
  海曙区,31520,19052,43,1,3352,283,859,1468,380,5006,1248,806,690,645,314,184,738,859,632,335,1209,,0.23,23.59,76.18
  江东区,34141,23566,21,,4259,233,1543,1538,403,6100,1825,1024,1045,717,411,149,838,838,581,570,1471,,0.09,25.61,74.30
  江北区,34676,22679,795,19,8824,153,1249,2042,188,4192,930,419,455,566,139,147,552,552,399,171,887,,3.51,45.17,51.32
  北仑区,57267,43049,1926,41,24333,290,3052,3045,185,4013,1134,308,506,388,177,281,922,696,430,234,1088,,4.47,64.38,31.14
  镇海区,36058,26541,1007,8,13720,324,2654,1661,178,2666,825,269,358,277,183,179,542,516,335,163,676,,3.79,62.94,33.26
  鄞州区,134118,98121,4507,206,53448,494,8243,3849,555,12236,2852,900,1657,913,309,511,1892,2064,789,439,2257,,4.59,63.59,31.82
  象山县,42622,27774,5479,63,9737,234,3498,1238,109,3257,833,291,191,148,31,196,566,542,304,142,915,,19.73,48.72,31.55
  宁海县,51542,38444,5882,55,16745,313,3114,1321,191,4116,2031,411,297,345,33,137,1120,734,394,203,1002,,15.30,52.61,32.09
  余姚市,93871,68804,8166,101,38779,368,4054,2078,240,6962,1535,533,305,357,99,270,1297,1191,545,258,1666,,11.87,62.94,25.20
  慈溪市,129647,99484,7972,32,59922,446,5235,3111,293,11038,2337,647,530,719,130,368,2081,1610,784,345,1884,,8.01,65.98,26.01
  奉化市,42363,30468,5200,47,14287,287,1643,1166,154,3233,912,271,137,259,28,204,717,553,375,213,782,,17.07,53.38,29.55
温州市,737868,506799,48106,1186,257144,2333,23725,19689,2429,74311,17551,4061,4062,3551,984,1437,13791,11751,5283,3537,11867,1,9.49,56.11,34.39
  鹿城区,110256,78529,1047,23,36551,503,2845,3291,764,13974,4033,1548,1653,1073,428,267,2949,2130,1578,1032,2839,1,1.33,50.84,47.83
  龙湾区,60397,45731,735,47,32208,153,1830,1365,170,4773,1078,266,190,235,44,99,803,693,295,125,622,,1.61,74.87,23.52
  瓯海区,83290,62200,1950,21,40389,116,2395,1828,214,8364,2030,272,628,278,110,114,1151,1014,364,216,746,,3.14,69.00,27.86
  洞头县,7114,4179,899,9,778,43,507,336,33,569,182,34,41,25,10,36,161,132,57,49,278,,21.51,31.99,46.49
  永嘉县,61927,41003,7705,46,19380,202,1998,1303,180,5077,1301,210,120,160,50,83,926,885,386,114,877,,18.79,52.74,28.47
  平阳县,62628,39970,5688,167,16862,186,2640,1752,160,6497,1185,251,201,215,56,90,1324,1096,403,188,1009,,14.23,49.67,36.09
  苍南县,92381,59705,8529,589,24590,193,2577,3521,278,10311,2017,362,249,501,114,160,1588,1621,569,516,1420,,14.29,46.81,38.90
  文成县,16397,9201,3651,31,1636,128,489,295,44,1095,469,90,19,65,10,49,269,264,114,56,427,,39.68,24.82,35.50
  泰顺县,18084,11051,5081,158,1052,113,939,367,64,1127,384,96,80,65,10,47,524,386,99,43,416,,45.98,20.47,33.55
  瑞安市,116502,81361,6478,29,44539,310,3031,2953,286,12343,2474,558,545,509,124,208,2051,1893,819,592,1619,,7.96,58.88,33.15
  乐清市,108892,73869,6343,66,39159,386,4474,2678,236,10181,2398,374,336,425,28,284,2045,1637,599,606,1614,,8.59,59.68,31.73
嘉兴市,394073,305515,35814,116,159334,2400,22915,9234,1291,33747,9037,2308,2731,3238,978,1252,5518,4905,2633,1921,6143,,11.72,60.48,27.80
  南湖区,54479,36071,3796,,13150,424,2720,1412,386,5639,1570,632,772,834,389,252,843,992,659,436,1165,,10.52,45.17,44.30
  秀洲区,50894,40633,3274,1,23393,188,3286,1279,230,4499,910,253,331,354,149,104,746,517,260,186,673,,8.06,66.12,25.82
  嘉善县,51224,39659,4404,1,21469,154,2558,1696,127,4380,1284,242,218,294,64,118,744,536,246,277,847,,11.10,60.97,27.92
  海盐县,36673,29489,5324,49,14212,835,2445,803,80,2387,637,218,125,232,54,98,489,519,222,116,644,,18.05,59.48,22.46
  海宁市,68884,51889,5478,55,28547,260,3996,1365,161,5693,1246,358,413,466,133,247,888,839,471,287,986,,10.56,63.32,26.12
  平湖市,60597,49429,6046,10,28508,273,3748,1370,167,3875,1344,251,328,362,82,169,804,691,316,266,819,,12.23,65.83,21.94
  桐乡市,71322,58345,7492,,30055,266,4162,1309,140,7274,2046,354,544,696,107,264,1004,811,459,353,1009,,12.84,59.10,28.06
湖州市,246627,176913,34190,1911,71219,1432,12816,7021,843,20011,6433,1518,1874,1480,365,826,3763,3230,1804,1087,5090,,19.33,49.39,31.28
  吴兴区,64150,44490,5954,490,17422,434,3163,1601,347,6024,1635,654,933,565,228,244,1073,996,671,419,1637,,13.38,48.35,38.27
  南浔区,47295,34656,6421,25,17407,171,2123,1018,96,4107,760,159,118,80,17,121,677,461,207,147,541,,18.53,56.92,24.55
  德清县,41740,30475,4142,686,14333,222,2362,1095,150,2912,1237,257,174,188,51,111,625,543,291,168,928,,13.59,57.76,28.65
  长兴县,53362,38304,10801,465,11670,351,3042,1968,139,3825,1482,261,482,424,51,190,734,743,401,235,1040,,28.20,40.54,31.26
  安吉县,40080,28988,6872,245,10387,254,2126,1339,111,3143,1319,187,167,223,18,160,654,487,234,118,944,,23.71,44.89,31.41
绍兴市,409595,294864,47376,755,132446,1922,26354,8953,1362,35556,8484,2841,1890,2076,647,1349,6214,5984,2913,1520,6221,1,16.07,54.76,29.17
  越城区,74946,48495,1283,114,18509,640,5260,1884,587,8427,2158,1224,694,744,261,384,1344,1628,884,583,1886,1,2.65,50.57,46.79
  绍兴县,87719,68472,4717,196,36588,395,5225,2152,206,11462,1571,365,449,508,188,235,1720,928,392,191,984,,6.89,61.93,31.18
  新昌县,32012,23635,7990,24,9238,145,1171,601,82,1700,566,195,95,105,33,78,334,507,228,74,469,,33.81,44.76,21.44
  诸暨市,95377,69089,11741,199,33575,327,6077,1908,184,6898,1763,469,272,385,97,365,1335,1354,720,265,1155,,16.99,58.15,24.85
  上虞巿,65299,46518,9088,75,19496,223,6060,1273,165,4242,1311,349,296,168,55,191,936,909,407,228,1046,,19.54,55.58,24.88
  嵊州市,54242,38655,12557,147,15040,192,2561,1135,138,2827,1115,239,84,166,13,96,545,658,282,179,681,,32.48,46.41,21.10
金华市,454765,334478,60586,539,148763,1710,22907,11327,1714,42548,9715,2596,1791,2275,483,1510,8404,6167,3195,1799,6448,1,18.11,52.00,29.89
  婺城区,61946,41589,8627,64,10367,464,3178,2178,638,6219,2008,693,633,547,276,233,1167,1493,790,421,1593,,20.74,33.84,45.42
  金东区,26469,19178,6049,35,6841,77,1414,802,113,2009,413,73,82,105,17,78,340,290,124,58,258,,31.54,43.63,24.83
  武义县,29969,22265,5857,108,10167,146,1089,632,56,1667,626,136,48,93,18,111,396,346,178,102,489,,26.31,51.70,22.00
  浦江县,37602,28208,3755,42,17338,73,1523,634,69,2288,519,140,53,66,11,97,445,404,228,67,456,,13.31,67.27,19.42
  磐安县,13815,10505,5028,3,2636,74,631,218,45,732,187,84,4,56,7,36,178,185,95,20,286,,47.86,31.83,20.30
  兰溪市,46583,31260,11787,85,9961,163,2517,922,105,2177,901,180,86,105,17,133,480,508,315,117,700,1,37.71,40.71,21.58
  义乌市,108581,86000,5131,63,43590,296,4248,3599,458,16760,2610,638,617,786,80,434,2931,1443,565,372,1379,,5.97,56.04,37.99
  东阳市,67855,48937,9560,84,20700,256,6191,982,95,5114,1212,319,110,262,18,191,1529,779,478,420,637,,19.54,55.65,24.82
  永康市,61945,46536,4792,55,27163,161,2116,1360,135,5582,1239,333,158,255,39,197,938,719,422,222,650,,10.30,63.38,26.32
衢州市,167904,122421,52749,299,25507,875,8747,4520,556,11797,3443,1202,676,727,170,499,2431,2645,1325,588,3665,,43.09,28.94,27.97
  柯城区,37682,25666,6468,28,4910,377,1672,1290,273,3896,1247,600,368,364,63,182,748,995,525,342,1318,,25.20,27.22,47.58
  衢江区,26933,20281,12157,51,4022,77,1019,522,21,1108,365,27,34,48,26,44,299,121,69,17,254,,59.94,25.49,14.57
  常山县,18921,12780,5026,72,3039,82,1142,508,68,1096,443,92,48,53,19,41,249,281,119,51,351,,39.33,33.92,26.75
  开化县,19277,14476,7718,26,1886,88,1312,458,58,1131,347,88,32,50,15,32,264,319,155,45,452,,53.32,22.88,23.80
  龙游县,27886,22014,10010,75,5206,119,1344,727,67,1926,499,125,30,98,11,116,346,395,210,57,653,,45.47,30.64,23.89
  江山市,37205,27204,11370,47,6444,132,2258,1015,69,2640,542,270,164,114,36,84,525,534,247,76,637,,41.80,32.65,25.56
舟山市,98559,65904,8651,397,18229,782,6709,6226,555,9354,3234,896,723,673,289,539,1764,1544,908,827,3604,,13.13,39.63,47.24
  定海区,40216,27626,2227,95,7090,386,3756,2425,328,4238,1305,503,348,301,199,181,872,839,468,353,1712,,8.06,41.00,50.94
  普陀区,33630,22199,2696,63,6319,199,2065,2372,159,3173,1406,228,268,294,70,253,616,401,257,308,1052,,12.14,38.95,48.91
  岱山县,18086,11866,2545,190,4327,135,682,932,43,1280,325,105,75,38,15,58,187,205,124,102,498,,21.45,44.95,33.60
  嵊泗县,6627,4213,1183,49,493,62,206,497,25,663,198,60,32,40,5,47,89,99,59,64,342,,28.08,19.23,52.69
台州市,502365,367108,59638,468,178491,2368,22726,13665,1505,41973,9809,2981,1411,2000,428,1186,7757,7331,3704,2182,7485,,16.25,55.58,28.17
  椒江区,56489,40385,2690,31,18177,466,3119,1772,471,5887,1578,702,425,410,132,200,956,1048,535,420,1366,,6.66,53.96,39.38
  黄岩区,55220,39420,5977,32,20531,281,2228,1314,175,4152,1021,306,132,189,54,112,749,664,419,276,808,,15.16,58.53,26.31
  路桥区,51640,40271,2244,14,22987,107,1693,1680,110,6752,1201,338,79,307,16,121,969,638,277,146,592,,5.57,61.59,32.84
  玉环县,52298,38868,2213,54,24464,291,1649,1464,120,3899,876,260,61,253,46,142,880,651,335,276,934,,5.69,68.07,26.23
  三门县,27258,19122,6186,63,5664,239,1992,711,88,1726,548,130,68,133,22,80,377,385,152,99,459,,32.35,41.62,26.03
  天台县,29978,20831,7302,50,5708,150,1348,572,72,2403,612,182,87,93,14,42,745,527,281,100,543,,35.05,34.83,30.11
  仙居县,26431,18080,8077,47,4801,139,783,447,70,1280,436,123,193,54,4,54,354,449,235,49,485,,44.67,31.91,23.41
  温岭市,120000,92842,8787,55,55203,304,4813,3738,194,10214,2202,551,160,333,84,224,1812,1542,808,501,1317,,9.46,65.03,25.51
  临海市,83051,57289,16162,122,20956,391,5101,1967,205,5660,1335,389,206,228,56,211,915,1427,662,315,981,,28.21,46.38,25.41
丽水市,166828,114047,46012,363,23473,1156,6814,3540,706,12054,3867,1202,803,564,230,411,3443,3028,1617,702,4062,,40.34,27.89,31.77
  莲都区,36190,24719,5676,28,5339,320,1888,979,364,3851,1269,455,530,218,154,147,724,857,616,246,1058,,22.96,30.64,46.39
  青田县,25439,15430,5063,109,3625,124,907,474,50,1929,668,130,86,60,1,42,961,370,141,122,568,,32.81,30.88,36.31
  缙云县,28042,19357,6951,60,5853,140,1228,533,57,1824,535,163,41,66,24,46,518,484,224,111,499,,35.91,37.61,26.48
  遂昌县,15288,10822,6063,44,1612,86,518,276,46,752,267,78,44,63,11,36,189,250,108,36,343,,56.02,20.88,23.09
  松阳县,14675,10863,6755,30,1140,95,509,276,41,730,216,79,11,24,8,25,180,262,129,37,316,,62.18,16.33,21.49
  云和县,9067,6447,2372,7,1866,91,318,204,32,486,180,46,15,36,1,33,296,114,72,24,254,,36.79,35.40,27.81
  庆元县,10880,7520,3413,9,1373,82,499,233,42,692,210,94,11,31,10,21,160,218,87,30,305,,45.39,26.10,28.51
  景宁畲族自治县,8605,5665,2966,18,428,122,353,240,41,498,174,65,12,34,9,22,132,165,87,36,263,,52.36,16.26,31.39
  龙泉市,18642,13224,6753,58,2237,96,594,325,33,1292,348,92,53,32,12,39,283,308,153,60,456,,51.07,22.57,26.36
,,,,,,,,,,,,,,,,,,,,,,,,,
