首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,
地    区,各年龄组人口占总人口比重（%）,,,,有65岁及以上老年人口的户数（户）,,,,人口自然变动（‰）,,,迁入人口（人）,,
,0-14岁,15-64岁,65岁及以上,"15-49岁
育龄妇女",合计,有一个老人,有二个老人,"有三个
及以上老人",出生率,死亡率,自然增长率,"本县（市）/
本市市区","本省其他县
（市）、市区",外省
,,,,,,,,,,,,,,
黑龙江省,11.94,79.78,8.28,29.52,2305384,1486670,811399,7315,6.50,5.05,1.45,2800727,2250704,506397
哈尔滨市,11.00,80.91,8.09,29.94,624666,402469,219966,2231,6.16,4.73,1.43,937126,939105,194759
  道里区,7.95,81.92,10.13,28.60,65941,40886,24705,350,3.39,3.94,-0.55,149552,97198,20852
  南岗区,8.21,83.03,8.76,31.68,82514,49131,33133,250,3.94,4.19,-0.25,179207,246867,57415
  道外区,8.96,81.84,9.20,28.69,61836,41304,20369,163,4.68,5.42,-0.74,128230,136811,23220
  松北区,9.24,77.97,12.79,27.15,17058,9977,7064,17,3.96,6.24,-2.28,28951,19035,4861
  香坊区,10.11,83.49,6.40,31.61,10897,7041,3840,16,5.46,3.58,1.88,8684,70138,13369
  平房区,8.69,81.44,9.87,31.08,63881,38359,25378,144,4.67,4.62,0.05,87525,211631,35001
  呼兰区,11.11,82.78,6.11,33.51,34693,23519,11069,105,6.25,3.43,2.82,68583,113546,19593
  阿城区,11.34,80.81,7.84,29.45,34156,22844,11218,94,7.40,5.59,1.81,78548,9559,2716
  依兰县,14.49,77.85,7.66,28.72,22288,15198,7032,58,7.88,6.43,1.45,25010,5145,1575
  方正县,13.15,79.80,7.04,29.51,10754,7398,3326,30,9.01,6.49,2.52,12809,3360,746
  宾县,14.14,78.86,7.01,28.67,29274,20349,8875,50,7.59,3.74,3.85,31453,8719,1279
  巴彦县,13.77,79.57,6.66,29.59,29613,20291,9262,60,7.91,4.66,3.25,25110,3485,1184
  木兰县,12.87,80.44,6.70,29.85,13953,9465,4449,39,7.88,5.10,2.78,14907,884,198
  通河县,14.23,78.18,7.58,28.34,11712,7580,4102,30,8.71,5.58,3.13,5034,2371,593
  延寿县,13.03,80.32,6.66,29.31,12020,8157,3825,38,7.90,5.00,2.90,13705,1217,422
  双城市,12.45,80.66,6.90,29.70,42323,28105,14092,126,8.24,5.21,3.03,24396,4493,6482
  尚志市,12.70,79.41,7.88,28.88,33808,21736,11956,116,7.31,5.23,2.08,20766,2500,1862
  五常市,13.01,79.50,7.49,29.40,47945,31129,16271,545,7.43,4.63,2.80,34656,2146,3391
齐齐哈尔市,13.10,78.69,8.21,29.11,325557,217445,107258,854,7.06,4.78,2.28,314478,98787,47908
  龙沙区,8.17,80.85,10.97,28.68,27771,16953,10707,111,3.16,3.38,-0.22,29862,18725,9493
  建华区,9.20,81.80,9.00,31.90,18127,11125,6945,57,4.02,4.47,-0.45,27916,25517,6676
  铁锋区,7.42,80.47,12.11,26.67,27345,16314,10874,157,3.77,4.64,-0.87,26265,14022,4154
  昂昂溪区,10.58,79.13,10.29,26.58,6001,3826,2170,5,4.85,6.27,-1.42,5499,3107,1145
  富拉尔基区,8.72,79.24,12.05,27.45,21953,13417,8486,50,4.94,6.12,-1.18,15911,2606,1436
  碾子山区,9.05,79.08,11.87,26.47,6349,4187,2161,1,4.16,8.93,-4.77,2353,1029,512
  梅里斯达斡尔族区,14.35,78.56,7.09,28.96,9028,6370,2640,18,5.92,4.08,1.84,8823,5604,1672
  龙江县,15.55,77.44,7.02,28.59,30533,21403,9054,76,8.10,5.24,2.86,17921,2563,3184
  依安县,13.68,79.18,7.14,29.86,25529,17208,8232,89,5.82,3.48,2.34,35321,3268,7600
  泰来县,13.50,79.13,7.38,28.77,16858,11700,5117,41,7.86,4.58,3.28,9735,2755,3487
  甘南县,14.70,78.21,7.08,29.68,19526,13291,6191,44,9.94,5.27,4.67,10706,1347,2317
  富裕县,13.89,78.75,7.35,28.72,15343,10550,4772,21,7.66,4.53,3.13,16016,5948,1257
  克山县,14.66,77.34,7.99,29.21,24135,16409,7691,35,9.03,5.24,3.79,16514,2300,616
  克东县,16.52,77.09,6.38,30.26,13036,9462,3559,15,7.00,3.80,3.20,22517,2828,702
  拜泉县,13.63,79.65,6.72,30.47,26476,18449,7972,55,9.52,4.22,5.30,18407,1383,480
  讷河市,15.88,76.33,7.79,28.93,37547,26781,10687,79,8.62,5.85,2.77,50712,5785,3177
鸡西市,10.90,78.97,10.13,28.42,136591,86653,49608,330,5.11,5.26,-0.15,166626,97999,34594
  鸡冠区,10.05,80.63,9.32,30.17,23991,14443,9489,59,4.63,3.37,1.26,50867,20214,6201
  恒山区,8.97,78.72,12.31,27.96,14499,9328,5146,25,4.13,5.77,-1.64,7190,2394,2227
  滴道区,8.91,78.96,12.13,26.76,9305,6161,3129,15,4.46,5.46,-1.00,7377,1467,955
  梨树区,9.31,77.83,12.86,26.57,7262,4737,2519,6,7.05,4.44,2.61,4731,1146,1215
  城子河区,9.39,79.97,10.65,28.72,9919,6395,3512,12,3.64,5.30,-1.66,13674,7052,3082
  麻山区,11.16,77.47,11.37,27.36,2623,1830,787,6,5.95,5.55,0.40,1963,1255,286
  鸡东县,12.54,79.07,8.39,27.99,17038,11375,5619,44,5.54,5.29,0.25,22610,11134,5221
  虎林市,11.45,77.76,10.79,28.20,24307,14508,9734,65,4.93,5.49,-0.56,26587,33029,9696
  密山市,12.15,78.49,9.36,28.23,27647,17876,9673,98,5.95,6.64,-0.69,31627,20308,5711
鹤岗市,10.82,78.97,10.21,29.07,75489,45002,30158,329,7.78,6.08,1.70,77755,62738,15973
  向阳区,9.19,78.76,12.05,29.16,9184,5218,3898,68,7.13,7.34,-0.21,9838,6178,795
  工农区,10.39,80.39,9.23,31.18,9171,5445,3707,19,6.43,5.71,0.72,14032,2777,703
  南山区,10.08,79.42,10.50,29.55,8840,5303,3525,12,10.20,3.91,6.29,6968,5363,2282
  兴安区,10.38,80.21,9.40,28.84,4996,3062,1926,8,8.45,8.18,0.27,2664,3292,1776
  东山区,10.07,78.77,11.16,28.17,13443,7764,5543,136,7.91,6.54,1.37,11505,18377,2766
  兴山区,9.66,78.62,11.72,28.38,3795,2353,1436,6,6.91,8.89,-1.98,6543,2372,1490
  萝北县,11.43,77.93,10.63,28.47,16439,9805,6586,48,7.42,5.10,2.32,15575,19657,4493
  绥滨县,13.19,78.71,8.10,28.94,9621,6052,3537,32,7.88,6.22,1.66,10630,4722,1668
双鸭山市,11.90,78.96,9.14,29.12,95833,60070,35481,282,5.37,5.32,0.05,118255,87678,20195
  尖山区,10.33,79.45,10.21,30.32,17658,10395,7212,51,4.94,5.64,-0.70,34298,7304,1440
  岭东区,8.96,78.47,12.57,27.03,5354,3496,1848,10,3.11,5.45,-2.34,2381,4583,1919
  四方台区,11.29,79.48,9.23,29.15,4303,2846,1445,12,5.33,6.21,-0.88,3961,8879,2067
  宝山区,9.30,80.27,10.42,29.23,9707,6005,3667,35,3.55,5.90,-2.35,5398,5293,1872
  集贤县,13.26,79.14,7.60,28.67,16896,11309,5538,49,5.30,5.51,-0.21,23232,16823,2815
  友谊县,10.45,78.54,11.01,27.80,8421,4984,3407,30,3.75,5.06,-1.31,12854,7439,1086
  宝清县,13.28,78.08,8.64,29.25,24938,15646,9228,64,6.48,5.01,1.47,29429,14177,5159
  饶河县,12.86,79.23,7.91,29.32,8556,5389,3136,31,6.97,4.50,2.47,6702,23180,3837
大庆市,12.97,80.09,6.94,30.72,145847,92425,53048,374,6.88,4.19,2.69,207917,346104,60975
  萨尔图区,11.96,80.88,7.16,31.35,16478,9719,6687,72,6.71,6.42,0.29,27846,85999,17351
  龙凤区,11.69,82.05,6.26,32.40,15539,9435,6060,44,6.22,2.56,3.66,20259,97871,16038
  让胡路区,12.24,80.72,7.04,31.88,27605,15937,11588,80,5.70,3.10,2.60,59780,90667,13645
  红岗区,10.79,81.92,7.29,30.02,8861,5491,3349,21,4.02,3.35,0.67,10343,39672,6676
  大同区,13.67,79.87,6.47,30.69,11104,7348,3720,36,6.32,4.33,1.99,18606,14630,2142
  肇州县,13.76,79.21,7.03,29.78,19991,12991,6964,36,7.69,4.75,2.94,25457,5472,656
  肇源县,14.08,78.73,7.19,29.79,20843,13893,6912,38,8.07,4.42,3.65,17658,3965,1688
  林甸县,14.48,78.69,6.83,29.69,12465,8510,3933,22,7.96,4.74,3.22,15311,3005,760
  杜尔伯特蒙古族自治县,14.21,78.55,7.25,29.28,12961,9101,3835,25,9.11,4.74,4.37,12657,4823,2019
伊春市,9.49,78.91,11.60,28.22,96515,60849,35408,258,2.91,5.38,-2.47,51116,39222,5946
  伊春区,9.44,79.81,10.75,29.42,11266,7091,4146,29,2.12,2.66,-0.54,7539,10684,1326
  南岔区,7.85,79.02,13.14,27.19,11158,6819,4320,19,2.19,6.90,-4.71,6544,3668,485
  友好区,8.04,77.92,14.04,28.01,5335,3251,2071,13,2.29,5.60,-3.31,5537,2601,322
  西林区,9.22,81.37,9.41,27.67,3670,2395,1264,11,2.35,3.30,-0.95,1297,1010,195
  翠峦区,8.10,79.86,12.04,29.05,3969,2563,1402,4,1.95,6.68,-4.73,1653,635,171
  新青区,8.83,78.71,12.46,29.09,3869,2478,1382,9,2.13,6.69,-4.56,3983,868,176
  美溪区,6.99,77.92,15.09,24.81,4221,2279,1920,22,2.26,5.50,-3.24,534,11,135
  金山屯区,7.62,79.85,12.52,28.57,3512,2131,1373,8,2.67,5.80,-3.13,619,262,107
  五营区,8.43,77.99,13.58,26.97,3409,2228,1179,2,2.05,8.27,-6.22,1158,818,174
  乌马河区,8.32,79.99,11.69,26.80,2725,1791,929,5,3.05,7.84,-4.79,2054,2338,203
  汤旺河区,9.24,78.60,12.16,28.04,2751,1740,1006,5,2.09,7.08,-4.99,910,706,124
  带岭区,7.25,79.30,13.45,27.53,3143,1985,1155,3,2.32,8.56,-6.24,460,689,96
  乌伊岭区,9.23,78.37,12.40,28.18,1936,1266,661,9,1.65,6.42,-4.77,989,48,71
  红星区,8.59,76.40,15.01,26.69,2439,1605,832,2,2.74,8.31,-5.57,455,374,78
  上甘岭区,7.28,77.50,15.22,26.87,2151,1383,744,24,1.53,8.69,-7.16,901,269,73
  嘉荫县,13.88,77.91,8.21,28.45,4181,2753,1419,9,6.62,5.61,1.01,5288,7055,1019
  铁力市,10.87,78.63,10.50,28.80,26780,17091,9605,84,3.62,4.45,-0.83,11195,7186,1191
佳木斯市,12.47,79.96,7.56,29.24,140505,90691,49395,419,6.51,5.30,1.21,222043,122448,20387
  向阳区,9.79,81.59,8.62,31.29,14307,8651,5620,36,4.37,5.46,-1.09,25835,32205,5258
  前进区,8.54,80.76,10.70,29.40,12502,6935,5520,47,5.87,5.26,0.61,10795,11258,713
  东风区,9.14,82.02,8.84,29.08,10426,6612,3779,35,6.44,5.04,1.40,10023,5327,937
  郊区,11.12,81.46,7.42,29.37,17551,12257,5244,50,7.10,5.15,1.95,44500,4396,1319
  桦南县,13.94,78.60,7.46,29.35,25784,16894,8796,94,7.30,5.31,1.99,30294,2154,1116
  桦川县,14.00,78.66,7.34,28.08,10702,6849,3814,39,7.18,5.16,2.02,14056,4870,1034
  汤原县,12.20,79.02,8.77,27.76,16765,11364,5368,33,6.25,5.19,1.06,13207,5951,1650
  抚远县,14.60,81.53,3.87,29.69,3584,2296,1275,13,7.18,5.24,1.94,22200,17695,2215
  同江市,14.63,79.55,5.82,29.76,7395,4684,2699,12,6.72,5.49,1.23,16867,19795,2505
  富锦市,14.03,79.27,6.70,28.98,21489,14149,7280,60,6.25,5.47,0.78,34266,18797,3640
七台河市,13.06,80.08,6.86,29.60,47414,32564,14717,133,7.09,4.86,2.23,105629,115893,20883
  新兴区,12.04,80.82,7.14,29.36,12455,8290,4114,51,7.03,4.79,2.24,22398,33686,7714
  桃山区,13.19,80.96,5.84,31.55,9797,6362,3412,23,6.99,4.15,2.84,30898,51559,5943
  茄子河区,13.63,80.74,5.63,30.00,6633,4679,1935,19,7.11,4.77,2.34,17853,24191,5467
  勃利县,13.48,78.48,8.05,28.09,18529,13233,5256,40,7.19,5.51,1.68,34480,6457,1759
牡丹江市,11.26,79.07,9.67,29.05,192103,120844,70438,821,6.20,4.99,1.21,197039,184889,44458
  东安区,9.70,80.06,10.25,28.29,14492,8768,5697,27,5.19,5.36,-0.17,16284,16251,2735
  阳明区,11.21,78.51,10.29,27.86,17472,10922,6495,55,5.93,4.65,1.28,11531,15511,3137
  爱民区,8.14,81.36,10.50,32.73,19969,11492,8350,127,5.61,5.03,0.58,24071,42186,8076
  西安区,10.46,78.83,10.71,28.86,19216,12030,7131,55,5.98,5.27,0.71,27649,18053,3227
  东宁县,13.14,77.76,9.10,27.78,13251,8443,4782,26,6.49,6.51,-0.02,17840,17444,7190
  林口县,11.68,79.59,8.73,28.87,24112,16398,7582,132,6.51,4.64,1.87,20388,1974,1721
  绥芬河巿,14.53,81.28,4.19,32.90,4024,2572,1441,11,7.12,2.07,5.05,2760,61918,11579
  海林市,10.62,78.40,10.98,28.20,30891,19174,11590,127,6.45,5.04,1.41,29734,6233,2489
  宁安市,12.25,78.44,9.30,28.84,29223,19295,9802,126,6.46,5.26,1.20,28065,4103,2452
  穆棱市,12.10,77.99,9.92,28.08,19453,11750,7568,135,6.08,5.00,1.08,18717,1216,1852
黑河市,12.91,78.86,8.23,29.07,101399,68900,32238,261,7.00,5.59,1.41,139977,82819,20351
  爱辉区,11.68,80.55,7.76,29.86,12063,7893,4145,25,5.81,4.65,1.16,25942,22724,4867
  嫩江县,13.79,78.24,7.97,29.20,28454,19337,9031,86,7.97,6.64,1.33,38676,18426,8162
  逊克县,13.74,79.07,7.19,29.23,5379,3593,1778,8,6.31,4.02,2.29,8506,6993,959
  孙吴县,14.23,79.02,6.75,29.13,5131,3512,1608,11,7.11,3.96,3.15,10919,9947,1251
  北安市,12.08,78.65,9.27,29.06,29857,20437,9350,70,7.58,6.07,1.51,34922,10317,1972
  五大连池市,12.78,78.88,8.34,28.30,20515,14128,6326,61,5.73,4.96,0.77,21012,14412,3140
绥化市,12.95,79.75,7.30,29.87,288703,185582,102222,899,7.77,5.82,1.95,232200,32918,7204
  北林区,12.31,79.93,7.76,29.54,49228,30968,18097,163,8.00,6.32,1.68,45611,12486,2417
  望奎县,12.56,79.62,7.82,30.06,26138,16814,9237,87,8.89,5.84,3.05,13665,854,379
  兰西县,15.39,77.63,6.98,30.85,22137,14904,7187,46,7.99,6.41,1.58,14131,1961,323
  青冈县,12.14,80.84,7.02,30.18,23929,14892,8937,100,6.92,4.45,2.47,13548,866,542
  庆安县,13.35,79.98,6.67,29.53,18610,11767,6790,53,8.35,5.87,2.48,15564,942,176
  明水县,12.84,80.31,6.85,29.96,16130,10520,5575,35,10.58,6.76,3.82,14735,1385,257
  绥棱县,12.22,79.63,8.15,29.70,19618,12503,7037,78,5.19,3.78,1.41,17168,1349,285
  安达市,12.66,79.88,7.46,29.51,25989,17107,8829,53,6.72,5.48,1.24,29960,7553,985
  肇东市,13.12,79.82,7.07,30.07,45633,28035,17430,168,7.19,6.02,1.17,41516,2479,1076
  海伦市,13.19,79.66,7.15,29.59,41291,28072,13103,116,8.23,6.20,2.03,26302,3043,764
大兴安岭地区,10.34,80.52,9.15,28.72,34762,23176,11462,124,4.50,4.73,-0.23,30566,40104,12764
  加格达奇,10.95,79.50,9.55,29.45,10777,6946,3811,20,5.07,4.50,0.57,18063,13657,4829
  松岭区,9.32,81.71,8.97,24.74,2267,1536,725,6,2.74,6.57,-3.83,820,6146,832
  新林区,8.92,79.69,11.38,28.81,4436,3106,1314,16,3.10,6.36,-3.26,786,1651,678
  呼中区,8.58,81.92,9.51,26.13,3231,2198,1019,14,3.57,4.44,-0.87,482,2004,387
  呼玛县,12.52,80.33,7.15,28.50,2866,2046,814,6,5.59,4.34,1.25,2875,6020,1703
  塔河县,9.72,80.19,10.09,29.01,6850,4482,2343,25,4.00,4.38,-0.38,4197,6042,1829
  漠河县,10.74,82.16,7.10,30.15,4335,2862,1436,37,5.42,4.23,1.19,3343,4584,2506
,,,,,,,,,,,,,,
上海市,8.61,81.26,10.13,29.14,1619298,976043,634555,8700,5.58,4.96,0.62,1669287,2039029,8977000
市辖区,8.63,81.49,9.88,29.37,1533033,926128,598616,8289,5.61,4.84,0.77,1638648,2026114,8826000
  黄浦区,7.04,79.93,13.03,27.22,41535,27653,13708,174,4.86,12.81,-7.95,23607,37471,132510
  卢湾区,6.41,77.31,16.28,25.97,28973,18053,10696,224,4.63,10.78,-6.15,14604,32717,54000
  徐汇区,7.30,78.53,14.17,27.37,106245,61993,43620,632,5.16,6.52,-1.36,91334,116687,279531
  长宁区,6.94,78.93,14.13,28.60,66994,39028,27607,359,5.09,6.77,-1.68,51403,81225,175385
  静安区,6.82,76.80,16.38,26.43,28544,17426,10879,239,4.93,11.07,-6.14,12959,30026,57245
  普陀区,7.15,80.73,12.12,26.95,110074,67856,41703,515,4.43,5.80,-1.37,105908,178576,362977
  闸北区,7.05,80.24,12.71,26.03,75397,47729,27295,373,4.98,7.20,-2.22,65562,116684,199969
  虹口区,6.88,78.93,14.19,25.84,85801,53433,31955,413,5.02,8.12,-3.10,77321,105405,196105
  杨浦区,6.48,80.15,13.37,25.76,122555,75007,47051,497,4.56,6.78,-2.22,146481,141910,275303
  闵行区,9.42,82.80,7.79,31.65,130655,77736,52120,799,6.49,3.03,3.46,83593,313700,1203693
  宝山区,8.88,82.62,8.50,28.44,113233,69427,43282,524,5.51,3.86,1.65,74258,291307,766116
  嘉定区,8.45,84.33,7.22,31.37,72171,42672,29022,477,4.89,3.24,1.65,79641,93442,828199
  浦东新区,9.49,81.36,9.16,29.56,317865,190067,126221,1577,6.40,4.02,2.38,441584,341240,2024277
  金山区,9.46,79.64,10.91,28.77,54926,32249,22304,373,5.02,5.30,-0.28,46901,20920,201126
  松江区,9.33,84.60,6.07,34.18,65964,39686,25816,462,5.70,2.85,2.85,124551,69801,937412
  青浦区,9.74,83.23,7.02,31.97,53001,31738,20966,297,6.16,3.14,3.02,80245,21407,604984
  奉贤区,10.87,81.03,8.10,30.44,59100,34375,24371,354,5.89,4.07,1.82,118696,33596,527168
县,8.15,73.96,17.90,21.96,86265,49915,35939,411,4.74,8.99,-4.25,30639,12915,151000
  崇明县,8.15,73.96,17.90,21.96,86265,49915,35939,411,4.74,8.99,-4.25,30639,12915,151000
,,,,,,,,,,,,,,
江苏省,13.01,76.11,10.88,28.93,6147499,3888399,2223808,35292,8.72,6.23,2.49,4545030,6302536,7379253
南京市,9.51,81.30,9.18,30.84,528927,338548,188418,1961,6.16,4.58,1.58,494558,1380646,867453
  玄武区,8.04,83.24,8.72,31.86,39015,22507,16355,153,5.13,3.04,2.09,27088,124662,74004
  白下区,8.60,80.41,10.99,30.17,46669,28427,18045,197,5.14,4.37,0.77,42668,115379,70954
  秦淮区,8.35,82.66,8.98,30.11,25811,16539,9184,88,6.00,4.42,1.58,24441,109025,86895
  建邺区,10.29,82.32,7.38,30.38,22504,14505,7908,91,7.61,3.09,4.52,22726,134373,75657
  鼓楼区,8.74,81.54,9.72,32.77,54484,30682,23534,268,5.35,3.26,2.09,50361,150613,82305
  下关区,8.06,82.11,9.83,28.69,31431,20212,11133,86,5.42,4.57,0.85,25347,99511,72499
  浦口区,9.69,82.42,7.89,31.57,40521,25822,14548,151,6.47,4.61,1.86,39435,114441,71883
  栖霞区,7.56,85.30,7.14,34.56,32902,20615,12169,118,4.70,3.45,1.25,26491,179551,83510
  雨花台区,9.90,82.82,7.28,29.78,20398,12941,7398,59,6.58,3.32,3.26,30252,120188,77154
  江宁区,10.01,82.10,7.88,31.98,67032,45528,21271,233,6.40,4.87,1.53,79453,170547,91865
  六合区,10.98,78.55,10.47,28.86,70089,46056,23763,270,6.64,6.14,0.50,74546,43323,43498
  溧水县,11.67,77.28,11.05,28.27,34847,24303,10400,144,7.81,7.05,0.76,31609,13251,27640
  高淳县,12.16,74.24,13.60,27.64,43224,30411,12710,103,8.17,7.81,0.36,20141,5782,9589
无锡市,10.30,80.22,9.48,29.90,431478,270291,159183,2004,5.10,5.10,0.00,333654,850386,1290813
  崇安区,10.06,79.41,10.53,29.48,16677,9969,6623,85,5.59,6.00,-0.41,13649,51741,39105
  南长区,9.82,77.70,12.48,28.17,32780,19422,13234,124,5.15,5.58,-0.43,26320,75134,45141
  北塘区,10.15,79.42,10.43,28.77,24929,15425,9406,98,5.51,5.14,0.37,23192,68388,57858
  锡山区,10.19,81.76,8.05,31.26,39201,24587,14371,243,5.02,4.48,0.54,26436,100987,196440
  惠山区,10.77,81.59,7.64,30.42,38287,24815,13297,175,5.30,4.14,1.16,15828,117743,186117
  滨湖区,9.40,82.43,8.17,31.48,70194,42711,27058,425,4.98,4.11,0.87,59488,246791,268718
  江阴市,10.91,79.80,9.29,30.19,105657,65562,39636,459,4.97,5.22,-0.25,53104,129821,317562
  宜兴市,10.42,78.09,11.49,27.83,103753,67800,35558,395,5.10,6.48,-1.38,115637,59781,179872
徐州市,17.97,71.61,10.42,28.20,637189,394867,238191,4131,14.18,6.60,7.58,443310,302111,123290
  鼓楼区,14.31,76.59,9.10,29.61,31589,19329,12133,127,9.89,3.90,5.99,42647,76176,17956
  云龙区,12.52,78.14,9.34,30.24,22825,14021,8721,83,8.90,3.92,4.98,22531,55018,16570
  九里区,14.31,78.07,7.62,29.88,8730,5385,3315,30,10.57,4.28,6.29,6436,21682,5939
  贾汪区,17.22,72.30,10.49,27.54,32932,21335,11435,162,15.62,7.44,8.18,22362,6813,3474
  泉山区,10.83,79.42,9.76,30.01,36233,20151,15951,131,6.23,3.08,3.15,64700,65683,30237
  丰县,18.67,69.98,11.35,26.90,77445,46664,30142,639,15.19,7.70,7.49,46209,3410,7774
  沛县,17.01,73.22,9.77,29.21,77931,48734,28573,624,15.10,6.67,8.43,52806,4391,8455
  铜山县,18.34,71.01,10.66,29.03,84246,53735,30081,430,15.89,7.53,8.36,47676,56322,16146
  睢宁县,19.88,67.78,12.33,27.50,92344,58152,33512,680,15.00,8.11,6.89,75202,3646,6931
  新沂市,20.27,69.56,10.17,27.61,67797,43077,24339,381,15.39,6.93,8.46,27365,4650,5767
  邳州市,20.97,68.88,10.15,26.90,105117,64284,39989,844,15.75,6.68,9.07,35376,4320,4041
常州市,11.51,78.72,9.77,29.88,322933,205971,115548,1414,6.90,5.26,1.64,243220,619899,806668
  天宁区,11.25,79.16,9.59,30.78,33829,19770,13888,171,6.25,3.92,2.33,28936,110109,87591
  钟楼区,10.76,80.02,9.22,30.72,32411,19672,12595,144,6.18,3.74,2.44,25043,111997,79583
  戚墅堰区,10.98,78.66,10.36,28.40,7718,4653,3036,29,7.32,5.33,1.99,3842,20965,19277
  新北区,11.17,80.56,8.27,30.53,36116,23778,12187,151,8.05,5.08,2.97,20722,94812,109760
  武进区,11.81,79.79,8.40,30.53,95379,60982,33881,516,6.73,4.47,2.26,55631,242576,405667
  溧阳市,12.32,75.56,12.11,27.84,66606,43795,22569,242,7.40,7.61,-0.21,52513,17929,44285
  金坛市,10.99,76.35,12.65,28.72,50874,33321,17392,161,6.59,7.15,-0.56,56533,21511,60505
苏州市,9.21,82.29,8.50,32.73,626388,380793,241300,4295,5.64,4.11,1.53,409355,1367532,3154138
  沧浪区,9.82,78.36,11.82,29.76,32572,19198,13255,119,6.15,5.08,1.07,29125,75968,48871
  平江区,9.03,83.35,7.62,34.02,51899,31519,20122,258,7.26,3.43,3.83,48663,184435,272417
  金阊区,10.11,79.22,10.67,30.87,21405,12922,8408,75,5.83,4.48,1.35,16520,59922,66331
  虎丘区,9.93,83.36,6.71,34.54,26981,16568,10255,158,7.85,2.90,4.95,19403,111106,149969
  吴中区,8.96,84.16,6.88,34.80,56252,34501,21409,342,6.08,3.04,3.04,36973,221064,366892
  相城区,10.00,83.12,6.87,32.72,34187,21685,12330,172,6.78,3.63,3.15,16487,94436,247040
  常熟市,9.16,79.88,10.96,30.48,116241,69737,45550,954,4.54,5.63,-1.09,62047,125241,347420
  张家港市,10.06,80.25,9.69,31.03,83502,48470,34525,507,5.23,5.05,0.18,45311,103522,279648
  昆山市,8.10,86.37,5.54,35.35,63637,38184,25037,416,5.25,2.44,2.81,65360,242564,733716
  吴江市,8.78,82.16,9.06,33.29,85630,57565,27602,463,5.13,4.67,0.46,39468,90272,432215
  太仓巿,9.73,79.12,11.15,29.31,54082,30444,22807,831,4.42,5.51,-1.09,29998,59002,209619
南通市,10.63,72.87,16.50,26.79,846252,515808,322984,7460,6.21,8.95,-2.74,382239,305079,329839
  崇川区,10.14,80.28,9.58,31.99,57421,33102,23890,429,5.92,4.33,1.59,91245,135227,91860
  港闸区,8.99,79.09,11.92,29.41,22131,13220,8669,242,5.16,6.80,-1.64,12256,51890,41540
  通州区,10.76,71.42,17.82,26.08,143313,86641,55266,1406,6.59,9.71,-3.12,44899,36769,58653
  海安县,10.35,71.95,17.70,26.82,109161,67691,40487,983,5.55,9.18,-3.63,43089,12840,15173
  如东县,8.98,72.02,19.00,24.56,132101,79670,50724,1707,4.51,10.36,-5.85,37353,17631,16978
  启东市,10.48,71.63,17.89,24.93,118391,69131,48774,486,6.20,9.78,-3.58,60574,17724,30404
  如皋市,12.04,71.18,16.79,26.40,155085,100630,52741,1714,7.95,9.56,-1.61,36550,13771,22617
  海门市,11.68,71.27,17.05,26.84,108649,65723,42433,493,6.42,9.56,-3.14,56273,19227,52614
连云港市,19.46,71.37,9.17,27.48,289531,179965,108396,1170,11.57,6.42,5.15,258736,213254,57039
  连云区,13.37,78.34,8.29,27.92,13607,8091,5459,57,9.82,4.41,5.41,18388,39471,11156
  新浦区,14.22,78.53,7.25,29.98,29294,17178,12004,112,8.03,3.31,4.72,65445,116745,16837
  海州区,16.89,74.30,8.81,28.09,14432,8709,5679,44,10.75,5.36,5.39,14112,28693,3105
  赣榆县,20.55,69.41,10.05,27.38,69263,43622,25421,220,12.40,7.27,5.13,37408,2924,6879
  东海县,21.02,69.07,9.91,27.64,68724,43602,24803,319,11.23,7.12,4.11,38250,7745,6977
  灌云县,20.87,69.88,9.25,26.08,53970,32889,20821,260,14.12,6.88,7.24,40277,9332,5392
  灌南县,21.73,69.42,8.85,26.50,40241,25874,14209,158,11.79,7.50,4.29,44856,8344,6693
淮安市,16.81,72.81,10.39,28.22,365616,239527,124155,1934,11.05,6.51,4.54,346835,219535,63086
  清河区,12.30,81.21,6.48,32.85,24082,14796,9159,127,7.18,2.86,4.32,52735,126996,25953
  楚州区,16.43,72.41,11.16,27.39,83003,57585,25077,341,10.70,7.43,3.27,49737,7018,5508
  淮阴区,18.68,70.74,10.57,28.08,61479,40379,20733,367,13.81,6.49,7.32,46907,38012,7418
  清浦区,14.59,76.10,9.31,29.93,22342,14476,7760,106,9.34,5.24,4.10,26345,22488,2977
  涟水县,21.11,68.50,10.39,26.75,65516,42818,22305,393,13.16,7.51,5.65,55110,9117,6095
  洪泽县,15.41,73.10,11.49,27.67,27542,18058,9339,145,8.22,6.57,1.65,31240,4297,2002
  盱眙县,17.55,71.68,10.77,27.56,50892,31707,18921,264,12.92,6.77,6.15,45309,5801,8118
  金湖县,11.46,75.35,13.18,27.64,30760,19708,10861,191,6.86,7.84,-0.98,39452,5806,5015
盐城市,14.36,73.68,11.96,26.63,623129,396265,223944,2920,10.65,7.21,3.44,433875,226342,73441
  亭湖区,13.17,77.61,9.22,30.05,59320,36339,22691,290,9.58,4.26,5.32,86307,86950,9377
  盐都区,13.41,74.62,11.97,27.58,61581,40176,21166,239,10.11,6.94,3.17,35353,60015,5064
  响水县,19.96,71.09,8.95,25.61,32758,20783,11827,148,14.82,6.77,8.05,28873,10184,5258
