首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,
地    区,各年龄组人口占总人口比重（%）,,,,有65岁及以上老年人口的户数（户）,,,,人口自然变动（‰）,,,迁入人口（人）,,
,0-14岁,15-64岁,65岁及以上,"15-49岁
育龄妇女",合计,有一个老人,有二个老人,"有三个
及以上老人",出生率,死亡率,自然增长率,"本县（市）/
本市市区","本省其他县
（市）、市区",外省
  深泽县,14.84,75.95,9.21,25.95,16404,10684,5663,57,12.36,6.52,5.84,10792,2694,3383
  赞皇县,20.38,72.68,6.94,27.34,12421,8316,4057,48,12.81,6.50,6.31,7134,602,293
  无极县,17.11,74.93,7.96,27.92,29331,19863,9366,102,14.55,7.46,7.09,19478,3569,1670
  平山县,18.47,72.64,8.89,25.78,29351,20634,8590,127,15.55,7.23,8.32,28931,4975,2877
  元氏县,18.30,74.47,7.22,28.62,22771,15715,6937,119,13.34,6.62,6.72,16256,1944,775
  赵县,17.13,74.78,8.09,28.10,34839,23817,10820,202,13.44,6.61,6.83,26294,3470,1532
  辛集市,12.93,77.33,9.74,27.26,44996,30361,14439,196,10.46,6.57,3.89,42208,12570,4913
  藁城市,14.88,76.69,8.43,29.12,48626,33115,15299,212,13.43,7.03,6.40,16147,4601,1871
  晋州市,14.75,76.90,8.35,28.22,32981,21349,11479,153,14.25,7.19,7.06,21981,5643,1524
  新乐市,19.13,74.33,6.54,29.28,24118,16703,7342,73,13.57,6.63,6.94,22977,7409,3158
  鹿泉市,14.27,77.63,8.09,29.93,25698,17541,8047,110,11.81,6.13,5.68,15129,47434,11846
唐山市,14.62,76.18,9.19,27.20,498907,314199,182652,2056,9.79,6.67,3.12,529111,237972,189326
  路南区,11.46,79.16,9.39,27.60,20351,12150,8143,58,6.69,5.84,0.85,21835,37125,25480
  路北区,10.34,80.60,9.06,29.74,46553,26794,19606,153,6.95,4.63,2.32,96908,50186,25770
  古冶区,10.90,78.14,10.96,25.48,28780,18432,10292,56,6.13,8.58,-2.45,25570,7559,3973
  开平区,13.15,78.14,8.71,26.43,16531,10404,6087,40,7.25,6.34,0.91,20470,23595,13510
  丰润区,14.09,77.41,8.50,27.58,36835,23761,12929,145,8.82,6.57,2.25,44730,21298,16666
  丰南区,15.31,75.12,9.57,26.65,63375,40175,22972,228,10.68,6.81,3.87,71170,27710,27937
  滦县,16.42,74.35,9.23,27.12,36994,23392,13429,173,10.85,7.52,3.33,18918,9899,4725
  滦南县,15.16,74.27,10.58,26.54,43561,26459,16841,261,9.76,7.26,2.50,22661,4061,4592
  乐亭县,12.25,77.04,10.71,26.14,39045,23948,14867,230,6.55,7.05,-0.50,36834,10240,8286
  迁西县,18.87,73.32,7.81,26.53,22681,15534,7061,86,12.54,6.59,5.95,20101,3648,5398
  玉田县,15.49,75.06,9.45,27.40,46528,29908,16366,254,11.95,7.02,4.93,31594,7609,11243
  唐海县,10.71,80.92,8.37,24.65,10552,5867,4644,41,6.03,4.93,1.10,9824,20741,21859
  遵化市,17.67,73.82,8.51,27.54,46049,30478,15389,182,12.29,6.93,5.36,54687,6263,8346
  迁安市,17.05,75.16,7.79,27.81,41072,26897,14026,149,12.96,6.73,6.23,53809,8038,11541
秦皇岛市,14.25,76.29,9.46,27.84,202257,124304,77307,646,9.87,6.00,3.87,208005,138966,148331
  海港区,11.42,80.65,7.93,32.00,41673,23016,18545,112,6.78,2.88,3.90,106423,82002,89299
  山海关区,10.64,79.19,10.17,26.48,12730,7373,5324,33,5.57,5.72,-0.15,17432,12359,26492
  北戴河区,9.84,80.78,9.38,33.58,5560,3129,2417,14,6.55,4.20,2.35,6189,15170,8011
  青龙满族自治县,18.16,72.77,9.07,25.71,33693,22640,10964,89,16.35,7.31,9.04,17621,4468,5258
  昌黎县,14.42,75.04,10.54,26.61,42122,26200,15755,167,9.29,6.91,2.38,26372,13312,7211
  抚宁县,14.61,75.76,9.62,26.59,36108,22861,13126,121,10.03,7.05,2.98,22863,7997,9287
  卢龙县,16.76,72.34,10.90,25.13,30371,19085,11176,110,11.05,8.35,2.70,11105,3658,2773
邯郸市,20.71,72.23,7.05,28.24,478445,323131,153185,2129,14.32,6.10,8.22,421511,250943,45753
  邯山区,13.69,78.33,7.98,30.31,21578,12903,8632,43,7.66,3.64,4.02,50295,62648,10657
  丛台区,14.09,76.10,9.81,29.50,24505,14332,10086,87,7.30,3.93,3.37,49567,43953,6093
  复兴区,14.33,77.35,8.32,27.37,11039,6607,4394,38,7.64,3.81,3.83,18750,21357,3184
  峰峰矿区,13.59,77.62,8.79,27.99,29321,19400,9844,77,8.81,4.49,4.32,23397,5535,1848
  邯郸县,20.54,73.18,6.28,28.74,21777,14669,7031,77,14.06,5.52,8.54,24815,38839,3399
  临漳县,22.68,70.44,6.88,29.06,31417,21858,9347,212,14.74,6.38,8.36,9720,1218,576
  成安县,22.90,69.25,7.85,28.18,21611,14043,7427,141,17.74,6.65,11.09,11622,2532,998
  大名县,23.80,69.02,7.18,27.33,41097,27538,13260,299,17.80,6.98,10.82,11594,1415,705
  涉县,18.11,75.78,6.11,29.11,19936,15169,4739,28,14.41,6.52,7.89,31691,5308,2388
  磁县,20.56,73.39,6.05,29.10,31957,23114,8741,102,14.63,6.96,7.67,30745,5877,1610
  肥乡县,22.61,69.73,7.66,27.22,19902,13042,6721,139,13.51,6.52,6.99,3880,472,110
  永年县,23.39,70.47,6.14,27.62,44112,30549,13410,153,14.77,6.24,8.53,26261,6392,2079
  邱县,24.47,69.44,6.09,26.59,10570,7326,3209,35,17.93,7.02,10.91,10232,1307,438
  鸡泽县,23.82,69.71,6.46,27.27,13290,8927,4306,57,14.70,6.13,8.57,7718,1025,237
  广平县,21.07,71.64,7.29,29.14,14660,9902,4673,85,16.49,6.60,9.89,4539,1258,257
  馆陶县,24.36,69.12,6.52,27.33,15502,10941,4507,54,16.86,7.18,9.68,11485,1172,1384
  魏县,21.00,71.35,7.65,28.86,44231,28985,14898,348,17.10,6.38,10.72,28973,429,342
  曲周县,23.66,69.07,7.28,26.65,23437,15872,7472,93,13.70,6.46,7.24,5876,1104,275
  武安市,19.75,74.15,6.10,28.11,38503,27954,10488,61,14.85,6.23,8.62,60351,49102,9173
邢台市,17.79,75.00,7.20,28.89,382040,262880,117687,1473,14.36,6.29,8.07,309577,173341,32661
  桥东区,14.33,78.81,6.86,31.11,13123,8069,5019,35,8.29,3.22,5.07,46937,54167,7353
  桥西区,13.49,79.77,6.73,30.58,18151,10510,7601,40,8.71,2.52,6.19,63963,65800,8860
  邢台县,17.14,75.29,7.58,28.10,25996,18543,7394,59,17.27,7.29,9.98,22320,12345,2349
