首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位：人
地    区,0岁,,1-4岁,1-4岁,5-9岁,1-4岁,10-14岁,1-4岁,15-19岁,1-4岁,20-24岁,1-4岁,25-29岁,1-4岁,30-34岁,1-4岁,35-39岁,1-4岁,40-44岁,1-4岁,45-49岁,1-4岁,50-54岁,1-4岁,55-59岁,1-4岁,60-64岁,1-4岁,65-69岁,1-4岁,70-74岁,1-4岁,75-79岁,1-4岁,80-84岁,1-4岁,85岁及以上,1-4岁
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
  和平区,968,787,2797,2407,3752,3194,4164,3833,7105,6895,15185,14824,14755,13234,8686,7964,10021,9467,10781,9176,12047,11019,12585,12662,11569,11928,7520,7603,4924,5113,3611,4655,3624,4812,2502,3251,1599,2458
  河东区,2575,2319,11150,10030,9980,9236,10678,9985,19531,17195,38192,34176,44594,44637,32416,32064,30352,28794,28978,28130,43350,41647,47234,46756,40530,42446,25462,25133,15563,16110,12032,14929,10752,12984,6528,7422,3134,3828
  河西区,2260,2077,9149,8574,9435,8676,10823,10133,22636,25505,50802,55915,43984,43216,28281,28348,29003,28914,28975,28697,39922,38267,42067,42750,37038,38899,22944,23768,16026,17293,13033,16025,11256,13320,6822,7919,3619,4261
  南开区,2616,2361,10470,9775,10242,9381,11679,10756,30435,26926,68269,63533,56638,53173,38365,36218,37147,35069,36870,34001,46290,42457,46318,45583,40662,42077,25416,26046,17869,18972,14621,17527,12528,14146,7167,8284,3591,4718
  河北区,1676,1484,7890,6924,7353,6707,8252,7702,16141,14127,43090,34998,53757,39901,38279,26491,30436,22186,28856,22909,40700,35965,43906,41556,35902,36305,21394,20595,12970,13493,10354,13442,9798,11835,6110,7230,3374,4363
  红桥区,1374,1307,5583,4990,5008,4716,5319,5120,12880,11658,33016,26848,27507,25351,20348,17487,17874,15118,18951,16810,28987,26487,30386,28699,23632,24282,14503,14106,8924,9487,7123,9407,6762,8133,3917,4892,1967,2567
  东丽区,2083,1916,10845,9644,10780,9379,10015,8975,23205,16597,51169,31636,37480,27764,28824,21623,30468,22830,30888,23207,28767,23440,23238,19502,18831,16344,11216,11030,6419,7697,4895,5758,3465,3422,1861,1876,871,1006
  西青区,2142,1875,11358,9762,11763,10372,10725,9844,30835,40135,69721,75525,38810,31289,30745,23735,29789,23382,31178,25215,27948,23292,21723,18959,18952,18164,12274,12544,7305,8620,5245,5811,4003,3752,2072,2097,949,1150
  津南区,2494,2155,11167,10370,10607,9742,10891,10233,21925,18718,45902,31916,34197,23067,29403,19415,34730,22961,37568,25071,29505,21673,22408,17166,18082,14551,10850,11143,6315,7818,4493,5240,3007,3176,1698,1756,764,886
  北辰区,1936,1803,10198,9292,10677,9487,10350,9581,20898,19016,52987,44485,38435,33706,29151,25216,26563,23015,27036,23996,29259,27202,27570,26451,23893,24543,15313,15493,9114,10248,6632,7443,4783,5088,2520,2951,1211,1579
