首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位：人
地    区,0岁,,1-4岁,1-4岁,5-9岁,1-4岁,10-14岁,1-4岁,15-19岁,1-4岁,20-24岁,1-4岁,25-29岁,1-4岁,30-34岁,1-4岁,35-39岁,1-4岁,40-44岁,1-4岁,45-49岁,1-4岁,50-54岁,1-4岁,55-59岁,1-4岁,60-64岁,1-4岁,65-69岁,1-4岁,70-74岁,1-4岁,75-79岁,1-4岁,80-84岁,1-4岁,85岁及以上,1-4岁
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
  黄浦区,1101,986,4610,3983,4986,4314,5412,4890,10680,9871,22261,22444,20415,20006,14134,14400,13645,14943,14591,16221,18642,19119,24498,22541,21642,19549,12882,11113,6206,5747,4723,5908,6020,8659,4196,6775,2771,5007
  卢湾区,565,585,2235,2043,2677,2216,2949,2669,5031,4784,11349,12144,11231,11808,7344,8291,6868,8103,7720,8883,10054,10595,13915,13629,12476,12071,8216,7820,4811,4594,3705,4366,4510,5843,2980,4249,2126,3324
  徐汇区,2884,2711,12079,10701,12768,11552,13854,12689,22318,20855,57640,58890,60956,60744,42349,42270,37440,37878,37180,37067,40779,39282,49985,50056,45853,46667,32101,31853,19789,20317,16789,18024,17816,20485,10679,13448,6492,9890
  长宁区,1885,1624,7658,6890,7646,6900,7887,7425,14069,13486,34085,39025,38498,44331,25970,29420,21624,23234,21023,22217,25860,25809,33911,33534,30108,30007,19433,19458,11961,12388,10259,11312,11656,14007,7099,8899,3938,6035
  静安区,579,588,2302,2022,2739,2593,3027,2973,5079,4874,10844,11850,10754,12179,7746,8927,7788,8948,8281,8805,9118,9636,12150,12340,11795,11919,8398,8109,4836,4879,4003,4173,4272,5592,2982,4142,2124,3422
  普陀区,2907,2797,16852,14709,14994,12888,14192,12835,23827,22791,61663,64124,71167,71447,55903,54182,47840,44099,46253,41690,52933,49001,67240,65192,62784,61508,39989,36831,21130,19509,15876,17092,17406,22117,11387,15342,6431,9953
  闸北区,2202,1930,9450,8263,9104,8375,9945,9279,17007,15875,41007,39380,42081,41949,31352,31093,27301,26944,27653,26661,36976,34303,47528,44887,42870,41169,26846,23546,13363,12745,10702,12181,11932,15159,7423,10497,4467,7051
  虹口区,2250,2022,9154,8068,9470,8305,10061,9324,16752,16079,39922,42011,42068,41991,29899,30410,26482,27127,26845,27775,35339,34890,47575,46524,43542,42744,28870,26021,15045,14639,11971,13679,13145,17281,8685,12270,5439,8802
  杨浦区,3123,2873,13628,12312,13389,11951,14556,13315,31015,28403,75900,70120,65191,62749,45156,44717,41154,40045,42545,40085,56076,52230,74295,71729,67157,64416,41801,37754,21417,20832,17819,20468,20434,25925,12798,17243,7320,11281
  闵行区,8278,7434,46435,40262,39648,33414,28361,24903,59033,56861,145630,146464,157578,153059,145388,132542,129873,108230,113248,94621,93812,77196,76673,70012,72945,74394,52629,51275,31005,29428,22370,22278,19956,22658,10645,14006,6133,10695
  宝山区,5441,5023,31365,27058,28740,24460,25204,21946,43412,35867,102461,86999,114728,104534,104619,90180,98894,79880,97886,75761,86679,68581,79598,70055,72142,69612,48517,43413,25676,23279,17832,18179,16913,20163,10402,14060,5773,9554
  嘉定区,3879,3298,24538,20841,22739,18591,16514,13976,40737,35784,107789,95851,100252,86632,87594,71775,80901,63193,74875,59910,61477,48358,47292,40477,43426,39787,28835,25716,16582,16129,11048,11925,10896,13294,6712,9693,3422,6493
  浦东新区,16910,15303,87472,77042,81878,70285,68296,61303,125439,118201,294401,278191,306015,291250,259216,235527,233217,201221,221616,190729,202226,175870,189772,176947,181544,178612,125300,118637,70207,65872,51295,54565,47852,59231,27210,38856,16287,30635
  金山区,1920,1753,9895,9161,12845,11366,11649,10678,20118,19749,34234,33840,30964,30101,30568,27958,31831,29379,38516,35408,37073,34253,28951,26392,28506,27178,19398,18863,13364,13613,8985,9866,7973,9883,3832,5750,2069,4556
  松江区,4811,4198,29223,24801,26519,21722,19920,16422,58528,63852,134321,130886,102242,92398,90865,76906,80193,65023,72655,61672,58799,50055,38584,34687,38845,37655,25989,24530,16758,15929,10699,11226,9857,11538,4872,7023,2728,5467
  青浦区,3541,3108,18929,16165,19387,16312,15000,12882,31942,30388,72347,67840,64942,56436,59985,49657,61518,49919,61437,51361,48973,39958,32567,26474,30266,27063,19120,17567,12998,12587,8448,9005,7616,9467,4024,5891,2004,3898
  奉贤区,3471,2901,20337,17277,22061,18880,17449,15384,34629,33188,65736,61107,57427,51760,54118,47531,55026,46306,56426,48191,47887,41705,34759,31380,34106,32269,22453,21944,14218,14313,9760,11058,8898,11076,4103,6427,2419,5483
县,1720,1621,8962,8351,8842,8227,10010,9602,16060,14588,28083,19531,23113,18185,21647,18477,24183,21047,32297,29632,34033,33101,33344,33229,32877,33906,26483,26632,19361,19826,15349,16109,11740,13839,7072,9858,4145,8640
  崇明县,1720,1621,8962,8351,8842,8227,10010,9602,16060,14588,28083,19531,23113,18185,21647,18477,24183,21047,32297,29632,34033,33101,33344,33229,32877,33906,26483,26632,19361,19826,15349,16109,11740,13839,7072,9858,4145,8640
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江苏省,367638,316347,1712346,1410923,1754767,1452806,1753098,1465559,2939819,2702916,3887759,3895712,2782481,2849435,2755438,2774319,3185636,3219523,3924609,4042005,3255929,3269253,2510290,2428126,2742953,2686617,2038145,1977846,1454528,1423744,1119522,1152797,794443,936196,428578,607129,218728,422981
南京市,26156,23042,120038,107735,128288,114793,127839,113645,299064,273954,574445,532269,377875,367032,338088,315701,347071,310215,391617,349607,358470,319378,253616,230997,256853,245314,187622,177984,122280,118534,99448,98205,73960,81291,40974,50550,18797,30997
  玄武区,1749,1593,8200,7558,8889,7971,8751,7703,22571,20966,60253,53367,47646,40623,29964,26687,25772,22208,26630,22300,26204,21532,19537,17937,16929,16997,12388,12203,8345,9107,7973,8380,6116,6281,3300,3504,1604,2219
  白下区,1653,1439,8107,7557,8614,7660,8862,7858,17379,17205,40498,37443,30944,31333,25150,25910,23262,22352,24794,22985,26933,24360,23134,21758,20428,20053,14136,14001,9856,10102,8746,9465,6990,7497,3928,4548,1998,3023
  秦淮区,1256,1179,5794,5181,5491,4887,5453,4671,10372,9026,23493,22579,23721,23036,21501,18969,19992,16055,20445,16519,19632,16041,15573,13889,13582,12863,9608,8681,5823,5430,4610,4996,3682,4178,2191,2609,1131,1816
  建邺区,1747,1497,7861,6995,7250,6270,6690,5655,12851,11042,20875,20030,22651,23301,22925,21618,23494,18475,23628,18390,21511,16913,15426,13478,13590,12922,9701,8764,5568,5125,4125,4076,2966,3297,1770,2210,927,1475
  鼓楼区,2335,2081,10679,9611,12293,11062,12842,11332,24304,25661,65060,71395,47053,44874,34220,34920,32985,31781,34803,32019,34290,30045,25466,24958,22869,24054,16481,16340,11582,12690,10980,11570,8443,9073,4959,5239,2471,3254
  下关区,1313,1098,5684,5120,6009,5256,6035,5345,12100,9828,26203,22731,24280,22077,21257,18863,20750,16966,22318,18134,23248,19115,19239,16797,16592,14447,11092,9464,6497,6060,5538,6385,4481,5518,2778,3176,1397,1926
  浦口区,2382,2213,11097,9646,11529,10282,11575,10095,32433,29629,66566,56500,30384,29854,30590,26340,29814,25179,33819,29582,30490,27162,20680,18146,20808,19367,14349,13733,9060,9485,7169,7592,5384,6684,2867,4058,1294,2461
  栖霞区,1565,1463,7759,7209,8408,7374,7838,7097,33828,35730,72958,71017,28461,27961,25309,22922,24207,20292,26849,23346,24402,21411,18529,16177,16451,15611,12188,11911,7785,8316,6296,6404,4571,4887,2299,2880,991,1593
  雨花台区,1329,1240,6505,5997,6649,5654,6113,5262,12443,10661,28734,22571,23071,19558,20277,17170,20292,15410,21263,16435,18474,14727,13295,11014,11955,10645,8385,7690,4892,5009,3894,3965,2938,3012,1453,1717,632,962
  江宁区,3933,3387,18980,17056,19493,17778,17918,16158,62818,54300,96667,84645,47310,49920,47125,44029,45500,41841,52498,49593,44187,42056,28600,27801,34996,33961,26691,26057,16927,15687,12458,11192,8566,9467,4486,6109,1864,3574
  六合区,3242,2822,14367,12872,17598,15861,17796,15995,29367,25835,41574,40427,31292,32257,33961,32940,39925,38770,52844,50362,46334,43665,32167,29000,35143,32874,25784,24709,15663,15140,12744,12550,9520,11249,5084,7473,2064,4355
  溧水县,1804,1484,7697,6506,7867,7396,8517,7886,15171,12874,17906,16770,11584,12201,14271,13442,20596,19669,25734,23805,21596,20336,11651,10442,16471,15755,12959,12364,8998,7702,6666,5628,4476,4502,2522,3169,1033,1873
  高淳县,1848,1546,7308,6427,8198,7342,9449,8588,13427,11197,13658,12794,9478,10037,11538,11891,20482,21217,25992,26137,21169,22015,10319,9600,17039,15765,13860,12067,11284,8681,8249,6002,5827,5646,3337,3858,1391,2466
无锡市,17072,15363,98560,86221,116515,100681,119720,102235,213301,190488,362292,324737,270587,254104,283775,260874,321159,294040,341309,320993,281551,260647,200716,174828,220622,204813,170801,161881,105655,98943,77476,77383,54481,61769,33232,45679,17471,32425
  崇安区,639,642,3688,3145,4049,3493,3942,3445,5655,5937,10352,10273,10792,10940,10362,10030,11442,10196,11704,10774,10310,9358,8501,7666,8069,7850,6080,5563,3922,3484,2889,3025,2491,2753,1480,1938,789,1335
  南长区,1041,905,5547,4824,6523,5690,6775,5847,8719,8250,16514,16869,16449,16786,15602,15626,17328,16501,17846,17212,16619,15371,14186,13424,14859,14693,11011,10234,7395,6949,5915,6295,4945,5508,2849,3567,1415,2402
  北塘区,1023,832,5607,4856,5889,4987,5938,5079,8655,8177,14372,14139,15151,15086,15778,14419,17109,14913,17640,16125,15516,14059,13119,11253,12062,11856,9392,8739,5708,5151,4489,4705,3433,3909,2070,2825,1032,1801
  锡山区,1781,1637,11111,9731,12539,10541,12160,9950,23714,22368,41894,37510,31747,29552,33470,29422,37081,32909,36921,34198,30188,27017,20289,16424,21476,19585,16129,15227,9672,9541,6881,6957,4506,5651,2774,4270,1507,3083
  惠山区,1930,1729,11566,9922,13706,10985,13665,10918,28376,22266,41075,35045,30696,27929,33839,29522,39792,33927,40205,35118,29121,26411,19566,16624,21816,19218,17387,15909,10215,9090,7081,6417,4160,4767,2532,3841,1571,3140
  滨湖区,3224,2859,18477,15903,20296,17799,19539,17194,45742,43879,95853,86369,64649,58409,57594,50715,60305,52143,58714,52150,47832,42559,34862,29852,37410,34925,29550,27826,18353,16838,13292,12603,8597,9844,5088,7274,2821,5502
  江阴市,4207,3713,25390,22317,31266,27092,32716,27361,52956,45059,88774,79362,63230,61033,72982,68963,81117,77114,86213,83870,70196,66141,49332,42698,53487,48799,41713,39818,25631,25571,19552,21249,12281,14386,7559,10832,3724,7434
  宜兴市,3227,3046,17174,15523,22247,20094,24985,22441,39484,34552,53458,45170,37873,34369,44148,42177,56985,56337,72066,71546,61769,59731,40861,36887,51443,47887,39539,38565,24759,22319,17377,16132,14068,14951,8880,11132,4612,7728
徐州市,65959,55173,331726,254425,249790,186472,225312,172702,373663,321454,426487,432040,277063,300870,237820,260513,304109,325805,389187,436703,317514,341401,240636,237858,276108,272357,187549,183050,148281,154661,112487,117753,82627,100522,44305,64080,23188,45575
  鼓楼区,2694,2147,13675,11140,12268,9946,9896,8494,16776,15564,21753,22713,20308,22186,19610,20340,21135,20536,24053,23470,21577,20556,16489,15823,15941,16118,10525,10458,7167,7789,5635,6402,4113,5020,2304,3059,1177,1998
  云龙区,1669,1399,7926,6537,7133,6244,6690,5649,9487,9231,18394,19974,14755,16099,14249,14389,15669,14559,17411,15890,15306,14302,11756,11080,11245,11398,7490,7216,5164,5275,3968,4468,3046,3782,1733,2349,951,1510
  九里区,953,737,5175,4003,3485,3002,3109,2517,6634,6071,11800,9894,6587,6422,5123,4825,6312,5895,8815,8173,8532,6702,5443,4466,4297,4101,2634,2617,1847,2342,1777,1766,1158,1384,580,716,261,406
  贾汪区,3614,3092,16721,12135,10962,7946,11499,8181,16522,12863,22753,22805,16419,15729,12807,12299,15347,15419,20266,21696,16576,17798,11998,12214,14505,14752,9222,9403,7208,7501,5815,5940,4271,5301,2273,3248,1310,2302
  泉山区,1810,1548,8821,7529,9795,8670,10911,9354,21460,18443,47704,31946,18885,20815,18708,21196,21857,22688,24490,24461,23925,22389,17228,17047,16529,17109,10699,11028,8047,9127,7581,8086,5437,5766,2691,2928,1246,1739
  丰县,7906,6669,34606,26628,31395,21271,30509,20898,53633,42330,35353,34348,25148,26247,24701,28722,35777,38820,43987,52485,32033,36220,26218,25921,32261,31097,24408,24546,17786,19295,12562,13372,9898,13091,5287,8512,3043,6548
  沛县,9546,7606,43072,31148,31638,21761,28800,20707,62228,49927,56180,58191,36492,39784,32507,37002,38754,42938,52515,61076,39358,44663,30289,31254,35732,35793,26081,25327,18795,19348,13475,13786,10207,12307,5779,8389,3279,6201
  铜山县,9224,7944,48735,38492,30118,23603,22981,18144,48250,45319,53614,62756,34901,39504,27737,30847,33916,38244,45829,55786,36476,42978,27455,28697,35696,36354,24179,23001,19810,20480,14247,14140,10638,12703,5796,8536,3181,6253
  睢宁县,8390,7157,39685,30103,29207,21945,39905,30258,51986,42637,33969,40403,22876,28821,22943,27833,32282,41949,44884,58716,37653,45410,28670,28638,35612,32922,24656,21638,22303,21974,16705,17349,11284,13625,6214,9108,3038,6567
  新沂市,7646,6463,46002,36752,29563,22007,21164,17053,33356,29473,47329,50965,30177,32239,23322,24263,34595,34700,44596,46790,34459,35781,23278,22702,28339,27891,17839,18251,15332,15334,12266,12642,9030,11522,4133,6571,1919,4884
  邳州市,12507,10411,67308,49958,54226,40077,39848,31447,53331,49596,77638,78045,50515,53024,36113,38797,48465,50057,62341,68160,51619,54602,41812,40016,45951,44822,29816,29565,24822,26196,18456,19802,13545,16021,7515,10664,3783,7167
常州市,16509,15064,77582,69554,90893,78414,96920,83872,159262,146787,224771,209431,179046,174940,186153,181656,223228,220785,239196,239147,208346,199261,144130,127895,160026,148661,123482,118843,76643,77071,56351,58043,39768,44931,25554,33459,13240,23517
  天宁区,1637,1561,7966,7051,10231,8731,11051,9587,16435,16997,24384,23671,20995,22501,22334,23380,26219,25856,26889,25398,21828,20345,16633,15371,16542,16115,12642,12186,8158,7896,6345,6624,4743,5405,2907,3462,1367,2351
  钟楼区,1489,1629,7289,7788,8938,8642,9462,9178,19148,15996,28481,28121,21782,22503,21842,21796,24484,23525,25320,23993,22008,19446,15421,14165,16051,15920,12576,12149,8044,7663,5967,6329,4258,4935,2534,3239,1348,2303
  戚墅堰区,397,372,1794,1521,1984,1703,2085,1694,4647,3971,5490,4082,4675,4327,4343,4052,4819,4511,5275,4882,4517,4045,3693,3228,3620,3259,2732,2569,1685,1768,1421,1405,936,1176,645,880,400,581
  新北区,2581,2210,10691,9587,11428,9798,11136,9272,20441,18675,38644,33399,29279,26428,27397,24468,29278,26891,30861,28670,26395,23799,17625,14857,18992,16842,14455,13661,8928,9204,6260,6727,3814,4970,2276,3657,1062,2486
  武进区,5537,4993,29248,25349,33059,27252,32490,27339,54225,51522,85339,78016,66514,62487,70804,65641,84537,78933,84323,79812,69360,62676,45508,37782,51059,45594,39714,38125,23782,23356,16420,16615,10533,12793,6883,10121,3923,7370
  溧阳市,2982,2560,12459,10737,15253,13309,18984,16086,28161,23343,25018,22511,20926,20626,23820,25213,32091,35460,38588,43089,36021,38420,24377,22827,30094,29073,23430,23281,14616,15294,11082,11367,8713,8790,6014,6939,3067,4901
  金坛市,1886,1739,8135,7521,10000,8979,11712,10716,16205,16283,17415,19631,14875,16068,15613,17106,21800,25609,27940,33303,28217,30530,20873,19665,23668,21858,17933,16872,11430,11890,8856,8976,6771,6862,4295,5161,2073,3525
苏州市,30763,28144,154663,136915,172799,151250,153075,135519,377201,405706,773074,777110,572558,527663,494099,437398,479214,428524,505552,474009,403615,373306,278031,256374,303860,295030,224771,220530,149949,145925,109845,115539,81698,99060,47037,69826,22669,47589
  沧浪区,1231,1191,6178,5568,6390,5637,6733,5867,9876,10134,20668,22739,19271,20661,16299,16615,15506,15400,16910,16747,16109,15283,14009,14012,14132,14178,10783,10229,7368,7140,5746,6102,4949,5214,2849,3353,1510,2459
  平江区,3653,3324,15782,13999,14830,12946,12023,10528,34968,40159,87896,94306,69032,62135,46940,39750,36972,31605,36821,32998,30526,27025,23484,22731,24595,24954,18491,18119,12462,11871,9131,9598,7000,8200,3839,5503,1977,3894
  金阊区,880,813,5010,4250,5299,4292,4760,4102,8171,9300,14646,16948,15555,16378,12982,12368,12682,11794,13140,12438,11503,10561,9432,8999,9596,9404,7368,7120,5206,4862,3988,3980,3098,3287,1718,2204,969,1727
  虎丘区,2335,2138,9977,8787,10070,8740,7785,6954,25793,28481,52254,54796,35250,32827,26646,22946,22375,19584,23641,21950,18846,17033,13424,12368,13962,14030,10335,10361,6590,6548,4827,5137,3438,4125,1911,2949,891,1967
  吴中区,3639,3381,18074,15916,18328,16138,14947,13220,46708,53110,96864,101096,68248,63781,56044,48446,51615,46349,54495,50851,42704,39046,28419,26234,29328,28862,20848,20767,13686,13941,9858,10524,7051,8773,3927,6159,1836,3907
  相城区,2496,2196,12467,10952,12346,10297,9878,8696,27541,25501,48937,46565,38218,34098,34911,28988,35167,29739,38533,35829,28759,26003,17871,15508,19612,17559,13773,12873,8199,7487,5977,6330,4254,5526,2431,4049,1018,2363
  常熟市,3596,3253,18233,16563,25611,23570,24515,22948,49292,52868,85148,86016,61567,57867,64894,60807,70458,65631,76230,73841,66050,63314,46710,43207,51105,50014,40836,40763,27093,27517,20649,22457,14290,18453,8403,13610,3778,9296
  张家港市,3428,3076,18218,16516,22839,20327,21894,19163,36431,37288,70046,67649,52075,51037,55120,52439,61731,57686,71829,69729,54010,51039,37116,34122,39789,39077,31072,31199,20503,20951,15004,16172,10101,12238,6330,9267,3483,6768
  昆山市,4544,4067,24062,20842,24242,20485,19045,15888,70685,72657,169993,154698,121562,104598,94081,76576,77104,62541,71960,62465,54007,47864,31770,29196,35748,34074,24789,24238,16404,15240,10862,10960,8896,10875,4651,6808,2035,4348
  吴江市,3356,3169,17081,15005,20086,17859,18633,16706,49078,58315,89614,97328,59261,54022,52505,47951,58029,54135,64732,63242,51283,49118,34152,30711,39771,37704,28768,26848,19580,17241,14888,14668,11227,13221,6418,9035,3031,6109
  太仓巿,1605,1536,9581,8517,12758,10959,12862,11447,18658,17893,37008,34969,32519,30259,33677,30512,37575,34060,37261,33919,29818,27020,21644,19286,26222,25174,17708,18013,12858,13127,8915,9611,7394,9148,4560,6889,2141,4751
南通市,23474,21741,98731,92648,127548,119890,148372,141899,214491,219062,218390,243888,167095,195145,187088,225208,225901,281556,348197,418026,315038,368091,267759,297825,295467,312907,250189,256166,189145,188099,155273,162277,110443,130566,63793,93171,36698,72365
  崇川区,2635,2501,12385,11349,15068,13638,15807,14720,31881,33891,56803,57964,34035,35480,35039,35860,37579,37118,46367,43823,37369,33897,25006,23773,25732,25778,19891,20417,13852,13742,10902,11266,7604,8437,4500,5635,2633,4672
  港闸区,742,629,3823,3454,4130,3637,3990,3551,9058,9725,14172,12965,11945,11241,11213,10165,10976,10111,14387,13324,11922,10801,8649,7746,9462,9248,6851,6664,4579,4630,3987,4727,2812,3638,1664,2468,1090,2150
  通州区,3808,3693,15929,15501,18969,18603,23039,23033,30901,31882,30917,35548,23685,29032,25622,32089,32981,43150,50559,64602,47292,60675,39973,47406,48728,52759,42328,43153,30825,31574,24890,27238,18090,22312,11016,16757,6727,13452
  海安县,2552,2248,10555,9845,15567,14472,17822,16611,24878,23623,18653,22757,16784,21219,20846,27256,24709,35000,42219,57280,35573,45225,32024,36321,36984,38847,32035,31080,26103,24441,21064,21063,14428,15780,7742,10896,4157,7678
  如东县,2245,2244,10717,10240,14206,13858,18009,17968,26249,26591,20445,24859,15692,19351,19928,25220,27973,34117,54372,60715,49927,53793,41902,43737,45740,46943,39611,40128,31024,29815,25344,24045,18005,19302,10414,13949,6251,11054
  启东市,3119,2914,11715,11394,15880,15657,20750,20536,25609,26609,22756,25774,20793,24617,21869,27565,27548,35208,39675,49523,43172,53195,41293,49893,41184,48698,33756,37850,24267,25566,23020,24481,17007,20523,9231,13896,5264,10718
  如皋市,5416,4639,21334,18772,26503,23707,27726,24439,37143,36325,33830,37882,24287,29621,29969,37148,37800,51147,64935,79379,55017,63038,47066,47805,51356,48747,45117,44235,34434,34391,27353,29596,18257,22943,10947,16824,5763,12175
  海门市,2957,2873,12273,12093,17225,16318,21229,21041,28772,30416,20814,26139,19874,24584,22602,29905,26335,35705,35683,49380,34766,47467,31846,41144,36281,41887,30600,32639,24061,23940,18713,19861,14240,17631,8279,12746,4813,10466
连云港市,26775,23856,159388,128271,151644,110046,149700,105317,206011,178416,205318,226203,142719,156644,124753,130689,148116,153391,192484,202128,155293,160014,139295,140657,144425,148113,89234,91811,67266,68674,50578,51975,40840,46352,20979,26968,10672,18467
  连云区,1253,1014,5307,4523,4999,3952,5642,4341,7818,6701,12763,11166,10309,9774,9022,8504,10176,9155,12186,10422,10886,9087,8817,7937,8453,8511,5158,4970,3066,3483,2475,2675,1883,2206,1020,1176,507,760
  新浦区,2434,2198,13376,10511,15161,11390,16310,12143,23500,23229,34322,34032,25899,24436,25811,23316,28376,24461,31482,26378,24722,20233,18869,16983,16509,17143,10669,10925,7501,7712,5635,5900,4168,4194,2225,2381,1169,1677
  海州区,1312,1158,6730,5592,6487,5064,7335,5337,10658,9700,11630,11891,8137,8397,7253,7412,8384,8182,10665,10518,9382,8798,8122,7728,7403,7707,4693,5010,3249,3908,2501,2807,2003,2196,1034,1215,608,840
  赣榆县,6093,5656,36882,30138,34477,23979,35842,22213,56289,41196,39709,46249,25773,30625,19153,23221,27123,34187,36093,47700,28681,37109,26396,31256,31069,34228,21141,22507,15205,15680,11820,12265,10291,11814,5060,7012,2306,4048
  东海县,5732,4944,40846,32871,35609,26246,31180,22836,44818,41779,41884,50321,27176,32430,22911,25715,30327,33321,41242,45789,30094,33937,26196,28095,30544,32150,19466,19778,16296,14520,12153,10991,10286,11594,5009,6563,2417,4602
  灌云县,6112,5403,29631,24768,29012,22119,30805,22796,37944,34464,38343,40837,25399,26680,23629,23844,24349,23716,34464,34697,29631,28971,29302,27986,28691,27281,15192,15845,12342,13296,8908,9838,7434,8489,4151,5062,2269,3809
  灌南县,3839,3483,26616,19868,25899,17296,22586,15651,24984,21347,26667,31707,20026,24302,16974,18677,19381,20369,26352,26624,21897,21879,21593,20672,21756,21093,12915,12776,9607,10075,7086,7499,4775,5859,2480,3559,1396,2731
淮安市,28825,24038,131598,108540,143830,116875,138557,114768,213376,195475,191353,213941,123113,146894,136500,153366,178339,195465,240655,257568,187458,192552,165073,159155,167543,162915,110638,104563,86714,87110,68372,73043,44660,54947,20799,31674,10040,21330
  清河区,2045,1746,9838,7974,11502,9424,12542,10126,33448,29780,44035,39532,19590,20185,20430,20914,22631,21802,26102,24374,20005,17497,15379,13347,13095,12059,8457,7782,5980,6069,4997,5342,3124,3579,1509,1776,813,1182
  楚州区,5749,4752,25858,20040,30025,22433,30582,22367,51968,41917,32182,36762,23161,28146,26727,31095,34453,39541,46286,51437,36970,40870,33436,33738,35979,35793,26988,25809,18356,18397,16132,17036,10534,12577,4478,6541,1979,3889
  淮阴区,5911,4954,24816,20915,25905,21475,23659,19924,33841,35627,32341,38851,19372,22760,21738,24345,25636,29048,36887,40603,29707,30506,26844,26058,26649,24932,17707,15237,14206,13808,11651,12274,7065,9027,3575,5706,1829,4358
  清浦区,1657,1413,6813,5508,8387,6807,9681,7968,13699,12222,13197,14101,9992,11714,11889,13203,13869,14549,19168,19358,14886,13819,11519,10870,10815,10371,6273,6130,5164,5471,4417,5103,2801,3315,1195,1660,585,1075
  涟水县,6271,5018,31179,25331,35044,27198,28210,23235,35085,32531,32147,40392,19038,26422,20053,24109,27314,31523,36789,42857,28362,32164,28721,28275,30988,31139,20814,20265,15597,14882,12233,13020,7640,10345,3245,5807,1872,4672
  洪泽县,1471,1205,7334,6265,9116,8026,8848,8039,10874,10165,7716,9193,7044,9048,9581,11394,14309,15813,19050,20029,14152,14690,12434,12412,12423,12372,8055,7903,7028,7052,4983,5209,3137,4016,1519,2401,674,1479
  盱眙县,4579,3896,20748,18176,17977,16296,17574,16375,25218,24636,22581,27009,18157,20929,17659,18897,25110,26811,34627,35796,28579,27504,24214,21870,24281,22462,13290,12555,12708,13501,8555,9630,6482,7493,3374,4835,1436,2939
  金湖县,1142,1054,5012,4331,5874,5216,7461,6734,9243,8597,7154,8101,6759,7690,8423,9409,15017,16378,21746,23114,14797,15502,12526,12585,13313,13787,9054,8882,7675,7930,5404,5429,3877,4595,1904,2948,852,1736
盐城市,43024,34118,181737,139618,184669,147964,172172,139377,227130,191947,254876,272014,209003,230941,212103,229018,271623,286559,387551,398528,322426,324841,284498,277170,286350,280247,203113,201189,150060,149324,121373,126513,82060,94766,37372,51820,19732,35374
  亭湖区,4997,3639,18941,13918,21670,17245,21313,17424,34673,28295,46846,46292,28857,31254,30775,33884,40815,41426,53590,51855,41128,38778,30223,28416,28150,27166,19591,19999,14628,15407,11930,12667,7695,8733,3364,4474,1669,2787
  盐都区,3894,3282,17279,11823,17834,12537,16767,11984,26636,23421,29026,29611,21264,22413,22300,22849,27868,28519,37629,39692,27658,29709,22181,23590,27381,27940,20936,20162,15850,14703,12391,12125,8182,9337,3252,4554,1657,3086
  响水县,4234,3294,21274,16419,17914,13780,14334,10518,16403,14380,23083,25441,19785,19892,14751,14353,17144,16274,23253,22384,18851,17874,20072,19204,19156,18436,10951,10784,7373,7689,5943,6263,4213,4919,2323,3225,1272,2422
  滨海县,8455,6508,37869,29797,31183,24781,23677,18529,32763,28543,36767,42565,34821,38957,28344,29930,33829,34203,42326,40962,34381,32916,36044,34267,36176,35606,24574,23923,15689,15650,13399,13594,8714,10521,4282,6059,2291,4320
  阜宁县,6528,4676,25518,18466,22204,18063,20596,16670,24671,19693,27567,30065,28243,32080,25732,26979,30431,31663,40695,42225,32730,34777,32793,32162,35149,33414,25024,23828,18331,17811,13969,14186,9380,10906,4018,5836,2135,4250
  射阳县,4987,4058,21091,17288,21149,18634,20480,17786,25253,21767,26887,28296,24792,27417,25258,27680,35449,37320,53301,54261,44175,42499,39049,35987,36730,34106,24496,25011,16635,17484,13878,15997,9538,11738,4299,6114,2212,3971
  建湖县,3402,2968,15813,11551,21018,14520,20016,14836,23255,17039,24108,24526,18894,21099,23442,25095,29568,31548,40626,44247,30493,32722,24580,26296,30223,31245,23677,22026,18363,15916,14028,12700,8803,9452,3471,4796,2009,3393
  东台市,3831,3293,13960,11836,18340,16142,20198,17931,27087,23037,22667,25907,17164,21593,21441,26878,29130,36774,51022,59526,51190,55993,46007,45264,43907,43362,33829,34529,27262,27719,23056,24573,16537,18784,8101,10925,4177,7334
  大丰市,2696,2400,9992,8520,13357,12262,14791,13699,16389,15772,17925,19311,15183,16236,20060,21370,27389,28832,45109,43376,41820,39573,33549,31984,29478,28972,20035,20927,15929,16945,12779,14408,8998,10376,4262,5837,2310,3811
扬州市,15480,13117,67356,57672,95129,84183,103533,90759,154314,144143,154109,157607,113670,125996,152290,165705,183000,200051,245470,269612,182801,199637,138773,143530,176014,179483,149123,142757,100594,91986,76586,75748,51833,61584,25373,37370,11000,22678
  广陵区,1475,1249,5251,4528,6685,5726,7215,6207,14579,11743,13371,12922,12302,12628,13540,14140,14610,14979,18113,17390,15303,14389,12270,11703,11533,11422,9240,9167,6417,6566,5118,5270,3582,3786,2011,2272,896,1445
