首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,
地    区,全部数据,,,长表数据,,,,,,,,,,,,
,家庭户,"平均每户
住房间数
（间/户）","人均住房
建筑面积
（平方米/人）",家庭户,住房内有无管道自来水,,住房内有无厨房,,住房内有无厕所,,住房内有无洗澡设施,,住房来源,,,
,,,,,有,无,有,无,有,无,有,无,租赁,自建,购买,其他
  赞皇县,65677,4.61,29.18,7158,1842,5316,3443,3715,2351,4807,829,6329,131,6769,234,24
  无极县,129011,3.79,36.16,12770,10441,2329,11212,1558,9661,3109,7897,4873,39,11648,1063,20
  平山县,122297,3.99,34.60,12263,4244,8019,5652,6611,3904,8359,3079,9184,280,10765,1072,146
  元氏县,95829,5.43,34.49,9650,1934,7716,5258,4392,4425,5225,3035,6615,40,8830,724,56
  赵县,148326,4.60,37.58,14878,12624,2254,13684,1194,13213,1665,9985,4893,81,13777,989,31
  辛集市,176891,4.27,33.62,18159,13712,4447,14833,3326,14009,4150,13579,4580,279,14782,3053,45
  藁城市,197063,4.72,34.81,19798,4888,14910,15554,4244,11350,8448,9426,10372,80,17864,1845,9
  晋州市,144670,4.18,32.12,14508,12975,1533,13108,1400,12736,1772,11318,3190,112,13125,1241,30
  新乐市,117416,4.40,29.27,11605,4729,6876,10264,1341,6787,4818,5111,6494,107,10353,1109,36
  鹿泉市,106257,4.38,44.72,10737,10222,515,10377,360,9691,1046,8392,2345,250,8475,1935,77
唐山市,2375634,2.60,28.04,236944,200102,36842,220418,16526,196160,40784,159933,77011,8705,166650,59174,2415
  路南区,95975,2.38,25.57,9597,9348,249,8868,729,6934,2663,8019,1578,961,2729,5581,326
  路北区,229744,2.18,24.30,22827,22087,740,21982,845,20807,2020,20946,1881,1346,2151,18809,521
  古冶区,126504,2.23,22.87,12630,12334,296,11655,975,10599,2031,7258,5372,979,3972,7568,111
  开平区,89942,2.46,27.12,8984,7764,1220,7655,1329,6335,2649,5860,3124,734,4853,3229,168
  丰润区,189128,3.10,30.61,18776,18232,544,16870,1906,16589,2187,16128,2648,841,14435,3179,321
  丰南区,307903,2.30,28.20,30677,28140,2537,29518,1159,27581,3096,21523,9154,1274,22559,6714,130
  滦县,174418,2.86,28.97,17487,11029,6458,16405,1082,15130,2357,9221,8266,187,15582,1622,96
  滦南县,184264,2.56,30.99,18555,17240,1315,18179,376,17488,1067,8177,10378,207,17056,1263,29
  乐亭县,175202,2.51,30.70,17300,17160,140,17010,290,13726,3574,12641,4659,399,14803,1911,187
  迁西县,112491,2.66,27.43,11347,4633,6714,10783,564,10591,756,6332,5015,267,9999,1028,53
  玉田县,210772,2.87,27.51,21045,17808,3237,17244,3801,15755,5290,12975,8070,328,18690,1946,81
  唐海县,53466,2.17,30.90,5389,5209,180,5092,297,3748,1641,2856,2533,301,3866,1057,165
  遵化市,212087,3.10,28.18,21358,11759,9599,18339,3019,10525,10833,10502,10856,300,18819,2189,50
  迁安市,213738,2.61,28.28,20972,17359,3613,20818,154,20352,620,17495,3477,581,17136,3078,177
秦皇岛市,957621,2.60,30.52,95296,52078,43218,85601,9695,68697,26599,41734,53562,5835,61134,26625,1702
  海港区,247093,2.36,30.42,24321,22942,1379,23994,327,22719,1602,19189,5132,3537,2825,17332,627
  山海关区,59789,2.30,27.92,5902,5408,494,5824,78,4732,1170,4012,1890,683,1660,3219,340
  北戴河区,26729,3.08,39.55,2622,2585,37,2570,52,2157,465,1946,676,296,958,1185,183
  青龙满族自治县,142295,2.32,26.12,14209,2752,11457,13318,891,10829,3380,1820,12389,449,12905,727,128
  昌黎县,184921,2.81,33.45,18502,9175,9327,16587,1915,9816,8686,7442,11060,370,16324,1589,219
  抚宁县,165945,3.10,32.29,16629,6465,10164,11032,5597,10019,6610,4739,11890,352,14283,1833,161
  卢龙县,130849,2.50,29.35,13111,2751,10360,12276,835,8425,4686,2586,10525,148,12179,740,44
邯郸市,2359454,4.84,30.55,234739,147985,86754,193918,40821,171374,63365,98300,136439,6069,190045,36441,2184
