首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,
地    区,全部数据,,,长表数据,,,,,,,,,,,,
,家庭户,"平均每户
住房间数
（间/户）","人均住房
建筑面积
（平方米/人）",家庭户,住房内有无管道自来水,,住房内有无厨房,,住房内有无厕所,,住房内有无洗澡设施,,住房来源,,,
,,,,,有,无,有,无,有,无,有,无,租赁,自建,购买,其他
  如皋市,394838,3.81,53.77,39715,37057,2658,37780,1935,35450,4265,36581,3134,755,34049,4363,548
  海门市,358480,2.47,49.61,35793,34702,1091,34103,1690,24722,11071,25368,10425,1548,27759,5875,611
连云港市,1286515,3.65,34.05,125867,84492,41375,104015,21852,82637,43230,82920,42947,4551,98381,21416,1519
  连云区,73320,3.29,38.17,7186,6597,589,6793,393,5740,1446,6065,1121,923,2438,3531,294
  新浦区,160503,3.00,34.70,15440,14042,1398,14058,1382,11781,3659,12712,2728,1789,4655,8539,457
  海州区,66463,3.23,34.87,6664,5556,1108,5845,819,3330,3334,4650,2014,679,4239,1684,62
  赣榆县,308240,3.76,36.53,29977,21136,8841,26407,3570,24569,5408,19543,10434,332,27455,1932,258
  东海县,267850,3.69,30.43,26873,10152,16721,16519,10354,12447,14426,15367,11506,363,23810,2476,224
  灌云县,227066,3.93,31.43,22312,11847,10465,18794,3518,11776,10536,11930,10382,251,20023,1922,116
  灌南县,183073,3.95,36.99,17415,15162,2253,15599,1816,12994,4421,12653,4762,214,15761,1332,108
淮安市,1390682,3.19,35.90,134936,109264,25672,121294,13642,88824,46112,102183,32753,6427,101044,25605,1860
  清河区,133855,2.96,32.96,12337,11746,591,11798,539,10853,1484,11277,1060,1675,2982,7308,372
  楚州区,288633,2.93,33.25,27497,23301,4196,22735,4762,16121,11376,20642,6855,604,23632,2964,297
  淮阴区,223378,3.52,41.25,21599,17975,3624,20359,1240,17201,4398,17822,3777,457,18298,2611,233
  清浦区,96932,3.34,37.59,8874,8139,735,8242,632,6713,2161,7821,1053,596,4294,3840,144
  涟水县,245378,3.84,37.63,24386,16115,8271,21260,3126,11769,12617,16637,7749,537,21197,2465,187
  洪泽县,105484,2.85,33.01,10702,9187,1515,10300,402,8211,2491,8806,1896,967,7425,2089,221
  盱眙县,182496,3.11,33.02,18424,12442,5982,15795,2629,8441,9983,10480,7944,494,15899,1854,177
  金湖县,114526,2.42,37.25,11117,10359,758,10805,312,9515,1602,8698,2419,1097,7317,2474,229
盐城市,2400777,2.82,34.02,227513,216436,11077,209922,17591,173498,54015,160436,67077,9160,174517,40834,3002
  亭湖区,277283,2.95,33.08,26669,25398,1271,25070,1599,23433,3236,20841,5828,2474,13278,10330,587
  盐都区,222716,2.82,34.57,21457,20995,462,20585,872,19090,2367,17849,3608,786,17030,3474,167
  响水县,145315,3.33,28.36,14278,12527,1751,12078,2200,7432,6846,7837,6441,413,11593,2011,261
  滨海县,288953,2.63,26.06,25588,23908,1680,22101,3487,14613,10975,12077,13511,647,21558,3013,370
  阜宁县,263494,3.23,31.71,25327,22581,2746,20451,4876,13047,12280,13874,11453,489,20813,3766,259
  射阳县,313489,2.52,30.53,28418,27979,439,27348,1070,24252,4166,19901,8517,954,22331,4886,247
  建湖县,253133,2.34,30.19,23232,22773,459,22379,853,17448,5784,14978,8254,933,16875,5218,206
  东台市,368437,3.29,46.76,36499,35530,969,34742,1757,30830,5669,31456,5043,945,31169,3918,467
  大丰市,267957,2.38,42.89,26045,24745,1300,25168,877,23353,2692,21623,4422,1519,19870,4218,438
扬州市,1402301,3.01,41.88,140357,136739,3618,136483,3874,122730,17627,125568,14789,9113,90527,38305,2412
  广陵区,110157,2.75,30.78,10985,10714,271,10118,867,9073,1912,9092,1893,2271,2581,5631,502
  邗江区,156785,3.36,45.98,15555,15167,388,15146,409,14540,1015,14613,942,830,10610,3917,198
  维扬区,134166,2.83,38.42,13458,13175,283,13090,368,12843,615,12628,830,1671,3736,7456,595
  宝应县,258012,2.90,42.57,25318,24424,894,24782,536,19723,5595,20577,4741,1373,18354,5273,318
  仪征市,174342,3.16,43.19,17475,17444,31,16999,476,16308,1167,15906,1569,744,11602,4890,239
  高邮市,241113,2.81,42.50,24119,23650,469,23731,388,21001,3118,21665,2454,706,18916,4313,184
  江都市,327726,3.17,43.06,33447,32165,1282,32617,830,29242,4205,31087,2360,1518,24728,6825,376
镇江市,974874,3.07,40.00,95145,90190,4955,89336,5809,82749,12396,82428,12717,11910,52681,28782,1772
  京口区,180496,2.61,33.29,17720,17369,351,17052,668,16519,1201,15961,1759,2296,4218,10676,530
  润州区,98110,2.45,29.13,9342,9104,238,8692,650,8087,1255,7849,1493,1812,1946,5351,233
  丹徒区,90067,3.37,39.11,8891,7618,1273,8543,348,7624,1267,8062,829,407,7358,1001,125
  丹阳市,311798,3.09,42.92,31119,29329,1790,29097,2022,26966,4153,25854,5265,5284,18785,6452,598
  扬中市,100018,3.89,57.20,10033,9896,137,9753,280,9243,790,9303,730,947,7016,1964,106
  句容市,194385,3.20,37.59,18040,16874,1166,16199,1841,14310,3730,15399,2641,1164,13358,3338,180
泰州市,1527619,3.23,47.89,152664,147545,5119,143540,9124,123687,28977,129176,23488,8591,115141,26169,2763
  海陵区,179147,3.19,44.05,17883,17588,295,17400,483,15884,1999,16297,1586,2166,7468,7651,598
  高港区,90613,3.61,62.44,8984,8596,388,8292,692,7735,1249,7829,1155,680,7105,1063,136
  兴化市,428790,2.80,33.78,42344,41061,1283,39408,2936,28320,14024,30767,11577,1601,35055,5240,448
  靖江市,209660,3.77,63.29,21383,21084,299,20886,497,19905,1478,19825,1558,1864,14610,3862,1047
  泰兴市,365218,3.37,54.98,36562,34540,2022,33175,3387,31073,5489,32038,4524,1340,30715,4312,195
  姜堰市,254191,3.21,44.73,25508,24676,832,24379,1129,20770,4738,22420,3088,940,20188,4041,339
宿迁市,1304062,3.44,33.95,126527,94142,32385,113270,13257,73250,53277,78080,48447,3280,103510,18693,1044
  宿城区,228655,3.40,38.68,22168,17912,4256,20504,1664,15661,6507,16020,6148,763,15858,5430,117
  宿豫区,172358,3.47,39.42,17265,12939,4326,15788,1477,12164,5101,9877,7388,154,15040,1990,81
  沭阳县,416656,3.27,31.37,40836,29274,11562,37114,3722,26123,14713,25778,15058,1076,33492,5734,534
  泗阳县,225418,4.33,38.31,21319,17259,4060,18757,2562,10241,11078,13253,8066,198,19032,2032,57
  泗洪县,260975,2.96,26.47,24939,16758,8181,21107,3832,9061,15878,13152,11787,1089,20088,3507,255
,,,,,,,,,,,,,,,,
浙江省,18854021,2.80,40.13,1905809,1751762,154047,1648232,257577,1550081,355728,1292781,613028,542320,941562,349405,72522
杭州市,2970849,2.79,41.53,304192,299343,4849,273842,30350,282276,21916,234062,70130,107025,109794,80104,7269
  上城区,132660,1.96,25.09,13379,13280,99,12465,914,12299,1080,11820,1559,3941,251,9082,105
  下城区,201735,1.88,24.01,20244,20244,,19704,540,20244,,16990,3254,7732,562,11950,
  江干区,302743,1.71,20.69,28766,28766,,26295,2471,28766,,21369,7397,17412,2375,7449,1530
  拱墅区,215345,1.70,21.72,23012,23012,,21685,1327,22745,267,17686,5326,12610,1241,9161,
  西湖区,251516,2.44,33.01,25021,24949,72,22209,2812,24049,972,21384,3637,9890,4007,10881,243
  滨江区,105285,2.28,34.81,9781,9781,,6539,3242,8318,1463,7093,2688,5363,1515,1973,930
  萧山区,489436,3.39,50.75,51245,49685,1560,44590,6655,43218,8027,39686,11559,16370,25292,7925,1658
  余杭区,391655,3.36,47.54,44134,44134,,40981,3153,44134,,35176,8958,17421,18672,7064,977
  桐庐县,147246,3.23,51.45,14705,14705,,13114,1591,12608,2097,10057,4648,2708,8801,2854,342
  淳安县,132152,3.67,54.94,13331,13331,,12672,659,9646,3685,8107,5224,1038,9884,2279,130
  建德市,156151,3.63,54.46,15798,13767,2031,14262,1536,12590,3208,11187,4611,1663,10547,3241,347
  富阳市,239196,3.24,51.22,24046,22967,1079,21373,2673,22929,1117,18629,5417,5636,14196,3499,715
  临安市,205729,3.06,53.95,20730,20722,8,17953,2777,20730,,14878,5852,5241,12451,2746,292
宁波市,2855142,2.27,34.51,300384,286567,13817,250931,49453,226259,74125,182933,117451,106728,119250,65779,8627
  海曙区,137979,2.12,27.51,13336,13212,124,12432,904,12238,1098,11298,2038,3296,300,9239,501
  江东区,136373,2.19,29.28,14556,14035,521,12882,1674,12911,1645,12001,2555,4682,205,9278,391
  江北区,131210,2.01,27.75,14393,13579,814,11363,3030,9936,4457,8442,5951,6296,2545,4646,906
  北仑区,222322,2.17,30.33,23407,22095,1312,20248,3159,20333,3074,14691,8716,11197,6382,5147,681
  镇海区,165724,1.87,24.67,16767,15640,1127,13632,3135,10712,6055,8787,7980,8221,3263,4498,785
  鄞州区,497417,1.90,29.98,57031,54588,2443,45309,11722,39156,17875,32163,24868,25256,17968,11441,2366
  象山县,187639,2.77,39.79,18983,18251,732,17034,1949,17006,1977,13460,5523,3956,11090,3474,463
  宁海县,237555,2.49,35.34,23082,21525,1557,19933,3149,17223,5859,13476,9606,6280,13647,2692,463
  余姚市,358963,2.73,41.43,39445,38353,1092,34161,5284,30858,8587,24441,15004,11159,20812,7017,457
  慈溪市,589126,2.29,39.40,60320,56798,3522,46208,14112,42015,18305,31364,28956,23129,31687,4391,1113
  奉化市,190834,2.35,37.50,19064,18491,573,17729,1335,13871,5193,12810,6254,3256,11351,3956,501
温州市,2910274,2.54,31.22,282574,261302,21272,237807,44767,230684,51890,197105,85469,91240,135601,41156,14577
  鹿城区,431361,1.86,24.56,41745,40538,1207,32641,9104,35770,5975,27893,13852,18894,4127,14993,3731
  龙湾区,229198,2.09,24.35,21895,19679,2216,16095,5800,18104,3791,13473,8422,11354,6819,1443,2279
  瓯海区,268250,1.99,22.77,25813,24311,1502,19192,6621,22336,3477,18530,7283,12576,8240,2308,2689
  洞头县,34286,2.65,40.74,3343,2756,587,3074,269,2676,667,2394,949,534,2223,431,155
  永嘉县,260528,2.69,32.01,25569,22868,2701,21329,4240,17485,8084,16399,9170,6781,14967,2259,1562
  平阳县,248763,3.14,38.70,24995,23560,1435,23265,1730,22086,2909,20564,4431,3125,17811,3453,606
  苍南县,362698,2.75,32.36,35187,33472,1715,32497,2690,31335,3852,28641,6546,5042,22500,6822,823
  文成县,81131,3.59,49.74,7625,6021,1604,7157,468,4874,2751,4878,2747,531,6404,460,230
  泰顺县,83457,4.04,48.54,8464,7545,919,8073,391,7407,1057,6116,2348,640,7083,477,264
  瑞安市,451243,2.49,31.51,44123,41491,2632,39056,5067,38063,6060,31282,12841,15773,21316,6146,888
  乐清市,459359,2.76,32.34,43815,39061,4754,35428,8387,30548,13267,26935,16880,15990,24111,2364,1350
嘉兴市,1449492,2.98,48.03,145891,141173,4718,128293,17598,134155,11736,105394,40497,46685,62403,33104,3699
  南湖区,205253,2.52,36.59,20406,19345,1061,18615,1791,18936,1470,15844,4562,5787,4313,9704,602
  秀洲区,198641,2.37,37.13,19868,19220,648,15231,4637,16315,3553,10307,9561,8856,6994,3533,485
  嘉善县,206919,2.21,33.73,21392,21005,387,19695,1697,19930,1462,14879,6513,9887,7600,3578,327
  海盐县,132923,2.96,52.70,13241,12636,605,12219,1022,12482,759,10733,2508,2554,7337,3027,323
  海宁市,245750,3.08,51.14,24227,23395,832,22065,2162,22928,1299,19572,4655,6212,13210,4147,658
  平湖市,207689,3.36,48.17,20963,20216,747,17981,2982,19237,1726,15316,5647,6219,9293,4597,854
  桐乡市,252317,4.08,68.46,25794,25356,438,22487,3307,24327,1467,18743,7051,7170,13656,4518,450
湖州市,903467,3.32,45.66,91288,84819,6469,84389,6899,80333,10955,70594,20694,15944,52029,20141,3174
  吴兴区,207496,3.18,38.78,21092,20613,479,20286,806,20150,942,17651,3441,3529,8080,8559,924
  南浔区,169491,3.43,44.97,17427,17011,416,15782,1645,15029,2398,12727,4700,3494,10316,2836,781
  德清县,160049,3.16,52.28,15834,15046,788,14342,1492,14491,1343,12179,3655,3480,8389,3276,689
  长兴县,207631,3.49,46.15,20865,19492,1373,19416,1449,17378,3487,16159,4706,2318,14520,3675,352
  安吉县,158800,3.34,48.52,16070,12657,3413,14563,1507,13285,2785,11878,4192,3123,10724,1795,428
绍兴市,1739568,2.90,44.90,173233,159569,13664,153217,20016,126936,46297,115091,58142,36748,98185,30185,8115
  越城区,300851,2.30,34.59,29903,28806,1097,26223,3680,24039,5864,21635,8268,8160,8376,9815,3552
  绍兴县,365123,2.55,40.17,36716,33369,3347,28816,7900,23193,13523,21699,15017,13703,17435,3642,1936
  新昌县,154734,3.03,45.93,15533,13599,1934,14106,1427,9133,6400,7996,7537,2019,10488,2886,140
  诸暨市,389539,3.17,51.53,38762,36397,2365,34745,4017,31119,7643,27250,11512,7714,24259,5352,1437
  上虞巿,274674,2.91,49.15,27334,25434,1900,25491,1843,21435,5899,19352,7982,2873,18813,4977,671
  嵊州市,254647,3.60,48.75,24985,21964,3021,23836,1149,18017,6968,17159,7826,2279,18814,3513,379
金华市,1942210,2.78,42.00,198308,175016,23292,166559,31749,160017,38291,119965,78343,52594,113487,22703,9524
  婺城区,287407,2.54,39.67,28365,27116,1249,25626,2739,24938,3427,20041,8324,7475,11682,8132,1076
  金东区,120228,3.15,47.57,12077,11277,800,10829,1248,10259,1818,7706,4371,1406,9110,772,789
  武义县,141852,3.20,42.94,14312,12583,1729,12063,2249,10811,3501,8723,5589,3756,8304,1605,647
  浦江县,145135,2.31,41.64,15293,13426,1867,12754,2539,12851,2442,8734,6559,3697,9899,1002,695
  磐安县,67117,2.27,50.50,6669,6356,313,6129,540,4534,2135,2812,3857,560,5595,412,102
  兰溪市,201372,2.69,46.11,20233,15952,4281,16970,3263,13956,6277,11744,8489,911,15153,3627,542
  义乌市,419193,2.09,29.29,43397,39308,4089,35118,8279,37401,5996,26749,16648,18343,18549,2873,3632
  东阳市,288030,4.36,62.31,29527,24637,4890,26381,3146,25210,4317,18801,10726,5470,21396,2011,650
  永康市,271876,2.47,33.59,28435,24361,4074,20689,7746,20057,8378,14655,13780,10976,13799,2269,1391
衢州市,767535,3.82,56.05,76313,47741,28572,68353,7960,56977,19336,50724,25589,6669,53627,13983,2034
  柯城区,163401,3.43,46.72,16239,12968,3271,15018,1221,14113,2126,12970,3269,2554,6819,6521,345
  衢江区,117467,4.20,57.23,11775,4710,7065,9678,2097,7594,4181,6834,4941,665,10397,339,374
  常山县,89635,4.04,63.35,8921,3268,5653,8353,568,6849,2072,5978,2943,394,7030,1215,282
  开化县,92742,3.56,60.93,9184,7612,1572,8728,456,7202,1982,5671,3513,559,7250,1217,158
  龙游县,128679,3.20,49.07,12738,6790,5948,10724,2014,8982,3756,8410,4328,963,9232,2075,468
  江山市,175611,4.40,62.89,17456,12393,5063,15852,1604,12237,5219,10861,6595,1534,12899,2616,407
舟山市,430011,2.12,34.68,42190,38717,3473,37078,5112,34735,7455,29210,12980,9351,17733,13114,1992
  定海区,176513,2.12,34.34,17266,16160,1106,15099,2167,15232,2034,12409,4857,4327,6489,5572,878
  普陀区,145992,2.11,33.09,14268,12937,1331,12356,1912,11473,2795,9853,4415,3335,5363,4734,836
  岱山县,76031,2.15,37.02,7555,7043,512,6861,694,5960,1595,5070,2485,1193,4157,2020,185
  嵊泗县,31475,2.08,38.57,3101,2577,524,2762,339,2070,1031,1878,1223,496,1724,788,93
台州市,2115870,3.07,40.11,215629,189798,25831,181141,34488,165286,50343,141681,73948,55293,131028,19137,10171
  椒江区,220583,2.60,37.08,23017,22075,942,20156,2861,20695,2322,17325,5692,7112,10540,4198,1167
  黄岩区,220973,3.29,41.92,23012,20942,2070,20156,2856,18946,4066,16469,6543,5593,14094,2258,1067
  路桥区,200316,2.51,34.55,20081,18121,1960,16109,3972,16921,3160,14565,5516,7775,10233,1136,937
  玉环县,228771,2.34,28.75,23009,20130,2879,16059,6950,16667,6342,13562,9447,10571,10063,1698,677
  三门县,116535,3.33,46.06,11933,10833,1100,10690,1243,8427,3506,7719,4214,1249,9191,1018,475
  天台县,144586,3.40,47.33,14537,11493,3044,13177,1360,7410,7127,6167,8370,1280,11622,1201,434
  仙居县,123657,3.83,50.75,12445,9012,3433,10796,1649,6084,6361,5005,7440,1427,9745,998,275
  温岭市,505042,2.79,36.62,52166,46335,5831,41438,10728,42537,9629,35454,16712,15066,29970,3111,4019
  临海市,355407,3.93,47.13,35429,30857,4572,32560,2869,27599,7830,25415,10014,5220,25570,3519,1120
丽水市,769603,3.15,38.28,75807,67717,8090,66622,9185,52423,23384,46022,29785,14043,48425,9999,3340
  莲都区,164241,2.39,30.17,15959,14338,1621,13488,2471,12904,3055,11525,4434,4984,6668,3477,830
  青田县,115546,3.11,39.84,11491,10306,1185,10255,1236,8864,2627,8775,2716,2195,7240,1381,675
  缙云县,144359,2.87,39.04,14231,12638,1593,12133,2098,9091,5140,7016,7215,2283,10142,1119,687
  遂昌县,70191,3.36,48.00,6915,6105,810,6278,637,4136,2779,3903,3012,6,5326,875,160
  松阳县,71319,3.45,44.15,6928,6022,906,6318,610,4897,2031,4015,2913,629,5467,454,378
  云和县,36405,3.29,37.17,3609,3405,204,3199,410,2403,1206,2094,1515,712,2251,570,76
  庆元县,49777,4.64,41.36,4933,4613,320,4421,512,2721,2212,2138,2795,761,3411,588,173
  景宁畲族自治县,38355,3.61,35.05,3910,3414,496,3394,516,2333,1577,1930,1980,763,2608,445,94
  龙泉市,79410,3.60,37.09,7831,6876,955,7136,695,5074,2757,4626,3205,1162,5312,1090,267
,,,,,,,,,,,,,,,,
安徽省,18861956,3.18,32.76,1700012,765403,934609,1415241,284771,1087994,612018,885299,814713,110190,1250613,300808,38401
合肥市,1832390,2.56,30.01,156178,100095,56083,132022,24156,117717,38461,99071,57107,29567,61289,56670,8652
  瑶海区,301023,2.11,27.45,25417,23217,2200,22705,2712,22675,2742,19455,5962,6696,2936,13948,1837
  庐阳区,200926,2.11,26.19,16098,14470,1628,14581,1517,14662,1436,12748,3350,4040,1579,8982,1497
  蜀山区,270755,2.34,31.78,23899,21987,1912,21930,1969,21781,2118,19894,4005,5888,1407,14828,1776
  包河区,263526,2.24,28.76,22301,19586,2715,18805,3496,18518,3783,15658,6643,8022,3098,10128,1053
  长丰县,232783,2.84,29.40,19307,5620,13687,13570,5737,9792,9515,8198,11109,986,15470,2192,659
  肥东县,285800,3.21,31.84,25610,6626,18984,20548,5062,17455,8155,10944,14666,1768,20240,2760,842
  肥西县,277577,2.96,33.34,23546,8589,14957,19883,3663,12834,10712,12174,11372,2167,16559,3832,988
芜湖市,781367,2.34,33.20,66679,58953,7726,61788,4891,52307,14372,52183,14496,7413,32870,23783,2613
  镜湖区,195986,1.91,24.52,14470,14132,338,13566,904,12922,1548,12410,2060,2161,1894,9816,599
  弋江区,92065,2.23,30.74,7527,7319,208,7147,380,6726,801,6792,735,1058,1840,4065,564
  鸠江区,93775,2.44,31.99,8160,7884,276,7598,562,6035,2125,6664,1496,1601,2703,3395,461
  三山区,51190,2.87,38.71,4598,4437,161,4302,296,2861,1737,3432,1166,193,3543,660,202
  芜湖县,107970,2.29,35.21,9552,8724,828,8795,757,7758,1794,7404,2148,773,6578,2041,160
  繁昌县,93904,2.59,37.25,8461,7256,1205,7439,1022,5551,2910,5902,2559,799,5448,1945,269
  南陵县,146477,2.64,40.78,13911,9201,4710,12941,970,10454,3457,9579,4332,828,10864,1861,358
蚌埠市,972791,3.23,30.83,88022,32485,55537,64560,23462,49807,38215,50008,38014,4385,61903,19304,2430
  龙子湖区,87584,2.37,28.70,7686,6274,1412,6192,1494,5564,2122,5944,1742,1026,2149,4009,502
  蚌山区,110307,2.45,32.75,9523,8234,1289,8722,801,7689,1834,8071,1452,1183,1794,5803,743
  禹会区,85605,2.97,30.65,8180,6880,1300,6909,1271,5568,2612,6344,1836,757,2292,4641,490
  淮上区,44813,3.33,40.41,4191,762,3429,2904,1287,1264,2927,2655,1536,81,3766,274,70
  怀远县,317872,3.43,30.28,27992,5491,22501,19092,8900,13788,14204,12867,15125,514,25141,2003,334
  五河县,179562,3.82,32.81,16576,2390,14186,7896,8680,3489,13087,6716,9860,540,14703,1194,139
  固镇县,147048,3.29,26.97,13874,2454,11420,12845,1029,12445,1429,7411,6463,284,12058,1380,152
淮南市,760678,3.06,30.66,65724,33601,32123,57360,8364,49157,16567,41037,24687,4468,35488,23929,1839
  大通区,61690,3.41,31.98,4973,2236,2737,3537,1436,2182,2791,2848,2125,215,3164,1399,195
  田家庵区,193722,2.72,31.13,16755,14345,2410,15143,1612,13879,2876,13245,3510,1481,3933,10741,600
  谢家集区,109338,2.39,22.76,8883,6675,2208,7405,1478,4987,3896,4997,3886,732,3200,4625,326
  八公山区,63929,1.92,21.19,4830,4496,334,4258,572,3177,1653,3239,1591,623,1331,2745,131
  潘集区,122476,3.30,32.10,11136,903,10233,9422,1714,8274,2862,7104,4032,403,8614,1940,179
  凤台县,209523,3.82,35.45,19147,4946,14201,17595,1552,16658,2489,9604,9543,1014,15246,2479,408
马鞍山市,452888,2.46,29.81,40122,38942,1180,37884,2238,32808,7314,34880,5242,3814,17451,18094,763
  金家庄区,48853,2.24,25.29,3660,3508,152,3430,230,3097,563,2890,770,755,607,2201,97
  花山区,113276,2.37,30.36,9684,9515,169,9451,233,9251,433,9104,580,1033,991,7503,157
  雨山区,93898,2.48,28.88,9067,8800,267,8495,572,7715,1352,7812,1255,1275,1971,5596,225
  当涂县,196861,2.55,30.85,17711,17119,592,16508,1203,12745,4966,15074,2637,751,13882,2794,284
淮北市,625431,3.54,30.49,55210,25561,29649,45625,9585,32868,22342,33897,21313,3186,36685,14228,1111
  杜集区,95421,3.00,22.46,7916,5237,2679,6589,1327,5141,2775,5235,2681,1001,4398,2335,182
  相山区,157407,2.44,27.38,12693,10239,2454,11612,1081,10611,2082,10293,2400,1365,2835,7978,515
  烈山区,97375,3.57,27.71,8379,5450,2929,6955,1424,3673,4706,4641,3738,393,5304,2529,153
  濉溪县,275228,4.35,35.33,26222,4635,21587,20469,5753,13443,12779,13728,12494,427,24148,1386,261
铜陵市,260252,2.59,31.58,23153,20658,2495,21779,1374,18906,4247,18673,4480,2600,8647,10693,1213
  铜官山区,104033,2.33,25.53,9218,9025,193,8887,331,8502,716,8180,1038,1122,186,7194,716
  狮子山区,38927,2.30,28.72,3288,3100,188,3057,231,2681,607,2410,878,664,970,1527,127
  郊区,25378,2.97,33.47,2355,2005,350,2187,168,1716,639,1598,757,400,1173,650,132
  铜陵县,91914,2.91,39.19,8292,6528,1764,7648,644,6007,2285,6485,1807,414,6318,1322,238
安庆市,1593746,3.44,35.72,148023,84352,63671,136530,11493,101794,46229,96222,51801,7807,114260,22639,3317
  迎江区,88620,2.72,40.64,7905,7604,301,7612,293,7264,641,6680,1225,1192,1874,4480,359
  大观区,98922,2.44,31.62,8605,8289,316,8313,292,7404,1201,7235,1370,1103,2371,4535,596
  宜秀区,82835,3.74,48.84,7358,5856,1502,7154,204,6299,1059,5978,1380,918,3284,2898,258
  怀宁县,163668,4.07,37.38,15008,7404,7604,14222,786,11535,3473,10372,4636,566,12810,1400,232
  枞阳县,235077,3.11,32.88,20728,12487,8241,19124,1604,13579,7149,12391,8337,522,18043,1739,424
  潜山县,144742,3.21,33.62,14257,7918,6339,13222,1035,9686,4571,8833,5424,734,12054,1182,287
  太湖县,143831,3.59,32.38,13911,4242,9669,12808,1103,7692,6219,7694,6217,605,11827,1276,203
  宿松县,197913,3.23,40.02,17710,9490,8220,15690,2020,11558,6152,9440,8270,566,15497,1405,242
  望江县,143119,3.32,33.80,14050,8189,5861,12450,1600,7568,6482,9151,4899,415,12446,973,216
  岳西县,106960,4.20,38.77,10344,4910,5434,9845,499,5802,4542,6168,4176,403,9190,615,136
  桐城市,188059,3.94,33.70,18147,7963,10184,16090,2057,13407,4740,12280,5867,783,14864,2136,364
黄山市,454386,3.17,38.52,43350,32517,10833,40406,2944,26870,16480,26518,16832,3257,30897,7492,1704
  屯溪区,70005,2.92,41.86,6408,5672,736,6004,404,5782,626,5225,1183,1038,1678,3378,314
  黄山区,56175,2.61,37.67,5042,3707,1335,4730,312,3738,1304,3304,1738,465,3407,890,280
  徽州区,30684,3.53,42.63,2964,2472,492,2799,165,2103,861,2059,905,223,2219,451,71
  歙县,134338,3.47,37.09,13307,10958,2349,12225,1082,6952,6355,7383,5924,575,11390,923,419
  休宁县,75044,3.42,37.58,7185,4096,3089,6668,517,3630,3555,3634,3551,369,5934,695,187
  黟县,32612,2.74,38.10,2860,2292,568,2697,163,1899,961,1844,1016,148,2146,327,239
  祁门县,55528,3.05,37.99,5584,3320,2264,5283,301,2766,2818,3069,2515,439,4123,828,194
滁州市,1235697,2.91,29.39,112017,42833,69184,83353,28664,51257,60760,58112,53905,6422,84464,18359,2772
  琅琊区,108381,2.37,27.78,8869,7209,1660,7486,1383,6489,2380,6708,2161,1572,2564,4177,556
  南谯区,90916,3.21,32.41,7690,3449,4241,6287,1403,3371,4319,4396,3294,697,5252,1523,218
  来安县,138180,2.91,30.75,12301,2975,9326,10610,1691,8132,4169,6745,5556,443,10222,1358,278
  全椒县,128161,3.37,30.68,12477,6160,6317,9285,3192,4521,7956,5091,7386,860,8756,2546,315
  定远县,228454,2.72,24.29,20457,6392,14065,12076,8381,6247,14210,8116,12341,703,17168,2107,479
  凤阳县,187853,3.15,26.85,17003,3522,13481,10029,6974,5643,11360,9257,7746,387,14898,1466,252
  天长市,180784,2.67,40.22,18023,8770,9253,16960,1063,12964,5059,12084,5939,871,13532,3243,377
  明光市,172968,2.96,25.52,15197,4356,10841,10620,4577,3890,11307,5715,9482,889,12072,1939,297
阜阳市,2507792,3.50,32.63,224765,50518,174247,181645,43120,159957,64808,62876,161889,8096,198024,16388,2257
  颍州区,231434,3.41,41.77,21051,8226,12825,17128,3923,14496,6555,10626,10425,2172,13654,4873,352
  颍东区,162323,3.71,34.62,14624,3776,10848,12717,1907,11171,3453,4811,9813,512,12235,1495,382
  颍泉区,192340,3.72,37.34,18200,4857,13343,14156,4044,13068,5132,6460,11740,773,15474,1725,228
  临泉县,485412,3.76,31.93,43242,8123,35119,36799,6443,31901,11341,9596,33646,1096,40370,1518,258
  太和县,446058,3.72,30.48,41723,8383,33340,38013,3710,36310,5413,11341,30382,1013,38604,1962,144
  阜南县,381599,2.93,29.71,32143,4709,27434,23518,8625,19422,12721,6534,25609,885,29335,1550,373
  颍上县,408376,3.25,30.27,34685,6332,28353,23051,11634,19259,15426,7292,27393,880,31278,2137,390
  界首市,200250,3.65,33.35,19097,6112,12985,16263,2834,14330,4767,6216,12881,765,17074,1128,130
宿州市,1608582,4.08,34.01,153096,30575,122521,114896,38200,77006,76090,51285,101811,3926,136681,11289,1200
  埇桥区,514960,3.78,35.48,47687,14809,32878,36001,11686,23964,23723,20933,26754,2541,36749,7760,637
  砀山县,251487,4.02,32.00,24061,5247,18814,14525,9536,13151,10910,6286,17775,206,23048,718,89
  萧县,341072,4.68,33.84,33279,3732,29547,28466,4813,27065,6214,10244,23035,403,31920,793,163
  灵璧县,278428,3.39,32.83,26449,3344,23105,17452,8997,6746,19703,6883,19566,432,24825,1054,138
  泗县,222635,4.76,34.71,21620,3443,18177,18452,3168,6080,15540,6939,14681,344,20139,964,173
巢湖市,1212100,2.87,32.45,105726,72573,33153,90181,15545,63258,42468,63592,42134,5301,82712,15200,2513
  居巢区,245876,2.94,34.98,22817,14730,8087,18847,3970,11693,11124,13605,9212,1346,14933,5649,889
  庐江县,309322,3.14,34.49,27444,12729,14715,23085,4359,14694,12750,15586,11858,1719,21917,3154,654
  无为县,357834,2.98,29.76,29827,27107,2720,27794,2033,26536,3291,21675,8152,1019,25031,3304,473
