首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,单位：人
地    区,"16岁及以上
人口","各种职业人口
总计",,,,,,,,"各种未工作
人口总计",,,,,,,,,
,,,国家机关、党群组织、企业、事业单位负责人,专业技术人员,"办事人员和
有关人员","商业、服务业
人员","农、林、牧、
渔、水利业
生产人员","生产、运输
设备操作人员
及有关人员","不便分类的
其他从业人员",,在校学生,丧失工作能力,毕业后未工作,"因单位原因
失去工作","因本人原因
失去工作",承包土地被征用,离退休,料理家务,其他
  东港市,52607,38915,714,1880,780,5828,22471,7239,3,13692,2506,3537,220,27,233,8,2865,4041,255
  凤城市,45914,31969,521,1797,779,4457,17333,7079,3,13945,1782,2701,363,217,187,36,3794,4149,716
锦州市,264765,174591,2285,11069,5706,23209,107238,24980,104,90174,14387,13281,3783,3076,1557,244,28406,19592,5848
  古塔区,24186,10781,390,2209,939,3916,77,3212,38,13405,2633,458,485,828,257,2,6256,1377,1109
  凌河区,34245,15173,624,3310,1585,5628,198,3768,60,19072,2783,597,660,1019,323,6,9543,2212,1929
  太和区,33759,19403,356,1537,690,3431,8069,5315,5,14356,3747,1369,513,367,297,162,3289,3827,785
  黑山县,53528,40086,271,1414,752,3639,30748,3261,1,13442,1636,3095,702,332,240,30,3883,3214,310
  义县,33770,25815,87,713,530,1422,21217,1846,,7955,983,2019,326,212,48,10,1333,2231,793
  凌海市,42231,29817,245,908,712,2644,20823,4485,,12414,1351,3012,630,162,241,6,2271,4117,624
  北镇市,43046,33516,312,978,498,2529,26106,3093,,9530,1254,2731,467,156,151,28,1831,2614,298
营口市,198235,132354,1708,7726,6497,26153,52392,37856,22,65881,9649,8593,2383,1529,1428,188,22116,16932,3063
  站前区,24561,12828,484,1756,2022,4184,48,4334,,11733,2230,451,375,598,308,5,6588,1040,138
  西市区,13355,6259,148,831,728,2014,59,2478,1,7096,723,211,318,445,107,1,4042,588,661
  鲅鱼圈区,34644,22345,139,1729,1261,6479,4217,8520,,12299,2296,1132,471,175,394,120,3300,3900,511
  老边区,9909,6542,109,387,272,1313,1226,3225,10,3367,453,515,139,61,79,7,817,1149,147
  盖州市,58935,44238,331,1183,769,5227,29448,7280,,14697,1981,3348,475,101,231,40,3431,4427,663
  大石桥市,56831,40142,497,1840,1445,6936,17394,12019,11,16689,1966,2936,605,149,309,15,3938,5828,943
阜新市,155445,100561,1166,5818,3935,12657,62133,14818,34,54884,8907,7909,2357,1891,1750,104,20362,10194,1410
  海州区,22338,9422,277,1436,1375,2764,268,3300,2,12916,1712,736,615,297,1075,3,6437,1882,159
  新邱区,7104,2996,44,156,95,737,592,1341,31,4108,324,342,302,174,110,12,1821,901,122
  太平区,14526,6049,38,536,447,2163,362,2503,,8477,911,447,468,608,198,11,4359,1160,315
  清河门区,5150,2341,43,128,82,464,532,1091,1,2809,197,287,118,55,34,10,716,1015,377
  细河区,18369,8386,343,1543,985,2413,649,2453,,9983,2882,431,388,518,209,55,4053,1410,37
  阜新蒙古族自治县,56676,46340,253,1290,472,2458,38974,2893,,10336,1986,3609,279,185,95,6,1646,2295,235
  彰武县,31282,25027,168,729,479,1658,20756,1237,,6255,895,2057,187,54,29,7,1330,1531,165
辽阳市,153349,105401,1848,8857,3938,21522,44373,24813,50,47948,8349,7144,1357,940,880,119,18992,9275,892
  白塔区,19446,10918,498,2293,1123,4386,191,2388,39,8528,1897,486,178,289,133,6,4887,608,44
  文圣区,16111,9033,437,1661,969,3376,88,2502,,7078,837,305,181,342,129,35,4584,453,212
  宏伟区,12471,7413,258,812,443,1705,704,3488,3,5058,1032,375,136,69,79,5,2379,913,70
  弓长岭区,7435,4158,96,404,195,1047,730,1679,7,3277,270,314,124,56,55,2,1684,618,154
  太子河区,11355,7582,110,656,493,1942,1469,2912,,3773,878,419,79,29,79,24,1543,698,24
  辽阳县,46437,36011,211,1581,432,4773,22879,6134,1,10426,1986,2985,285,39,86,28,2153,2710,154
  灯塔市,40094,30286,238,1450,283,4293,18312,5710,,9808,1449,2260,374,116,319,19,1762,3275,234
盘锦市,111531,69811,1768,7025,6367,14047,26949,13576,79,41720,5558,2534,1979,800,580,105,16272,10077,3815
  双台子区,17163,9470,316,1424,957,3788,433,2539,13,7693,993,418,408,378,209,14,2724,1826,723
  兴隆台区,38444,22802,1079,3947,4464,5675,508,7086,43,15642,2081,513,653,268,178,13,6058,4377,1501
  大洼县,32267,20782,249,1140,736,3150,12933,2551,23,11485,1543,496,598,97,126,72,4988,2257,1308
  盘山县,23657,16757,124,514,210,1434,13075,1400,,6900,941,1107,320,57,67,6,2502,1617,283
铁岭市,232099,166458,1068,9960,4856,23324,111943,15241,66,65641,10033,11873,2237,787,869,177,21048,15641,2976
  银州区,31808,18477,351,3946,2138,7937,1186,2914,5,13331,2302,597,210,162,149,9,7922,1385,595
  清河区,7715,4791,23,270,211,413,2806,1064,4,2924,319,317,110,41,71,5,747,1045,269
  铁岭县,28469,22375,24,344,185,1236,18858,1728,,6094,1286,2026,235,45,35,71,494,1692,210
  西丰县,24557,17608,186,546,334,1059,15007,423,53,6949,1015,1577,300,187,72,35,1079,1981,703
  昌图县,71691,59465,298,1552,569,4185,50657,2203,1,12226,2013,4272,306,139,143,,3128,2047,178
  调兵山市,20465,10760,63,1359,597,2470,2362,3906,3,9705,1211,615,480,71,230,14,3033,3464,587
  开原市,47394,32982,123,1943,822,6024,21067,3003,,14412,1887,2469,596,142,169,43,4645,4027,434
朝阳市,250659,176622,1823,9397,5709,18180,117443,24051,19,74037,14309,15094,2582,1467,1233,141,14650,21501,3060
  双塔区,34151,20140,489,3309,2438,5988,2910,5004,2,14011,2848,996,514,584,192,61,5186,3146,484
  龙城区,16403,10269,107,460,218,2201,4389,2894,,6134,839,986,230,73,59,17,854,2571,505
  朝阳县,39344,29807,57,648,137,931,26153,1881,,9537,1748,2748,386,27,81,5,558,3260,724
  建平县,42268,31799,460,1233,722,2374,22995,4015,,10469,2554,2759,257,219,97,14,1621,2498,450
  喀喇沁左翼蒙古族自治县,30227,23546,267,945,549,1918,17144,2723,16,6681,1569,1885,150,76,73,17,1105,1597,209
  北票市,43075,29093,244,1353,590,2293,21055,3542,,13982,2053,2906,559,149,512,1,3414,3992,396
  凌源市,45191,31968,199,1449,1055,2475,22797,3992,1,13223,2698,2814,486,339,219,26,1912,4437,292
葫芦岛市,213125,141181,1892,7732,4201,15343,88052,23929,32,71944,10413,12667,3360,1948,1404,302,18874,20432,2544
  连山区,50586,31375,498,1962,1383,5494,14562,7474,2,19211,1786,2285,1177,902,758,37,7853,3788,625
  龙港区,20124,11402,405,1971,1129,2652,517,4714,14,8722,1275,388,295,262,163,80,3972,1788,499
  南票区,9451,4880,94,222,150,582,2444,1388,,4571,239,569,216,110,115,10,1167,1988,157
  绥中县,47307,35051,404,935,604,1970,29040,2098,,12256,2019,3072,560,250,97,165,1799,3926,368
  建昌县,40572,29324,263,1160,391,1775,22364,3371,,11248,2201,3221,398,214,119,2,1142,3501,450
  兴城市,45085,29149,228,1482,544,2870,19125,4884,16,15936,2893,3132,714,210,152,8,2941,5441,445
,,,,,,,,,,,,,,,,,,,
吉林省,2209254,1429001,18156,106288,55004,224870,847525,176009,1149,780253,149984,103079,25898,23709,15947,3033,205410,188691,64502
长春市,650180,414564,7093,38604,16946,66604,238263,46825,229,235616,65313,25702,7253,7338,5394,1903,61394,46137,15182
  南关区,76787,34547,1474,7848,4852,11084,3330,5927,32,42240,16654,1601,1254,1937,1016,916,12441,4762,1659
  宽城区,57129,33393,520,2871,1654,9746,11029,7553,20,23736,3831,1943,929,965,979,206,6994,6049,1840
  朝阳区,68206,31978,1714,9198,3280,9897,2775,5046,68,36228,15125,890,875,1059,675,205,12508,3157,1734
  二道区,51157,30111,865,3342,1396,8107,10016,6368,17,21046,5198,1753,704,679,583,169,6601,4064,1295
  绿园区,72083,39766,956,8096,2705,12982,3507,11497,23,32317,7036,1289,955,1071,1030,267,13914,5242,1513
  双阳区,32812,22302,66,814,684,1375,17620,1743,,10510,2851,1943,397,127,201,47,874,2870,1200
  农安县,82387,63964,275,1598,633,2900,56608,1897,53,18423,5041,4393,517,217,139,12,1449,5095,1560
  九台巿,52795,38198,276,1593,547,2893,31397,1477,15,14597,2038,2809,487,471,231,17,2475,4176,1893
  榆树市,93451,72675,224,1784,594,4531,62627,2914,1,20776,4446,5689,563,417,305,46,2203,5916,1191
  德惠市,63373,47630,723,1460,601,3089,39354,2403,,15743,3093,3392,572,395,235,18,1935,4806,1297
吉林市,351810,224745,3805,16665,9201,37251,124203,33297,323,127065,23876,15380,3613,4097,2827,416,42794,25534,8528
  昌邑区,57241,31241,932,3704,2237,8907,7385,8066,10,26000,4669,1913,810,1138,883,153,12008,3370,1056
  龙潭区,40103,21842,339,1984,781,4465,8761,5447,65,18261,3747,1584,590,810,275,47,7058,2610,1540
  船营区,37891,19051,608,2811,1381,5246,5204,3795,6,18840,3812,1301,630,895,617,12,7595,2448,1530
  丰满区,25443,13352,297,1721,1485,2668,3799,3382,,12091,3673,807,366,420,198,132,3738,1749,1008
  永吉县,31383,24083,130,1019,431,2774,17856,1768,105,7300,1295,1846,177,102,79,16,1265,2045,475
  蛟河市,37059,26530,495,1257,667,3054,18042,3015,,10529,1403,1866,217,143,140,17,2783,3032,928
  桦甸市,33283,22526,198,1079,487,2914,15395,2324,129,10757,1621,1765,331,284,276,24,2133,3540,783
  舒兰巿,54024,40328,586,1838,1074,4597,29550,2683,,13696,2108,2575,248,174,204,15,4015,4015,342
  磐石市,35383,25792,220,1252,658,2626,18211,2817,8,9591,1548,1723,244,131,155,,2199,2725,866
四平市,275710,193816,1050,9128,4546,19481,144783,14741,87,81894,15392,12278,2911,2690,1245,64,18928,19543,8843
  铁西区,22960,12435,232,2557,1336,3835,2295,2167,13,10525,3377,421,321,387,171,11,4143,1297,397
  铁东区,28530,14894,232,1366,589,3466,5206,4030,5,13636,1838,1020,564,876,209,8,4817,2552,1752
  梨树县,61338,46879,171,1377,659,2638,39959,2021,54,14459,1802,2932,499,347,104,9,2373,3962,2431
  伊通满族自治县,38067,29091,90,922,415,2210,24353,1099,2,8976,1588,1867,266,203,101,17,859,2657,1418
  公主岭市,91623,66520,123,1867,962,4656,55364,3546,2,25103,5478,4167,984,659,543,9,4450,6691,2122
  双辽市,33192,23997,202,1039,585,2676,17606,1878,11,9195,1309,1871,277,218,117,10,2286,2384,723
辽源市,102311,64977,611,3347,2708,6724,42841,8719,27,37334,4883,5035,1848,1694,1446,39,9374,10407,2608
  龙山区,24231,11626,408,1451,1543,2283,2531,3408,2,12605,1192,759,701,870,972,28,4489,2991,603
  西安区,14315,5299,24,335,307,1188,1254,2175,16,9016,1135,614,578,627,312,1,2755,2328,666
  东丰县,31343,24128,74,903,515,1660,19756,1214,6,7215,1187,1754,155,89,61,,1205,2055,709
  东辽县,32422,23924,105,658,343,1593,19300,1922,3,8498,1369,1908,414,108,101,10,925,3033,630
通化市,189692,121902,1225,8900,5381,22646,66321,17394,35,67790,9180,8888,2764,1719,1196,179,18633,19266,5965
  东昌区,29371,15660,265,2333,2075,5348,1350,4286,3,13711,2169,701,546,630,196,40,5924,2207,1298
  二道江区,12357,5479,172,850,223,902,685,2645,2,6878,646,452,293,248,150,26,2494,2014,555
  通化县,19712,13432,137,728,515,2043,8151,1858,,6280,826,948,290,84,77,62,994,2422,577
  辉南县,28416,19592,145,1367,640,2849,12595,1981,15,8824,1048,1454,399,218,199,4,1964,2833,705
  柳河县,30508,21406,113,779,447,2811,15494,1748,14,9102,1334,1547,341,174,125,8,1394,3238,941
  梅河口市,50520,32357,184,1999,1012,6889,18918,3354,1,18163,2407,2687,751,276,393,18,4540,5304,1787
  集安市,18808,13976,209,844,469,1804,9128,1522,,4832,750,1099,144,89,56,21,1323,1248,102
白山市,105590,56648,1215,6029,4270,13323,16791,14955,65,48942,4980,5731,1846,1850,1122,99,14120,15129,4065
  浑江区,30185,15960,414,2437,1595,5581,1376,4511,46,14225,1735,1361,567,431,266,61,5091,3559,1154
  江源区,20322,9157,161,905,395,2045,1596,4040,15,11165,964,1259,393,364,270,14,3117,3679,1105
  抚松县,25261,13962,314,1299,1081,2385,5937,2945,1,11299,1123,1324,434,647,253,18,2708,4129,663
  靖宇县,10971,7241,109,557,385,1209,3775,1204,2,3730,390,749,160,86,84,2,649,1254,356
  长白朝鲜族自治县,5973,3763,76,312,332,735,1663,645,,2210,241,294,56,77,18,1,554,793,176
  临江市,12878,6565,141,519,482,1368,2444,1610,1,6313,527,744,236,245,231,3,2001,1715,611
松原市,208018,141818,746,7140,3552,14361,106575,9306,138,66200,9724,10549,2228,1075,776,135,7877,24390,9446
  宁江区,48576,25880,348,3325,1554,6356,9501,4779,17,22696,3328,1791,752,372,365,66,4346,7214,4462
  前郭尔罗斯蒙古族自治县,41517,29071,54,1409,804,2494,22964,1343,3,12446,1659,2453,337,180,127,44,1222,4478,1946
  长岭县,46389,33756,95,969,459,2280,28912,938,103,12633,2060,2162,489,236,73,8,942,5411,1252
  乾安县,20569,14001,144,609,334,984,11063,854,13,6568,941,995,283,224,70,5,735,2499,816
  扶余县,50967,39110,105,828,401,2247,34135,1392,2,11857,1736,3148,367,63,141,12,632,4788,970
白城市,152678,102139,741,6587,3068,13338,67120,11084,201,50539,6022,9382,1382,1736,591,51,10518,15768,5089
  洮北区,39469,23760,309,2587,1093,4603,11980,3169,19,15709,2153,2003,456,908,296,24,4645,3840,1384
  镇赉县,20213,13942,88,848,445,1606,9653,1302,,6271,672,1297,192,118,41,5,1078,2401,467
  通榆县,29305,21065,165,844,471,2166,15570,1773,76,8240,1011,1756,194,199,49,16,1113,2610,1292
  洮南市,37231,25931,114,1118,600,2937,17976,3170,16,11300,1280,2756,313,257,139,3,2188,3553,811
  大安市,26460,17441,65,1190,459,2026,11941,1670,90,9019,906,1570,227,254,66,3,1494,3364,1135
延边朝鲜族自治州,173265,108392,1670,9888,5332,31142,40628,19688,44,64873,10614,10134,2053,1510,1350,147,21772,12517,4776
  延吉市,45982,29328,585,4289,1926,13809,2620,6095,4,16654,4960,2149,127,80,204,57,7664,1176,237
  图们市,9764,5795,31,409,280,2506,984,1584,1,3969,598,520,90,67,52,3,2065,490,84
  敦化市,36502,24383,212,1629,991,3992,13239,4320,,12119,1659,19261,441,306,296,14,4085,3189,203
  珲春市,17303,9493,393,864,372,2706,2862,2289,7,7810,657,959,371,222,192,20,1526,2491,1372
  龙井市,11730,6154,83,413,269,1716,2636,1010,27,5576,474,908,250,332,84,26,1704,824,974
  和龙市,14626,9009,108,602,375,1626,4655,1642,1,5617,526,1113,258,126,165,4,1658,1124,643
  汪清县,20113,12317,145,897,539,2231,7266,1238,1,7796,895,1377,354,214,254,15,1765,1994,928
  安图县,17245,11913,113,785,580,2556,6366,1510,3,5332,845,1182,162,163,103,8,1305,1229,335
,,,,,,,,,,,,,,,,,,,
黑龙江省,3000940,1868107,30612,141281,71073,306523,1026018,290848,1752,1132833,189667,130958,38612,27066,25957,1403,330000,299050,90120
哈尔滨市,841104,508457,10701,49314,21686,97620,257224,71511,401,332647,74975,31193,11074,7947,8423,632,102215,69833,26355
  道里区,75568,37117,3012,6371,3605,11723,4942,7457,7,38451,4807,1801,1608,1571,1206,27,17519,5096,4816
  南岗区,103746,47724,2580,13753,5461,16304,1881,7736,9,56022,20365,1456,1591,1861,2133,324,21721,5069,1502
  道外区,69189,37706,489,4920,2160,16182,5751,8167,37,31483,3838,1799,1434,1053,1540,4,15311,4800,1704
  松北区,14704,7739,177,1183,654,1488,622,3614,1,6965,749,226,300,260,195,40,3960,797,438
  香坊区,20661,10396,216,733,273,1690,5824,1625,35,10265,5594,792,189,44,112,52,1153,1740,589
  平房区,79168,38724,2029,7796,3187,11449,2416,11830,17,40444,10705,1370,1455,1435,1288,38,16167,5874,2112
  呼兰区,65420,38443,215,1833,568,7454,21931,6305,137,26977,12754,2831,455,141,283,15,2972,5572,1954
  阿城区,48572,29958,171,2297,812,5158,16863,4634,23,18614,2272,2200,597,530,359,16,4863,5498,2279
  依兰县,32785,21498,170,1072,775,2664,14141,2675,1,11287,1167,1899,312,54,110,15,1943,4547,1240
  方正县,14399,8927,139,517,377,1129,5927,726,112,5472,476,720,167,46,82,13,1046,2201,721
  宾县,38095,28884,105,931,290,2323,22800,2435,,9211,1559,2113,261,140,59,17,991,3287,784
  巴彦县,44078,34885,296,1063,591,2553,28210,2172,,9193,1743,2314,267,78,273,2,1421,2708,387
  木兰县,23381,19070,78,532,214,1562,15917,767,,4311,736,1111,101,31,45,4,904,1052,327
  通河县,17251,11577,124,695,514,1860,7167,1216,1,5674,616,770,174,97,79,10,1542,2034,352
  延寿县,16381,12168,52,396,231,851,9851,783,4,4213,526,620,220,39,37,1,594,1742,434
  双城市,66317,43434,357,1641,692,4288,32438,4011,7,22883,2760,3538,1050,228,269,14,2895,8041,4088
  尚志市,41726,28257,245,1709,628,2729,20239,2705,2,13469,1951,2010,459,157,171,11,3159,4643,908
  五常市,69663,51950,246,1872,654,6213,40304,2653,8,17713,2357,3623,434,182,182,29,4054,5132,1720
齐齐哈尔市,398607,261102,2229,15538,6521,33310,174190,29141,173,137505,20979,21006,4892,4087,2414,73,39154,33843,11057
  龙沙区,27531,13262,356,2715,1371,4489,1025,3254,52,14269,2782,549,606,936,496,4,6982,1344,570
  建华区,22710,9525,183,2411,1044,3210,564,2110,3,13185,3850,437,455,723,193,4,4911,1428,1184
  铁锋区,27332,12925,208,2147,738,4380,1039,4365,48,14407,2146,489,785,560,273,9,7241,1525,1379
  昂昂溪区,6288,3267,31,192,48,674,1543,777,2,3021,227,223,119,79,46,4,996,964,363
  富拉尔基区,20352,9773,176,1257,299,1875,1945,4217,4,10579,1186,393,657,753,170,2,5278,1402,738
  碾子山区,5550,2603,18,229,167,449,937,803,,2947,203,231,204,81,164,1,1391,484,188
  梅里斯达斡尔族区,11894,9213,106,254,87,481,7887,398,,2681,299,646,67,23,27,1,430,932,256
  龙江县,49426,35848,186,1090,357,3869,27581,2765,,13578,1856,3122,258,163,163,15,1831,4597,1573
  依安县,42031,31153,124,696,198,2508,26144,1454,29,10878,1797,2904,242,101,87,10,1744,2927,1066
  泰来县,22741,16024,129,556,346,1398,12528,1060,7,6717,856,1484,183,50,82,2,908,2615,537
  甘南县,26567,18757,85,930,192,1522,15038,989,1,7810,933,1190,276,92,147,5,1652,2509,1006
  富裕县,19374,13569,100,491,257,1543,10033,1133,12,5805,856,1155,139,69,81,2,1339,1676,488
  克山县,26265,18943,165,622,427,1556,14744,1424,5,7322,941,1587,216,176,120,1,1215,2535,531
  克东县,15364,10904,41,450,302,715,8424,972,,4460,529,996,169,132,60,5,718,1599,252
  拜泉县,36629,27971,83,540,340,2027,23230,1742,9,8658,1362,2256,260,43,88,5,888,3161,595
  讷河市,38553,27365,238,958,348,2614,21528,1678,1,11188,1156,3344,256,106,217,3,1630,4145,331
鸡西市,138478,82431,1644,6228,3191,15241,38346,17589,192,56047,7140,5590,1739,1242,975,61,20247,14696,4357
  鸡冠区,28242,14901,778,2492,1301,5109,764,4403,54,13341,2819,611,444,613,262,27,5613,2024,928
  恒山区,10715,4689,55,235,84,1025,1228,2014,48,6026,483,427,252,68,170,3,2062,1959,602
  滴道区,7167,3155,19,199,53,692,1089,1098,5,4012,251,320,105,49,84,3,1469,1279,452
  梨树区,5642,2394,34,189,78,437,705,951,,3248,242,302,133,62,57,,1023,1166,263
  城子河区,9812,4831,38,334,133,1235,641,2377,73,4981,543,380,193,45,79,5,1941,1597,198
  麻山区,2078,1351,10,71,24,234,706,306,,727,59,117,17,6,14,1,236,231,46
  鸡东县,19434,12630,140,588,412,1272,7936,2275,7,6804,649,1149,162,177,118,3,1607,2292,647
  虎林市,24755,16482,210,1080,545,2475,9949,2222,1,8273,964,727,190,64,96,9,3529,2271,423
  密山市,30633,21998,360,1040,561,2762,15328,1943,4,8635,1130,1557,243,158,95,10,2767,1877,798
鹤岗市,87474,44566,839,5312,1759,9216,13111,14300,29,42908,4591,2562,1564,814,946,28,13132,13453,5818
  向阳区,9336,4242,138,1042,218,1169,32,1641,2,5094,533,110,336,177,77,2,2136,1269,454
  工农区,12026,6899,236,1965,486,2174,118,1918,2,5127,903,97,187,137,125,1,2260,933,484
  南山区,10715,4910,11,345,123,1242,28,3161,,5805,655,278,265,105,115,,1368,2309,710
  兴安区,6376,2740,35,128,89,605,59,1824,,3636,346,192,152,80,180,2,855,1649,180
  东山区,15188,6802,67,385,188,1156,2206,2797,3,8386,821,575,264,122,123,9,2044,2718,1710
  兴山区,3406,1271,16,116,24,285,12,803,15,2135,166,183,62,44,34,,576,793,277
  萝北县,17610,10093,282,861,413,1645,5209,1680,3,7517,797,647,209,97,149,7,2711,2045,855
  绥滨县,12817,7609,54,470,218,940,5447,476,4,5208,370,480,89,52,143,7,1182,1737,1148
双鸭山市,108701,61646,1701,4751,3122,9802,29228,12809,233,47055,4645,4617,1764,786,1164,74,14837,15759,3409
  尖山区,18037,9373,1034,1562,990,2461,487,2832,7,8664,1182,449,342,220,260,7,3860,1709,635
  岭东区,4289,1626,23,93,68,324,402,709,7,2663,181,269,149,45,66,5,778,926,244
  四方台区,4626,2078,31,65,41,313,517,1085,26,2548,132,274,107,34,59,3,635,1159,145
  宝山区,9521,3472,52,493,180,522,461,1764,,6049,471,433,271,58,125,18,1523,2377,773
  集贤县,21941,14871,102,669,577,2263,8834,2426,,7070,665,1224,207,70,322,2,1753,2682,145
  友谊县,8314,4565,124,464,247,781,2208,741,,3749,338,192,138,103,48,4,1988,756,182
  宝清县,29605,17741,271,891,662,2011,11517,2388,1,11864,1164,1285,432,214,212,26,3138,4314,1079
  饶河县,12368,7920,64,514,357,1127,4802,864,192,4448,512,491,118,42,72,9,1162,1836,206
大庆市,236169,154270,3589,14442,8485,26329,65627,35695,103,81899,15195,8641,2866,1412,1963,47,22479,23421,5875
  萨尔图区,26947,16083,621,2110,1863,5600,158,5722,9,10864,2159,311,397,228,176,6,4306,2270,1011
  龙凤区,29515,16107,525,3018,1623,4087,632,6142,80,13408,4181,607,419,283,415,4,3900,2802,797
  让胡路区,45792,28151,1351,5020,2584,6475,1351,11363,7,17641,2973,605,595,196,394,3,7370,4023,1482
  红岗区,14621,9373,242,947,441,2206,1571,3961,5,5248,943,397,205,29,312,2,2432,773,155
  大同区,18563,12640,122,833,536,1293,8154,1701,1,5923,828,1019,270,32,70,4,903,2368,429
  肇州县,32025,22070,111,804,313,2163,16119,2560,,9955,1368,1700,353,324,109,8,1058,4323,712
  肇源县,30867,21770,212,711,520,1956,16190,2181,,9097,1393,2020,324,94,332,9,937,3424,564
  林甸县,18229,13871,194,430,253,1085,10792,1117,,4358,548,916,154,147,55,1,611,1609,317
  杜尔伯特蒙古族自治县,19610,14205,211,569,352,1464,10660,948,1,5405,802,1066,149,79,100,10,962,1829,408
伊春市,91003,44983,1301,3666,3706,9260,13278,13726,46,46020,5364,3505,1864,1107,1338,15,20329,10517,1981
  伊春区,11539,5439,404,794,907,1722,205,1407,,6100,1167,371,262,258,299,5,2442,1080,216
  南岔区,10380,4722,73,407,371,1002,1108,1760,1,5658,636,356,276,103,134,3,2536,1559,55
  友好区,4689,2065,53,161,141,486,339,885,,2624,344,201,82,54,63,,1191,528,161
  西林区,4944,2511,74,155,193,382,417,1284,6,2433,377,109,45,18,24,1,1224,604,31
  翠峦区,3518,1812,76,114,98,509,268,747,,1706,206,164,83,38,100,1,849,240,25
  新青区,3609,1784,30,98,141,458,296,736,25,1825,198,99,54,30,51,1,969,307,116
  美溪区,3485,1752,4,193,183,21,292,1059,,1733,236,44,14,3,,,1172,250,14
  金山屯区,3274,1564,17,146,121,494,419,367,,1710,213,105,99,16,20,,770,409,78
  五营区,3065,1407,43,181,199,341,176,467,,1658,82,125,103,68,36,,823,339,82
  乌马河区,2695,1330,15,93,94,273,250,601,4,1365,106,104,52,29,15,,654,325,80
  汤旺河区,2584,1154,35,68,102,270,196,483,,1430,116,98,66,16,8,,645,307,174
  带岭区,2791,1198,49,125,89,329,259,347,,1593,180,103,98,31,40,,831,289,21
  乌伊岭区,1739,706,56,54,120,139,212,123,2,1033,96,103,51,39,43,,372,192,137
  红星区,1735,650,30,60,69,122,160,209,,1085,27,63,62,42,43,,600,193,55
  上甘岭区,1724,784,41,65,115,172,177,214,,940,65,70,51,73,37,,506,132,6
  嘉荫县,5331,3543,58,229,159,473,2333,285,6,1788,133,310,49,54,40,,480,605,117
  铁力市,23901,12562,243,723,604,2067,6171,2752,2,11339,1182,1080,417,235,385,4,4265,3158,613
佳木斯市,211749,127639,1703,8825,4401,21755,75640,15211,104,84110,12138,9003,3124,2486,1873,123,22216,24703,8444
  向阳区,20137,9647,369,1826,768,4093,240,2339,12,10490,2962,302,227,478,252,2,4435,1070,762
  前进区,13962,6360,141,1491,636,2486,67,1483,56,7602,1111,213,307,693,226,,3661,845,546
  东风区,13826,7151,36,525,189,2302,1431,2666,2,6675,833,390,365,479,275,7,2257,1422,647
  郊区,25490,16595,239,584,307,2940,10597,1910,18,8895,1252,1198,389,138,262,41,2462,2362,791
  桦南县,38756,24016,93,967,508,2651,18279,1518,,14740,1499,1830,678,103,168,22,2138,5641,2661
  桦川县,16758,10777,233,675,316,812,7962,779,,5981,1172,1066,137,79,57,1,969,2072,428
  汤原县,21409,14139,250,744,566,1633,9403,1541,2,7270,720,1308,267,215,257,12,1845,2412,234
  抚远县,9905,6204,85,340,286,981,4197,315,,3701,349,304,199,18,56,1,481,2013,280
  同江市,14957,9633,131,493,432,1273,6329,975,,5324,601,737,226,64,130,15,949,2192,410
  富锦市,36549,23117,126,1180,393,2584,17135,1685,14,13432,1639,1655,329,219,190,22,3019,4674,1685
七台河市,68381,37907,939,3688,1524,7233,12763,11754,6,30474,3120,3378,1408,548,1021,37,5326,13451,2185
  新兴区,18670,9091,53,509,228,1911,1979,4409,2,9579,886,876,579,143,301,11,1725,4328,730
  桃山区,17504,9632,581,2255,891,2799,101,3003,2,7872,1276,591,362,183,338,4,2026,2787,305
  茄子河区,10398,5418,107,288,91,842,1388,2702,,4980,441,537,163,24,153,19,326,2799,518
  勃利县,21809,13766,198,636,314,1681,9295,1640,2,8043,517,1374,304,198,229,3,1249,3537,632
牡丹江市,224551,138656,2292,9985,5476,29183,66504,25099,117,85895,13125,8885,2911,3071,2167,157,28424,20500,6655
  东安区,16460,8702,129,1335,870,3508,1049,1809,2,7758,878,376,395,538,240,29,3927,866,509
  阳明区,19644,11337,208,724,314,1551,5630,2904,6,8307,798,877,404,530,307,12,2812,2025,542
  爱民区,21383,8616,185,1387,450,3191,585,2794,24,12767,4241,366,368,618,289,7,4190,1851,837
  西安区,19545,9708,361,1529,674,3518,1635,1928,63,9837,1135,440,453,616,352,26,4333,1599,883
  东宁县,16977,11166,476,752,421,1681,5595,2241,,5811,619,750,169,143,134,6,1501,2082,407
  林口县,31027,21866,154,820,488,2940,15351,2112,1,9161,1200,1670,279,79,96,14,1770,3268,785
  绥芬河巿,10893,7497,311,504,498,3468,329,2386,1,3396,557,166,101,61,87,2,592,1539,291
  海林市,28624,17271,295,977,700,2618,9166,3512,3,11353,1260,1380,340,247,380,13,4176,2802,755
  宁安市,37058,28089,99,1240,626,4503,18605,2999,17,8969,1478,1502,194,99,147,11,2885,2128,525
  穆棱市,22940,14404,74,717,435,2205,8559,2414,,8536,959,1358,208,140,135,37,2238,2340,1121
黑河市,112666,70231,1175,4672,3341,9742,42704,8581,16,42435,4673,4945,1536,1202,1049,51,12110,13531,3338
  爱辉区,16983,9769,69,1120,1066,2581,2953,1980,,7214,1357,577,252,267,206,9,1992,1939,615
