,,,,,,,,,,,,,,,,,,,,,,,
表9--18全国市按年龄和活产子女数分的15--64岁妇女人数(第二口径),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,单位：人,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,    活产3个,,,,,    活产,    活产,    活产,    活产,    活产,    活产9个
,,,    活 产1个,,,    活产2个,,,,,,    年龄别,,,,,,,,,,,
    年龄别,    合计,    无活产,,,,,,,,,,,    小计,    3男,  2男1女,  1男2女,    3女,    4个,    5个,    6个,    7个,    8个,    及以上
,,,    小计,    男,    女,    小计,    2男,    1男1女,    2女,,,总计,    7 374 393,    917 401,    3 098 324,    2 755 333,    603 335,    4 887 124,    2 922 074,    1 606 025,    759 900,    353 826,    248 719
  33,    2 017 129,    65 440,    1 352 848,    741 503,    611 345,    444 758,    104 394,    252 002,    88 362,,,  34,    123 389,    10 795,    43 980,    56 938,    11 676,    33 709,    8 923,    2 434,    648,    210,    95
  34,    1 939 932,    55 233,    1 252 441,    687 408,    565 033,    462 850,    109 538,    260 874,    92 438,,,35-39岁,    1 021509,    104 673,    382 097,    434 499,    100 240,    295 730,    79052,    22 975,    6 906,    2 310,    1 182
35-39岁,    8 915 051,    183 261,    4 409 308,    2 435 437,    1 973 871,    2 892 818,    737 279,    1 596 859,    558 680,,,  35,    153 882,    14 013,    55 707,    69 443,    14 719,    41 749,    11 443,    3 425,    1 01 1,    285,    141
  35,    2 056 767,    51 363,    1 246 513,    687 288,    559 225,    546 955,    131 450,    306 469,    109 036,,,  36,    175 751,    16 874,    64 320,    77 372,    17 185,    48 787,    13 188,    3 997,    1 11 5,    399,    205
  36,    1 941 240,    42 406,    1 083 471,    598 051,    485 420,    571 921,    141 490,    317 764,    112 667,,,  37,    200 935,    20 425,    75 075,    85 716,    19 719,    57 122,    15 378,    4 635,    1 427,    448,    226
  37,    1 754 777,    34 148,    858 422,    475 219,    383 203,    582 036,    148 575,    320 527,    112 934,,,  38,    238 190,    25 062,    89 984,    99 403,    23 741,    69 812,    1 8 634,    5 1 50,    1 603,    537,    287
  38,    1 681 394,    30 387,    703 611,    389 928,    313 683,    613 183,    160 375,    336 417,    116 391,,,  39,    252 751,    28 299,    97 011,    102 565,    24 876,    78 260,    20 409,    5 768,    1 750,    64 1,    323
  39,    1 480 873,    24 957,    517 291,    284 951,    232 340,    578 723,    155 389,    315 682,    107 652,,,40-44岁,    1 544 917,    191 380,    625 778,    586 514,    141 245,    642 957,    199 889,    59 503,    17 963,    6 232,    3 423
40—44岁,    6 148 854,    87 161,    1 064 580,    583 560,    481 020,    2 522 229,    706 553,    1 376 400,    439 276,,,  40,    310 156,    36 278,    121 731,    122 466,    29 681,    104 526,    27 967,    8 047,    2 493,    952,    560
  40,    1 511991,    24 081,    410 184,    225 760,    184 424,    623 025,    171 715,    339 758,    111 552,,,  41,    298 487,    36 323,    118 728,    115 272,    28 164,    108 727,    30 287,    8 625,    2 637,    864,    501
  41,    1 254 016,    19 127,    249 487,    137 003,    112 484,    535 274,    149 886,    291 160,    94 228,,,  42,    309 648,    38 275,    125 198,   117 523,    28 652,    124 902,    37 352,    10 894,    3 275,    1 173,    644
  42,    1 183 623,    16 732,    178 872,    97 571,    81 301,    500 131,    140 543,    272 684,    86 904,,,  43,    320 140,    40 576,    131 605,    119 309,    28 650,    145 377,    46 891,    14 149,    4 137,    1 469,    803
