表9—10  全国镇1989年育龄妇女分年龄、文化程度和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,    出生数,    生育率,    出生数,    生育率,    出生数,    生育率,    出生数,    生育率
    49,    353 904,    253,    0.71,    19,    0.05,    27,    0.08,    53,    0.15,    72,    0.20,    82,    0.23
文盲、半文盲,1 772 969,    79 834,    45.03,    23 709,    13.37,    27 082,    1 5.27,    16 402,    9.25,    7 674,    4.33,    4 967,    2.80
  15-19岁,    67 146,    3 605,    53.69,    3 033,    45.17,    519,    7.73,    42,    0.63,    8,    0.12,    3,    0.04
    15,    10 611,    28,    2.64,    24,    2.26,    3,    0.28,    1,    0.09,-,-,-,-
    16,    11 767,    107,    9.09,    98,    8.33, 5,    0.42,     2,    0．17,-,-,    2,    0.17
    17,    1 3 149,    371,    28.22,    346,    26.31,    24,    1.83,    1,    0.08,-,-,-,-
    18,    14 611,    991,    67.83,    879,    60.16,    106,    7.25,    6,    0.41,-,-,-,-
    19,    17 008,    2 108,    123.94,    1 686,    99.13,    381,    22.40,    32,    1.88,    8,    0.47,    1,    0.06
  20—24岁,    114 459,    25 931,    226.55,    14 342,    125.30,    8 912,    77.86,    2 303,    20.12,    316,    2.76,    58,    0．51
    20,    19 126,    3 478,    181.85,    2 629,    137.46,    766,    40.05,    76,    3.97,    6,    0.31,    1,    0.05
    21,    20 409,    4 482,    219.61,    3 027,    148.32,    1 272,    62.33,    161,    7.89,    20,    0.98,    2,    0．10
    22,    21 678,    5 260,    242.64,    3 027,    139.63,    1 801,    83.08,    386,    17.81,    39,    1.80,    7,    0.32
    23,    25 666,    6 392,    249.05,    3106,    121.02,    2 512,    97.87,    662,    25.79,    97,    3.78,    15,    0.58
