表9—16  全国1989年育龄妇女分年龄、行业门类和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    行业和,1989年年中,  出生,  生育率,,,,,,,,,,
    年龄别,妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  45—49岁,    17 652 134,    30 215,    1.71,    1 574,    0.09,    2 638,    0.15,    4 037,    0.23,    5 995,    0.34,    15 971,    0．90
    45,    3 918 254,    9 949,    2.54,    472,    0.12,    819,    0．21,    1 259,    0．32,    1 872,    0．48,    5 527,    1.41
    46,    3 634 204,    6 996,    1.93,    348,    0.10,    625,    0．17,    969,    0.27,    1 362,    0.37,    3 692,    1.02
    47,    3 627 552,    5 657,    1.56,    295,    0.08,    527,    0.15,    773,    0.21,    1 131,    0.31,    2 931,    0．81
    48,    3 443 807,    4 196,    1.22,    271,    0.08,    379,    0．11,    614,    0．18,    899,    0．26,    2 033,    0.59
    49,    3 028 317,    3 417,    1.13,    188,    0.06,    288,    0.10,    422,    0．14,    731,    0．24,    1 788,    0.59
农、林、牧、渔、水利业,  193 066 002,  18 036 414,    93.42,  7 864 359,    40.73,    6 150 805,    31.86,  2 585 593,    13.39,  887 679,    4.60,    547 978,    2.84
  15-19岁,    37 181 280,  1 105 754,    29.74,    978 067,    26.31,    119 319,    3.21,    7 551,    0.20,    668,    0．02,    149,    0．00
    15,    6 095442,    5 713,    0．94,    5 450,    0.89,    208,    0．03,    24,    0．00,    17,    0．00,    14,    0．00
    16,    7 109 306,    28 600,    4.02,    27 447,    3.86,    1 070,    0．15,    56,    0．01,    13,    0．00,    14,    0．00
    17,    7 481 283,    102 692,    13.73,    96 255,    12.87,    6 126,    0．82,    271,    0．04,    24,    0．00,    16,    0．00
    18,    8 115 641,    289 127,    35.63,    262485,    32.34,    25 427,    3.13,    1 110,    0.14,    81,    0．01,    24,    0．00
    19,    8 379 608,    679 622,    81.10,    586 430,    69.98,    86 488,    10.32,    6 090,    0.73,    533,    0．06,    81,0.01
  20—24岁,    40 725 807,  9 218 976,    226.37,  5 758 426,    141.40,    2 847 801,    69.93,    538 243,    13.22,    65 326,    1.60,    9 180,    0．23
    20,    8 783 208,  1 348 211,    153.50,  1 107 197,    126.06,    220 774,    25.14,    18 670,    2.13,    1 411,    0.16,    159,    0．02
    21,    8 040 442,  1 724 378,    214.46,  1 306 026,    162.43,    372 475,    46.33,    41 717,    5.19,    3 690,    0.46,    470,    0．06
    22,    7 673 729,  1 950 443,    254.17,  1 276 345,    166.33,    579 228,    75.48,    85 755,    11.18,    8 166,    1.06,    949,    0．12
    23,    8 332 202,  2 218 543,    266.26,  1 223 767,    146.87,    815 380,    97.86,    159 038,    19.09,    18 141,    2.18,    2 217,    0．27
    24,    7 896 226,  1 977 401,    250.42,    845 091,    107.02,    859 944,    108.91,    233 063,    29.52,    33 918,    4.30,    5 385,    0．68
  25—29岁,    28 840 497,  5 099 762,    176.83,    1 036 022,    35.92,    2 418 402,    83.85,  1 238 063,    42.93,    324 295,    11．24,    82 980,    2.88
    25,    7 887 235,  1 723 282,    218.49,    513 589,    65.12,    837 541,    106.19,    307 665,    39.01,    55 688,    7.06,    8 799,    1.12
    26,    8 381 137,  1 570 518,    187.39,    317 082,    37.83,    776 232,    92.62,    377 395,    45.03,    84 031,    10.03,    15 778,    1.88
    27,    5 095 849,    850 382,    166.88,    120 126,    23.57,    394 414,    77.40,    247 938,    48.65,    70 715,    13.88,    17 189,    3.37
    28,    3 342 307,    463 690,    138.73,    49 068,    14.68,    203 541,    60.90,146 020,    43.69,    50 157,    15．01,    14 904,    4.46
    29,    4 133 969,    491 890,    118.99,    36 157,    8.75,    206 674,    49.99,    159 045,    38.47,    63 704,    15.41,    26 310,    6.36
  30—34岁,  27 255 809,    1 831 056,    67.18,    67 895,    2.49,    632 722,    23.21,    601 996,    22.09,  325 290,    11．93,    203 153,    7.45
    30,    4 200 557,    419 973,    99.98,    20 133,    4.79,    168 119,    40.02,    139 667,    33.25,    63 723,    15.17,    28 331,    6.74
    31,    5 699 345,    469 312,    82.34,    17 851,    3.13,    175 308,    30.76,    155 613,    27.30,    79 241,    13.90,    41 299,    7.25
