表9—19  全国镇按年龄和活产子女数分的15——64岁妇女人数(第二口径),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,表9--19全国镇按年龄和活产子女数分的15--64岁妇女人数(第二口径)(续02),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,单位：人,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,    活 产1个,,,    活产2个,,,,,,,    活产3个,,,,,    活产,    活产,    活产,    活产,    活产,    活产9个
    年龄别,    合计,    无活产,,,,,,,,,,    年龄别,,,,,,,,,,,
,,,    小计,    男,    女,    小计,    2男,    1男1女,    2女,,,,    小计,    3男,  2男1女,  1男2女,    3女,    4个,    5个,    6个,    7个,    8个,    及以上
总计,    28 466 048,    8 432 888,    7 546 167,    4 152 732,    3 393 435,    5 008 959,    1 314 115,    2 845 223,    849 621,,,总计,    3 045 430,    368 838,    1 297 577,    1 145 212,    233 803,    2 001 355,    1 186 671,    661 607,    319 122,    1 53 040,    1 10 809
15—19岁,    4 303 079,    4 259 548,    40 449,    21 554,    18 895,    2 674,    705,    1 424,    545,,,15-19岁,    203,    30,    74,    72,    27,    72,    28,    48,    6,    4,    47
  15,    708 264,    707 913,    261,    199,    62,    47,    17,    25,    5,,,  15,    8,    1,     2,     2,    3,    12,    3,    10,    1,    1,    8
  16,    793 991,    793 188,    669,    394,    275,    78,    25,    45,    8,,,  16,    16,    4,      5,    5,      2,    19,    3,    4,    3,-,    11
  17,    895 774,    892 807,    2 765,    1 500,    1 265,    138,    39,    70,    29,,,  17,    24,    4,     7,    9,    4,    10,    9,    9,-,    2,    10
  18,    926 100,    916 299,    9 172,    4 879,    4 293,    538,    144,    277,    117,,,  18,    45,     5,    20,    14,    6,    15,    7,    10,    2,-,    12
  19,    978 950,    949 341,    27 582,    14 582,    13 000,    1 873,    480,    1 007,    386,,,  19,    110,    16,    40,    42,    12,    16,    6,    15,-,    1,    6
20—24岁,    4 795 676,    3 287 440,    1 304 240,    691 867,    612 373,    182 027,    45 374,    100 387,    36 266,,,20-24岁,    19 466,    2 027,    7 031,    8 143,    2 265,    2 045,    278,    109,    16,    13,    42
  20,    995 043,    915 593,    72 476,    38 319,    34 157,    6 380,    1 620,    3 420,    1 340,,,  20,    464,    54,    188,    159,    63,    77,    18,    23,    1,    3,    8
  21,    1 028 561,    850 271,    160 783,    85 029,    75 754,    16 171,    4 112,    8 725,    3 334,,,  21,    1 155,    124,    454,    445,    132,    117,    25,    22,    3,    4,    10
  22,    921 576,    652 278,    237 999,    126 250,    11 1 749,    28 365,    6 998,    15 559,    5 808,,,  22,    2 606,    292,    965,    1 043,    306,    258,    42,    17,    1,    1,    9
  23,    862 182,    475 465,    332 790,    176 774,    156 016,    48 232,    12 074,    26 480,    9 678,,,  23,    5 081,    528,    1 813,    2145,    595,    527,    56,    17,    2,    3,    9
  24,    988 314,    393 833,    500 192,    265 495,    234 697,    82 879,    20 570,    46 203,    16 106,,,  24,    10 160,    1 029,    3 611,    4 351,    1 169,    1 066,    137,    30,    9,    2,    6
25-29岁,    4 437 756,    642 125,    2 884 169,    1 547 068,    1 337 101,    741 927,    184 418,    422 951,    134 558,,,25-29岁,    142 266,    12 982,    49 806,    63 482,    15 996,    22 976,    3 459,    626,    141,    36,    31
  25,    1 025 641,    271 130,    619 764,    329 329,    290 435,    115 081,    28 876,    64 656,    21 549,,,  25,    17 178,    1663,    6 069,    7 441,    2 005,    2 096,    309,    51,    22,    4,    6
  26,    1 090 704,    178 486,    726 630,    388 129,    338 501,    154 959,    38 628,    87 487,    28 844,,,  26,    26 487,    2 423,    9 179,    11 833,    3 052,    3 499,    528,    90,    15,    5,    5
  27,    1 137 599,    118 252,    769 122,    413 032,    356 090,    203 661,    50 579,    116 691,    36 391,,,  27,    39 589,    3 540,    13 851,    17 739,    4 459,    5 996,    800,    135,    30,     7,    7
  28,    666 007,    48 477,    430 377,    232 348,    198 029,    147 153,    36 888,    84 487,    25 778,,,  28,    32 868,    2 955,    11 458,    14 896,    3 559,    5 980,    937,    166,    30,    10,    9
  29,    517 805,    25 780,    338 276,    184 230,    154 046,    121 073,    29 447,    69 630,    21 996,,,  29,    26 144,    2 401,    9 249,    11 573,    2 921,    5 405,    885,    184,    44,    10,    4
30—34岁,    3 442 716,    76 576,    1 889 514,    1 064 424,    825 090,    1 105 552,    268 659,    633 499,    203 394,,,30—34岁,    280 354,    25 327,    101 918,    125 531,    27 578,    69 185,    15 908,    3 984,    1 094,    379,    170
  30,    627 432,    22 133,    394 546,    216 977,    177 569,    163 277,    39 638,    93 593,    30 046,,,  30,    36 935,    3 244,    1 3 025,    16 620,    4 046,    8 227,    1 700,    411,    131,    47,    25
  31,    608 538,    1 5 872,    355 724,    198161,    157 563,    180 430,    43 891,    103 549,    32 990,,,  31,    43 556,    3 845,    15 795,    19 683,    4 233,    10 157,    2 141,    479,    124,    41,    14
  32,    780 741,    1 5 878,    436 244,    245 843,    190 401,    247 269,    59 536,    142 295,    45 438,,,  32,    61 675,    5 563,    22 341,    27 706,    6 065,    15 175,    3 364,    802,    209,    88,    37
  33,    728 608,    12 488,    374 854,    214 217,    160 637,    252 990,    61 499,    144 952,    46 539,,,  33,    65 974,    5 950,    24 132,    29 597,    6 295,    16 853,    4 027,    1 025,    274,    89,    34
  34,    697 397,    10 205,328 1(?),    189 226,    138 920,    261 586,    64 095,    149 1 10,    48 381,,,  34,    72 214,    6 725,    26 625,    31 925,    6 939,    18 773,    4 676,    1 267,    356,    114,    60
35—39岁,    3 293 835,    37 239,    1 01 8 110,    593 997,    424 113,    1 440 100,    374 077,    809 604,    256 419,,,35—39岁,    568 466,    59 131,    219 190,    237 694,    52 451,    169 283,    42 862,    12 009,    3 561,    1 300,    905
  35,    751 128,    9 905,    314 069,    182 336,    131 733,    303 093,    75 335,    172 189,    55 569,,,  35,    90 818,    8 817,    33 912,    39 490,    8 599,    24 414,    6 167,    1 775,    534,    203,    150
  36,    715 11 3,    8 577,    257 908,    150 287,    107 621,    307 228,    77 660,    173 281,    56 287,,,  36,    102 578,    10 063,    38 866,    44 044,    9 605,    28 515,    7 299,    2 070,    568,    235,    135
  37,    654 624,    7 085,    194 234,    113 828,    80 406,    294 110,    76 636,    165 071,    52 403,,,  37,    114 405,    11 728,    43 920,    48 1 12,    10 645,    32 877,    8 419,    2 341,    700,    256,    197
  38,    627 752,    6 482,    151 326,    88 862,    62 464,    287 839,    76 843,    160 572,    50 424,,,  38,    128 815,    1 3 720,    50 195,    53 000,    11 900,    39 372,    9 768,    2 746,    897,    290,    217
  39,    545 218,    5 190,    100 573,    58 684,    41 889,    247 830,    67 603,    138 491,    41 736,,,  39,    131 850,    14 803,    52 297,    53 048,    11 702,    44 105,    11 209,    3 077,    862,    316,    206
40-44岁,    2 334 918,    23 034,    199 783,    114 035,    85 748,    872 975,    251 116,    488 809,    133 050,,,40-44岁,    746 371,    92 018,    312 544,    280 786,    61 023,    340 619,    106 838,    31 144,    8 951,    3 084,    2 119
  40,    573 917,    5 800,    76 602,    44 288,    32 314,    250 231,    70 547,    139 468,    40 216,,,  40,    160 575,    18 758,    64 592,    62 895,    14 330,    58 330,    15 570,    4 441,    1 400,    538,    430
  41,    481 606,    4 715,    47 549,    27 372,    20 177,    196 574,    56 323,    109 631,    30 620,,,  41,    148 995,    17 927,    61 346,    57 013,    12 709,    59 883,    17 079,        4 686,    1 374,    425,    326
  42,    449 343,    4 422,    32 570,    18 319,    14 251,    167 715,    48 522,    93 985,    25 208,,,  42,    149 715,    18 656,    62 936,    55 912,    12 211,    66 498,    20 046,    5 765,    1 632,    607,    373
  43,    433 353,    4 205,    24 876,    13 903,    10 973,    144 197,    42 041,    81 306,    20 850,,,  43,    149 169,    18 682,    63 516,    55 364,    1 1 607,    75 649,    24 696,    7 338,    2 081,    710,    432
  44,    396 699,    3 892,    18 186,    10 153,    8 033,    114 258,    33 683,    64 419,    16 156,,,  44,    137 917,    17 995,    60 154,    49 602,    10 166,    80 259,    29 447,    8 914,    2 464,    804,    558
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
表9--19全国镇按年龄和活产子女数分的15--64岁妇女人数(第二口径)(续01),,,,,,,,,,,,表9--19全国镇按年龄和活产子女数分的15--64岁妇女人数(第二口径)(续03),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,单位：人,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,    活 产1个,,,    活产2个,,,,,,,    活产3个,,,,,    活产,    活产,    活产,    活产,    活产,    活产9个
    年龄别,    合计,    无活产,,,,,,,,,,    年龄别,,,,,,,,,,,
,,,    小计,    男,    女,    小计,    2男,    1男1女,    2女,,,,    小计,    3男,  2男1女,  1男2女,    3女,    4个,    5个,    6个,    7个,    8个,    及以上
45—49岁,    1 811 208,    19 195,    58 740,    32 415,    26 325,    335 680,    99 608,    192 556,    43 516,,,45-49岁,    577 703,    78 659,    264 949,    197 728,    36 367,    466 522,    226 680,    85 748,    26 713,    9 108,    5 119
  45,    376 611,    3 923,    14 524,    8 0 19,    6 505,    91 697,    27 086,    52 170,    12 441,,,  45,    128 668,    17 293,    57 270,    45 196,    8 909,    86 443,    34 735,    11 433,    3 317,    1116,    755
  46,    358 075,    3 706,    12 505,    6 949,    5 556,    75 169,    22 191,    42 891,    10 087,,,  46,    118 885,    1 5 969,    53 896,    41 188,    7 832,    88 631,    39 350,    13 825,    3 903,    1 352,    749
  47,    353 172,    3 667,    10 931,    6 011,    4 920,    63 006,    18 789,    36 211,    8 006,,,  47,    114 175,    15 553,    52 646,    38 913,    7 063,    92 965,    44 534,    16 295,    5 064,    1 620,    91 5
  48,    362 117,    3 953,    10 679,    5 866,    4 813,    56 559,    16 914,    32 622,    7 023,,,  48,    1 10 945,    15 155,    51 557,    37 732,    6 501,    98 395,    51 508,    20 197,    6 480,    2 206,    1 195
  49,    361 233,    3 946,    10 101,    5 570,    4 531,    49 249,    14 628,    28 662,    5 959,,,  49,    105 030,    14 689,    49 580,    34 699,    6 062,    100 088,    56 553,    23 998,    7 949,    2 814,    1 505
50-54岁,    1 689 207,    21 984,    47 152,    26 475,    20 677,    163 147,    47 303,    96 385,    19 459,,,50—54岁,    393 959,    55 184,    191 392,    126 934,    20 449,    456 519,    318 503,    170 426,    72 293,    28 685,    16 539
  50,    353 904,    4 353,    9 880,    5 506,    4 374,    42 045,    12 435,    24 596,    5 014,,,  50,    96 308,    13 604,    45 997,    31 520,    5 187,    97 933,    59 870,    27 476,    10 182,    3 716,    2 141
  51,    340 631,    4 178,    9 342,    5 163,    4 179,    36 159,    10 512,    2 1 402,    4 245,,,  51,    86 324,    12 062,    41 730,    27 919,    4 613,    94 164,    61 255,    30 498,    11 993,    4 424,    2 294
  52,    340 612,    4 307,    9 250,    5 226,    4 024,    31 956,    9 31 5,    18 750,    3 891,,,  52,    79 369,    11 087,    38 834,    25 394,    4 054,    92 894,    64 793,    34 653,    14 544,    5 579,    3 267
  53,    328 784,    4 518,    9 172,    5 138,    4 034,    27 805,    8 035,    16 505,    3 265,,,  53,    69 518,    9 747,    34 017,    22 337,    3 417,    87 496,    65 551,    37 430,    16 599,    6 766,    3 929
