表9—11  全国县1989年育龄妇女分年龄、文化程度和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,    出生数,生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  34,    6 517 795,    276 443,    42.41,    9 078,    1.39,    75 281,    11.55,    85 700,    13.15,    56 037,    8.60,    50 347,    7.72
35—39岁,    28 269 765,    655 050,    23.17,    20 979,    0．74,    127 031,    4.49,    180 736,    6.39,    144 528,5.11,    181 776,    6.43
  35,    6 222 007,    209 226,    33.63,    6 628,    1.07,    49 971,    8.03,    62 949,    10.12,    44 412,    7.14,45 266,    7.28
  36,    5 946141,    158 407,    26.64,    4 951,    0.83,    32 583,    5.48,    45 548,    7.66,    34 960,    5.88,    40 365,    6.79
  37,    5 873 629,    126 023,    21.46,    3 985,    0．68,    22 322,    3.80,    34 345,    5.85,    28 579,    4.87,    36 792,    6.26
  38,    5 014 507,    86 119,    17.17,    2 810,    0.56,    13 004,    2.59,    21 701,    4.33,    19 930,    3.97,    28 674,    5.72
  39,    5 213 481,    75 275,    14.44,    2 605,    0.50,    9 151,    1.76,    16 193,    3.11,    16 647,    3.19,    30 679,    5.88
40—44岁,    20 285 882,    142 889,    7.04,    5 209,    0.26,    13 104,    0.65,    24 003,    1.18,    30 302,    1.49,    70 271,    3.46
  40,    4 469 717,    46 183,    10.33,    1 557,    0.35,    4 652,    1.04,    8 968,    2.01,    10 564,    2.36,    20 442,    4.57
  41,    4 263 412,    35 020,    8.21,    1 186,    0.28,    3 159,    0．74,    6 188,    1.45,    7 503,    1.76,    16 984,    3.98
  42,    4 107 435,    25 938,    6.31,    992,    0.24,    2 248,    0.55,    3 995,    0．97,    5 376,    1.3 1,    13 327,    3.24
  43,    3 833 870,    19 893,    5.19,    859,    0.22,    1 740,    0.45,    2 838,    0.74,    3 952,    1.03,    10 504,    2.74
  44,    3 611 448,    15 855,    4.39,    615,    0.17,    1 305,    0．36,    2 014,    0．56,    2 907,    0.80,    9 014,    2.50
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,    出生,    生育率,,,,,,,,,,
    和年龄别,  妇女人数,    人数,,,,,,,,,,,
,,,,  出生数,    生育率,    出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  45—49岁,    10 014 963,    32 179,    2.01,    1 585,    0.10,    2 530,    0．16,    4 066,    0.25,    6 304,    0.39,    17 694,    1.10
    45,    3 402 883,    10 454,    3.07,    443,    0.13,    777,    0．23,    1 269,    0.37,    1938,    0.57,    6 027,    1.77
    46,    3 168 048,    7 395,    2.33,    358,    0.11,    576,    0.18,    965,    0．30,    1 442,    0．46,    4 054,    1.28
    47,    3 242 967,    5 971,    1.84,    298,    0.09,    508,    0.16,    751,    0．23,    1 175,    0.36,    3 239,    1.00
    48,    3 1 59 100,    4 540,    1.44,    287,    0.09,    380,    0：12,    618,    0．20,    959,    0.30,    2 296,    0．73
    49,    3 041 965,    3 819,    1.26,    199,    0.07,    289,    0.10,    463,    0.15,    790,    0．26,    2 078,    0.68
文盲、半文盲,    50 018 547,    3 518 995,    70.35,    1 070 237,    21.40,    1 104 317,      22.08,    716 657,    14.33,  344 010,    6.88,    283 774,    5.67
  1 5-19岁,    4 575 836,    230 740,    50.43,    194 125,    42.42,    33 794,7.39,    2 552,    0.56,    222,    0.05,    47,    0．01
    15,    825 868,    1 833,    2.22,    1 735,    2.10,    76,    0.09,    10,    0.01,    6,    0．01,    6,    0.01
    16,    871 416,    7 995,    9.17,    7 644,    8.77,    322,    0.37,    24,    0.03,    2,    0.00,    3,    0.00
    17,    900 497,    26 004,    28.88,    23 850,    26.49,    2 047,    2.27,    96,    0.11,    5,    0．01,    6,    0.01
    18,    954 170,    64 729,    67.84,    56 474,    59.19,    7 782,    8.16,    436,    0．46,    28,    0.03,    9,    0.01
    19,    1 023 885,    130 179,    127.14,    104 422,    101.99,    23 567,    23.02,    1 986,    1.94,    181,    0.18,    23,    0.02
  20—24岁,    5 514 304,    1 408 459,    255.42,    709 842,    128.73,    527 794,    95.71,    145 643,    26.41,    21 725,    3.94,    3 455,    0.63
    20,    1 096 939,    218 130,    198.85,    158 527,    144.52,    53 002,    48.32,    6 025,    5.49,    517,    0.47,    59,    0.05
    21,    1 065 810,    265 041,    248.68,    168 981,    158.55,    81 576,    76.54,    13 015,    12.21,    1 301,    1.22,    168,    0.16
    22,    1 056 563,    293 018,    277.33,    1 52 249,    144.10,    112 654,    106.62,    24 973,    23.64,    2 780,    2.63,    362,    0.34
    23,    1 1 56 573,    328 203,    283.77,    136 306,    117.85,    142 397,    123.12,    42 684,    36.91,    5 987,    5.18,    829,    0.72
    24,    1 138 419,    304 067,    267.10,    93 779,    82.38,    138 165,    121.37,    58 946,    51.78,    11 140,    9.79,    2 037,    1．79
  25—29岁,    5 142 802,    957 831,    186.25,    134 986,26.25,    375 877,    73.09,    304 247,    59.16,    108 303,    21.06,    34 418,    6.69
    25,    1 174 281,    280 377,    238.76,    59 696,    50.84,    126 220,    107.49,    73 318,    62.44,    17 824,    15.18,    3 319,    2.83
    26,    1 328 874,    274 194,    206.34,    39 471,    29.70,    114 562,    86.21,    87 522,    65.86,    26 456,    19.91,    6 183,    4.65
    27,    983 776,    177 577,    180.51,    18 990,19.3,    65 367,    66.45,    62 618,    63.65,    23 638,    24.03,    6 964,    7.08
    28,    708 81 1,    106 291,    149.96,    9 105,    12.85,    34 784,    49.07,    38 321,    54.06,    17 504,    24.69,    6 577,9.28
    29,    947 060,    119 392,    126.07,    7 724,8.16,    34 944,    36.90,    42 468,    44.84,    22 881,    24.16,    11 375,    12.01
  30—34岁,    8 131 1 18,    557 340,    68.54,    19 662,    2.42,    125 038,    15.38,    184 415,    22.68,    129 683,    15.95,    98 542,    12.12
    30,    1 069 964,    109 205,    102.06,    4 791,    4.48,    29 466,    27.54,    38 691,    36.16,    23 415,    21.88,    12 842,    12．00
    31,    1 593 134,    133 764,    83.96,    4 917,    3.09,    32 630,    20.48,    46 343,    29.09,    30 503,    19.15,    19 371,    12.16
    32,    1 703 930,    118 326,    69.44,    3 764,    2.21,    25 825,    15.16,    39 384,    23.11,    28 285,    16.60,    21 068,    12.36
    33,    1 735 913,    100 219,    57.73,    3 260,    1.88,    20 099,    11．58,    31 482,    18.14,    24 073,    13.87,    21 305,    12.27
    34,    2 028 177,    95 826,    47.25,    2 930,    1.44,    17 018,8.39,    28 515,    14.06,    23 407,    11.54,    23 956,    11.81
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
    文化程度,  1989年年中,    出生,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    和年龄别,  妇女人数,    人数,    生育率,,,,,,,,,,
,,,,  出生数,   生育率,    出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  35-39岁,    9 882 436,    269 677,    27.29,    8 176,    0.83,    34 861,    3.53,    66 895,    6.77,    65 461,    6.62,    94 284,    9.54
    35,    2 051 342,    78 403,    38.22,    2 277,    1.11,    12 365,    6.03,    21 849,    10.65,    19 233,    9.38,    22 679,    11.06
    36,    2 070 502,    63 991,    30.91,    1 816,    0.88,    8 616,    4.16,    16 673,    8.05,    15 880,    7.67,    21 006,    10.15
    37,    2 099 696,    53 725,    25.59,    1 656,    0.79,    6 516,    3.10,    13 174,    6.27,    13 252,    6.31,    19 127,    9.11
    38,    1 787 296,    38 751,    21.68,    1 207,    0．68,    4 123,    2.31,    8 546,    4.78,    9 273,    5.19,    15 602,    8.73
    39,    1 873 600,    34 807,    18.58,    1 220,    0.65,    3 241,    1.73,    6 653,    3.55,    7 823,    4.18,    15 870,    8.47
  40—44岁,    7 950 215,    75 205,    9.46,    2 498,    0.31,    5 563,    0．70,    10 692,    1.34,    15 077,    1.90,    41 375,    5.20
    40,    1 643 742,    23 039,    14.02,    728,    0.44,    1 776,    1.08,    3 794,    2.31,    5 081,    3.09,    1 1 660,    7.09
    41,    1598 578,    18 399,    11.51,    563,    0.35,    1 358,    0.85,    2 721,    1.70,    3 758,    2.35,    9 999,    6.25
    42,    1 574 764,    14 004,    8.89,    444,    0.28,    993,    0.63,    1 804,    1.15,    2 691,    1.71,    8 072,    5.13
    43,    1 547 437,    10 989,    7.10,    425,    0.27,    811,    0.52,    1 354,    0.87,    2 038,    1.32,    6 361,    4.11
    44,    1 585 694,    8 774,    5.53,    338,    0.21,    625,    0.39,    1 019,    0.64,    1 509,    0.95,    5 283,    3.33
  45—49岁,    8 821 836,    19 743,    2.24,    948,    0.11,    1 390,    0.16,    2 213,    0．25,    3 539,    0.40,    11 653,    1.32
    45,    1 633 509,    6 271,    3.84,    251,    0．15,    395,    0.24,    674,    0.41,    1 026,    0.63,    3 925,    2.40
    46,    1 635 818,    4 638,    2.84,    216,    0.13,    333,    0.20,    522,    0.32,    810,    0.50,    2 757,    1.69
    47,    1 794 583,    3 671,    2.05,    182,    0.10,    285,    0.16,    411,    0.23,    683,    0.38,    2 110,    1.18
    48,    1 852 620,    2 787,    1.50,    181,    0.10,    209,    0.11,    337,    0.18,    544,    0.29,    1 516,    0.82
    49,    1 905 306,    2 376,    1.25,    118,    0.06,    168,    0.09,    269,    0.14,    476,    0.25,    1 345,    0.71
小学,    98 789 570,    8 529 850,    86.34,    3 844 207,    38.91,    2 867 449,    29.03,  1 182 864,    11.97,    398 965,    4.04,    236 365,    2.39
