表9—8  全国1989年育龄妇女分年龄、文化程度和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
    和年龄别,  妇女人数,  人数,  生育率,,,,,,,,,,
,,,,  出生数,    生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
高中,    27 129 816,    1 958 363,    72.18,    1 223 462,    45.10,    521 340,    19.22,    161 429,    5.95,    40 867,    1.51,    11 265,    0.42
  15-19岁,    5 527 881,    14 684,    2.66,    13 738,    2.49,    848,    0.15,    73,    0．01,    19,    0.00,    6,    0.00
    15,    699 283,    34,    0.05,    27,    0.04,    4,    0．01,    2,    0．00,-,-,    1,    0．00
    16,    1 145 856,    148,    0.13,    136,    0.12,    9,    0.01,-,-,    3,    0.00,-,-
    17,    1 249 863,    773,    0．62,    717,    0．57,    47,    0.04,    5,    0.00,    2,    0.00,    2,    0.00
    18,    1 255 953,    2 912,    2.32,    2 769,    2.20,    139,    0.11,    3,    0.00,    1,    0.00,-,-
    19,    1 176 926,    10 817,    9.19,    10 089,    8.57,    649,    0.55,    63,    0．05,    13,    0.01,    3,    0.00
  20-24岁,    5 258 322,    650 313,    123.67,    564 865,    107.42,    74 613,    14.19,    9 655,    1.84,    1 041,    0.20,    139,    0.03
    20,    1 162 908,    32 808,    28.21,    30 708,    26.41,    1 910,    1.64,    166,    0.14,    18,    0.02,    6,    0．01
    21,    966 427,    60 257,    62.35,    55 688,    57.62,    4 144,    4.29,    376,    0.39,    39,    0.04,    10,    0.01
    22,    831 882,    98 598,    118.52,    88 810,    106.76,    8 850,    10.64,    832,    1.00,    95,    0.11,    11,    0.01
    23,    1 023 079,    189 047,    184.78,    165 834,    162.09,    20 615,    20.15,    2 335,    2.28,    231,    0.23,    32,    0．03
    24,    1 274 026,    269 603,    211.61,    223 825,    175.68,    39 094,    30.69,    5 946,    4.67,    658,    0．52,    80,    0.06
  25-29岁,    8 353 870,    1 025 278,    122.73,    593 222,    71.01,    313 237,    37.50,    96 605,    11.56,    19 077,    2.28,    3 137,    0.38
    25,    1 782 275,    319 297,    179.15,    236 573,    132.74,    66 806,    37.48,    13 974,    7.84,    1 755,    0．98,    189,    0.11
    26,    2 288 292,    325 825,    142.39,    198 186,    86.61,    96 125,    42.01,    26 780,    11.70,    4 231,    1.85,    503,    0.22
    27,    1 481 495,    168 718,    113.88,    81 546,    55.04,    60 811,    41.05,    21 391,    14.44,    4 297,    2.90,    673,    0.45
    28,    1 289 357,    106 291,    82.44,    44 835,    34.77,    41 560,    32.23,    15 519,    12.04,    3 704,    2.87,    673,    0.52
    29,    1 512 451,    105 147,    69.52,    32 082,    21.21,    47 935,    31.69,    18 941,    12.52,    5 090,    3.37,    1 099,    0.73
  30-34岁,    5 433 798,    240 650,    44.29,    48 061,    8.84,    120 167,    22.11,    49 111,    9.04,    17 643,    3.25,    5 668,    1.04
    30,    1 296 578,    75 924,    58.56,    17 828,    13.75,    36 854,    28.42,    15 270,    11.78,    4 805,    3.71,    1 167,    0.90
    31,    1 451 328,    69 081,    47.60,    14 044,    9.68,    34 467,    23.75,    14 096,    9.71,    5 020,    3.46,    1 454,    1.00
    32,    1 142 226,    46 281,    40.52,    8 572,    7.50,    23 301,    20.40,    9 524,    8.34,    3 665,    3.21,    1 219,    1.07
    33,    865 037,    29 355,    33.93,    4 915,    5.68,    15 082,    17.44,    6 010,    6.95,    2 371,    2.74,    977,    1.13
    34,    678 629,    20 009,    29.48,    2 702,    3.98,    10 463,    15.42,    4 211,    6.21,    1 782,    2.63,    851,    1.25
  35-39岁,    1 304 898,    25 079,    19.22,    3 105,    2.38,    11835,    9.07,    5 496,    4.21,    2 740,    2.10,    1 903,    1.46
    35,    461 704,    11 583,    25.09,    1 483,    3.21,    5 826,    12.62,    2 448,    5.30,    1 169,    2.53,    657,    1.42
    36,      298 327,    6 345,    21.27,    733,    2.46,    3 025,    10.14,    1 439,    4.82,    694,    2.33,    454,    1.52
    37,    213 149,    3 626,    17.01,    406,    1.90,    1 619,    7.60,    797,    3.74,    454,    2.13,    350,    1.64
    38,    160 620,    2 116,    13.17,    294,    1.83,    861,    5.36,    491,    3.06,    248,    1.54,    222,    1.38
    39,    171 098,    1 409,    8.24,    189,    1.10,    504,    2.95,    321,    1.88,    175,    1.02,    220,    1.29
  40-44岁,    696 371,    1 927,    2.77,    398,    0.57,    542,    0.78,    392,    0.56,    254,    0.36,    341,    0.49
    40,    158 774,    712,    4.48,    139,    0．88,    235,    1.48,    151,    0．95,    80,    0.50,    107,    0.67
    41,    151 676,    502,    3.31,    103,    0.68,    135,    0.89,    122,    0．80,    73,    0.48,    69,    0.45
    42,    139 566,    307,    2.20,    72,    0.52,    89,    0.64,    51,      0.37,    45,    0.32,    50,    0.36
    43,    123 727,    234,    1.89,    52,    0．42,    51,    0.41,    43,    0.35,    32,    0.26,    56,    0.45
    44,    122 628,    172,    1.40,    32,    0.26,    32,    0.26,    25,    0．20,    24,    0.20,    59,    0.48
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表9-8全国1989年育龄妇女分年龄、文化程度和孩次的生育状况(续06),,,,,,,,,,,,,
    单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  45-49岁,    554 676,    432,    0.78,    73,    0.13,    98,    0.18,    97,    0.17,    93,    0.17,    71,    0.13
    45,    123 452,    134,    1.09,    17,    0.14,    37,    0.30,    23,    0.19,    26,    0.21,    31,    0.25
    46,    125 565,    99,    0.79,    20,    0.16,    22,    0.18,    29,    0.23,    20,    0.16,    8,    0.06
    47,    117 214,    84,    0.72,    17,    0.15,    19,    0.16,    17,    0.15,    15,    0.13,    16,    0.14
    48,    102 631,    70,    0.68,    11,    0.11,    16,    0.16,    15,    0.15,    20,    0.19,    8,    0.08
    49,    85 814,    45,    0.52,    8,    0.09,    4,    0.05,    13,    0.15,    12,    0.14,    8,    0.09
中专,    6 526 220,    291 952,    44.74,    254 114,    38.94,    32 614,    5.00,    3 615,    0.55,    968,    0.15,    641,    0.10
  15-19岁,    1 633 095,    1 260,    0.77,    1 215,    0.74,    41,    0.03,    2,    0.00,    1,    0.00,    1,    0．00
    15,    180 564,    3,    0.02,    3,    0.02,-,-,-,-,-,-,-,-
    16,    335 060,    5,    0.01,    5,    0.01,-,-,-,-,-,-,-,-
    17,    386 566,    31,    0．08,    27,    0.07,    3,    0.01,-,-,    1,    0.00,-,-
    18,    385 914,    148,    0.38,    143,    0.37,    4,    0.01,-,-,-,-,    1,    0.00
    19,    344 991,    1 073,    3.11,    1 037,    3.01,    34,    0.10,    2,    0.01,-,-,-,-
  20-24岁,    1 262 789,    125 801,    99.62,    121847,    96.49,    3 614,    2.86,    280,    0.22,    49,    0.04,    11,    0．01
    20,    312 049,    4 888,    15.66,    4 772,    15.29,    110,    0.35,    3,    0．01,    1,    0.00,    2,    0.01
    21,    247 868,    10 940,    44.14,    10 680,    43.09,    243,    0.98,    12,    0.05,    5,    0.02,-,-
    22,    213 011,    20 085,    94.29,    19 522,    91.65,    532,    2.50,    28,    0.13,    3,    0.01,-,-
    23,    239 740,    38 045,    158.69,    36 946,    154.11,    1 000,    4.17,    81,    0.34,    15,    0.06,    3,    0.01
    24,    250 121,    51 843,    207.27,    49 927,    199.61,    1 729,    6.91,    156,    0.62,    25,    0.10,    6,    0.02
  25-29岁,    916 479,    133 937,    146.14,    120 892,    131.91,    11251,    12.28,    1 335,    1.46,    353,    0.39,    106,    0.12
    25,    277 857,    55 096,    198.29,    52 318,    188.29,    2 470,    8.89,    251,    0.90,    48,    0.17,    9,    0．03
    26,    271 935,    44 433,    163.40,    40 847,    150.21,    3 149,    11.58,    338,    1.24,    83,    0.31,    16,    0.06
    27,    141 604,    17 565,    124.04,    15 276,    107.88,    1 931,    13.64,    260,    1.84,    75,    0.53,    23,    0.16
    28,    108110,    9 324,    86.25,    7 360,    68.08,    1 675,    15.49,    212,    1.96,    58,    0.54,    19,    0．18
    29,    116 973,    7 519,    64.28,    5 091,    43.52,    2 026,    17.32,    274,    2.34,    89,    0.76,    39,    0.33
  30-34岁,    764 929,    22 549,    29.48,    8 311,    10.87,    12 382,    16.19,    1 260,    1.65,    348,    0.45,    248,    0．32
    30,    109 778,    5 028,    45.80,    2 639,    24.04,    2 038,    18.56,    216,    1.97,    91,    0.83,    44,    0.40
    31,    149 015,    5 375,    36.07,    2 247,    15.08,    2 721,    18.26,    283,    1.90,    80,    0.54,    44,    0.30
    32,    154 621,    4 592,    29.70,    1 497,    9.68,    2 699,    17.46,    277,    1.79,    60,    0.39,    59,    0.38
    33,    163 667,    3 972,    24.27,    1 097,    6.70,    2 531,    15.46,    240,    1.47,    61,    0.37,    43,    0.26
    34,    187 848,    3 582,    19.07,    831,    4.42,    2 393,    12.74,    244,    1.30,    56,    0.30,    58,    0.31
  35-39岁,    706 691,    7 304,    10.34,    1 562,    2.21,    4 887,    6.92,    555,    0.79,    118,    0.17,    182,    0.26
    35,    177 141,    2 797,    15.79,    587,    3.31,    1 941,    10.96,    185,    1.04,    33,    0.19,    51,    0.29
    36,    150 584,    1 922,    12.76,    387,    2.57,    1 315,    8.73,    149,    0．99,    38,    0.25,    33,    0.22
    37,    138 554,    1 311,    9.46,    280,    2.02,    872,    6.29,    100,    0.72,    24,    0.17,    35,    0.25
    38,    112 671,    739,    6.56,    169,    1.50,    465,    4.13,    70,    0.62,    11,    0．10,    24,    0.21
    39,    127 741,    535,    4.19,    139,    1.09,    294,    2.30,    51,    0．40,    12,    0.09,    39,    0.31
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  40-44岁,    651 776,    830,    1.27,    249,    0.38,    355,    0.54,    120,    0.18,    51,    0.08,    55,    0.08
    40,    149 834,    324,    2.16,    108,    0．72,    150,    1.00,    33,    0.22,    15,    0.10,    18,    0.12
    41,    152 373,    216,    1.42,    60,    0.39,    104,    0.68,    35,    0．23,    11,    0.07,    6,    0.04
    42,    134 330,    125,    0．93,    43,    0．32,    49,    0．36,    19,    0．14,    7,    0.05,    7,    0.05
    43,    108 517,    85,    0.78,    22,    0.20,    34,    0.31,    15,    0.14,    6,    0.06,    8,    0.07
    44,    106 722,    80,    0.75,    16,    0.15,    18,    0.17,    18,    0.17,    12,    0.11,    16,    0.15
  45-49岁,    590 461,    271,    0.46,    38,    0．06,    84,    0.14,    63,    0.11,    48,    0.08,    38,    0.06
    45,    114 266,    63,    0.55,    20,    0.18,    16,    0.14,    10,    0.09,    8,    0.07,    9,    0.08
    46,    125 239,    51,    0.41,    2,    0.02,    20,    0.16,    13,    0.10,    7,    0.06,    9,    0.07
    47,    125 584,    72,    0.57,    6,    0．05,    26,    0.21,    21,    0.17,    9,    0.07,    10,    0.08
    48,    117 927,    45,    0．38,    6,    0．05,    9,    0.08,    12,    0.10,    12,    0.10,    6,    0.05
    49,    107 445,    40,    0.37,    4,    0.04,    13,    0.12,    7,    0．07,    12,    0.11,    4,    0.04
大学专科,    2 863 073,    175 174,    61.18,    166 528,    58.16,    8 028,    2.80,    500,    0.17,    81,    0.03,    37,    0.01
  15-19岁,    327 008,    88,    0.27,    84,    0.26,    3,    0.01,-,-,    1,    0.00,-,-
    15,    1 553,-,-,-,-,-,-,-,-,-,-,-,-
    16,    9 178,    1,    0.11,    1,    0.11,-,-,-,-,-,-,-,-
    17,    43 479,    3,    0.07,    2,    0.05,-,-,-,-,    1,    0.02,-,-
    18,    108 122,    12,    0.11,    12,    0.11,-,-,-,-,-,-,-,-
    19,    164 676,    72,    0.44,    69,    0.42,    3,    0.02,-,-,-,-,-,-
  20-24岁,    817 190,    47 346,    57.94,    46 595,    57.02,    726,    0.89,    22,    0.03,    2,    0.00,    1,    0.00
    20,    198 740,    416,    2.09,    409,    2.06,    7,    0.04,-,-,-,-,-,-
    21,    171 529,    1 574,    9.18,    1 555,    9.07,    18,    0.10,    1,    0.01,-,-,-,-
    22,    136 880,    4 859,    35.50,4780,    34.92,    78,    0.57,    1,    0.01,-,-,-,-
    23,    153 404,    14 569,    94.97,    14 317,    93.33,    242,    1.58,    8,    0.05,    1,    0.01,    1,    0.01
    24,    156 637,    25 928,    165.53,    25 534,    163.01,    381,    2.43,    12,      0.08,    1,    0.01,-,-
  25-29岁,    619 327,    110 206,    177.94,    107 672,    173.85,    2 370,    3.83,    139,    0.22,    18,    0.03,    7,    0.01
    25,    189 887,    38 586,    203.21,    37 982,    200.02,    577,    3.04,    25,    0.13,    2,    0.01,-,-
    26,    191 476,    38 900,    203.16,    38 163,    199.31,    698,    3.65,    35,    0.18,    3,    0.02,    1,    0.01
    27,    98 934,    16 879,    170.61,    16 455,    166.32,    390,    3.94,    28,    0.28,    3,    0.03,    3,    0.03
    28,    72 386,    9 491,    131.12,    9 127,    126.09,    338,    4.67,    22,    0.30,    3,    0.04,    1,    0.01
    29,    66 644,    6 350,    95.28,    5 945,    89.21,    367,    5.51,    29,    0．44,    7,    0.11,    2,    0.03
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表9-8全国1989年育龄妇女分年龄、文化程度和孩次的生育状况(续08),,,,,,,,,,,,,
    单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  30-34岁,    397 118,    13 401,    33.75,    10 240,    25.79,    2 950,    7.43,    179,    0.45,    23,    0.06,    9,    0.02
    30,    56 089,    3 586,    63.93,    3 208,    57.19,    339,    6.04,    33,    0.59,    4,    0．07,    2,    0.04
    31,    77 041,    3 458,    44.89,    2 909,    37.76,    516,    6.70,    29,    0．38,    3,    0.04,    1,    0．01
    32,    81 976,    2 615,    31.90,    1 901,    23.19,    663,    8.09,    40,    0.49,    9,    0.11,    2,    0．02
    33,    87 102,    2 009,    23.06,    1 293,    14.84,    674,    7.74,    37,    0.42,    3,    0.03,    2,    0．02
    34,    94 910,    1 733,    18.26,    929,    9.79,    758,    7.99,    40,    0.42,    4,    0.04,    2,    0.02
  35-39岁,    365 388,    3 682,    10.08,    1 692,    4.63,    1 830,    5.01,    130,    0.36,    20,    0.05,    10,    0．03
    35,    90 804,    1 317,    14.50,    632,    6.96,    630,    6.94,    44,    0.48,    6,    0.07,    5,    0.06
    36,    74 148,    888,    11．98,    409,    5.52,    456,    6.15,    19,    0.26,    4,    0.05,-,-
    37,    70 163,    688,    9.81,    291,    4.15,    354,    5.05,    35,    0.50,    6,    0.09,    2,    0.03
    38,    64 056,    456,    7.12,    200,    3.12,    238,    3.72,    15,    0．23,    1,    0.02,    2,    0．03
    39,    66 217,    333,    5.03,    160,    2.42,    152,    2.30,    17,    0.26,    3,    0.05,    1,    0.02
  40-44岁,    202 032,    394,    1.95,    226,    1.12,    135,    0.67,    19,    0.09,    9,    0．04,    5,    0.02
    40,    51 480,    192,    3.73,    106,    2.06,    71,    1.38,    9,    0.17,    4,    0．08,    2,    0.04
    41,    45 683,    101,    2.21,    62,    1.36,    31,    0.68,    4,    0.09,    3,    0.07,    1,    0．02
    42,    40 052,    56,    1.40,    34,    0．85,    17,    0.42,    4,    0．10,-,-,    1,    0．02
    43,    34 816,    27,    0.78,    16,    0.46,    10,    0.29,-,-,    1,    0.03,-,-
    44,    30 001,    18,    0．60,    8,    0．27,    6,    0.20,    2,    0.07,    1,    0.03,    1,    0．03
  45-49岁,    135 010,    57,    0.42,    19,    0.14,    14,    0．10,    1 1,    0.08,    8,    0．06,    5,    0.04
    45,    26 725,    15,    0.56,    9,    0.34,    1,    0．04,    5,    0.19,-,-,-,-
    46,    26 849,    9,    0．34,    2,    0．07,    4,    0.15,-,-,    3,    0.11,-,-
    47,    27 225,    11,    0.40,    5,    0.18,    2,    0.07,    1,    0.04,    1,    0．04,    2,    0.07
    48,    26 872,    13,    0.48,    2,    0.07,    1,    0．04,    3,    0．11,    4,    0.15,    3,    0.11
    49,    27 339,    9,    0．33,    1,    0．04,    6,    0.22,    2,    0．07,-,-,-,-
大学本科,    1 455 826,    58 121,    39.92,    56 110,    38.54,    1 810,    1.24,    148,    0.10,    33,    0.02,    20,    0.01
  15-19岁,    223 407,    9,    0.04,    9,    0.04,-,-,-,-,-,-,-,-
    15,    664,-,-,-,-,-,-,-,-,-,-,-,-
    16,    8 111,-,-,-,-,-,-,-,-,-,-,-,-
    17,    37 124,-,-,-,-,-,-,-,-,-,-,-,-
    18,    76 532,    3,    0.04,    3,    0.04,-,-,-,-,-,-,-,-
    19,    100 976,    6,    0.06,    6,    0．06,-,-,-,-,-,-,-,-
  20-24岁,    485 703,    13 733,    28.27,    13 585,    27.97,    137,    0.28,    10,    0.02,    1,    0.00,-,-
    20,    121 941,    37,    0.30,    35,    0.29,     2,    0．02,-,-,-,-,-,-
    21,    107 661,    98,    0.91,    95,    0.88,    2,    0.02,    1,    0.01,-,-,-,-
    22,    83 019,    673,    8.11,    663,    7.99,    9,    0.11,    1,    0．01,-,-,-,-
    23,    89 859,    3 645,    40.56,    3 603,    40.10,    38,    0．42,    3,    0.03,    1,0.01,-,-
    24,    83 223,    9 280,    111.51,    9 189,    110.41,    86,    1.03,    5,    0．06,-,-,-,-
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  25-29岁,    254 542,    38 916,    152.89,    38 158,    149.91,    703,    2.76,    49,    0.19,    4,    0.02,    2,    0．01
    25,    84 613,    14 244,    168.34,    14 067,    166.25,    172,    2.03,    5,    0.06,-,-,-,-
    26,    75 031,    13 123,    174.90,    12 948,    172.57,    168,    2.24,    7,    0.09,-,-,-,-
    27,    38 890,    5 778,    148.57,    5 652,    145.33,    119,    3.06,    7,    0.18,-,-,-,-
    28,    29 803,    3 498,    117.37,    3 356,    112.61,    127,    4.26,    13,    0.44,    2,    0.07,-,-
    29,    26 205,    2 273,    86.74,    2 135,    81.47,    117,    4.46,    17,    0.65,    2,    0.08,    2,    0．08
  30-34岁,    114 494,    4 291,    37.48,    3 664,    32.00,    558,    4.87,    48,    0.42,    19,    0.17,    2,    0．02
    30,    18 923,    1 192,    62.99,    1 077,    56.91,    100,    5.28,    14,    0.74,    1,    0.05,-,-
    31,    23 234,    1 092,    47.00,    976,    42.01,    104,    4.48,    8,    0．34,    4,    0．17,-,-
    32,    24 831,    847,    34.11,    718,    28.92,    114,    4.59,    10,    0.40,    5,    0.20,-,-
    33,    24 247,    689,    28.42,    562,    23.18,    109,    4.50,    11,    0．45,    6,    0.25,    1,    0．04
    34,    23 259,    471,    20.25,    331,    14.23,    131,    5.63,    5,    0.21,  3,    0.13,    1,    0.04
  35-39岁,    80 288,    941,    11.72,    576,    7.17,    335,    4.17,    21,    0.26, 2,    0．02,    7,    0．09
    35,    20 333,    331,    16.28,    223,    10.97,    102,    5.02,    5,    0.25,    1,    0.05,-,-
    36,    16 505,    226,    13.69,    145,      8.79,    73,    4.42,    6,    0.36,-,-,    2,    0.12
    37,    15 122,    176,    11.64,    97,    6.41,    73,    4.83,    3,    0.20,    1,    0.07,    2,    0．13
    38,    13 870,    118,    8.51,    64,    4.61,    48,    3.46,    4,    0.29,-,-,    2,    0.14
    39,    14 458,    90,    6.22,    47,    3.25,    39,    2.70,    3,    0.21,-,-,    1,    0．07
  40-44岁,    120 990,    179,    1.48,    103,    0.85,    57,    0．47,    10,    0.08,    2,    0．02,    7,    0.06
    40,    11502,    65,    5.65,    36,    3.13,    24,    2.09,    1,    0.09,-,-,    4,    0.35
    41,    11999,    49,    4.08,    35,    2.92,    13,    1.08,    1,    0.08,-,-,-,-
    42,    24 546,    33,    1.34,    18,    0．73,    9,    0.37,    4,    0.16,    1,    0．04,    1,    0．04
    43,    38 251,    14,    0.37,    6,    0.16,    7,    0.18,    1,    0.03,-,-,-,-
    44,    34 692,    18,    0.52,    8,    0.23,    4,    0．12,    3,    0.09,    1,    0．03,    2,    0.06
  45-49岁,    176 402,    52,    0.29,    15,    0．09,    20,    0.11,    10,    0.06,    5,    0．03,    2,    0.01
    45,    30 926,    9,    0.29,    4,    0．13,    3,    0.10,    1,    0.03,    1,    0.03,-,-
    46,    31 453,    13,    0.41,    3,    0.10,    4,    0．13,    3,    0.10,    3,    0.10,-,-
    47,    35 733,    10,    0.28,    4,    0.11,    3,    0.08,    1,    0.03,-,-,    2,    0.06
    48,    38 507,    11,    0．29,    1,    0.03,    5,    0.13,    4,    0.10,    1,    0.03,-,-
    49,    39 783,    9,    0.23,    3,    0.08,    5,    0.13,    1,    0．03,-,-,-,-
