表9—8  全国1989年育龄妇女分年龄、文化程度和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  45,    4 702 941,    11655,    2.48,    557,    0.12,    977,    0.21,    1 480,    0.31,    2 216,    0.47,    6 425,    1.37
  46,    4 462 839,    8 429,    1.89,    429,    0．10,    750,    0．17,    1200,    0.27,    1 684,    0.38,    4 366,    0.98
  47,    4 581 520,    6 907,    1.51,    375,    0.08,    650,    0.14,    961,    0．21,    1 400,    0.31,    3 521,    0．77
  48,    4 501 413,    5 320,    1.18,    346,    0.08,    492,    0.11,    792,    0.18,    1 162,    0.26,    2 528,    0.56
  49,    4 372 725,    4 554,    1.04,    242,    0.06,    377,    0.09,    616,    0.14,    1 024,    0.23,    2 295,    0.52
文盲、半文盲,    55 837 781,    3 772 060,    67.55,    1 147 384,    20.55,    1 192 313,    21.35,    765 433,    1 3.71,    366 812,    6.57,    300 118,5.37
  15-19岁,    4 825 403,    242 718,    50.30,    204 281,    42.33,    35 485,    7.35,    2 666,    0.55,    233,    0.05,    53,    0.01
    15,    867 047,    1 915,    2.21,    1 812,    2.09,    80,    0．09,    11,    0.01,    6,    0.01,    6,    0.01
    16,    916 776,    8 355,    9.11,    7 976,    8.70,    346,    0．38,    26,    0．03,    2,    0．00,    5,    0.01
    17,    949 1 36,    27 242,    28.70,    24 997,    26.34,    2 132,    2.25,    102,    0.11,    5,    0．01,    6,    0.01
    18,    1 008 673,    68 053,    67.47,    59 399,    58.89,    8 158,    8.09,    459,    0.46,    28,    0.03,    9,    0.01
    19,    1 083 771,    137 153,    126.55,    110 097,    101.59,    24 769,    22.85,    2 068,    1.91,    192,    0.18,    27,    0.02
  20-24岁,    5 889 286,    1 495 625,    253.96,    757 725,    128.66,    557 983,    94.75,    1 53 365,    26.04,    22 901,    3.89,    3 651,    0.62
    20,    1 163 642,    230 310,    197.92,    167 748,    144.16,    55 629,    47.81,    6 331,    5.44,    542,    0．47,    60,    0.05
    21,    1 134 032,    280 614,    247.45,    179 390,    158.19,    85 983,    75.82,    13 677,    12.06,    1 385,    1.22,    179,    0．16
    22,    1 127 059,    310 794,    275.76,    162 358,    144.05,    118 846,    105.45,    26 269,    23.31,    2 934,    2.60,    387,    0.34
    23,    1 239 861,    349 528,    281.91,    146 554,    118.20,    150 782,    121.61,    44 998,    36.29,    6 31 3,    5.09,    881,    0.71
    24,    1 224 692,    324 379,    264.87,    101 675,    83.02,    146 743,    119.82,    62 090,    50.70,    11 727,    9.58,    2 144,    1.75
  25-29岁,    5 620 420,    1 030 629,    183.37,    149 348,    26.57,    406 452,    72.32,    323 183,    57.50,    115 227,    20.50,    36 419,    6.48
    25,    1 267 627,    299 514,    236.28,    65 270,51.49,    134 649,    106.22,    77 310,    60.99,    18 796,    14.83,    3 489,    2.75
    26,    1 442 895,    294 309,    203.97,    43 751,    30.32,    123 437,    85.55,    92 621,    64.19,    27 968,    19.38,    6 532,    4.53
    27,    1 070 537,    190 892,    178.31,    21 135,    19.74,    70 842,    66.17,    66 511,    62.13,    25 055,    23.40,    7 349,    6.86
    28,    783 250,    115 464,    147.42,    10 305,    13.16,    38 319,    48.92,    41 064,    52.43,    18 777,    23.97,    6 999,    8.94
    29,    1 056 111,    130 450,    123.52,    8 887,    8.41,    39 205,    37.12,    45 677,    43.25,    24 631,    23.32,    12 050,    11.41
  30-34岁,    9 101 717,    610 205,    67.04,    22 884,    2.51,    144 434,    15.87,    199 320,    21.90,    138 741,    1 5.24,    104 826,    11.52
    30,    1 196 858,    119 812,    100.11,    5 571,    4.65,    33 608,    28.08,    41 817,    34.94,    25 1 11,    20.98,    13 705,    11.45
    31,    1 779 984,    146 735,    82.44,    5 745,    3.23,    37 585,    21．12,    50 054,    28.12,    32 748,    18.40,    20 603,    11．57
    32,    1 902 994,    129 702,    68.16,    4 444,    2.34,    30 095,    15.81,    42 512,    22.34,    30 254,    15.90,    22 397,    11.77
    33,    1 945 466,    109 502,    56.29,    3 762,    1.93,    23 370,    12.01,    34 018,    17.49,    25 682,    13.20,    22 670,    11.65
    34,    2 276 415,    104 454,    45.89,    3 362,    1.48,    19 776,    8.69,    30 919,    13.58,    24 946,    10.96,    25 451,    11.18
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表9-8全国1989年育龄妇女分年龄、文化程度和孩次的生育状况(续02),,,,,,,,,,,,,
    单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
    文化程度,  1989年年中,  出生,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    和年龄别,  妇女人数,  人数,  生育率,,,,,,,,,,
,,,,  出生数,    生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
35-39岁,    11 147 242,    291 628,    26.16,    9 322,    0.84,    40 267,    3.61,    72 853,    6.54,    69 726,    6.26,    99 460,    8.92
35,    2 308 162,    85 272,    36.94,    2 653,    1.15,    14 349,    6.22,    23 770,    10.30,    20 489,    8.88,    24 011,    10.40
36,    2 332 068,    69 349,    29.74,    2 088,    0.90,    10 028,    4.30,    18 182,    7.80,    16 877,    7.24,    22174,    9.51
    37,    2 368 296,    58 039,    24.51,    1 863,    0.79,    7 530,    3.18,    14 382,    6.07,    14 089,    5.95,    20 175,    8.52
    38,    2 021 651,    41 777,    20.66,    1 351,    0．67,    4 726,    2.34,    9 325,    4.6 1,    9 932,    4.91,    16 443,    8.13
    39,    2 117 065,    37 191,    17.57,    1 367,    0.65,    3 634,    1.72,    7 194,    3.40,    8 339,    3.94,    16 657,    7.87
  40-44岁,    8 996 589,    79 848,    8.88,    2 785,    0.31,    6 136,    0.68,    11 594,    1.29,    16 038,    1.78,    43 295,    4.81
    40,    1 853 435,    24 481,    13.21,    813,    0.44,    1 961,    1.06,    4 115,    2.22,    5 394,    2.91,    12 198,    6.58
    41,    1 802 313,    19 480,    10.81,    637,    0.35,    1 499,    0.83,    2 925,    1.62,    3 986,    2.21,    10 433,    5.79
    42,    1 779 805,    14 892,    8.37,    496,    0.28,    1 097,    0.62,    1 984,    1.1 1,    2 858,    1．61,    8 457,    4.75
    43,    1 754 137,    11 671,    6.65,    462,    0.26,    892,    0．51,    1 464,    0.83,    2 177,    1.24,    6 676,    3.81
    44,    1 806 899,    9 324,    5.16,    377,    0.21,    687,    0.38,    1 106,    0.61,    1 623,    0.90,    5 531,    3.06
  45-49岁,    10 257 124,    21 407,    2.09,    1 039,    0.10,    1 556,    0.15,    2 452,    0.24,    3 946,    0.38,    12 414,    1.21
    45,    1866 002,    6 715,    3.60,    279,    0.15,    444,    0.24,    729,    0.39,    1 116,    0.60,    4 147,    2.22
    46,    1 882 855,    4 992,    2.65,    236,    0.13,    374,    0.20,    582,    0.31,    885,    0.47,    2 915,    1.55
    47,    2 080 673,    3 989,    1.92,    199,    0.10,    310,    0.15,    455,    0.22,    767,    0.37,    2 258,    1.09
    48,    2 170 291,    3 056,    1.41,    194,    0．09,    237,    0.11,    380,    0.18,    609,    0.28,    1 636,    0.75
    49,    2 257 303,    2 655,    1.18,    131,    0.06,    191,    0.08,    306,    0.14,    569,    0.25,    1 458,    0.65
小学,    116 866 347,    9 450 995,    80.87,    4 294 613,    36.75,    3 185 055,    27.25,    1 286 337,    11.01,    432 200,    3.70,    252 790,    2.16
  15-19岁,    24 362 678,    740 525,    30.40,    655 192,    26.89,    80 043,    3.29,    4 765,    0.20,    427,    0.02,    98,    0．00
    15,    4 638 674,    4 118,    0.89,    3 958,    0.85,    126,    0.03,    1 5,    0.00,    11,    0.00,    8,    0.00
    16,    4 687 737,    20 478,    4.37,    19 676,    4.20,    754,    0．16,    28,    0.01,    10,    0.00,    10,    0.00
    17,    4 710 935,    71 466,    15.17,    67 145,    14.25,    4 121,    0.87,    171,    0.04,    19,    0．00,    10,    0.00
