表9-7全国县按妇女的年龄和生育孩次分的出生人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1989．1．1．-1990．6．30．),,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,表9-7全国县按妇女的年龄和生育孩次分的出生人口数(1989．1．1．-1990．6．30．)(续03),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,    1989年上半年,,,,,,    1989年下半年,,,,,,,,,,,,    1989年下半年,,,,,,,,,    1990年上半年,,,,,,,,,,,,,,,,,,,,
,,,,    1989年 上半年,,,,,,,,,,,,,,    年龄别,    四孩,,,    五孩及以上,,,    合计,,,    一孩,,,    二孩,,,,,    年龄别,    三孩,,,    四孩,,,    五孩及以上,,,    合计,,,    一孩,,,,,,    1990年 上半年,,,,,,,,,,,
,    合,,,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  合计,  男,  女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  合计,    男,    女,  小计,    男,    女,,,    年龄别,    二孩,,,    三孩,,,    四孩,,,    五孩及以上,,
    年龄别,,    男,    女,    合计,,,    一孩,,,    二孩,,,    三孩,,,,,总计,    450 246,    254 877,    195 369,    303 493,    170 282,    133 211,    10 410 901,  5 545 613,  4 865 288,  4 856 951,  2 485 835, 2 371 116,  3 383 730,  1 847 731,1 535 999,,,总计,    1 410 349,    780 292,    630 057,    472 775,    268 965,    203 810,    287 096,    162 790,    124 306,  8 126 599,  4 356 806,  3 769 793,  3 585 155,  1 840 004,1 745 151,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
  19,    533 149,    275 132,    258 017,    110 029,    56 895,    53 1 34,    100 397,    51 854,    48 543,    9 145,    4 768,    4 377,    442,    245,    197,,,  21,    586,    31 5,    271,    71,    36,    35,    898 763,    467 31 1,    431 452,    738 538,    381 630,    356 908,    146 542,    78 250,    68 292,,,  21,    12 694,    6 896,    5 798,    895,    482,    413,    94,    53,    41,    782 048,    407 294,    374 754,    611 047,    315 334,    295 713,,,  20,    69 452,    36 905,    32 547,    5 739,    3 022,    2 717,    531,        270,    261,    86,    51,    35
20-24岁,  12 353 209,    6 483 279,    5 869 930,    3 413 671,    1 788 950,    1 624 721,    2 377 168,  1 226 447,  1 150 721,    890 385,    482 848,    407 537,    130 600,    71 262,    59 338,,,  22,    1 577,    849,    728,    229,    113,    116,    1 094 379,    571 238,    523 141,    826 206,    426 491,    399 715,    237 881,    128 269,    109 612,,,  22,    27 668,    15 006,    12 662,    2 335,    1 324,    1 011,    289,    148,    141,    862 613,    453 030,    409 583,    595 054,    307 844,    287 210,,,  21,    153 422,    82 429,    70 993,    16 150,    8 779,    7 371,    1 284,    675,    609,    145,     77,    68
  20,    1 197 203,    620 620,    576 583,    265 200,    137 198,    128 002,    229 028,    118 217,  110 81 1,    33 315,    17 485,    15 830,    2 539,    1 335,    1 204,,,  23,    3 446,    1 880,    1 566,    463,    237,    226,    1 201 773,    631 190,    570 583,    786142,    404 617,    381 525,    354 165,    192 828,    161 337,,,  23,    55 682,    30 525,    25 157,    5 238,    2 926,    2 312,    546,    294,    252,    896 273,    474 233,    422 040,    522 793,    269 400,    253 393,,,  22,    231 543,    125 524,    106 019,    32 620,    17 804,    14 816,    2 989,    1 655,    1 334,    407,    203,    204
  21,    2 206 566,    1 147 862,    1 058 704,    525 755,    273 257,    252 498,    431 223,    222 945,  208 278,    86 600,    46 045,    40 555,    7 275,    3 916,    3 359,,,  24,    7 775,    4 244,    3 531,    1 053,    558,    495,    1 316 330,    696 048,    620 282,    729 999,    374 760,    355 239,    474 353,    259 362,    214 991,,,  24,    99 229,    54 914,    44 315,    11 417,    6 290,    5 127,    1 332,    722,    610,    955 356,    510 563,    444 793,    458 952,    236 018,    222 934,,,  23,    308 213,    168 705,    139 508,    57 999,    32 071,    25 928,    6 463,    3 622,    2 841,    805,    435,    370
  22,    2 683 197,    1 403 430,    1 279 767,    726 205,    379 162,    347 043,    554 124,    286 556,  267 568,    153 337,    82 517,    70 820,    16 938,    9 127,    7 811,,,25-29岁,    137 860,    78 262,    59 598,    30 540,    16 919,    13 621,    3 612 001,  1 953 180,  1658 821,  1 036 934,    522 285,    514 649,  1626 709,    897 152,    729 557,,,25-29岁,    739 480,    4 15 010,    324 470,    172 289,    98 224,    74 065,    36 589,    20 509,    16 080,  2 639 765,  1 444 945,  1 194 820,    625 899,    316 279,    309 620,,,  24,    385 860,    212 832,    173 028,    95 435,    53 214,    42 221,    13 169,    7 434,    5 735,    1 940,    1 065,    875
  23,    2 959 058,    1 557 193,    1 401 865,    861 012,    451 770,    409 242,    572 584,    295 093,  277 491,    249 068,    135 280,    113 788,    35 451,    19 280,    16 171,,,  25,    15 141,    8 510,    6 631,    2 686,    1 461,    1 225,    1 132 661,    604 769,    527 892,    488 263,    249 355,    238 908,    479 683,    263 595,    216 088,,,  25,    140 769,    78 418,    62 351,    20 841,    11713,    9 128,    3 105,    1 688,    1 417,    811 355,    437 756,    373 599,    293 078,    149 999,    143 079,,,25-29岁,    1 226 951,    681 971,    544 980,    589 602,    334 133,    255 469,    156 561,    89 614,    66 947,    40 752,    22 948,    17 804
  24,    3 307 185,    1 754 174,    1 553 011,    1 035 499,    547 563,    487 936,    590 209,    303 636,  286 573,    368 065,    201 521,    166 544,    68 397,    37 604,    30 793,,,  26,    25 102,    14 106,    10 996,    4 231,    2 322,    1 909,    951 733,    513 810,    437 923,    286 752,    144 728,142 024,    448 240,    247 1 13,    201 127,,,  26,    177 800,    99 759,    78 041,    33 678,    19 271,    14 407,    5 263,    2 939,    2 324,    684 905,    373 508,    311 397,    170 889,    86 350,    84 539,,,  25,    368 752,    203 919,    164 833,    122 986,    69 067,    53 919,    22 510,    12 578,    9 932,    4 029,    2 193,    1 836
25-29岁,    9 637 636,    5 228 863,    4 408 773,    3 385 870,    1 830 738,    1 555 1 32,    1 025 471,    518 089,  507 382,  1 564 059,    864 464,    699 595,    627 940,    353 004,  274 936,,,  27,    38 592,    22 075,    16 517,    7 424,    4 110,    3 314,    841 549,    459 199,    382 350,    171 851,    85 258,    86 593,    399 328,    221 384,    177 944,,,  27,    211 032,    118 758,    92 274,    49 817,    28 474,    21 343,    9 521,    5 325,    4 196,    616 349,    340 821,    275 528,    104 433,    52 104,    52 329,,,  26,    330 143,    183 110,    147 033,    145 263,    82 049,    63 214,    32 081,    18 372,    13 709,    6 529,    3 627,    2 902
  25,    2 920 774,    1 563 417,    1 357 357,    976 758,    520 892,    455 866,    444444,    227 178,  217 266,    410 374,    225 659,    184 715,    104 113,    58 084,    46 029,,,  28,    34 091,    19 406,    14 685,    8 551,    4 779,    3 772,    445 437,    243 274,    202 163,    64 111,    30 851,    33 260,    197 689,    108 967,    88 722,,,  28,    133 556,    74 980,    58 576,    40 051,    22 829,    17 222,    10 030,    5 647,    4 383,    335 977,    186 324,    149 653,    40 448,    19 714,    20 734,,,  27,    294 229,    164 280,    129 949,    163 187,    93 194,    69 993,    43 879,    25 200,    18 679,    10 621,    6 043,    4 578
  26,    2 517 305,    1 361 688,    1 155 617,    880 667,    474 370,    406 297,    290 721,    147 371,  143 350,    418 114,    230 780,    187 334,    142 499,    79 791,    62 708,,,  29,    24 934,    14 165,    10 769,    7 648,    4 247,    3 401,    240 621,    132 128,    108 493,    25 957,    12 093,    13 864,    101 769,    56 093,    45 676,,,  29,    76 323,    43 095,    33 228,    27 902,    1 5 937,    11965,    8 670,    4 910,    3 760,    191 179,    106 536,    84 643,    17 051,    8 112,    8 939,,,  28,    149 337,    83 466,    65 871,    100 996,    57 236,    43 760,    34 503,    19 857,    14 646,    10 693,    6 051,    4 642
