表9—9  全国市1989年育龄妇女分年龄、文化程度和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
    47,    976 436,    595,    0.61,    55,    0.06,    95,    0．10,    134,    0．14,    140,    0.14,    171,    0．18
    48,    981 080,    512,    0.52,    44,    0．04,    77,    0.08,    124,    0.13,    129,    0.13,    138,    0.14
    49,    976 856,    482,    0.49,    24,    0.02,    61,    0.06,    100,    0.10,    162,    0.17,    135,    0.14
文盲、半文盲,    4 046 265,    173 231,    42.81,    53 438,    13.21,    60 914,    15.05,    32 374,    8.00,    15 128,    3.74,    11 377,    2.81
  15-19岁,    182 421,    8 373,    45.90,    7 123,    39.05,    1 172,6.42,    72,    0.39,    3,    0.02,    3,    0.02
    15,    30 568,    54,    1.77,    53,    1.73,    1,    0.03,-,-,-,-,-,-
    16,    33 593,    253,    7.53,    234,    6.97,    19,    0.57,-,-,-,-,-,-
    17,    35 490,    867,    24.43,    801,    22.57,    61,    1.72,    5,    0.14,-,-,-,-
    18,    39 892,    2 333,    58.48,    2 046,    51.29,    270,    6.77,    17,    0.43,-,-,-,-
    19,    42 878,    4 866,    113.48,    3 989,    93.03,    821,    19.15,    50,    1.17,    3,    0.07,    3,    0.07
  20-24岁,    260 523,    61 235,    235.05,    33 541,    128.74,    21 277,    81.67,    5 419,    20.80,    860,    3.30,    138,    0.53
    20,    47 577,    8 702,    182.90,    6 592,    138.55,    1 861,    39.12,    230,    4.83,    19,    0.40,-,-
    21,    47 813,    11 091,    231.97,    7 382,    154.39,    3 135,    65.57,    501,    10.48,    64,    1.34,    9,    0.19
    22,    48 818,    12 516,    256.38,    7 082,    145.07,    4 391,    89.95,    910,    18.64,    115,    2.36,    18,    0.37
    23,    57 622,    14 933,    259.15,    7 142,    123.95,    5 873,    101.92,    1 652,    28.67,    229,    3.97,    37,    0.64
    24,    58 693,    13 993,    238.41,    5 343,    91.03,    6 017,    102.52,    2 126,    36.22,    433,    7.38,    74,    1.26
  25-29岁,    318 848,    48 710,    152.77,    9 519,    29.85,    20 562,    64.49,    12 437,    39.01,    4 801,    15.06,    1 391,    4.36
    25,    63 154,    12 995,    205.77,    3 751,    59.39,    5 702,    90.29,    2 723,    43.12,    707,    11.19,    112,    1.77
    26,    76 493,    13 436,    175.65,    2 779,36.33,    6 026,    78.78,    3 319,    43.39,    1 067,    13.95,    245,    3.20
    27,    57 072,    8 770,    153.67,    1 426,    24.99,    3 617,    63.38,    2 501,    43.82,    960,    16.82,    266,    4.66
    28,    49 539,    6 102,    123.18,    783,    15.81,    2 352,    47.48,    1 791,    36.15,    879,    17.74,    297,    6.00
    29,    72 590,    7 407,    102.04,    780,    10.75,    2 865,    39.47,    2 103,    28.97,    1 188,    16.37,    471,    6.49
  30-34岁,    650 026,    35 754,    55.00,    2 211,    3.40,    13 649,    21.00,    9 764,    15.02,    5 814,    8.94,    4 316,    6.64
    30,    84 534,    7 201,    85.18,    538,    6.36,    2 859,    33.82,    2 053,    24.29,    1 134,    13.41,    617,    7.30
    31,    124 801,    8 757,    70.17,    562,    4.50,    3 499,    28.04,    2 389,    19.14,    1 440,    11.54,        867,    6.95
    32,    133 033,    7 637,    57.41,    473,    3.56,    2 994,    22.51,    2 020,    15.18,    1 266,    9.52,    884,    6.64
    33,    140 661,    6 335,    45.04,    352,    2.50,    2 332,    16.58,    1 688,    12.00,    1 038,    7.38,    925,    6.58
    34,    166 997,    5 824,    34.87,    286,    1.71,    1 965,    11.77,    1 614,    9.66,    936,    5.60,    1 023,    6.13
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表9-9全国市1989年育龄妇女分年龄、文化程度和孩次的生育状况(续02),,,,,,,,,,,,,
    单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  35-39岁,    871 601,    14 806,    16.99,    776,    0.89,    3 747,    4.30,    3 922,    4.50,    2 737,    3.14,    3 624,    4.16
    35,    174 530,    4 584,    26.26,    254,    1.46,    1 386,    7.94,    1 259,    7.21,    771,    4.42,    914,    5.24
    36,    179 850,    3 650,    20.29,    191,    1.06,    985,    5.48,    1 010,    5.62,    635,    3.53,    829,    4.6 1
    37,    186 181,    2 941,    15.80,    138,    0.74,    685,    3.68,    806,    4.33,    564,    3.03,    748,    4.02
    38,    162 517,    2 017,    12.41,    94,    0．58,    423,    2.60,    497,    3.06,    425,    2.62,    578,    3.56
    39,    168 523,    1 614,    9.58,    99,    0.59,    268,    1.59,    350,    2.08,    342,    2.03,    555,    3.29
  40-44岁,    735 686,    3 235,    4.40,    200,    0.27,    405,    0.55,    605,    0.82,    640,    0.87,    1 385,    1.88
    40,    146 448,    984,    6.72,    56,    0.38,    131,    0．89,    217,    1.48,    200,    1.37,    380,    2.59
    41,    142 958,    754,    5.27,    53,    0.37,    93,    0．65,    139,    0.97,    150,    1.05,    319,    2.23
    42,    143 861,    634,    4.41,    36,    0.25,    78,    0．54,    119,    0．83,    123,    0．85,    278,    1.93
    43,    145 786,    488,    3.35,    29,    0.20,    56,    0.38,    74,    0.51,    94,    0．64,    235,    1.61
    44,    156 633,    375,    2.39,    26,    0.17,    47,    0.30,    56,    0.36,    73,    0.47,    173,    1.10
  45-49岁,    1 027 160,    1 118,    1.09,    68,    0.07,    102,    0.10,    155,    0.15,    273,    0.27,    520,    0.51
    45,    165 750,    291,    1.76,    19,    0.11,    32,    0.19,    36,    0.22,    57,    0.34,    147,    0．89
    46,    177 111,    246,    1.39,    17,    0.10,    23,    0.13,    34,    0．19,    57,    0.32,    115,    0．65
    47,    205 044,    212,    1.03,    13,    0.06,    18,    0．09,    29,    0.14,    48,    0．23,    104,    0.51
    48,    227 296,    177,    0．78,    11,    0.05,    16,    0.07,    34,    0.15,    42,    0.18,    74,    0.33
    49,    251 959,    192,    0.76,    8,    0．03,    13,    0．05,    22,    0.09,    69,    0.27,    80,    0.32
小学,    12 862 189,    659 882,    51.30,    326 674,    25.40,    227 950,    17.72,    71 884,    5.59,    22 461,    1.75,    10 913,    0．85
