表9-4全国按妇女的年龄和生育孩次分的出生人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1989．1．1．-1990．6．30．),,,,,,,,,,,,,,,,,,        单位：人,,,,,,,,,,,,,,,,,,  表9-4全国按妇女的年龄和生育孩次分的出生人口数(1989．1．1．-1990．6．30．)(续02),,,,,,,,,,,,,,,,,,表9-4全国按妇女的年龄和生育孩次分出生人口数(1989．1．1．-1990．6．30．)(续03),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,    1989年上半年,,,,,,    1989年下半年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,    1989年 上半年,,,,,,,,,,,,,,    年龄别,    四孩,,,    五孩及以上,,,    合计,,,    一孩,,,    二孩,,,,,,    1989年下半年,,,,,,,,,    1990年上半年,,,,,,,,,    1990年 上半年,,,,,,,,,,,
,    合,,,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,    年龄别,    三孩,,,    四孩,,,    五孩及以上,,,    合计,,,    一孩,,,,,    年龄别,    二孩,,,    三孩,,,    四孩,,,    五孩及以上,,
    年龄别,,    男,    女,    合计,,,    一孩,,,    二孩,,,    三孩,,,,,总计,    489 419,    277 512,    211 907,    324 399,    182 227,    142 172, 12 918 596, 6 868 264,  6 050 332,  6 634 047,  3 402 765,  3 231282,  3 918 236,  2 141 851, 1 776 335,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  合计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女
  19,    600 410,    310 321,    290 089,    124 023,    64 318,    59 705,    113 525,    58 808,    54 717,    9 968,    5 211,    4 757,    480,    269,    211,,,  21,    634,    336,    298,    79,    42,    37,  1 045 593,    543 928,    501 665,    870 394,    450 062,    420 332,    160 439,    85 815,    74 624,,,  20,    4 228,    2 200,    2 028,    313,    163,    150,    47,    20,    27,    546 708,    284 360,    262 348,    464 197,    240 533,  223 664,,,  20,    75 722,    40 250,    35 472,    6 135,    3 237,    2 898,    558,    282,    276,    96,    58,    38
20-24岁,  14 978 330,    7 859 750,  7 118 580,  4 118 830,    2 158 790,    1 960 040,  2 977 120,  1 538 389,  1 438 731,    984 373,    534 536,    449 837,    140 644,    76 819,    63 825,,,  22,    1 699,    908,    791,    246,    121,    125,  1 293 842,    675 719,    618 123,  1 000 122,    516 950,    483 172,    261 181,    141 028,    120 153,,,  21,    13 696,    7 473,    6 223,    959,    520,    439,    105,    58,    47,    929 863,    484 460,    445 403,    742 800,    383 797,  359 003,,,  21,    168 294,    90 467,    77 827,    17 266,    9 405,    7 861,    1 351,    711,    640,    152,    80,    72
  20,    1 369 577,    710 948,    658 629,    302 314,    156 716,    145 598,    262 930,    135 983,    126 947,    36 327,    19 128,    17 199,    2 718,    1 432,    1 286,,,  23,    3 716,    2 039,    1 677,    496,    254,    242,  1 444 675,    758 708,    685 967,    988 324,    509 562,    478 762,    390 299,    212 845,    177 454,,,  22,    29 732,    16 164,    13 568,    2 500,    1 415,    1 085,    307,    162,    145,  1 043 450,    547 909,    495 541,    750 214,    388 547,  361 667,,,  22,    254 598,    138 251,    116 347,    35 017,    19 146,    15 871,    3 190,    1 751,    1 439,    431,    214,    217
  21,    2 587 687,    1 346 942,    1 240 745,    612 231,    318 554,    293 677,    508 887,    263 447,    245 440,    94 814,    50 537,    44 277,    7 817,    4 192,    3 625,,,  24,    8 359,    4 576,    3 783,    1 125,    597,    528,  1 669 081,    880 880,    788 201,  1 021 178,    525 674,    495 504,    527 125,    288 357,    238 768,,,  23,    59 863,    32 863,    27 000,    5 601,    3 123,    2 478,    588,    315,    273,  1 113 708,    588 484,    525 224,    703 416,    363 238,  340 178,,,  23,    340 394,    186 504,    153 890,    62 140,    34 439,    27 701,    6 909,    3 852,    3 057,    849,    451,    398
  22,    3 200 768,    1 674 709,    1 526 059,    863 476,    451 081,    412 395,    674 738,    349 456,    325 282,    168 557,    90 749,    77 808,    18 236,    9 847,    8 389,,,25-29岁,    148 736,    84 585,    64 151,    32 682,    18 107,    14 575,  4 733 217,  2 545 190,  2 188 027,  1 836 601,    934 161,    902 440,  1 867 378,  1 030 866,    836 512,,,  24,    107 145,    59 332,    47 813,    12 208,    6 748,    5 460,    1 425,    769,    656,  1 252 025,    666 640,    585 385,    703 074,    362 528,  340 546,,,  24,    430 130,    237 701,    192 429,    102 755,    57 360,    45 395,    14 027,    7 927,        6 100,    2 039,    1 124,    915
  23,    3 597 791,    1 892 594,    1 705 197,    1 039 408,    545 402,    494 006,    722 371,    372 983,    349 388,    274 675,    149 347,    125 328,    38 150,    20 779,    17 371,,,  25,    16 233,    9 154,    7 079,    2 842,    1 552,    1 290,  1 484 698,    789 200,    695 498,    768 409,    393 682,    374 727,    538 472,    296 305,    242 167,,,25-29岁,    804 790,    452 402,    352 388,    185 365,    105 857,    79 508,    39 083,    21 904,    17 179,  3 458 921,  1 879 541,  1 579 380,  1 189 546,    606 834,  582 712,,,25-29岁,    1 417 007,    788 230,    628 777,    641 156,    363 804,    277 352,    167 962,    96 280,    71 682,    43 250,    24 393,    1 8 857
  24,    4 222 507,    2 234 557,    1 987 950,    1 301 401,    687 037,    614 364,    808 194,    416 520,    391 674,    410 000,    224 775,    185 225,    73 723,    40 569,    33 154,,,  26,    26 988,    15 192,    11 796,    4 545,    2 488,    2 057,  1 269 725,    681 230,    588 495,    525 455,    268 069,    257 386,    509 858,    281 072,    228 786,,,  25,    152 203,    84 853,    67 350,    22 305,    12 568,    9 737,    3 309,    1 792,    1 517,  1 073 325,    575 539,    497 786,  496 674,    255 142,  241 532,,,  25,    415 482,    229 904,    185 578,    132 889,    74 722,    58 167,    23 996,    13 423,    10 573,        4 284,    2 348,    1 936
25-29岁,  12 686 650,    6 838 352,    5 848 298,    4 494 512,    2 413 621,    2 080 891,    1 831 822,    931 291,    900 531,  1 797 153,    994 546,    802 607,    684 1 19,    385 092,    299 027,,,  27,    41 624,    23 814,    17 810,    7 951,    4 397,    3 554,  1 103 017,    598 036,    504 981,    347 580,    175 685,    171 895,    462 015,    256 490,    205 525,,,  26,    192 763,    108 298,    84 465,    36 031,    20 647,    15 384,    5 618,    3 144,    2 474,    916 312,    495 841,    420 471,  340 342,    173 707,  166 635,,,  26,    377 672,    209 741,    167 931,    157 214,    88 950,    68 264,    34 167,    19 596,    14 571,    6 917,    3 847,    3070
  25,    3 853 313,    2 052 380,    1 800 933,    1 295 290,    687 641,    607 649,    702 715,    360 150,    342 565,    460 975,    253 884,    207 091,    112 525,    62 901,    49 624,,,  28,    36 695,    20 920,    15 775,    9 150,    5 118,    4 032,    564 026,    306 690,    257 336,    132 028,    65 727,    66 301,    232 278,    128 282,    103 996,,,  27,    229 764,    129 575,    100 189,    53 504,    30 600,    22 904,    10 154,    5 686,    4 468,    803 115,    440 493,    362 622,  224 384,    114 004,  110 380,,,  27,    342 610,    191 422,    151 188,    177 679,    101 556,    76 123,    47 193,    27 106,    20 087,    11249,    6 405,    4 844
  26,    3 379 854,    1 815 665,    1 564 189,    1 193 817,    638 594,    555 223,    531 645,    271 047,    260 598,    475 924,    263 156,    212 768,    154 71 5,    86 711,    68 004,,,  29,    27 196,    15 505,    11 691,    8 194,    4 552,    3 642,    311 751,    170 034,    141 717,    63 129,    30 998,    32 131,    124 755,    68 717,    56 038,,,  28,    145 811,    82 008,    63 803,    43 204,    24 665,    18 539,    10 705,    6 008,    4 697,    421 298,    232 348,    188 950,    85 985,    43 094,    42 891,,,  28,    176 542,    98 783,    77 759,    110 328,    62 623,    47 705,    37 111,    21 430,    15 681,    11332,    6 418,    4 914
