表9—5  全国市按妇女的年龄和生育孩次分的出生人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,表9-5全国市按妇女的年龄和生育孩次分的出生人口数(1989．1．1．-1990．6．30．)(续01),,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    1989年下半年,,,,,,,,,    1990年上半年,,,,,,,,,    1990年 上半年,,,,,,,,,,,
,,,,    1989年 上半年,,,,,,,,,,,,,,,    1989年上半年,,,,,,    1989年下半年,,,,,,,,,,,    年龄别,    三孩,,,    四孩,,,    五孩及以上,,,    合计,,,    一孩,,,,,    年龄别,    二孩,,,    三孩,,,    四孩,,,    五孩及以上,,
,,,,,,,,,,,,,,,,,,    年龄别,    四孩,,,    五孩及以上,,,    合计,,,    一孩,,,    二孩,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  合计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
    年龄别,    合,    男,    女,    合计,,,    一孩,,,    二孩,,,    三孩,,,,,,  小计,    男,    女,  小计,    男,    女,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,    92 189,    52 108,    40 081,    26 171,    1 5 141,    11 030,    13 225,    7 716,    5 509,  1 417 077,    745 748,    671 329,  1 023 624,    527 222,  496 402,,,总计,    291 453,    160 162,    131 291,    71 133,    40 546,    30 587,    20 087,    11690,    8 397,    10 780,    6 128,    4 652
  19,    43 501,    22 739,    20 762,    9 053,    4 823,    4 230,    8 487,    4 526,    3 961,    542,    282,    260,    22,    14,    8,,,  20,    6,    2,    4,    3,    1,    2,    40 837,    21 179,    19 658,    37 109,    19 222,    17 887,    3 537,    1 860,    1 677,,,  21,    701,    401,    300,    40,    22,    18,    6,    3,     3,    97 562,    50 744,    46 818,    86 665,    44 833,    41 832,,,  21,    10 065,    5 448,    4 617,    781,    436,    345,    47,    26,    21,    4,    1,3
20-24岁,    1 763 379,    921 931,    841 448,    468 358,    244 847,    223 511,    397 263,    205 867,    191 396,    63 490,    34 777,    28 713,    6 820,    3 773,    3 047,,,  21,    35,    16,    19,    2,    1,    1,    98 235,    51 112,    47 123,    87 902,    45 469,    42 433,    9 586,    5 217,    4 369,,,  22,    1 412,    795,    617,    122,    66,    56,    15,    1 1,    4,    118 854,    62 418,    56 436,    101 246,    52 637,    48 609,,,  22,    15 808,    8 770,    7 038,    1 659,    932,    727,    125,    71,    54,    16,    8,    8
  20,    111 627,    58 320,    53 307,    23 747,    12 426,    11 321,    21 638,    11 285,    10 353,    1 987,    1 081,    906,    113,    57,    56,,,  22,    80,    38,    42,    1 1,    5,    6,    133 196,    69 600,    63 596,    115 365,    59 829,    55 536,    16 282,    8 899,    7 383,,,  23,    2 940,    1 619,    1 321,    241,    124,    117,    28,    13,    15,    145 293,    76 120,    69 173,    1 19 957,    62 073,    57 884,,,  23,    22 118,    12 21 1,    9 907,    2 877,    1 656,    1 221,    307,    168,    139,    34,    12,    22
  21,    252 233,    131 327,    120 906,    56 436,    29 471,    26 965,    50 509,    26 296,    24 213,    5 528,    2 977,    2 551,    362,    181,    181,,,  23,    178,    104,    74,    19,    12,    7,    161 398,    84 623,    76 775,    132 784,    68 782,    64 002,    25 405,    14 085,    11 320,,,  24,    5 455,    3 051,    2 404,    563,    328,    235,    62,    32,    30,    208 939,    109 376,    99 563,    172 954,    89 294,    83 660,,,  24,    30 265,    16 855,    13 410,    5 056,    2 843,    2 21 3,    602,    345,    257,    62,    39,    23
  22,    343 054,    179 454,    163 600,    91 004,    47 436,    43 568,    79 708,    41 373,    38 335,    10 331,    5 540,    4 791,    874,    480,    394,,,  24,    403,    225,    178,    48,    26,    22,    243 664,    127 197,    116 467,    201 234,    103 979,    97 255,    36 350,    19 807,    16 543,,,25-29岁,    44 241,    25 260,    18 981,    8 989,    5 243,    3 746,    1 707,    975,    732,    589 127,    310 828,    278 299,    421 226,    216 616,  204 610,,,25-29岁,    123 725,    68 612,    55 1 13,    34 717,    20 079,    14 638,    7 741,    4 543,    3 198,    1 718,    978,    740
  23,    424 239,    222 269,    201 970,    117 548,    61 526,    56 022,    98 164,    50 856,    47 308,    17 363,    9 547,    7 816,    1 824,    1 007,    817,,,25-29岁,    7 223,    4 166,    3 057,    1 389,    774,    615,    802 821,    421 687,    381 134,    589 380,    302 815,    286 565,    158 504,    87 394,    71 1 10,,,  25,    7 865,    4 416,    3 449,    1 017,    591,    426,    135,    68,    67,    184 506,    96 510,    87 996,    145 257,    74 771,    70 486,,,  25,    31 244,    17 187,    14 057,    6 807,    3 871,    2 936,    1 038,    592,    446,    160,    89,    71
  24,    632 226,    330 561,    301 665,    179 623,    93 988,    85 635,    147 244,    76 057,    71 187,    28 281,    15 632,    12 649,    3 647,    2 048,    1 599,,,  25,    711,    418,    293,    93,    60,    33,    246 013,    128 376,    117 637,    197 174,    101 318,    95 856,    39 822,    21 983,    17 839,,,  26,    10 197,    5 779,    4 418,    1 655,    949,    706,    240,    139,    101,    167 896,    88 217,    79 679,    126 949,    65 203,    61 746,,,  26,    31 189,    17 349,    13 840,    8 098,    4 710,    3 388,    1 415,    823,    592,    245,    132,    11 3
25-29岁,    2 187 932,    1 148 806,    1 039 126,    795 984,    416 291,    379 693,    598 543,    306 037,    292 506,    151 473,    83 971,    67 502,    37 356,    21 343,    16 013,,,  26,    1 268,    717,    551,    184,    101,    83,    228 976,    119 816,    109 160,    175 766,    90 435,    85 331,    41 118,    22 514,    18 604,,,  27,    12 737,    7 276,    5 461,    2 550,    1 473,    1077,    440,    257,    183,    136 411,    72 337,    64 074,    92 660,    47 71 3,    44 947,,,  27,    31 215,    17 374,    13 841,    9 821,    5 684,    4 1 37,    2 268,    1 305,    963,    447,    261,    186
  25,    654 661,    341 640,    313 021,    224 142,    1 16 754,    107 388,    183 775,    94 239,    89 536,    33 951,    18 841,    15 1 10,    5 612,    3196,    2 416,,,  27,    2 060,    1 179,    881,    348,    192,    156,    190 300,    100 503,    89 797,    133 346,    68 622,    64 724,    41 227,    22 875,    18 352,,,  28,    8 1 57,    4 686,    3 471,    2 132,    1 249,    883,    466,    261,    205,    60 957,    32 748,    28 209,    35 701,    18 388,    17 313,,,  28,    16 978,    9 502,    7 476,    6 109,    3 563,    2 546,    1 719,    1 035,    684,    450,    260,    190
  26,    622 440,    325 833,    296 607,    225 568,    117 800,    107 768,    177 924,    91 232,    86 692,    37 972,    21 115,    16 857,    8 220,    4 635,    3 585,,,  28,    1 692,    959,    733,    394,    215,    179,    85 395,    45 367,    40 028,    52 729,    27 036,    25 693,    21 91 1,    12 135,    9 776,,,  29,    5 285,    3 103,    2 182,    1 635,    981,    654,    426,    250,    176,    39 357,    21 016,    18 341,    20 659,    10 541,    10 118,,,  29,    13 099,    7 200,    5 899,    3 882,    2 251,    1 631,    1 301,    788,    513,    416,    236,    180
