,,,,,,,,,,,,,,,,,,,,,,,
表9--17全国按年龄和活产子女数分的15--64岁妇女人数,,,,,,,,,,,,表9--17全国按年龄和活产子女数分的15--64岁妇女人数(续02),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,单位：人,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,    活 产1个,,,    活产2个,,,,,,,    活产3个,,,,,    活产,    活产,    活产,    活产,    活产,    活产9个
    年龄别,    合计,    无活产,,,,,,,,,,    年龄别,,,,,,,,,,,
,,,    小计,    男,    女,    小计,    2男,    1男1女,    2女,,,,    小计,    3男,  2男1女,  1男2女,    3女,    4个,    5个,    6个,    7个,    8个,    及以上
  34,    8 528 430,    125 286,    2 355 307,    1 399 041,    956 266,    3 428 574,    922 104,    2 002 765,    503 705,,,  34,    1 743 447,    171 754,    679 538,    758 767,    133 388,    611 777,    183 164,    55 284,    16 880,    5 820,    2 891
35-39岁,    41 782 965,    485 567,    7 669 791,    4 542 723,    3 127 068,    1 5 684 412,    4 396 824,    9 064 038,    2 223 550,,,35—39岁,    10 966 412,    1 197 807,    4 471 800,    4 514 709,    782 096,    4 618 663,    1 556 240,    520 279,    174 458,    66 545,    40 598
  35,    9 325 690,    124 783,    2 294 319,    1 369 247,    925 072,    3 731 394,    1 012 267,    2 174 031,    545 096,,,  35,    2 056 302,    208 114,    811 312,    882 153,    154 723,    758 499,    240 475,    78 170,    25 945,    9 807,    5 996
  36,    8 878 360,    107 394,    1 905 561,    1 132 717,    772 844,    3 466 692,    957 127,    2 008 819,    500 746,,,  36,    2 147 595,    225 270,    861 350,    904 011,    156 964,    840 567,    273 696,    90 161,    29 262,    11 095,    6 337
  37,    8 355 542,    92 972,    1 472 611,    873 237,    599 374,    3 164 783,    890 323,    1 826 616,    447 844,,,  37,    2 228 367,    242 846,    907 476,    918 682,    159 363,    926 721,    310 925,    103 583,    34 655,    13 161,    7 764
  38,    8 182 775,    87 261,    1 177 785,    693 728,    484 057,    2 959 843,    847 804,    1 702 759,    409 280,,,  38,    2 365 614,    266 767,    978 385,    955 300,    165 162,    1 046 073,    357 920,    120 451,    41 421,    16 116,    10 291
  39,    7 040 598,    73 157,    819 515,    473 794,    345 721,    2 361 700,    689 303,    1 351 813,    320 584,,,  39,    2168 534,    254 810,    913 277,    854 563,    145 884,    1 046 803,    373 224,    127 914,    43 175,    16 366,    10 210
40-44岁,    30 371 687,    320 778,    1 756 774,    988 355,    768 419,    7 598 664,    2 286 638,    4 313 686,    998 340,,,40—44岁,    9 634 254,    1 239 865,    4 244 378,    3 564 228,    585 783,    6 428 599,    2 854 910,    1 108 691,    400 075,    159 860,    109 082
  40,    7 299 389,    79 294,    646 061,    368 310,    277 751,    2 224 886,    661 659,    1 267 454,    295 773,,,  40,    2 336 804,    286 754,    999 961,    897 599,    152 490,    1 252 796,    475 643,    1 73 478,    62 995,    26 649,    20 783
  41,    6 205 339,    64 167,    403 591,    228 175,    175 416,    1 717 605,    517 957,    974 556,    225 092,,,  41,    2 038 869,    258 033,    886 535,    766 465,    127 836,    1 209 762,    486 753,    179 772,    63 498,    24 808,    16 514
  42,    5 896 378,    62 181,    297 319,    165 633,    131 686,    1 450 932,    439 025,    822 747,    189 160,,,  42,    1 917 205,    248 399,    847 617,    705 232,    115 957,    1 277 618,    553 258,    211 250,    75 528,    30 409,    20 678
  43,    5 686 195,    59 573,    231 648,    128 246,    103 402,    1 226 835,    371 595,    695 268,    159 972,,,  43,    1 779 295,    235 295,    798 160,    642 707,    103 133,    1 344 411,    639 237,    253 139,    91 971,    36 148,    23 938
  44,    5 284 386,    55 563,    178 155,    97 991,    80 164,    978 406,    296 402,    553 661,    128 343,,,  44,    1562 081,    211 384,    712 105,    552 225,    86 367,    1 344 012,    700 019,    291 052,    106 083,    41 846,    27 169
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
表9-—17全国按年龄和活产子女数分的15--64岁妇女人数(续01),,,,,,,,,,,,表9--17全国按年龄和活产子女数分的15--64岁妇女人数(续03),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,单位：人,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,    活 产 1个,,,    活产2个,,,,,,,    活产3个,,,,,    活产,    活产,    活产,    活产,    活产,    活产9个
    年龄别,    合计,  无活产,,,,,,,,,,    年龄别,,,,,,,,,,,
,,,    小计,    男,    女,    小计,    2男,    1男1女,    2女,,,,    小计,    3男,  2男1女,  1男2女,    3女,    4个,    5个,    6个,    7个,    8个,    及以上
45—49岁,    23 232 041,    270 175,    597 923,    327 477,    270 446,    2 847 025,    848 113,    1 619 634,    379 278,,,45—49岁,    5 418 661,    757 404,    2 536 455,    1 837 046,    287 756,    6 137 630,    4 254 530,    2 180 150,    904 898,    374 906,    246 143
  45,    4 983 328,    55 325,    147 577,    80 832,    66 745,    775 480,    233 757,    439 463,    102 260,,,  45,    1 355 758,    186 184,    627 201,    470 045,    72 328,    1 322 313,    766 923,    340 856,    129 929,    52166,    37 001
  46,    4 702 941,    52 101,    124 227,    67 876,    56 351,    625 653,    186 866,    354 583,    84 204,,,  46,    1 160 842,    161 803,    540 359,    397 102,    61 578,    1 265 685,    820 981,    394 759,    1 55 555,    62 589,    40 549
  47,    4 462 839,    51167,    111 297,    61 056,    50 241,    530 588,    157 305,    302 374,    70 909,,,  47,    1 024 468,    143 359,    480 637,    345 747,    54 725,    1 189 510,    835 188,    426 745,    175 005,    71 950,    46 921
  48,    4 581 520,    55 393,    109 505,    59 852,    49 653,    484 285,    143 328,    276 227,    64 730,,,  48,    977 140,    137 882,    461 102,    326 684,    51 472,    1 202 954,    907 631,    490 107,    209 359,    88 019,    57 127
  49,    4 501 413,    56 189,    105 317,    57 861,    47 456,    431 019,    126 857,    246 987,    57 175,,,  49,    900 453,    128 176,    427 156,    297 468,    47 653,    1 157 168,    923 807,    527 683,    235 050,    100 182,    64 545
50—54岁,    21 509 204,    309 465,    521 497,    295 643,    225 854,    1 575 772,    452 466,    915 181,    208 125,,,50—54岁,    3 456 499,    493 218,    1 650 473,    1 129 677,    183 131,    4 864 778,    4 522 748,    3 1 33 825,    1 681 073,    832 096,    611 451
  50,    4 372 725,    60 432,    106 158,    58 960,    47 198,    382 233,    111 534,    220 207,    50 492,,,  50,    815 575,    116 291,    388 016,    268 065,    43 203,    1 075 130,    910 925,    557 406,    263 1 75,    118 231,    83 460
  51,    4 203 598,    56 843,    99 114,    55 645,    43 469,    333 891,    96 894,    193 484,    43 513,,,  51,    732 977,    104 692,    350 258,    239 484,    38 543,    991 140,    882 989,    580 384,    293 612,    137 674,    94 974
