表9—13  全国市1989年育龄妇女分年龄、职业大类和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    职业和,1989年年中,  出生,  生育率,,,,,,,,,,
    年龄别,妇女人数,  人数,,,,    出生数,    生育率,    出生数,    生育率,    出生数,    生育率,    出生数,    生育率
,,,,  出生数,    生育率,,,,,,,,
  24,    2 034 551,    410 029,    201.53,    337 375,    165.82,    59 590,    29.29,    11 423,    5.61,    1 454,    0.71,    187,    0.09
25—29岁,    9 419 079,    1 082 276,    114.90,    778 930,    82.70,    216 924,    23.03,    67 220,    7.14,    15 837,    1.68,    3 365,    0.36
  25,    2 405 810,    402 924,    167.48,    320 967,    133.41,    63 585,    26.43,    15 531,    6.46,    2 503,    1.04,    338,    0.14
  26,    2 578 423,    343 813,    133.34,    253 499,    98.32,    65 842,    25.54,    19 865,    7.70,    3 954,    1.53,    653,    0．25
  27,    1 455 846,    152 915,    105.04,    100 739,    69.20,    35 007,    24.05,    13 237,    9.09,    3 246,    2.23,    686,    0.47
  28,    1 346 879,    94 977,    70.52,    59 981,    44.53,    23 130,    17.17,    8 537,    6.34,    2 679,    1.99,    650,    0.48
  29,    1 632 121,    87 647,    53.70,    43 744,    26.80,    29 360,    17.99,    10 050,    6.16,    3 455,    2.12,    1 038,    0.64
30—34岁,    9 089 883,    265 562,    29.22,    81 917,    9.01,    1 18 265,    13．01,    39 873,    4.39,    16 533,    1.82,    8 974,    0．99
  30,    1 549 461,    67 450,    43.53,    25 774,    16.63,    27 685,    17.87,    9 230,    5.96,    3 417,    2.21,    1 344,    0.87
  31,    1 989 828,    69 886,    35.12,    22 432,    11.27,    31 401,    15.78,    10 139,    5.10,    4 106,    2.06,    1 808,    0.91
  32,    1 862 923,    53 721,    28.84,    15 156,    8.14,    24 904,    13.37,    8 220,    4.41,    3 555,    1.91,    1 886,    1.01
  33,    1 790 212,    40 845,    22.82,    10 702,    5.98,    18 883,    10.55,    6 537,    3.65,    2 837,    1.58,    1 886,    1.05
  34,    1 897 459,    33 660,    17.74,    7 853,    4.14,    1 5 392,    8.11,    5 747,    3.03,    2 618,    1.38,    2 050,    1.08
35—39岁,    7 654 202,    68 350,    8.93,    14 362,    1.88,    28 484,    3.72,    12 204,    1.59,    6 575,    0.86,    6 725,    0.88
  35,    1 789 657,    24 561,    13.72,    5 359,    2.99,    1 1 176,    6.24,    4 195,    2.34,    2 042,    1.14,    1 789,    1.00
  36,    1 611 773,    17 415,    10.80,    3 585,    2.22,    7 546,    4.68,    3 115,    1.93,    1586,    0.98,    1 583,    0.98
  37,    1 539 370,    12 514,    8.13,    2 559,    1.66,    5 014,    3.26,    2 323,    1.51,    1 286,    0．84,    1 332,    0.87
  38,    1 350 014,    8 176,    6.06,    1 663,    1.23,    2 985,    2.21,    1 524,    1.13,    953,    0.71,    1 051,    0.78
  39,    1 363 388,    5 684,    4.17,    1 196,    0.88,    1 763,    1.29,    1 047,    0.77,    708,    0.52,    970,    0.71
40—44岁,    4 901 446,    8 811,    1.80,    1 658,    0.34,    1 947,    0．40,    1 582,    0．32,    1 453,    0.30,    2 171,    0.44
  40,    1 124 095,    3 1 33,    2.79,    688,    0.61,    791,    0.70,    579,    0．52,    452,    0．40,    623,    0．55
  41,    1 049 544,    2 226,    2.12,    429,    0.41,    506,    0.48,    392,    0.37,    371,    0.35,    528,    0.50
