35.市(不含市辖县)人口年龄状况,,,,,,,
,,,,,,,
,,,,,,,
,    人口数,,,    占总人口数合计的百分比(％),,,
    年龄别,,,,,,,性比例
,,,,,,,(女=1 0 0)
,    合计,    男,    女,    合计,    男,    女,
1 0 5-1 0 9岁,    57,    12,    45,-,-,-,    26.67
  1 0 5,    18,    4,    1 4,-,-,-,    28.57
  1 0 6,    13,    2,    11,-,-,-,    18.18
  1 0 7,    1 3,    3,    10,-,-,-,    30．00
  1 0 8,    10,    2,    8,-,-,-,    25.00
  1 0 9,    3,    1,    2,-,-,-,    50.00
1 1 0-1 1 4岁,    7,    4,3,-,-,-,    133.33
  1 1 0,    2,-,2,-,-,-,-
  1 1 1,    2,    2,-,-,-,-,-
  1 1 2,    1,    1,-,-,-,-,-
  1 1 3,-,-,-,-,-,-,-
  1 1 4,    2,    1,    1,-,-,-,    100.00
1 1 5-1 1 9岁,    2,    1,    1,-,-,-,    100.00
  1 1 5,    1,-,    1,-,-,-,-
  1 1 6,-,-,-,-,-,-,-
  1 1 7,-,-,-,-,-,-,-
  1 1 8,    1,    1,-,-,-,-,-
  1 1 9,-,-,-,-,-,-,-
