,,,,,,
41．1 9 8 1年全国死亡人口的年龄状况,,,,,,
,,,,,,
,    死亡人口数,,,  占死亡人口总合计数的百分比(％),,
    年龄别,,,,,,
,    合计,    男,    女,    合计,    男,    女
总计,"    6,273,940","    3,315,913","    2,958,027",    100.00,    52.85,    47.15
0,"    682,052","    363,504","    318,548",    10.87,    5.79,    5.08
1,"    128,825","    63,760","    65,065",    2.05,    1.02,    1.04
2,"    90,576","    43,346","    47,230",    1.44,    0．69,    0.75
3,"    59,063","    28,654","    30,409",    0．94,    0．46,    0．48
4,"    42,624","    21,527","    21,097",    0.68,    0．34,    0．34
5,"    35,11 5","    18,758","    16,357",    0.56,    0.30,    0.26
6,"    30,439","    17,017","    13,422",    0．49,    0.27,    0．21
7,"    26,278","    14,915","    11,363",    0.42,    0.24,    0.18
8,"    23,657","    13,884","    9,773",    0.38,    0.22,    0.16
9,"    20,555","    12,147","    8,408",    0.33,    0.19,    0.13
1 0,"    20,696","    11,983","    8,713",    0．33,    0．19,    0.14
1 1,"    18,763","    10,781","    7,982",    0．30,    0.1 7,    0．13
1 2,"    19,118","    10,591","    8,527",    0．30,    0．17,    0.1 4
1 3,"    17,513","    9,489","    8,024",    0．28,    0．1 5,    0.13
1 4,"    17,238","    9,441","    7,797",    0．27,    0.15,    0．12
1 5,"    20,201","    11,218","    8,983",    0.32,    0.18,    0.14
1 6,"    22,111","    12,048","    10,063",    0．35,    0．19,    0．16
1 7,"    25,594","    14,064","    11,530",    0．41,    0．22,    0.18
1 8,"    29,450","    15,827","    13,623",    0.47,    0．25,    0.22
1 9,"    19,716","    10,321","    9,395",    0.31,    0.16,    0.15
2 0,"    15,355","    7,989","    7,366",    0.24,    0.13,    0．12
2 1,"    1 7,395","    9,275","    8,120",    0．28,    0.15,    0．1 3
2 2,"    20,082","    10,626","    9,456",    0．32,    0．17,    0.15
2 3,"    26,331","    14,205","    12,126",    0．42,    0.23,    0．19
2 4,"    28,125","    14,595","    13,530",    0.45,    0.23,    0.22
2 5,"    26,792","    13,686","    13,106",    0．43,    0．22,    0.21
2 6,"    28,031","    14,309","    13,722",    0．45,    0.23,    0．22
2 7,"    27,175","    13,938","    13,237",    0.43,    0．22,    0.21
2 8,"    26,646","    13,568","    13,078",    0．42,    0.22,    0．21
2 9,"    25,323","    13,019","    12,304",    0．40,    0．21,    0．20
3 0,"    24,420","    12,684","    11,736",    0.39,    0．20,    0．19
3 1,"    23,537","    12,488","    11,049",    0．38,    0．20,    0．18
3 2,"    23,435","    12,498","    10,937",    0．37,    0．20,    0．1 7
3 3,"    22,351","    12,176","    10,175",    0.36,    0．19,    0.16
3 4,"    23,411","    12,624","    10,787",    0.37,    0．20,    0.1 7
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,    死亡人口数,,,,,
,,,,占死亡人口总合计数的百分比(％),,
    年龄别,,,,,,
,    合计,    男,,,,
,,,    女,    合计,    男,    女
(续),,,,,,
3 5,"    23,656","    12,733","    10,923",    0．38,    0.20,    0.17
3 6,"    23,185","    12,755","    10,430",    0．37,    0.20,    0．1 7
3 7,"    23,078","    12,838","    10,240",    0.37,    0.20,    0.16
3 8,"    24,349","    13,712","    10,637",    0.39,    0.22,    0．1 7
3 9,"    25,526","    14,690","    10,836",    0．41,    0.23,    0．1 7
4 0,"    28,991","    16,654","    12,337",    0.46,    0．27,    0.20
4 1,"    27,356","    1 5,846","    11,510",    0.44,    0．25,    0.18
4 2,"    30,152","    17,447","    12,705",    0.48,    0．28,    0．20
4 3,"    33,083","    19,326","    13,757",    0．53,    0．31,    0.22
4 4,"    35,836","    20,908","    14,928",    0.57,    0．33,    0.24
4 5,"    39,331","    22,961","    16,370",    0.63,0.37,    0．26
4 6,"    40,949","    23,987","    16,962",    0.65,    0.38,    0．27
