37.县(不含镇)人口年龄状况,,,,,,,
,,,,,,,
,,,,,,,
,    人口数,,,  占总人口数合计的百分比(％),,,
    年龄别,,,,,,,性比例
,,,,,,,(女=1 0 0)
,    合计,    男,    女,    合计,    男,    女,
  4 5,"    7,155,538","    3,779,573","    3,375,965",    0.90,    0.47,    0.42,    111.96
  4 6,7208101,"    3,785,784","    3,422,317",    0.90,    0.47,    0．43,    110.62
  4 7,"    6,925,007","    3,605,309","    3,319,698",    0．87,    0．45,    0.42,    108.60
  4 8,"    7,105,813","    3,703,118","    3,402,695",    0.89,    0.46,    0．43,    108.83
  4 9,"    7,097,319","    3,691,692","    3,405,627",    0．89,    0．46,    0.43,    108.40
5 0-5 4岁,"    31,301,686","    16,222,716","    15,078,970",    3.92,    2.03,    1.89,    107.59
  5 0,"    6,521,975","    3,374,646","    3,147,329",    0.82,    0.42,    0.39,    107.22
  5 1,"    6,178,445","    3,220,531","    2,957,914",    0．77,    0.40,    0.37,    108.88
  5 2,"    6,448,261","    3,351,103","    3,097,1 58",    0.81,    0．42,    0．39,    108.20
  5 3,"    6,002,840","    3,098,788","    2,904,052",    0．75,    0．39,    0．36,    106.71
  5 4,"    6,150,165","    3,1 77,648","    2,972,51 7",    0．77,    0.40,    0．37,    106.90
5 5—5 9岁,"    26,930，1 14","    13,752,149","    13,177,965",    3.38,    1.72,    1.65,    104.36
  5 5,"    5,555,628","    2,867,032","    2,688,596",    0.70,    0.36,    0．34,    106.64
  5 6,"    5,448,178","    2,795,274","    2,652,904",    0.68,    0．35,    0．33,    105.37
  5 7,"    5,624,351","    2,878,980","    2,745,371",    0．71,    0．36,    0．34,    104.87
  5 8,"    5,450,352","    2,762,709","    2,687,643",    0.68,    0.35,    0.34,    102.79
  5 9,"    4,851,605","    2,448,154","    2,403,451",    0．61,    0.31,    0．30,102.79
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,    人口数,,,占总人口数合计的百分比(％),,,性比例
    年龄别,,,,,,,
,  合计,    男,    女,    合计,    男,    女,(女=1 0 0)
(续),,,,,,,
6 0-6 4岁,"    22,070,562",10971954,"    11,098,608",    2.77,    1.38,    1.39,    98.86
  6 0,"    4,942,511","    2,488,190","    2,454,321",    0.62,    0.31,    0.31,    101.38
  6 1,"    4,619,765","    2,316,434","    2,303,331",    0.58,    0．29,    0．29,    100.57
  6 2,"    4,619,981","    2,298,850","    2,321,131",    0.58,    0.29,    0．29,    99.04
  6 3,"    4,011,746","    1,969,718","    2,042,028",    0.50,    0.25,    0．26,    96.46
  6 4,3876559,1898762,"    1,977,797",    0．49,    0.24,    0.25,    96.00
6 5—6 9岁,"    17，297,954","    8,231,430","    9,066,524",    2.17,    1.03,    1.14,    90.79
  6 5,"    3,920,226","    1,885,044","    2,035,182",    0.49,    0．24,    0．26,    92.62
  6 6,"    3,646,632","    1,745,515","    1,901,117",    0．46,    0.22,    0.24,    91.82
  6 7,"    3,384,818","    1,614,773","    1,770,045",    0.42,    0.20,    0．22,    91.23
  6 8,"    3,451,624","    1,633,479",1818145,    0．43,    0.20,    0.23,    89.84
  6 9,"    2,894,654","    1,352,619","    1,542,035",    0．36,    0.17,    0.19,    87.72
7 0-7 4岁,11642939,"    5,213,333","    6,429,606",    1.46,    0．65,    0.81,    81.08
  7 0,"    2,631,685","    1,217,980","    1,413,705",    0.33,    0．15,    0．18,    86.16
  7 1,"    2,478,269","    1,132,820","    1,345,449",    0.31,    0．14,    0.17,    84.20
  7 2,"    2,375,123","    1,060,085","    1,315,038",    0．30,    0．13,    0．16,    80.61
  7 3,"    2,237,557","    976,371","    1，261,186",    0．28,    0.12,    0．16,    77.42
  7 4,"    1,920,305","    826,077","    1,094,228",    0.24,    0.10,    0.14,    75.49
7 5—7 9岁,"    6,967,559","    2,836,247","    4,131,312",    0.87,    0.36,    0.52,    68.65
  7 5,"    1,714,953","    723,763","    991,190",    0.22,    0．09,    0.12,    73.02
  7 6,"    1,617,740","    665,153","    952,587",    0．20,    0.08,    0．12,    69.83
  7 7,"    1,361,859","    552,513","    809,346",    0．17,    0.07,    0.10,    68.27
  7 8,"    1,221,370","    485,714","    735,656",    0.15,    0．06,    0．09,    66.02
  7 9,"    1,051,637","    409,104","    642,533",    0.13,    0.05,    0.08,    63.67
8 0—8 4岁,"    2,942,591","    1,077,225","    1,865,366",    0.37,    0．14,    0．23,    57.75
  8 0,"    887,587","    337,179","    550,408",    0．11,    0．04,    0．07,    61.26
  8 1,"    727,067","    269,916","    457,151",    0.09,    0．03,    0.06,    59.04
  8 2,"    552,257","    199,538",352719,    0．07,    0．03,    0.04,    56.57
  8 3,"    416,382","    146,826","    269,556",    0．05,    0.02,    0．03,    54.47
  8 4,"    359,298","    123,766",235532,    0．05,    0．02,    0.03,    52.55
8 5—8 9岁,"    856,334","    271,903","    584,431",    0.11,    0．03,    0.07,    46.52
  8 5,"    277,810","    93,480","    184,330",    0．03,    0．01,    0．02,    50.71
  8 6,"    214,105","    68,439","    145,666",    0.03,    0．01,    0．02,    46.98
  8 7,"    162,777","    50,572","    112,205",    0.02,    0．01,    0.01,    45.07
  8 8,"    118,184","    35,412","    82,772",    0.01,    -,    0.01,    42.78
  8 9,"    83,458","    24,000","    59,458",    0.01,    -,    0.01,    40.36
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,    人口数,,,占总人口数合计的百分比(％),,,
    年龄别,,,,,,,性比例
,,,,,,,(女=1 0 0)
,    合计,    男,    女,    合计,    男,    女,
(续),,,,,,,
9 0-9 4岁,"    167,230","    46,177","    121,053",    0.02,    0.01,    0.02,    38.1 5
  9 0,"    68,248","    20,027","    48,221",    0.01,-,    0．01,    41.53
  9 1,"    38,839","    10,458","    28,381",-,-,-,    36.85
  9 2,"    28,371","    7,471","    20,900",-,-,-,    35.75
  9 3,"    18,909","    4,853",14056,-,-,-,    34.53
  9 4,"    12,863","    3,368","    9,495",-,-,-,    35.47
9 5—9 9岁,"    28,859","    9,131","    19,728",-,-,-,    46.28
  9 5,"    10,311","    3,044","    7,267",-,-,-,    41.89
  9 6,"    7,068","    2,247","    4,821",-,-,-,    46.61
  9 7,"    4,675","    1,418","    3,257",-,-,-,    43.54
  9 8,"    4,036",1443,"    2,593",-,-,-,    55.65
  9 9,"    2,769",    979,"    1,790",-,-,-,    54.69
1 0 0—1 0 4岁,"    2,382",    622,"    1,760",-,-,-,    35.34
  1 0 0,    931,    215,    716,-,-,-,    30.03
  1 0 1,    562,    152,    410,-,-,-,    37.07
  1 0 2,    432,    119,    313,-,-,-,    38.02
  1 0 3,    248,    70,    178,-,-,-,    39.33
  1 0 4,    209,    66,    143,-,-,-,    46.15
1 0 5-1 0 9岁,    578,    215,    363,-,-,-,    59.23
  1 0 5,    227,    85,    142,-,-,-,    59.86
  1 0 6,    143,    49,    94,-,-,-,    52.13
  1 0 7,    97,    30,    67,-,-,-,    44.78
  1 0 8,    72,    35,    37,-,-,-,    94.59
  1 0 9,    39,    16,    23,-,-,-,    69.57
1 1 0-1 1 4岁,    157,    82,    75,-,-,-,    109.33
  1 1 0,    82,    42,    40,-,-,-,    105.00
  1 1 1,    28,    12,    16,-,-,-,    75．00
  1 1 2,    21,    11,    10,-,-,-,    110．00
  1 1 3,    7,    5,    2,-,-,-,    250．00
  1 1 4,    19,    12,    7,-,-,-,    171.43
1 1 5-1 1 9岁,    50,    35,    15,-,-,-,    233.33
  1 1 5,    19,    12,    7,-,-,-,    171.43
  1 1 6,    13,    11,    2,-,-,-,    550.00
  1 1 7,    3,    1,    2,-,-,-,    50．00
  1 1 8,    10,    7,    3,-,-,-,    233.33
  1 1 9,    5,    4,    1,-,-,-,    400．00
