36.镇人口年龄状况,,,,,,,
,,,,,,,
,,,,,,,
,    人口数,,,    占总人口数合计的百分比(％),,,
    年龄别,,,,,,,性比例
,,,,,,,(女=1 0 0)
,    合计,    男,    女,    合计,    男,    女,
2 0-2 4岁,"    5,320,626","    2,772,561","    2,548,065",    8.71,    4.54,    4.17,    108.81
  2 0,"    1,005,553","    513,829","    491,724",    1.65,    0.84,    0.81,    104.50
  2 1,"    819,676","    417,252","    402,424",    1.34,    0.68,    0.66,    103.68
  2 2,"    1,067,984","    556,596","    511,388",    1.75,    0.91,    0．84,    108.84
  2 3,"    1,045,043","    552,413","    492,630",    1.71,    0．90,    0.81,    112.14
  2 4,"    1,382,370","    732,471","    649,899",    2.26,    1.20,    1.06,    112.71
2 5—2 9岁,"    6,304,727","    3,362,133","    2,942,594",    10.33,    5.51,    4.82,    114.26
  2 5,"    1,283,302","    675,295",608007,    2.10,    1.11,    1.00,    111.07
  2 6,"    1,226,672","    647,411","    579,261",    2.01,    1.06,    0.95,    111.76
  2 7,"    1,330,599","    708,249","    622,350",    2.18,    1.16,    1.02,    113.80
  2 8,"    1,276,809","    684,869","    591,940",    2.09,    1.12,    0.97,    115.70
  2 9,"    1,187,345","    646,309","    541,036",    1.94,    1.06,    0．89,    119.46
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,    人口数,,,    占总人口数合计的百分比(％),,,性比例
    年龄别,,,,,,,(女=1 0 0)
,    合计,    男,    女,    合计,    男,    女,
,,,,,,,
(续),,,,,,,
3 0-3 4岁,"    5,077,532","    2,857,125","    2,220,407",    8.32,    4.68,   3.64,    128.68
  3 0,"    1,174,676","    644,146","    530,530",    1.92,    1.06,    0．87,    121.42
  3 1,"    1,028,963","    572,867","    456,096",    1.69,    0．94,    0．75,    125.60
  3 2,"    1,082,289","    615,732","    466,557",    1.77,    1.01,    0．76,    131.97
  3 3,"    919,040","    522,780","    396,260",    1.51,    0．86,    0.65,    131.93
  3 4,"    872,564","    501,600","    370,964",    1.43,    0.82,    0.61,    135.22
3 5—3 9岁,"    3,899,680","    2,273,479","    1,626,201",    6.39,    3.72,    2.66,    139.80
  3 5,"    881,609","    515,938","    365,671",    1.44,    0．85,    0．60,    141.09
  3 6,"    808,900","    474,812","    334,088",    1.32,    0．78,    0．55,    142.12
  3 7,"    763,849",446012,"    317,837",    1.25,    0.73,    0．52,    140.33
  3 8,"    729,939","    424,373","    305,566",    1.20,    0.70,    0．50,    138.88
  3 9,"    715,383","    412,344","    303,039",    1.17,    0．68,    0．50,    136.07
4 0-4 4岁,"    3,713,042","    2,138,875","    1,574,167",    6.08,    3.50,    2.58,135.87
  4 0,"    743,877","    426,097","    317,780",    1.22,    0.70,    0．52,    134.09
  4 1,"    764,455","    443,013","    321,442",    1.25,    0.73,    0.53,    137.82
  4 2,"    737,087","    424,288","    312,799",    1.21,    0.69,    0.51,    135.64
  4 3,    732，242,"    419,816","    312,426",    1.20,    0.69,    0．51,    134.37
  4 4,"    735,381","    425,661","    309,720",    1.20,    0.70,    0．51,    137.43
4 5—4 9岁,"    3,425,51 7","    2,000,550","    1,424,967",    5.61,    3.28,    2.33,    1 40.39
  4 5,"    71 7,728","    415,758","    301,970",    1.18,    0.68,    0．49,    137.68
  4 6,"    707,597","    408,156","    299,441",    1.16,    0．67,    0.49,    136.31
  4 7,"    671,453","    386,650","    284,803",    1.10,    0．63,    0．47,    135.76
  4 8,"    677,678","    401,435","    276,243",    1.11,    0.66,    0．45,    145.32
  4 9,"    651,061","    388,551","    262,510",    1.07,    0．64,    0.43,    148.01
5 0-5 4岁,"    2,636,310","    1,568,921","    1,067,389",    4.32,    2.57,    1.75,    146.99
  5 0,"    578,385","    348,803","    229,582",    0．95,    0．57,    0．38,    151.93
  5 1,"    552,791","    335,914","    216,877",    0.91,    0.55,    0.36,    154.89
  5 2,"    548,1 74","    326,027","    222,147",    0．90,    0．53,    0.36,    146.76
  5 3,"    482,069","    281,747","    200,322",    0.79,    0.46,    0．33,    140.65
  5 4,"    474,891","    276,430","    198,461",    0．78,    0.45,    0．33,    139.29
5 5—5 9岁,"    1,854,258","    1，034,287","    819,971",    3.04,    1.69,    1.34,    126.14
  5 5,"    413,989","    238,370","    175,619",    0．68,    0.39,    0．29,    135.73
  5 6,"    390,324","    220,911","    169,413",    0.64,    0.36,    0．28,    130.40
  5 7,"    380,694","    211,078","    169,616",    0．62,    0．35,    0.28,    124.44
  5 8,"    353,458","    192,994","    160,464",    0．58,    0．32,    0．26,    120.27
  5 9,"    315,793","    170,934","    144,859",    0．52,    0.28,    0．24,    118.00
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,    人口数,,,占总人口数合计的百分比(％),,,
    年龄别,,,,,,,性比例
,,,,,,,(女=1 0 0)
,    合计,    男,    女,  合计,    男,    女,
(续),,,,,,,
6 0—6 4岁,"    1,391,726","    725,682","    666,044",    2.28,    1.19,    1.09,    108.95
  6 0,"    321,548","    1 73,323","    148,225",    0．53,    0．28,    0.24,    116.93
  6 1,"    298,226","    157,996","    140,230",    0.49,    0.26,    0．23,    112.67
  6 2,"    283,175","    147,201","    135,974",    0．46,    0.24,    0.22,    108.26
  6 3,"    248,629","    126,466","    122,163",    0.41,    0．21,    0．20,    103.52
  6 4,"    240,148","    120,696","    119,452",    0．39,    0．20,    0.20,    101.04
6 5—6 9岁,"    1,061,305","    512,751","    548,554",    1.74,    0．84,    0.90,    93.47
  6 5,"    235,166","    116,620","    118,546",    0.39,    0．19,    0．19,    98.38
  6 6,"    220,250",107123,"    113,127",    0．36,    0．18,    0.19,    94.69
  6 7,208438,"    100,791","    107,647",    0．34,    0．17,    0.18,    93.63
  6 8,"    213,381","    101,904","    111,477",0.35,    0.17,    0．18,    91.41
  6 9,"    184,070","    86,313","    97,757",    0.30,    0.14,    0.16,    88.29
7 0—7 4岁,"    740,092","    329,819","    410,273",    1.21,    0.54,    0.67,    80.39
  7 0,"    168,632","    78,181","    90,451",    0．28,    0．13,    0.15,    86.43
  7 1,"    160,213","    73,372","    86,841",    0．26,    0.12,    0．14,    84.49
  7 2,"    149,728","    66,622","    83,106",    0．25,    0.11,    0．14,    80.17
  7 3,"    140,044","    60,098","    79,946",    0.23,    0．10,    0．13,    75.17
  7 4,"    121,475","    51,546","    69,929",    0．20,    0.08,    0．11,    73.71
7 5—7 9岁,"    462,394","    183,485","    278,909",    0.76,    0．30,    0.46,    65.79
  7 5,"    111,201","    45,864",65337,    0.18,    0.08,    0．11,    70.20
  7 6,"    104,893","    42,107","    62,786",    0．17,    0.07,    0.10,    67.06
  7 7,"    91,106","    35,750","    55,356",    0．15,    0．06,    0.09,    64.58
  7 8,"    82,637","    32,069","    50,568",    0．14,    0.05,    0．08,    63.42
  7 9,"    72,557","    27,695","    44,862",    0．12,    0.05,    0.07,    61.73
8 0—8 4岁,"    217,606","    78,753","    138,853",    0.36,    0.13,    0．23,    56.72
  8 0,"    64,531",24253,"    40,278",    0.1 1,    0.04,    0.07,    60.21
  8 1,"    55,035","    20,151","    34,884",    0．09,0.03,    0．06,    57.77
  8 2,"    40,686","    14,562","    26,124",    0.07,    0.02,    0.04,    55.74
  8 3,"    31,093","    10,907","    20,186",    0．05,    0.02,    0．03,    54.03
  8 4,"    26,261","    8,880","    17,381",    0．04,    0.01,    0.03,    51.09
8 5—8 9岁,"    67,443","    21,562","    45,881",    0．11,    0．04,    0.08,    47．00
  8 5,"    20,634","    6,938","    13,696",    0.03,    0．01,    0.02,    50.66
  8 6,"    16,246","    5,229","    11,017",    0．03,    0．01,    0．02,    47.46
  8 7,"    13,089","    4,084","    9,005",    0．02,    0．01,    0．01,    45.35
  8 8,"    10,017","    3,087","    6,930",    0．02,    0.01,    0.01,    44.55
  8 9,"    7,457","    2,224","    5,233",    0.01,-,    0.01,    42.50
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,    人口数,,,  占总人口数合计的百分比(％),,,
    年龄别,,,,,,,性比例
,,,,,,,(女=1 0 0)
,    合计,    男,    女,    合计,    男,    女,
(续）,,,,,,,
9 0—9 4岁,"    15,423","    4,348","    11,075",    0．03,    0．01,    0.02,    39.26
  9 0,"    5,887","    1,700","    4,187",    0.01,-,    0.01,    40.60
  9 1,3864,"    1,112","    2,752",    0．01,-,-,    40.41
  9 2,"    2,672",    723,"    1,949",-,-,-,    37.10
  9 3,"    1,857",    483,"    1,374",-,-,-,    35.1 5
  9 4,"    1,143",    330,    813,-,-,-,    40.59
9 5—9 9岁,"    2,235",    651,"    1,584",-,-,-,    41.10
  9 5,    847,    222,    625,-,-,-,    35.52
  9 6,    540,    175,    365,-,-,-,    47.95
  9 7,    385,    110,    275,-,-,-,    40．00
  9 8,    281,    86,    195,-,-,-,    44.1 0
  9 9,    182,    58,    124,-,-,-,    46.77
1 0 0-1 0 4岁,    196,    43,    153,-,-,-,    28.10
  1 0 0,    70,    18,    52,-,-,-,    34.62
  1 0 1,    55,    6,    49,-,-,-,    1 2.24
  1 0 2,    36,    8,    28,-,-,-,    28.57
  1 0 3,    13,    2,    11,-,-,-,    18.1 8
  1 0 4,    22,    9,    13,-,-,-,69.23
1 0 5-1 0 9岁,    35,    15,    20,-,-,-,    75．00
  1 0 5,    9,    3,    6,-,-,-,    50.00
  1 0 6,    8,    3,    5,-,-,-,    60.00
  1 0 7,    9,    4,    5,-,-,-,    80.00
  1 0 8,    4,    2,    2,-,-,-,    100.00
  1 0 9,    5,    3,    2,-,-,-,    150．00
1 1 0—1 1 4岁,    7,    4,    3,-,-,-,    133.33
  1 1 0,    2,-,    2,-,-,-,-
  1 1 1,    1,-,    1,-,-,-,-
  1 1 2,    2,    2,-,-,-,-,-
  1 1 3,-,-,-,-,-,-,-
  1 1 4,    2,    2,-,-,-,-,-
1 1 5-1 1 9岁,    2,-,    2,-,-,-,-
  1 1 5,    1,-,    1,-,-,-,-
  1 1 6,-,-,-,-,-,-,-
  1 1 7,1,-,    1,-,-,-,-
  1 1 8,-,-,-,-,-,-,-
  1 1 9,-,-,-,-,-,-,-
