44.1981年全国县(不含镇)死亡人口的年龄状况,,,,,,
,,,,,,
,,,,,,
,    死亡人口数,,,占死亡人口总合计数的百分比(％),,
    年龄别,,,,,,
,    合计,    男,    女,    合计,    男,    女
总计,"    5,250,391","    2,755,340","    2,495,051",    1 00.00,    52.48,    47.52
0,"    613,484","    326,307","    287,177",    11.68,    6.21,    5.47
1,"    11 9,058","    58,849","    60,209",    2.27,    1.12,    1.15
2,"    83,894","    40,085","    43,809",    1.60,    0．76,    0.83
3,"    54,505","    26,381","    28,124",    1.04,    0．50,    0.54
4,"    39,197","    19,708","    19,489",    0.75,    0.38,    0.37
5,"    32,088","    1 7,029","    15,059",    0.61,    0.32,    0．29
6,"    27,724","    15,411","    12,313",    0．53,    0．29,    0．23
7,"    23,742","    13,354","    10,388",    0.45,    0.25,    0.20
8,"    21,034","    12,206","    8,828",    0.40,    0.23,    0.1 7
9,"    18,182","    10,594","    7,588",    0．35,    0.20,    0．14
1 0,"    18,225","    10,424","    7,801",    0.35,    0.20,    0.15
1 1,"    16,531","    9,371","    7,160",    0．31,    0．18,    0．14
1 2,"    16,658","    9,136","    7,522",    0．32,    0.17,    0．14
1 3,"    1 5,286","    8,145","    7,141",    0．29,    0．16,    0．1 4
1 4,"    15,146","    8,209","    6,937",    0.29,    0．16,    0．13
1 5,"    17,488","    9,586","    7,902",    0．33,    0．18,    0．15
1 6,"    18,779","    10,127","    8,652",    0.36,    0.19,    0.16
1 7,"    21,205","    11,509","    9,696",    0.40,    0.22,    0．18
1 8,"    24,114","    12,763","    11,351",    0.46,    0.24,    0.22
1 9,"    16,392",8401,"    7,991",    0．31,    0.16,    0．15
2 0,"    12,304","    6,205","    6,099",    0.23,    0.12,    0．12
2 1,"    13,614","    7,066","    6,548",    0.26,    0．13,    0．12
2 2,"    16,1 67","    8,344","    7,823",    0．31,    0.16,    0．15
2 3,"    21,508","    11,383","    10,125",    0．41,    0.22,    0．19
2 4,"    23,340","    11,775","    11,565",    0.44,    0．22,    0．22
2 5,"    22,243",11055,"    11,188",    0．42,    0.21,    0．21
2 6,"    23,534","    11,761","    11,773",    0.45,    0．22,    0.22
2 7,"    22,830","    11,425","    11,405",    0.43,    0.22,    0．22
2 8,"    22,364","    11,110","    11,254",    0．43,    0．21,    0．21
2 9,"    21,438","    10,762","    10,676",    0．41,    0.20,    0.20
3 0,"    20,662","    10,412","    10,250",    0.39,    0．20,    0.20
3 1,"    19,558","    10,102","    9,456",    0.37,    0.19,    0.18
3 2,19694,"    10,240","    9,454",    0.38,    0．20,    0．18
3 3,18821,"    9,976","    8,845",    0.36,    0.19,    0.1 7
3 4,"    19,690","    10,338","    9,352",    0．38,    0．20,    0．18
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,    死亡人口数,,,占死亡人口总合计数的百分比(％),,
    年龄别,,,,,,
,    合计,    男,,,    男,    女
,,,    女,    合计,,
(续),,,,,,
3 5,"    19,927","    10,445","    9,482",    0.38,    0．20,    0.18
3 6,"    19,503","    10,504","    8,999",    0．37,    0.20,    0.17
3 7,"    19,275","    10,529","    8,746",    0.37,    0.20,    0.17
3 8,"    20,292","    11,245","    9,047",    0.39,    0．21,    0.17
3 9,"    21,113","    11,987","    9,126",    0.40,    0.23,    0.17
4 0,"    24,044","    13,716","    10,328",    0.46,    0.26,    0．20
4 1,"    22,266",    12，774,"    9,492",    0.42,    0.24,    0．18
4 2,"    24,461","    14,027",10434,    0.47,    0.27,    0.20
4 3,"    26,691","    1 5,550","    11,141",    0.51,    0.30,    0.21
4 4,"    28,969","    16,779",12190,    0.55,    0.32,    0.23
4 5,"    31,637","    18,385","    13,252",    0.60,    0.35,    0．25
4 6,"    32,855","    19,186","    13,669",    0．63,    0.37,    0.26
4 7,"    36,467","    21,260","    15,207",    0.69,    0.40,    0.29
