34.人口年龄状况,,,,,,,
,,,,,,,
,,,,,,,
,    人口数,,,    占总人口数合计的百分比(％),,,
    年龄别,,,,,,,性比例
,,,,,,,(女=1 0 0)
,    合计,    男,    女,    合计,    男,    女,
1 2 0—1 2 4岁,    30,    14,    16,-,-,-,    87.50
  1 2 0,    21,    10,    11,-,-,-,    90.91
  1 2 1,    2,-,    2,-,-,-,-
  1 2 2,    4,    1,    3,-,-,-,    33.33
  1 2 3,    2,    2,-,-,-,-,-
  1 2 4,    1,    1,-,-,-,-,-
1 2 5-1 2 9岁,    3,    3,-,-,-,-,-
  1 2 5,-,-,-,-,-,-,-
  1 2 6,    2,    2,-,-,-,-,-
  1 2 7,-,-,-,-,-,-,-
  1 2 8,-,-,-,-,-,-,-
  1 2 9,    1,    1,-,-,-,-,-
1 3 0-1 3 4岁,    1,    1,-,-,-,-,-
  1 3 0,    1,    1,-,-,-,-,-
  1 3 1,-,-,-,-,-,-,-
  1 3 2,-,-,-,-,-,-,-
  1 3 3,-,-,-,-,-,-,-
  1 3 4,-,-,-,-,-,-,-
1 3 5-1 3 9岁,-,-,-,-,-,-,-
  1 3 5,-,-,-,-,-,-,-
  1 3 6,-,-,-,-,-,-,-
  1 3 7,-,-,-,-,-,-,-
  1 3 8,-,-,-,-,-,-,-
  1 3 9,-,-,-,-,-,-,-
,-,-,-,-,-,-,-
（？）,-,-,-,-,-,-,-
,-,-,-,-,-,-,-
（？）,-,-,-,-,-,-,-
,-,-,-,-,-,-,-
,-,-,-,-,-,-,-
不详,    771,    364,    407,-,-,-,    89.43
