42.1981年全国市(不含市辖县)死亡人口的年龄状况,,,,,,
,,,,,,
,,,,,,
,    死亡人口数,,,占死亡人口总合计数的百分比(％),,
    年龄别,,,,,,
,    合计,    男,    女,    合计,    男,    女
总计,"    744,771","    404,868","    339,903",    100.00,    54.36,    45.64
0,"    47,855","    26,065","    21,790",    6.43,    3.50,    2.93
1,"    7,085","    3,599","    3,486",    0．95,    0.48,    0．47
2,"    4,796","    2,341",2455,    0.64,    0.31,    0.33
3,"    3,306",1612,"    1,694",    0．44,    0.22,    0．23
4,"    2,41 7","    1,252","    1,165",    0.32,    0．17,    0.16
5,"    2,151","    1,214",    937,    0．29,    0.16,    0．13
6,"    1,901","    1,132",    769,    0.26,    0．15,    0．10
7,"    1,778","    1,068",    710,    0．24,    0．14,    0．10
8,"    1,819","    1,141",    678,    0．24,    0．15,    0.09
9,"    1,653","    1,070",    583,    0．22,    0.14,    0．08
1 0,"    1,695","    1,062",    633,    0.23,    0.14,    0．08
1 1,"    1,482",    936,    546,    0.20,    0．13,    0．07
1 2,"    1,700",    991,    709,    0．23,    0.13,    0.10
1 3,"    1,575",    954,    621,    0.21,    0.13,    0.08
1 4,"    1,460",    869,    591,    0.20,    0.12,    0．08
1 5,"    1,863","    1,116",    747,    0．25,    0．1 5,    0.10
1 6,"    2,360","    1,376",    984,    0.32,    0．18,    0．13
1 7,"    3,1 54","    1,814","    1,340",    0．42,    0.24,    0.18
1 8,"    3,845","    2,216","    1,629",    0.52,    0.30,    0．22
1 9,"    2,359","    1,367",    992,    0.32,    0.18,    0．13
2 0,"    2,253","    1,327",    926,    0．30,    0．18,    0．12
2 1,"    2,859","    1,660","    1,199",    0．38,    0．22,    0．16
2 2,"    2,877","    1,676","    1,201",    0．39,    0．23,    0．16
2 3,"    3,567","    2,068","    1,499",    0.48,    0．28,    0.20
2 4,"    3,488",    2，060,"    1,428",    0.47,    0．28,    0.19
2 5,"    3,306","    1,898","    1,408",    0.44,    0.25,    0．19
2 6,"    3,246","    1,829",1417,    0.44,    0.25,    0.19
2 7,"    3,123","    1,776","    1,347",    0．42,    0．24,    0.18
2 8,"    3,060","    1,735","    1,325",    0.41,    0．23,    0．1 8
2 9,"    2,748","    1,585","    1,163",    0.37,    0．21,    0．16
3 0,"    2,61 5","    1,544","    1,071",    0．35,    0.21,    0.14
3 1,"    2,734","    1,604","    1,130",    0.37,    0．22,    0．1 5
3 2,2624,"    1,526","    1,098",    0.35,    0．20,    0．1 5
3 3,"    2,419","    1,480",    939,0.32,    0.20,    0．13
3 4,"    2,551","    1,546","    1,005",    0．34,    0．21,    0．13
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,    死亡人口数,,,占死亡人口总合计数的百分比(％),,
    年龄别,,,,,,
,    合计,    男,    女,  合计,    男,    女
(续),,,,,,
3 5,"    2,571","    1,529","    1,042",    0．35,    0．21,    0.14
3 6,"    2,509","    1,502","    1,007",    0．34,    0.20,    0.14
3 7,"    2,561","    1,493","    1,068",    0.34,    0.20,    0.14
3 8,"    2,760","    1,631","    1,129",    0．37,    0.22,    0.15
3 9,"    3,090","    1,854","    1,236",    0．41,    0.25,    0．17
4 0,"    3,461","    1,997","    1,464",    0.46,    0.27,    0．20
4 1,"    3,505","    2,033","    1,472",    0．47,    0.27,    0．20
4 2,"    3,976","    2,302","    1,674",    0．53,    0.31,    0.22
4 3,"    4,461","    2,538","    1,923",    0．60,    0.34,    0.26
4 4,4851,"    2,831","    2,020",    0．65,    0.38,    0．27
4 5,"    5,406","    3,126","    2,280",    0.73,    0.42,    0.31
4 6,"    5,811","    3,379","    2,432",    0.78,    0．45,    0．33
4 7,"    6,381","    3,859","    2,522",    0.86,    0.52,    0．34
4 8,"    6,892","    4,106","    2,786",    0.93,    0.55,    0.37
