　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表4—1    全国分年龄、性别、受教育程度的6岁及6岁以上人口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位:人
年   龄   别,合      计,,,未上过学,,,扫   盲   班,,,小      学,,,初      中,,,高      中,,,中      专,,,大学专科,,,大学本科,,,研   究   生,,
,合计,男,女 ,合计,男,女 ,合计,男,女 ,合计,男,女 ,合计,男,女 ,合计,男,女 ,合计,男,女 ,合计,男,女 ,合计,男,女 ,合计,男,女 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
总      计,1156700293,593469678,563230615,89629436,25386944,64242492,20767295,6327997,14439298,441613351,217034413,224578938,422386607,238026237,184360370,99073845,59601039,39472806,39209614,19946276,19263338,28985486,17320758,11664728,14150726,9208762,4941964,883933,617252,266681
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-34岁,127314298,65360456,61953842,2610908,742431,1868477,978987,254683,724304,37077957,15609427,21468530,63992259,35545155,28447104,12042672,7077449,4965223,3580633,1866191,1714442,4767083,2785603,1981480,2080675,1352371,728304,183124,127146,55978
30岁,28012344,14396367,13615977,572001,171310,400691,195913,56204,139709,7732766,3282154,4450612,14152583,7813433,6339150,2754646,1617707,1136939,969306,496081,473225,1147142,650422,496720,448315,282853,165462,39672,26203,13469
31岁,25018386,12817157,12201229,483297,140066,343231,180728,48537,132191,7241463,3075474,4165989,12422673,6854888,5567785,2457699,1433632,1024067,759761,389708,370053,1014185,580788,433397,422615,269806,152809,35965,24258,11707
32岁,27718516,14262160,13456356,557168,157946,399222,210363,54673,155690,8208775,3478223,4730552,13795387,7684109,6111278,2639353,1552241,1087112,745151,389471,355680,1056786,617502,439284,466615,301374,165241,38918,26621,12297
33岁,21736582,11133712,10602870,469098,129649,339449,182003,45537,136466,6623168,2761495,3861673,10949449,6116673,4832776,1902662,1123304,779358,514717,273893,240824,724940,435646,289294,341577,226806,114771,28968,20709,8259
34岁,24828470,12751060,12077410,529344,143460,385884,209980,49732,160248,7271785,3012081,4259704,12672167,7076052,5596115,2288312,1350565,937747,591698,317038,274660,824030,501245,322785,401553,271532,130021,39601,29355,10246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-39岁,109147295,56141391,53005904,2531040,609670,1921370,1055760,216621,839139,27539525,10694374,16845151,51524551,28814524,22710027,17693726,10351504,7342222,2901819,1572122,1329697,4021273,2538942,1482331,1679867,1187872,491995,199734,155762,43972
35岁,24799129,12794614,12004515,533940,142979,390961,217548,50094,167454,6781981,2771214,4010767,12577800,7015787,5562013,2744562,1624136,1120426,632916,343642,289274,857202,529749,327453,406080,281221,124859,47100,35792,11308
36岁,24144848,12375386,11769462,529616,134323,395293,215947,46586,169361,6129122,2425835,3703287,11876331,6563461,5312870,3363607,1958393,1405214,664978,357843,307135,917726,570717,347009,397970,279914,118056,49551,38314,11237
37岁,27866189,14366461,13499728,586881,139066,447815,247026,48796,198230,6566535,2529171,4037364,13202956,7346777,5856179,4889482,2829586,2059896,772094,416609,355485,1100389,695147,405242,445370,317692,127678,55456,43617,11839
38岁,20923112,10799386,10123726,540406,120003,420403,233248,44108,189140,5167742,1915655,3252087,9261317,5263933,3997384,4125895,2445499,1680396,537051,296873,240178,742955,483146,259809,281925,204036,77889,32573,26133,6440
39岁,11414017,5805544,5608473,340197,73299,266898,141991,27037,114954,2894145,1052499,1841646,4606147,2624566,1981581,2570180,1493890,1076290,294780,157155,137625,403001,260183,142818,148522,105009,43513,15054,11906,3148
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-44岁,81242945,42243187,38999758,3409401,803338,2606063,1501981,322126,1179855,26436734,10769902,15666832,29808358,18023005,11785353,14875778,9016490,5859288,2054444,1139491,914953,2362208,1598227,763981,722453,512889,209564,71588,57719,13869
40岁,14684726,7608987,7075739,493301,117823,375478,208513,45868,162645,3976301,1562732,2413569,5648522,3283476,2365046,3354631,1969804,1384827,366507,198329,168178,465766,307899,157867,156400,111156,45244,14785,11900,2885
41岁,13059787,6819876,6239911,473452,111215,362237,201719,42944,158775,3828272,1537815,2290457,4856176,2885923,1970253,2863123,1713596,1149527,321332,175466,145866,386494,259960,126534,117344,83376,33968,11875,9581,2294
42岁,17135981,8985776,8150205,712418,176275,536143,310842,69506,241336,5540956,2288975,3251981,6284967,3817280,2467687,3229897,1957999,1271898,420245,233952,186293,484654,331189,153465,137720,99100,38620,14282,11500,2782
43岁,18998424,9889275,9109149,865242,201753,663489,389833,81945,307888,6604602,2712153,3892449,6873351,4241205,2632146,3071164,1889372,1181792,483168,271670,211498,534931,364093,170838,159544,113634,45910,16589,13450,3139
44岁,17364027,8939273,8424754,864988,196272,668716,391074,81863,309211,6486603,2668227,3818376,6145342,3795121,2350221,2356963,1485719,871244,463192,260074,203118,490363,335086,155277,151445,105623,45822,14057,11288,2769
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-49岁,85521045,43939603,41581442,5679369,1319834,4359535,2440994,555416,1885578,38631073,17239131,21391942,27443374,17342800,10100574,6491359,4417571,2073788,2146681,1204905,941776,2037304,1410323,626981,609678,416984,192694,41213,32639,8574
45岁,18612172,9650322,8961850,1031301,240098,791203,456765,99741,357024,7502024,3207771,4294253,6388363,3999954,2388409,2068910,1364883,704027,499449,279686,219763,499993,342916,157077,152780,105224,47556,12587,10049,2538
46岁,18513434,9524972,8988462,1104888,247478,857410,491026,105563,385463,7959807,3485963,4473844,6167439,3855640,2311799,1658598,1120379,538219,497010,275871,221139,480027,328267,151760,144241,97592,46649,10398,8219,2179
47岁,16745695,8575888,8169807,1126847,257623,869224,486636,108959,377677,7730993,3469109,4261884,5329916,3364380,1965536,1156865,800837,356028,411812,229472,182340,381357,262650,118707,113898,77077,36821,7371,5781,1590
48岁,17236621,8849449,8387172,1285243,304819,980424,543344,128755,414589,8325317,3818005,4507312,5270684,3378323,1892361,930790,655705,275085,405869,230605,175264,362290,254646,107644,107028,73743,33285,6056,4848,1208
49岁,14413123,7338972,7074151,1131090,269816,861274,463223,112398,350825,7112932,3258283,3854649,4286972,2744503,1542469,676196,475767,200429,332541,189271,143270,313637,221844,91793,91731,63348,28383,4801,3742,1059
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-54岁,63304200,32804125,30500075,6302625,1550685,4751940,2010209,528068,1482141,32941579,16143762,16797817,15603769,10211124,5392645,2730820,1888933,841887,1939022,1178944,760078,1293413,951913,341500,465286,336289,128997,17477,14407,3070
50岁,14711260,7572176,7139084,1293159,331969,961190,482528,127891,354637,7414498,3490951,3923547,4088128,2640656,1447472,665059,469561,195498,349641,209192,140449,320508,232060,88448,93365,66377,26988,4374,3519,855
51岁,13913927,7269012,6644915,1291668,329042,962626,429627,114758,314869,7305541,3584473,3721068,3456159,2267932,1188227,618815,430890,187925,422429,255009,167420,298066,219198,78868,87679,64445,23234,3943,3265,678
52岁,12083027,6256655,5826372,1227495,302322,925173,379076,99610,279466,6448639,3188199,3260440,2760871,1812002,948869,522984,358746,164238,420745,255861,164884,247316,182606,64710,73027,54949,18078,2874,2360,514
53岁,11737540,6105349,5632191,1250215,300447,949768,364220,95347,268873,6219359,3118439,3100920,2687068,1769629,917439,488352,332560,155792,408955,251562,157393,232037,172870,59167,84533,62159,22374,2801,2336,465
54岁,10858446,5600933,5257513,1240088,286905,953183,354758,90462,264296,5553542,2761700,2791842,2611543,1720905,890638,435610,297176,138434,337252,207320,129932,195486,145179,50307,126682,88359,38323,3485,2927,558
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-59岁,46370375,24061506,22308869,7393397,1836965,5556432,1915344,542121,1373223,21990855,11514877,10475978,10108762,6805556,3303206,2014268,1402591,611677,1580222,954797,625425,740346,553454,186892,615255,440952,174303,11926,10193,1733
55岁,10045173,5184602,4860571,1297687,308112,989575,358243,95145,263098,4933885,2473662,2460223,2451294,1632814,818480,408476,278826,129650,296891,178418,118473,166240,122874,43366,129123,91892,37231,3334,2859,475
56岁,9708711,5059575,4649136,1394399,333462,1060937,373399,101598,271801,4676146,2426074,2250072,2280251,1536772,743479,409290,281257,128033,301141,178680,122461,151484,112739,38745,119763,86574,33189,2838,2419,419
57岁,8821540,4567728,4253812,1420632,349001,1071631,363802,102100,261702,4138202,2165951,1972251,1934947,1302345,632602,400627,278029,122598,309878,183685,126193,140192,104796,35396,111079,79944,31135,2181,1877,304
58岁,8869780,4602955,4266825,1557159,397856,1159303,389752,113894,275858,4094341,2182544,1911797,1812337,1219707,592630,412475,289545,122930,339307,205783,133524,142299,106521,35778,120237,85530,34707,1873,1575,298
59岁,8925171,4646646,4278525,1723520,448534,1274986,430148,129384,300764,4148281,2266646,1881635,1629933,1113918,516015,383400,274934,108466,333005,208231,124774,140131,106524,33607,135053,97012,38041,1700,1463,237
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-64岁,41703848,21674478,20029370,10738490,2971274,7767216,2514726,844558,1670168,18761378,10897611,7863767,5675105,4049435,1625670,1304362,965241,339121,1360261,907854,452407,648029,504890,143139,692902,526643,166259,8595,6972,1623
60岁,9141141,4769323,4371818,2021672,555843,1465829,476824,154256,322568,4167712,2328615,1839097,1505988,1046665,459323,353327,256929,96398,325094,209006,116088,142266,108712,33554,146582,107895,38687,1676,1402,274
61岁,7574442,3921897,3652545,1781096,482562,1298534,420716,136101,284615,3468622,1971183,1497439,1102872,766134,336738,260284,188275,72009,268145,172009,96136,126952,96666,30286,144219,107694,36525,1536,1273,263
62岁,8611865,4511488,4100377,2199414,615680,1583734,515205,173804,341401,3912819,2287212,1625607,1146086,820869,325217,262350,195213,67137,286148,192940,93208,137262,107745,29517,150813,116600,34213,1768,1425,343
63岁,8128275,4229884,3898391,2263609,633351,1630258,524474,180174,344300,3623566,2153470,1470096,984578,719809,264769,221434,166743,54691,251321,173595,77726,124077,98259,25818,133478,103084,30394,1738,1399,339
64岁,8248125,4241886,4006239,2472699,683838,1788861,577507,200223,377284,3588659,2157131,1431528,935581,695958,239623,206967,158081,48886,229553,160304,69249,117472,93508,23964,117810,91370,26440,1877,1473,404
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
