　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表8—1    省、自治区、直辖市家庭户按住房间数分的户数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,单位:户,,,,,,,,,,,,,,,,,,
地   区   别,总家庭户数,住      房      间      数,,,,,,,,,,,平均每户住房间数,,,,,,,,,,,,,,,,,,
,,0间,一间,二间,三间,四间,五间,六间,七间,八间,九间,十间及十间以上,(间/户),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表8—1a    省、自治区、直辖市家庭户按住房间数分的户数（城市）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,单位:户,,,,,,,,,,,,,,,,,,
地   区   别,总家庭户数,住      房      间      数,,,,,,,,,,,平均每户住房间数,,,,,,,,,,,,,,,,,,
,,0间,一间,二间,三间,四间,五间,六间,七间,八间,九间,十间及十间以上,(间/户),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合计,84889340,113849,21605892,36384663,17963399,4862753,1599092,1176484,331903,379180,142129,329996,2.27,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市,2917865,          ,843398,1296147,535079,109318,45528,25335,15088,16083,7798,24091,2.19,,,,,,,,,,,,,,,,,,
天津市,1693118,955,676972,810628,168447,26129,5276,2646,799,556,149,561,1.75,,,,,,,,,,,,,,,,,,
河北省,3299360,2549,435793,1599444,809312,237657,87374,51221,17001,20798,6176,32035,2.55,,,,,,,,,,,,,,,,,,
山西省,2070119,1178,384334,1007598,435764,101816,67448,33065,12616,11084,3762,11454,2.40,,,,,,,,,,,,,,,,,,
内蒙古自治区,1784398,993,554800,968984,230015,23212,3805,1549,340,268,106,326,1.86,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
