　　,,,,,,,,,,
表5—1    全国不同规模的家庭户类别,,,,,,,,,,
,,,,,,,,,,
,,,,,,单位:户,,,,
家庭户规模,合计,一代户,二代户,三代户,四代户,五代户及五代以上户,,,,
,,,,,,,,,,
广西壮族自治区,11309236,10161715,89.85,1131559,10.01,15642,0.14,320,          ,
海南省,1750710,1676820,95.78,73295,4.19,567,0.03,28,          ,
,,,,,,,,,,
重庆市,9141558,8855904,96.88,278171,3.04,7433,0.08,50,          ,
四川省,23638429,23437944,99.15,198650,0.84,1835,0.01,          ,          ,
贵州省,9239409,8028348,86.89,1173052,12.70,37377,0.40,632,0.01,
云南省,10853172,9774030,90.06,1053676,9.71,24943,0.23,523,          ,
西藏自治区,531571,524228,98.62,7245,1.36,91,0.02,7,          ,
,,,,,,,,,,
陕西省,9429484,9404073,99.73,25318,0.27,79,          ,14,          ,
甘肃省,6086988,5994185,98.48,91611,1.51,1116,0.02,76,          ,
青海省,1173977,1101750,93.85,70943,6.04,1270,0.11,14,          ,
宁夏回族自治区,1396870,1368753,97.99,28026,2.01,89,0.01,2,          ,
新疆维吾尔自治区,4793826,4710186,98.26,83031,1.73,585,0.01,24,          ,
,,,,,,,,,,
,,,,,,,,,,
　　,,,,,,,,,,
表5—3    省、自治区、直辖市有0-19岁青少年人口的家庭户户数,,,,,,,,,,
,,,,,,,,,,
,,,,,单位:户,,,,,
地   区   别,合    计,有0-4岁,有5-9岁,有10-14岁,有15-19岁,,,,,
,,人口的户,人口的户,人口的户,人口的户,,,,,
,,,,,,,,,,
合计,304788250,62619109,77318495,96460727,68389919,,,,,
,,,,,,,,,,
北京市,2465656,424705,502543,795312,743096,,,,,
天津市,2156938,363251,476928,697350,619409,,,,,
河北省,17357608,3403034,3854081,5759594,4340899,,,,,
山西省,8788968,1904324,2422725,2551457,1910462,,,,,
内蒙古自治区,5851745,1154416,1482954,1767580,1446795,,,,,
,,,,,,,,,,
辽宁省,9492175,1713400,2206661,3152133,2419981,,,,,
吉林省,6208266,1033388,1458979,2116657,1599242,,,,,
