表2-2省自治区直辖市的市按居委会村委会分的人口数,,,,,,,,,
,,,,,,,,,
单位：人,,,,,,,,,
,,,,,,,,,
,    合计,,,    居委会,,,    村委会,,
    市名,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
    二道河子区,    270 699,    136 805,    133 894,    216 686,    108 686,    108 000,54 013,    28 119,    25 894
    郊区,    254 921,    131 802,    123 119,    39 854,    20 740,19 114,    215 067,    111 062,    104 005
    九台市,    788 550,    404 769,    383 781,    179 888,    91 007,    88 881,    608 662,    313 762,    294 900
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 表2-2单位：人,,,,,,,,,
,,,,,,,,,
,    合计,,,    居委会,,,    村委会,,
    市名,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
  吉林市,    2 251 848,    1 148 758,    1 103 090,    1 454 102,    734 456,    719 646,    797 746,    414 302,    383 444
    昌邑区,    379 596,    189 718,    189 878,    379 596,    189 718,    189 878,-,-,-
    龙潭区,    277 937,    139 701,    138 236,    277 937,    139 701,    138 236,-,-,-
    船营区,    353 953,    180 547,    173 406,    353 953,    180 547,    173 406,-,-,-
    郊区,    308 722,    158 086,    150 636,    78 843,    40 125,    38 718,    229 879,    117 961,    111 918
    桦甸市,    452 505,    234 104,    218 401,    189 255,    96 705,    92 550,    263 250,    137 399,    125 851
    蛟河市,    479 135,    246 602,    232 533,    174 518,    87 660,    86 858,    304 617,    158 942,    145 675
  四平市,    1 395 094,    708 807,    686 287,    502 716,    252 518,    250 198,    892 378,    456 289,436 089
    铁西区,    179 674,    89 268,    90 406,    146 472,    72 336,    74 136,    33 202,    16 932,    16 270
    铁东区,    227 512,    115 175,    112 337,    170 226,    85 614,    84 612,    57 286,    29 561,    27 725
    公主岭市,    987 908,    504 364,    483 544,    186 018,    94 568,    91 450,    801 890,    409 796,    392 094
  辽源市,    411 073,    207 249,    203 824,    332 640,    166 941,    165 699,    78 433,    40 308,    38 125
    龙山区,    228 837,    115 083,    113 754,    173 478,    86 577,    86 901,    55 359,    28 506,    26 853
    西安区,    182 236,    92 166,    90 070,    159 162,    80 364,    78 798,    23 074,    11 802,    11 272
  通化市,    1 199 382,    611 017,    588 365,    556 541,    279 980,    276 561,    642 841,    331 037,    311 804
    东昌区,    270 891,    136 362,    134 529,    226 577,    113 616,    112 961,    44 314,    22 746,    21 568
    二道江区,    135 281,    68 778,    66 503,    100 595,    50 735,    49 860,    34 686,    18 043,    16 643
    梅河口市,    569 052,    291 213,    277 839,    187 409,    94 536,    92 873,    381 643,    196 677,    184 966
    集安市,    224 158,    114 664,    109 494,    41 960,    21 093,    20 867,    182 198,    93 571,    88 627
  浑江市,    721 841,    372 700,    349 141,    478 117,    245 138,    232 979,    243 724,    127 562,    116 162
    八道江区,    271 303,    140 399,    130 904,    194 808,    100 319,    94 489,    76 495,    40 080,    36 415
    三岔子区,    269 204,    138 735,    130 469,    188 928,    96 745,    92 183,    80 276,    41 990,    38 286
    临江区,    181 334,    93 566,    87 768,    94 381,    48 074,    46 307,    86 953,    45 492,    41 461
  白城地区,    2 195 111,    1 117 997,    1 077 114,    665 251,    333 259,    331 992,    1 529 860,    784 738,    745 122
    白城市,    335 043,    169 506,    165 537,    214 187,    107 262,    106 925,    120 856,    62 244,    58 612
    洮南市,    511 239,    261 824,    249 415,    136 955,    68 891,    68 064,    374 284,    192 933,    181 351
    扶余市,    944 932,    481 122,    463 810,    184 732,    92 741,    91 991,    760 200,    388 381,    371 819
    大安市,    403 897,    205 545,    198 352,    129 377,    64 365,    65 012,    274 520,    141 180,    1 33 340
  延边朝鲜族自治州,    1 356 141,    688 105,    668 036,    786 470,    396 239,    390 231,    569 671,    291 866,    277 805
    延吉市,    293 069,    146 199,    146 870,    219 846,    109 627,    110 219,    73 223,    36 572,    36 651
    图们市,    122 579,    61 366,    61 213,    91 206,    45 497,    45 709,    31 373,    15 869,    1 5 504
    敦化市,    477 127,    245 744,    231 383,    256 310,    1 30 198,    126 112,    220 817,    115 546,    105 271
    珲春市,    183 755,    94 351,    89 404,    78 444,    40 624,    37 820,    105 311,    53 727,    51 584
    龙井市,    279 611,    140 445,    139 166,    140 664,70 293,    70 371,    138 947,    70 152,    68 795
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
      省、自治区、直辖市的市按居委会、村委会分的人口数(续08),,,,,,,,,
   表2-2单位：人,,,,,,,,,
,,,,,,,,,
,    合计,,,    居委会,,,    村委会,,
    市名,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
黑龙江省,    16 611 026,    8 476 031,    8 134 995,    10 611 783,    5 385 889,    5 225 894,    5 999 243,    3 090 142,    2 909 101
  哈尔滨市,    3 597 404,    1 825 428,    1 771 976,    2 770 226,    1 398 260,    1 371 966,    827 178,    427 168,    400 010
    道里区,    670 114,    337 905,    332 209,    553 904,    278 356,    275 548,    116 210,    59 549,    56 661
    南岗区,    742 554,    376 570,    365 984,    682 328,    345 839,    336 489,    60 226,    30 731,    29 495
    道外区,    387 438,    193 042,    194 396,    324 851,    161 281,    163 570,    62 587,    31 761,    30 826
    太平区,    356 004,    181 789,    174 215,    296 729,    150 706,    146 023,    59 275,    31 083,    28 192
    香坊区,    322 347,    163 400,    158 947,    268 377,    135 612,    132 765,    53 970,    27 788,    26 182
    动力区,    352 063,    180 189,    171 874,    301 176,    152 778,    148 398,    50 887,    27 411,    23 476
    平房区,    160 401,    80 629,    79 772,    134 104,    67 320,    66 784,    26 297,    13 309,    12 988
    阿城市,    606 483,    311 904,    294 579,    208 757,    106 368,    102 389,    397 726,    205 536,    192 190
  齐齐哈尔市,    1 400 591,    710 201,    690 390,    1 115 298,    562 589,    552 709,    285 293,    147 612,    137 681
    龙沙区,    280 342,    140 048,    140 294,    256 796,    128 161,    128 635,    23 546,    11 887,    11 659
    建华区,    217 906,    110 191,    107 715,    202 546,    101 949,    100 597,    15 360,    8 242,    7 118
    铁锋区,    287 627,    145 605,    142 022,    263 524,    133 169,    130 355,    24 103,    12 436,    11 667
    昂昂溪区,    100 918,    51 646,    49 272,    70 848,    36 195,    34 653,    30 070,    15 451,    14 619
    富拉尔基区,    275 535,    140 519,    135 016,    239 948,    122 060,    117 888,    35 587,    18 459,    17 128
    碾子山区,    91 307,    46 242,    45 065,    70 127,    35 240,    34 887,    21 180,    11 002,    10 178
    梅里斯达斡尔族区,    146 956,    75 950,    71 006,    11 509,    5 815,    5 694,    135 447,    70 135,    65 312
  鸡西市,    835 496,    428 001,    407 495,    650 288,    332 145,    318 143,    185 208,    95 856,    89 352
    鸡冠区,    250 776,    127 870,    122 906,    209 508,    106 661,    102 847,    41 268,    21 209,    20 059
    恒山区,    194 524,    99 985,    94 539,    147 390,    75 390,    72 000,    47 134,    24 595,    22 539
    滴道区,    135 452,    69 641,    65 811,    97 965,    50 177,    47 788,    37 487,    19 464,    18 023
    梨树区,    101 019,    51 696,    49 323,    90 288,    46 166,    44 122,    10 731,    5 530,    5 201
    城子河区,    115 629,    59 073,    56 556,    84 925,    43 310,    41 615,    30 704,    15 763,    14 941
    麻山区,    38 096,    19 736,    18 360,    20 212,    10 441,    9 771,    17 884,    9 295,    8 589
  鹤岗市,    647 021,    330 179,    316 842,    585 252,    298 268,    286 984,    61 769,    31 911,    29 858
    向阳区,    84 649,    42 736,    41 913,    84 649,    42 736,    41 913,-,-,-
    工农区,    141 085,    71 516,    69 569,    123 441,    62 392,    61 049,    17 644,    9 124,    8 520
    南山区,    136 437,    69 712,    66 725,    136 437,    69 712,    66 725,-,-,-
    兴安区,    128 044,    65 924,    62 120,    102 633,    52 840,    49 793,    25 411,    13 084,    12 327
    东山区,    97 158,    49 741,    47 417,    78 444,    40 038,    38 406,    18 714,    9 703,    9 011
    兴山区,    59 648,    30 550,    29 098,    59 648,    30 550,    29 098,-,-,-
  双鸭山市,    469 959,    242 116,    227 843,    411 564,    212 099,    199 465,    58 395,    30 017,    28 378
    尖山区,    162 806,    83 003,    79 803,    139 421,    71 036,    68 385,    23 385,    11 967,    11 418
    岭东区,    98 804,    50 760,    48 044,    93 721,    48 138,    45 583,    5 083,    2 622,    2 461
    四方台区,    73 341,    37 957,    35 384,    55 448,    28 722,    26 726,    17 893,    9 235,    8 658
    宝山区,    135 008,    70 396,    64 612,    122 974,    64 203,    58 771,    12 034,    6 193,    5 841
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 表2-2单位：人,,,,,,,,,
,,,,,,,,,
,    合计,,,    居委会,,,    村委会,,
    市名,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
  大庆市,    996 866,    511 692,    485 174,    756 444,    388 608,    367 836,    240 422,    123 084,    117 338
    萨尔图区,    236 157,    120 586,    115 571,    236 157,    120 586,    115 571,-,-,-
    龙凤区,    158 696,81 860,    76 836,    120 199,    62 058,    58 141,    38 497,    19 802,    18 695
    让胡路区,    224 999,    114 944,    110 055,    196 007,    100 100,    95 907,    28 992,    14 844,    14 148
    红岗区,    159 710,    83 257,    76 453,    131 348,    68 756,    62 592,    28 362,    14 501,    13 861
    大同区,    217 304,    111 045,    106 259,    72 733,    37 108,    35 625,    144 571,    73 937,    70 634
  伊春市,    882 236,    447 063,    435 173,    854 659,    432 350,    422 309,    27 577,    14 713,    12 864
    伊春区,    137 343,    68 942,    68 401,    129 324,    64 430,    64 894,    8 019,    4 512,    3 507
    南岔区,      149 826,    75 930,    73 896,    131 361,      66 298,    65 063,    18 465,    9 632,    8 833
    友好区,    77 778,    39 532,    38 246,    77 778,    39 532,    38 246,-,-,-
    西林区,    55 467,    28 393,    27 074,    55 467,    28 393,    27 074,-,-,-
    翠峦区,    55 779,    28 174,    27 605,    55 779,    28 174,    27 605,-,-,-
    新青区,    54 815,    27 908,    26 907,    54 815,    27 908,    26 907,-,-,-
    美溪区,    54 137,    27 555,    26 582,    54 137,    27 555,    26 582,-,-,-
    金山屯区,     50 392,    25 398,    24 994,    50 392,    25 398,    24 994,-,-,-
    五营区,    45 140,    22 909,    22 231,    45 140,    22 909,    22 231,-,-,-
    乌马河区,    40 787,    20 695,    20 092,    40 787,    20 695,    20 092,-,-,-
    汤旺河区,    38 507,    19 634,    18 873,    38 507,    19 634,    18 873,-,-,-
    带岭区,    40 079,    20 151,    19 928,    38 986,    19 582,    19 404,    1 093,    569,    524
    乌伊岭区,    27 846,    14 207,    13 639,    27 846,    14 207,    13 639,-,-,-
    红星区,    28 624,    14 616,    14 008,    28 624,    14 616,    14 008,-,-,-
    上甘岭区,    25 716,    13 019,    12 697,    25 716,    13 019,    12 697,-,-,-
  佳木斯市,    744 584,    378 460,    366 124,    492 495,    248 459,    244 036,    252 089,    130 001,    122 088
    永红区,151 300,    76 396,    74 904,    151 300,    76 396,    74 904,-,-,-
    向阳区,    87 401,    43 963,    43 438,    87 401,    43 963,    43 438,-,-,-
    前进区,    120 981,    60 616,    60 365,    120 981,    60 616,    60 365,-,-,-
    东风区,    102 893,    51 978,    50 915,    102 893,    51 978,    50 915,-,-,-
    郊区,    197 155,    101 693,    95 462,    6 056,    3 129,    2 927,    191 099,    98 564,    92 535
    同江市,    84 854,    43 814,    41 040,    23 864,    12 377,    11 487,    60 990,    31 437,    29 553
  七台河市,    445 216,    234 785,    210 431,    323 857,    170 917,    152 940,    121 359,    63 868,    57 491
    新兴区,231 692,121 296,   110 396,    216 627,    113 292,    103 335,    15 065,    8 004,    7 061
    桃山区,    105 934,    56 717,    49 217,    95 149,    51 057,    44 092,    10 785,    5 660,    5 125
    茄子河区,    107 590,    56 772,    50 818,    12 081,    6 568,    5 513,    95 509,    50 204,    45 305
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
表2-2单位：人,,,,,,,,,
,,,,,,,,,
,    合计,,,    居委会,,,    村委会,,
    市名,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
  牡丹江市,    750 585,    381 515,    369 070,    587 759,    298 054,    289 705,    162 826,    83 461,    79 365
    东安区,    106 163,    54 584,    51 579,    106 163,    54 584,    51 579,-,-,-
    阳明区,    106 579,    54 650,    51 929,    106 579,    54 650,    51 929,-,-,-
    爱民区,    161 220,    80 959,    80 261,    161 220,    80 959,    80 261,-,-,-
    西安区,    104 594,    52 154,    52 440,    104 594,    52 154,    52 440,-,-,-
    郊区,    243 664,    124 484,    119 180,    91 717,    46 612,    45 105,    151 947,    77 872,    74 075
    绥芬河市,    28 365,    14 684,    13 681,    17 486,    9 095,    8 391,    10 879,    5 589,    5 290
  松花江地区,    1 272 859,    652 983,    619 876,    359 449,    181 995,    177 454,    913 410,    470 988,    442 422
    双城市,    738 722,    376 448,    362 274,    122 182,    60 961,    61 221,    616 540,    315 487,    301 053
    尚志市,    534 137,    276 535,    257 602,    237 267,    121 034,    116 233,    296 870,    155 501,    141 369
  绥化地区,    2 754 034,    1 404 621,    1 349 413,    779 845,    392 376,    387 469,    1 974 189,    1 012 245,    961 944
    绥化市,    769 958,    391 131,    378 827,    278 171,    139 965,    138 206,    491 787,    251 166,    240 621
    安达市,    452 849,    231 537,    221 312,    182 457,    92 266,    90 191,    270 392,    139 271,    131 121
    肇东市,    797 432,    405 684,    391 748,    193 889,    97 052,    96 837,    603 543,    308 632,    294 911
    海伦市,    733 795,    376 269,    357 526,    125 328,    63 093,    62 235,    608 467,    313 176,    295 291
  黑河地区,    480 793,    246 884,    233 909,    242 758,    123 837,    118 921,    238 035,    123 047,    114 988
    黑河市,    123 095,    62 831,    60 264,    65 844,    33 418,    32 426,    57 251,    29 413,    27 838
    北安市,    343 909,    176 965,166 944,    169 741,    86 747,    82 994,    174 168,    90 218,    83 950
    五大连池市,    13 789,    7 088,    6 701,    7 173,    3 672,    3 501,    6 616,    3 416,    3 200
  大兴安岭地区,    289 908,    148 223,    141 685,    247 510,    126 388,    121 122,    42 398,    21 835,    20 563
    加格达奇区,    132 222,    67 715,    64 507,    116 570,    59 547,    57 023,    15 652,    8 168,    7 484
    松岭区,    37 193,    19 014,    18 179,    30 580,    15 596,    14 984,    6 613,    3 418,    3 195
    新林区,    61 319,    31 238,    30 081,    46 015,    23 470,    22 545,    15 304,    7 768,    7 536
    呼中区,    59 174,    30 256,    28 918,    54 345,    27 775,    26 570,    4 829,    2 481,    2 348
  省直辖行政单位,    1 043 474,    533 880,    509 594,    434 379,    219 544,    214 835,    609 095,    314 336,    294 759
    富锦市,    351 645,    180 623,    171 022,    107 440,    54 405,    53 035,    244 205,    126 218,    117 987
    铁力市,    324 831,    164 588,    160 243,    219 393,    110 403,    108 990,    105 438,    54 185,    51 253
    密山市,    366 998,    188 669,    178 329,    107 546,    54 736,    52 810,    259 452,    133 933,    125 519
上海市,    8 205 598,    4 256 979,    3 948 619,    7 821 787,    4 063 492,    3 758 295,    383 811,    193 487,    190 324
  市辖区,    8 205 598,    4 256 979,    3 948 619,    7 821 787,    4 063 492,    3 758 295,    383 811,    193 487,    190 324
    黄浦区,    733 200,385 105,    348 095,    718 972,    378 050,    340 922,    14 228,    7 055,    7 173
    南市区,    825 924,    423 811,    402 113,    821 598,    421 754,    399 844,    4 326,    2 057,    2 269
    卢湾区,    475 796,    239 528,    236 268,    475 796,    239 528,    236 268,-,-,-
    徐汇区,    776 602,    408 043,    368 559,    771 112,    405 303,    365 809,    5 490,    2 740,    2 750
    长宁区,    585 418,    302 110,    283 308,    571 213,    294 660,    276 553,    14 205,    7 450,    6 755
    静安区,    486 625,    242 942,    243 683,    486 625,    242 942,    243 683,-,-,-
    普陀区,    796 151,    410 007,    386 144,    796 151,    410 007,    386 144,-,-,-
    闸北区,    712 917,    368 725,    344 192,    712 917,    368 725,    344 192,-,-,-
    虹口区,    879 658,    449 478,    430 180,    879 658,    449 478,    430 180,-,-,-
    杨浦区,    1 124 454,    594 080,    530 374,    1 109 756,    584 875,    524 881,    14 698,    9 205,    5 493
    闵行区,    158 786,    88 437,    70 349,    158 786,    88 437,    70 349,-,-,-
    宝山区,    650 067,    344 713,    305 354,    319 203,    179 733,    139 470,    330 864,    164 980,    165 884
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
表2-2单位：人,,,,,,,,,
,,,,,,,,,
,    合计,,,    居委会,,,    村委会,,
    市名,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
江苏省,    22 913 770,    11 730 306,11 183 464,    8 032 697,    4 208 207,    3 824 490,    14 881 073,    7 522 099,    7 358 974
  南京市,    2 610 594,    1 375 479,    1 235 115,    2 166 426,    1 151 562,    1 014 864,    444 168,    223 917,    220 251
    玄武区,    244 514,    127 719,    116 795,    244 514,    127 719,    116 795,-,-,-
    白下区,    248 359,    128 844,    119 515,    248 359,    128 844,    119 515,-,-,-
    秦淮区,    189 325,    96 355,    92 970,    189 325,    96 355,    92 970,-,-,-
    建邺区,    207 721,    106 263,    101 458,    207 721,    106 263,    101 458,-,-,-
    鼓楼区,    409 198,    216 787,    192 411,    409 198,    216 787,    192 411,-,-,-
    下关区,    208 330,    110 957,    97 373,    208 330,    110 957,    97 373,-,-,-
    浦口区,    162 257,    85 318,    76 939,    91 530,    49 142,    42 388,    70 727,    36 176,    34 551
    大厂区,    188 299,    104 445,    83 854,    149 595,    84 596,    64 999,    38 704,    19 849,    18 855
    栖霞区,    478 071,    253 429,    224 642,    286 543,    158 294,    128 249,    191 528,    95 135,    96 393
    雨花台区,    274 520,    145 362,    129 158,    131 311,    72 605,    58 706,    143 209,    72 757,    70 452
  无锡市,    3 181 985,    1 626 701,    1 555 284,    991 947,    509 915,    482 032,    2 190 038,    1 116 786,    1 073 252
    崇安区,    180 099,    90 819,    89 280,    180 099,    90 819,    89 280,-,-,-
    南长区,    206 460,    105 464,    100 996,    206 460,    105 464,    100 996,-,-,-
    北塘区,    178 176,    90 391,    87 785,    178 176,    90 391,    87 785,-,-,-
    郊区,    418 906,    215 386,    203 520,    144 436,    76 407,    68 029,    274 470,    138 979,    135 491
    马山区,    24 860,    12 814,    12 046,    14 767,    7 665,7 102,    10 093,    5 149,    4 944
    江阴市,    1 108 406,    569 704,    538 702,    129 544,    67 430,    62 114,    978 862,    502 274,        476 588
    宜兴市,    1 065 078,    542 123,    522 955,    138 465,    71 739,    66 726,    926 613,    470 384,    456 229
  徐州市,    1 827 306,    953 871,    873 435,    836 137,    451 183,    384 954,    991 169,    502 688,    488 481
    鼓楼区,    263 184,    133 909,    129 275,    263 184,    133 909,    129 275,-,-,-
    云龙区,    275 217,    138 257,    136 960,    275 217,    138 257,    136 960,-,-,-
    矿区,    140 287,    92 855,    47 432,    140 287,    92 855,    47 432,-,-,-
    贾汪区,    70 049,    38 375,    31 674,    70 049,    38 375,    31 674,-,-,-
    郊区,    194 919,    102 129,    92 790,    32 088,    18 728,    13 360,    162 831,    83 401,    79 430
    新沂市,    883 650,    448 346,    435 304,    55 312,    29 059,    26 253,    828 338,    419 287,    409 051
  常州市,    729 893,    375 110,    354 783,    474 646,    246 363,    228 283,    255 247,    128 747,    126 500
    天宁区,    221 067,    112 425,    108 642,    221 067,    112 425,    108 642,-,-,-
    钟楼区,    205 430,    108 240,    97 190,    205 430,    108 240,    97 190,-,-,-
    戚墅堰区,    79 567,    41 682,    37 885,    48 149,    25 698,    22 451,    31 418,    15 984,    15 434
    郊区,    223 829,    112 763,    111 066,-,-,-,    223 829,    112 763,    111 066
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
  省、自治区、直辖市的市按居委会、村委会分的人口数(续12),,,,,,,,,
表2-2单位：人,,,,,,,,,
,,,,,,,,,
,    合计,,,    居委会,,,    村委会,,
    市名,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
  苏州市,    3 273 010,    1 639 977,    1 633 033,    990 854,    509 927,    480 927,    2 282 156,    1 130 050,    1 152 106
    沧浪区,    258 678,    133 625,    125 053,    258 678,    133 625,    125 053,-,-,-
    平江区,    177 733,    90 037,    87 696,    177 733,    90 037,    87 696,-,-,-
    金阊区,    228 384,    117 348,    111 036,    228 384,    117 348,    111 036,-,-,-
    郊区,    209 766,    108 073,    101 693,    23 853,    13 189,    10 664,    185 91 3,    94 884,    91 029
    常熟市,    1 036 733,    509 421,    527 312,    146 490,    74 293,    72 197,    890 243,    435 128,    455 115
    张家港市,    792 722,    396 211,    396 511,    59 091,    31 021,    28 070,    733 631,    365 190,    368 441
    昆山市,    568 994,    285 262,    283 732,    96 625,    50 414,    46 211,    472 369,    234 848,    237 521
  南通市,    1 602 029,    799 181,    802 848,    323 166,    168 137,    155 029,    1 278 863,    631 044,    647 819
    城区,    256 220,    133 658,    122 562,    256 220,    133 658,    122 562,-,-,-
    郊区,    213 688,    106 634,    107 054,-,-,-,    213 688,    106 634,    107 054
    启东市,    1 132 121,    558 889,    573 232,    66 946,    34 479,    32 467,    1 065 175,    524 410,    540 765
  连云港市,    537 355,    276 602,    260 753,    344 244,    178 616,    165 628,    193 111,    97 986,    95 125
    连云区,    100 980,    52 884,    48 096,    71 487,    37 787,    33 700,    29 493,    15 097,    14 396
    云台区,    133 532,    67 744,    65 788,    45 562,    22 968,    22 594,    87 970,    44 776,    43 194
    新浦区,    175 569,    91 241,    84 328,    175 569,    91 241,    84 328,-,-,-
    海州区,    127 274,    64 733,    62 541,    51 626,    26 620,    25 006,    75 648,    38 113,    37 535
  淮阴市,    2 613 804,    1 336 680,    1 277 124,    394 381,    207 014,    187 367,    2 219 423,    1 129 666,    1 089 757
    清河区,    165 129,    86 528,    78 601,    116 975,    61 844,    55 131,    48 154,    24 684,    23 470
    清浦区,    274 894,    142 875,    132 019,    95 307,    51 706,    43 601,    179 587,    91 169,    88 418
    宿迁市,    1 060 967,    537 747,    523 220,    97 724,    49 738,    47 986,    963 243,    488 009,    475 234
    淮安市,    1 112 814,    569 530,    543 284,    84 375,    43 726,    40 649,    1 028 439,    525 804,    502 635
  盐城市,    2 488 467,    1 268 402,    1 220 065,    416 662,    214 581,    202 081,    2 071 805,    1 053 821,    1 017 984
    城区,    243 838,    126 596,    117 242,    243 838,    126 596,    117 242,-,-,-
    郊区,    1 108 026,    565 761,    542 265,    50 086,    25 478,    24 608,    1 057 940,    540 283,    517 657
    东台市,    1 136 603,    576 045,    560 558,    122 738,    62 507,    60 231,    1 013 865,    513 538,    500 327
  扬州市,    2 769 300,    1 421 782,    1 347 518,    673 466,    349 666,    323 800,    2 095 834,    1 072 116,    1 023 718
    广陵区,    299 188,    156 780,    142 408,    299 188,    156 780,    142 408,-,-,-
    郊区,    156 060,    78 446,    77 614,    2 819,    1 524,    1 295,    153 241,    76 922,    76 319
    泰州市,    255 114,    129 213,    125 901,    157 488,    80 098,    77 390,    97 626,    49 115,    48 511
    仪征市,    561 827,    285 976,    275 851,    83 163,    45 232,    37 931,    478 664,    240 744,    237 920
    兴化市,    1 497 111,    771 367,    725 744,    130 808,    66 032,    64 776,    1 366 303,    705 335,    660 968
  镇江市,    1 280 027,    656 521,    623 506,    420 768,    221 243,    199 525,    859 259,    435 278,    423 981
    京口区,    290 903,    153 593,    137 310,    290 903,    153 593,    137 310,-,-,-
    润州区,    199 096,    107 581,    91 515,    37 218,    20 614,    16 604,    161 878,    86 967,    74 911
    丹阳市,    790 028,    395 347,    394 681,    92 647,    47 036,    45 611,    697 381,    348 311,    349 070
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
表2-2单位：人,,,,,,,,,
,,,,,,,,,
,    合计,,,    居委会,,,    村委会,,
    市名,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
浙江省,    17 451 155,    8 930 568,    8 520 587,    5 572 213,    2 860 265,    2 711 948,    11 878 942,    6 070 303,    5 808 639
  杭州市,    2 589 504,    1 333 934,    1 255 570,    1 454 176,    759 460,    694 716,    1 135 328,    574 474,    560 854
    上城区,    211 046,    106 555,    104 491,    211 046,    106 555,    104 491,-,-,-
    下城区,    256 576,    130 195,    126 381,    256 576,    130 195,    126 381,-,-,-
    江干区,    361 187,    189 813,    171 374,    288 798,    151 491,    137 307,    72 389,    38 322,    34 067
    拱墅区,    293 436,    157 975,    135 461,    228 070,    121 946,    106 124,    65 366,    36 029,    29 337
    西湖区,    353 966,    191 448,    162 518,    229 170,    127 339,    101 831,    124 796,    64 109,    60 687
    萧山市,    1 113 293,    557 948,    555 345,    240 516,    121 934,    118 582,    872 777,    436 014,    436 763
  宁波市,    3 350 851,1 708 274,1 642 577,    1 136 763,    577 984,    558 779,    2 214 088,    1 130 290,    1 083 798
    海曙区,    244 629,    123 788,    120 841,    225 461,    113 644,    111 817,    19 168,    10 144,    9 024
    江东区,    158 378,    80 709,    77 669,    125 105,    63 542,    61 563,    33 273,    17 167,    16 106
    江北区,    215 740,    112 269,    103 471,    119 669,    63 020,    56 649,    96 071,    49 249,    46 822
    北仑区,    314 055,    160 980,    153 075,    61 007,    30 596,    30 411,    253 048,    130 384,    122 664
    镇海区,    209 627,    108 463,    101 164,    102 894,    53 607,    49 287,    106 733,    54 856,    51 877
    余姚市,    794 229,    404 408,    389 821,    177 268,    89 610,    87 658,    616 961,    314 798,    302 163
    慈溪市,    948 528,    478 936,    469 592,    207 178,    104 345,    102 833,    741 350,    374 591,    366 759
    奉化市,    465 665,    238 721,    226 944,    118 181,    59 620,    58 561,    347 484,    179 101,    168 383
  温州市,    1 650 419,    848 789,    801 630,    686 457,    347 705,    338 752,    963 962,    501 084,    462 878
    鹿城区,    523 413,    265 772,    257 641,    434 295,    219 181,    215 114,    89 118,    46 591,    42 527
    龙湾区,    80 976,    41 698,    39 278,    22 024,    11 238,    10 786,    58 952,    30 460,    28 492
    瑞安市,    1 046 030,    541 319,    504 711,    230 138,    117 286,    112 852,    815 892,    424 033,    391 859
  嘉兴市,    1 358 733,    688 088,    670 645,    389 002,    199 871,    189 131,    969 731,    488 217,    481 514
    城区,    261 162,    134 903,    126 259,    177 285,    92 562,    84 723,    83 877,    42 341,    41 536
    郊区,    479 948,    242 757,    237 191,    32 613,    16 430,    16 183,    447 335,    226 327,    221 008
    海宁市,    617 623,    310 428,    307 195,    179 104,    90 879,    88 225,    438 519,    219 549,    218 970
  湖州市,    1 027 570,    531 055,    496 515,    214 354,    112 786,    101 568,    813 216,    418 269,    394 947
    市辖区,    1 027 570,    531 055,    496 515,    214 354,    112 786,    101 568,    813 216,    418 269,    394 947
  绍兴市,    1 271 268,    649 410,    621 858,    308 905,    155 472,153433,    962 363,    493 938,    468 425
    越城区,    293 404,    147 376,    146 028,    181 356,    90 652,    90 704,    112 048,    56 724,    55 324
    诸暨市,    977 864,    502 034,    475 830,    127 549,    64 820,    62 729,    850 315,    437 214,    413 101
  金华市,    2 215 666,    1 130 156,    1 085 510,    456 912,    234 416,    222 496,    1 758 754,    895 740,    863 014
    婺城区,    283 919,    147 481,    136 438,    137 469,    72 021,    65 448,    146 450,    75 460,    70 990
    兰溪市,    622 437,    326 858,    295 579,    95 635,    48 874,    46 761,    526 802,    277 984,    248 818
    义乌市,    609 246,    313 931,    295 315,    114 258,    58 907,    55 351,    494 988,    255 024,    239 964
    东阳市,    700 064,    341 886,    358 178,    109 550,    54 614,    54 936,    590 514,    287 272,    303 242
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
  省、自治区、直辖市的市按居委会、村委会分的人口数(续14),,,,,,,,,
表2-2单位：人,,,,,,,,,
,,,,,,,,,
,    合计,,,    居委会,,,    村委会,,
    市名,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
  衢州市,    727 256,    378 234,    349 022,    158 394,    82 723,    75 671,    568 862,    295 511,    273 351
    柯城区,    207 327,    107 386,    99 941,    73 941,    38 205,    35 736,    133 386,    69 181,    64 205
