表2-5省自治区直辖市的镇按居委会村委会分的户数和人口数,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,表2-5单位：人、户,,,,,,,,
单位：人、户,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    村委会,,,,,,,
,,,,,    居委会,,,,,,,,,,,    家庭户,,,,    集体户,,,
,    合计,,,,,,,,,,,,,,    地区别,,,,,,,,
,,,,,    家庭户,,,,    集体户,,,,,,,,    人口数,,,,    人口数,,
    地区别,,,,,,,,,,,,,,,,  户数,,,,    户数,,,
,,    人口数,,,,    人口数,,,,    人口数,,,,,,,    小计,    男,    女,,    小计,    男,    女
,    户数,,,,    户数,,,,    户数,,,,,,总计,    46 025 331,    192 751 574,    97 628 258,    95 123 316,    126 418,    1 579 841,    1 110 854,    468 987
湖北省,    4 418 485,    18 306 179,    9 387 184,    8 918 995,    753 448,    2 642 447,    1 303 912,    1 338 535,    25 694,    401 513,    293 043,    108 470,,,广东省,    7 100 667,    32 890 724,    16 635 864,    16 254 860,    46 684,    582 239,    342 239,    240 000
湖南省,    3 127 393,    11 987 624,    6 206 269,    5 781 355,    793 777,    2 613 163,    1 283 301,    1 329 862,    21 606,    423 824,    344 154,    79 670,,,广西壮族自治区,    1 896 288,    9 240 350,    4 807 774,    4 432 576,    3 757,    53 218,    40 127,    13 091
广东省,    8 726 283,    40 801 296,    20 815 548,    19 985 748,    1 527 854,    6 415 387,    3 222 159,    3 193 228,    51 078,    912 946,    615 286,    297 660,,,海南省,    620 416,    3 017 036,    1 532 403,    1 484 633,    1 893,    16 670,    14 672,    1 998
广西牡族自治区,    2 515 811,    11 884 301,    6 248 964,    5 635 337,    599 381,    2 276 965,    1 152 988,    1 123 977,    16 385,    313 768,    248 075,    65 693,,,四川省,    2 740 496,    9 971 686,      5 055 899,    4 915 787,    1 055,    12 963,    10 067,    2 896
海南省,    786 192,    3 771 352,    1 950 862,    1 820 490,    158 465,    666 746,    344 335,    322 411,    5 418,    70 900,    59 452,    11 448,,,贵州省,    625 011,    2 827 121,    1 442 660,    1 384 461,    1 181,    12 132,    10 648,    1 484
四川省,    4 312 205,    15 612 833,    8 111 536,    7 501 297,    1 532 772,    4 702 015,  2 298 686,    2 403 329,    37 882,    926 169,    746 884,    179 285,,,云南省,    1 483 789,    6 871 703,    3 464 950,    3 406 753,    6 537,    64 210,    53 029,    11 181
贵州省,    1 077 553,    4 587 431,    2 375 222,    2 212 209,    444 054,    1 633 921,    824 776,    809 145,    7 307,    114 257,    97 138,    17 119,,,西藏自治区,    18 831,    89 490,    43 410,    46 080,    341,    8 947,7 143,    1 804
云南省,    2 126 198,    9 497 680,    4 883 222,    4 614 458,    614 619,    2 265 457,  1 124 350,    1 141 107,    21 253,    296 310,    240 893,    55 417,,,陕西省,    1 164 393,    4 973 063,    2 495 011,    2 478 052,    2 068,    22 433,    18 652,    3 781
西藏自治区,    38 189,    181 333,    95 546,    85 787,    18 579,    68 305,    33 234,    35 071,    438,    14 591,    11 759,    2 832,,,甘肃省,    471 937,    2 243 544,    1 135 213,    1 108 331,    1 010,    7 653,    6 633,    1 020
陕西省,    1 632 296,    6 872 876,    3 584 944,    3 287 932,    447 231,    1 434 777,    704 779,    729 998,    18 604,    442 603,    366 502,    76 101,,,青海省,    73 032,    382 588,    191 926,    190 662,    448,    4 154,    3 294,    860
甘肃省,    706 645,    3 184 943,    1 664 827,    1 520 116,    225 147,    773 070,    386 791,    386 279,    8 551,    160 676,        136 190,    24 486,,,宁夏回族自治区,    78 574,    376 359,    189 523,    186 836,    125,    732,    616,    116
青海省,    161 861,    741 848,    388 157,    353 691,    86 061,    305 953,    154 951,    151 002,    2 320,    49 153,    37 986,11 167,,,新疆维吾尔自治区,    155 183,    725 145,    370 124,    355 021,    110,    1 129,    995,    134
宁夏回族自治区,    156 495,    676 762,    350 707,    326 055,    75 927,    269 366,    135 275,    134 091,    1 869,    30 305,    25 293,    5 012,,,,,,,,,,,
新疆维吾尔自治区,432 126,    1 895 630,    972 594,    923 036,    272 046,    1 114 996,    558 432,    556 564,    4 787,    54 360,    43 043,    11 317,,,,,,,,,,,
