表2-4省自治区直辖市的市按非农业户口和农业户口分的人口数,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、％,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    非农业户口,,,    农业户口,,,    户口待定和暂无户口,,,    非农业
    市名,  合计,    男,    女,,,,,,,,,,    户口占
,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    的比例
    铁法市,    206 689,    105 851,    100 838,    126 640,    67 557,    59 083,    78 102,    37 364,    40 738,    1 947,    930,    1 017,    61.27
    开原市,    587 530,    302 324,    285 206,    121 545,    64 187,    57 358,    463 330,    236 836,    226 494,    2 655,    1 301,    1 354,    20.69
  朝阳市,    989 749,    503 417,    486 332,    407 557,    213 860,    193 697,    575 718,    286 229,    289 489,    6 474,    3 328,    3 146,    41.18
    双塔区,    238 641,    120 199,    118 442,    191 518,    97 961,    93 557,    45 320,    21 268,    24 052,    1 803,    970,    833,    80.25
    龙城区,    130 326,    66 426,    63 900,    26 212,    15 094,11 118,    103 127,    50 876,    52 251,    987,    456,    531,    20.11
    北票市,    620 782,    316 792,    303 990,    189 827,    100 805,    89 022,    427 271,    214 085,    213 186,    3 684,    1 902,    1 782,    30.58
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表2-4单位：人、％,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    非农业户口,,,    农业户口,,,    户口待定和暂无户口,,,    非农业
    市名,  合计,    男,    女,,,,,,,,,,    户口占
,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    的比例
  锦西市,    1 350 134,    686 628,    663 506,    450 747,    239 752,  210 995,    887 631,    440 821,    446 810,    11 756,    6 055,    5 701,    33.39
    连山区,    597 520,    302 161,    295 359,    237 910,    124 468,  113 442,    352 827,    174 185,    178 642,    6 783,    3 508,    3 275,    39.82
    葫芦岛区,    80 354,    41 295,    39 059,    52 959,    28 259,    24 700,    26 607,    12 666,    13 941,    788,    370,    418,    65.91
    南票区,    151 406,    78 035,    73 371,    57 769,    31 180,    26 589,    91 274,    45 679,    45 595,    2 363,    1 176,    1 187,    38.16
    兴城市,    520 854,    265 137,    255 717,    102 109,    55 845,    46 264,    416 923,    208 291,    208 632,    1 822,    1 001,    821,    19.60
吉林省, 12 511 360,  6 379 490,  6 131 870,  6 596 273, 3 363 611, 3 232 662,    5 765 648,  2 939 874,  2 825 774,    149 439,    76 005,    73 434,    52.72
  长春市,  2 980 870,  1 524 857,  1 456 013,  1 870 851,    959 984,  910 867,    1 065 653,    542 242,    523 411,    44 366,    22 631,    21 735,    62.76
    南关区,    463 802,    234 483,    229 319,    394 615,    199 997,  194 618,    64 462,    31 961,    32 501,    4 725,    2 525,    2 200,    85.08
    宽城区,    379 398,    189 903,    189 495,    317 400,    158 999,  158 401,    58 038,    28 806,    29 232,    3 960,    2 098,    1 862,    83.66
    朝阳区,    823 500,    427 095,    396 405,    715 466,    372 419,  343 047,    101 653,    51 238,    50 415,    6 381,    3 438,    2 943,    86.88
    二道河子区,    270 699,    136 805,    133 894,    220 165,111 593,  108 572,    47 217,    23 513,    23 704,    3 317,    1 699,    1 618,    81.33
    郊区,    254 921,    1 31 802,    123 119,    49 974,    26 555,    23 419,    197 310,    101 397,    95 913,    7 637,    3 850,    3 787,    19.60
    九台市,    788 550,    404 769,    383 781,    173 231,    90 421,    82 810,    596 973,    305 327,    291 646,    18 346,    9 021,    9 325,    21.97
  吉林市,    2 251 848,    1 148 758,  1 103 090,    1 376 459,    697 483,    678 976,    848 240,    437 097,    411 143,    27 149,    14 178,    12 971,    61.13
    昌邑区,    379 596,    189 718,    189 878,    362 478,    181 115,    181 363,    15 348,    7 624,    7 724,    1 770,    979,    791,    95.49
    龙潭区,    277 937,    139 701,    138 236,    253 169,    127 565,    125 604,    23 510,    11 356,    12 154,    1 258,    780,    478,    91.09
    船营区,    353 953,    180 547,    173 406,    332 776,    170 381,    162 395,    19 319,    9 064,    10 255,    1 858,    1 102,    756,    94.02
    郊区,    308 722,    158 086,    150 636,    90 062,    46 825,    43 237,    212 646,    108 103,    104 543,    6 014,    3 158,    2 856,    29.17
    桦甸市,    452 505,    234 104,    218 401,    166 456,    85 308,    81 148,    274 649,    143 155,    131 494,    11 400,    5 641,    5 759,    36.79
    蛟河市,    479 135,    246 602,    232 533,    171 518,    86 289,    85 229,    302 768,    157 795,    144 973,    4 849,    2 518,    2 331,    35.80
  四平市,  1 395 094,    708 807,    686 287,    527 701,  269 533,  258 168,    837 552,    425 029,    412 523,    29 841,    14 245,    15 596,    37.83
    铁西区,    179 674,    89 268,    90 406,    142 682,    71 007,    71 675,    34 592,    16 998,    17 594,    2 400,    1 263,    1 137,    79.41
    铁东区,    227 512,    115 175,    112 337,    166 849,    84 702,    82 147,    57 798,    28 975,    28 823,    2 865,    1 498,    1 367,    73.34
    公主岭市,    987 908,    504 364,    483 544,    218 170,    113 824,  104 346,    745 162,    379 056,    366 106,    24 576,    11 484,    13 092,    22.08
  辽源市,    411 073,    207 249,    203 824,    341 456,    171 887,  169 569,    65 573,    33 241,    32 332,    4 044,    2 121,    1 923,    83.06
    龙山区,    228 837,    115 083,    113 754,    181 832,    91 231,    90 601,    44 460,    22 531,    21 929,    2 545,    1 321,    1 224,    79.46
    西安区,    182 236,    92 166,    90 070,    159 624,    80 656,    78 968,    21 113,    10 710,    10 403,    1 499,    800,    699,    87.59
  通化市,    1 199 382,    611 017,    588 365,    590 482,  300 140,  290 342,    601 916,    307 284,    294 632,    6 984,    3 593,    3 391,    49.23
    东昌区,    270 891,    136 362,    134 529,    223 380,  112 197,  111 183,    46 537,    23 667,    22 870,    974,    498,    476,    82.46
    二道江区,    135 281,    68 778,    66 503,    97 863,    49 627,    48 236,    36 379,    18 619,    17 760,    1 039,    532,    507,    72.34
    梅河口市,    569 052,    291 213,    277 839,    204 732,    104 899,    99 833,    360 834,    184 534,    176 300,    3 486,    1 780,    1 706,    35.98
    集安市,    224 158,    114 664,    109 494,    64 507,    33 417,    31 090,    158 166,    80 464,    77 702,    1 485,    783,    702,    28.78
  浑江市,    721 841,    372 700,    349 141,    475 169,  242 753,  232 416,    238 210,    125 605,    112 605,    8 462,    4 342,    4 120,    65.83
    八道江区,    271 303,    140 399,    130 904,    189 454,    96 899,    92 555,    79 626,    42 357,    37 269,    2 223,    1 143,    1 080,    69.83
    三岔子区,    269 204,    138 735,    130 469,    185 674,    94 730,    90 944,    78 904,    41 646,    37 258,    4 626,    2 359,    2 267,    68.97
