表2-4省自治区直辖市的市按非农业户口和农业户口分的人口数,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、％,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    非农业户口,,,    农业户口,,,    户口待定和暂无户口,,,    非农业
    市名,  合计,    男,    女,,,,,,,,,,    户口占
,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    的比例
,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    的比例
    镇海区,    209 627,    108 463,101 164,    79 279,    43 231,    36 048,    129 103,    64 612,64 491,    1 245,    620,    625,    37.82
    余姚市,    794 359,    404 476,    389 883,    103 401,    57 089,    46 312,    687 984,    345 940,    342 044,    2 974,    1 447,    1 527,    13.02
    慈溪市,    948 528,    478 936,    469 592,    101 347,    57 429,    43 918,    842 461,    419 137,    423 324,    4 720,    2 370,    2 350,    10.68
    奉化市,    465 665,    238 721,    226 944,    59 349,    33 430,    25 919,    403 473,    203 855,    199 618,    2 843,    1 436,1 407,    12.74
  温州市,  1 650 419,    848 789,    801 630,    494 984,  257 009,  237 975,    1 126 753,    577 494,    549 259,    28 682,    14 286,    14 396,    29.99
    鹿城区,    523 413,    265 772,    257 641,    390 758,  199 459,  191 299,    115 698,    57 885,    57 813,    16 957,    8 428,    8 529,    74.66
    龙湾区,    80 976,    41 698,    39 278,    6 988,    4 027,    2 961,    71 006,    36 249,    34 757,    2 982,    1 422,    1 560,    8.63
    瑞安市,    1 046 030,    541 319,    504 711,    97 238,    53 523,  43 715,    940 049,    483 360,    456 689,    8 743,    4 436,    4 307,    9.30
  嘉兴市,    1 358 733,    688 088,    670 645,    299 634,  160 985,  138 649,    1 048 381,    521 861,    526 520,    10 718,    5 242,    5 476,    22.05
    城区,    261 162,    134 903,    126 259,    168 049,    88 103,    79 946,    91 475,    45 984,    45 491,    1 638,    816,    822,    64.35
    郊区,    479 948,    242 757,    237 191,    36 845,    20 458,    16 387,    439 198,    220 456,    218 742,    3 905,    1 843,    2 062,    7.68
    海宁市,    617 623,    310 428,    307 195,    94 740,    52 424,    42 316,    517 708,    255 421,    262 287,    5 175,    2 583,    2 592,    15.34
  湖州市,  1 027 570,    531 055,    496 515,    204 195,111 099,    93 096,    809 179,    413 093,    396 086,    14 196,    6 863,    7 333,    19.87
    市辅区,  1 027 570,    531 055,    496 515,204 195,    111 099,    93 096,    809 179,    413 093,    396 086,    14 196,    6 863,    7 333,    19.87
  绍兴市,  1 271 268,    649 410,    621 858,    258 631,    142 333,  116 298,  1 001 540,    501 739,    499 801,    11 097,    5 338,    5 759,    20.34
    越城区,    293 404,    147 376,    146 028,    180 086,    93 593,  86 493,    108 579,    51 467,    57 112,    4 739,    2 316,    2 423,    61.38
    诸暨市,    977 864,    502 034,    475 830,    78 545,    48 740,  29 805,    892 961,    450 272,    442 689,    6 358,    3 022,    3 336,    8.03
  金华市,  2 237 195,  1 141 930,  1 095 265,    316 932,  186 422,  130 510,1 900 881,    946 265,    954 616,    19 382,    9 243,    10 139,    14．17
    婺城区,    305 448,    159 255,    146 193,    138 857,    76 312,  62 545,    163 357,    81 334,    82 023,    3 234,    1 609,    1 625,    45.46
    兰溪市,    622 437,    326 858,    295 579,    77 155,    43 524,  33 631,    539 502,    280 603,    258 899,    5 780,    2 731,    3 049,    12.40
    义乌市,    609 246,    313 931,    295 315,    49 861,    31 870,  17 991,    554 252,    279 639,    274 613,    5 133,    2 422,    2 711,    8.18
    东阳市,    700 064,    341 886,    358 178,    51 059,    34 716,  16 343,    643 770,    304 689,    339 081,    5 235,    2 481,    2 754,    7.29
  衢州市,    753 068,    392 461,    360 607,    153 931,    87 596,  66 335,    592 452,    301 672,    290 780,    6 685,    3 193,    3 492,    20.44
    柯城区,    233 139,    121 613,    111 526,    105 314,    57 407,  47 907,    125 782,    63 232,    62 550,    2 043,    974,    1 069,    45.17
    江山市,    519 929,    270 848,    249 081,    48 617,    30 189,  18 428,    466 670,    238 440,    228 230,    4 642,    2 219,    2 423,    9.35
  舟山市,    672 267,    342 748,    329 519,    145 898,    79 809,  66 089,    519 902,259 463,    260 439,    6 467,    3 476,    2 991,    21.70
    定海区,    342 831,    173 949,    168 882,    76 560,41 131,  35 429,    263 251,    131 241,    132 010,    3 020,    1 577,    1 443,    22.33
    普陀区,    329 436,    168 799,    160 637,    69 338,    38 678,  30 660,    256 651,    128 222,    128 429,    3 447,    1 899,    1 548,    21.05
  丽水地区,    323 933,    168 842,    155 091,    63 546,    35 073,  28 473,    255 592,    131 408,    124 184,    4 795,    2 361,    2 434,    19.62
    丽水市,    323 933,    168 842,    155 091,    63 546,    35 073,  28 473,    255 592,    131 408,    124 184,    4 795,    2 361,    2 434,19.62
  台州地区,    2 266 013,    1 152 246,  1 113 767,    244 506,  136 191,    108 315,  2 010 752,  1 011 105,    999 647,    10 755,    4 950,    5 805,    10.79
    椒江市,    396 499,    200 963,    195 536,    71 677,    39 487,  32 190,    321 396,    159 814,    161 582,    3 426,    1 662,    1 764,    18.08
    临海市,    980 883,    497 837,    483 046,    87 010,    49 117,  37 893,    890 013,    447 035,    442 978,    3 860,    1 685,    2 175,    8.87
    黄岩市,    888 631,    453 446,    435 185,    85 819,    47 587,  38 232,    799 343,    404 256,    395 087,    3 469,    1 603,    1 866,    9.66
安徽省, 10 866 977,  5 645 082,  5 221 895,  4 455 763,  2 425 633,2 030 130,  6 314 132,  3 170 244,  3 143 888,    97 082,    49 205,    47 877,    41.00
  合肥市,  1 110 778,    597 425,    513 353,    733 396,  406 934,  326 462,    354 006,    178 052,    175 954,    23 376,    12 439,    10 937,    66.03
    东市区,    199 067,    104 624,    94 443,    174 507,    92 869,    81 638,    23 640,    11 237,    12 403,    920,    518,    402,    87.66
    中市区,    206 499,    110 835,    95 664,    183 865,    99 659,    84 206,    21 503,    10 576,    10 927,    1 131,    600,    531,    89.04
    西市区,    272 222,    150 679,    121 543,    241 195,  132 526,  108 669,    28 648,    16 646,    12 002,    2 379,    1 507,    872,    88.60
    郊区,    432 990,    231 287,    201 703,    133 829,    81 880,    51 949,    280 215,    1 39 593,    140 622,    18 946,    9 814,    9 132,    30.91
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表2-4单位：人，％,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    作农业户门,,,    农业户口,,,    户口待定和暂无户口,,,    非农业
    市名,  合计,    男,    女,,,,,,,,,,    户口占
,,,,  小汁,    男,    女,    小计,    男,    女,    小计,    男,    女,    的比例
  芜湖市,    563 815,    293 081,    270 734,    418 509,  221 211,  197 298,    141 428,    69 855,    71 573,    3 878,    2 015,    1 863,    74.23
    镜湖区,    152 914,    77 493,    75 421,    135 269,    69 184,  66 085,    16 704,    7 836,    8 868,    941,    473,    468,    88.46
    新芜区,    197 955,    104 439,    93 516,    177 390,    94 065,  83 325,    19 809,    9 986,    9 823,    756,    388,    368,    89.61
    马塘区,    75 546,    38 752,    36 794,    54 614,    28 597,  26 017,    20 222,    9 733,    10 489,    710,    422,    288,    72.29
    鸠江区,    137 400,    72 397,    65 003,    51 236,    29 365,  21 871,    84 693,    42 300,    42 393,    1 471,    732,    739,    37.29
  蚌埠市,    704 256,    364 496,    339 760,    441 459,  232 347,  209 112,    258 094,    129 886,    128 208,    4 703,    2 263,    2 440,    62.68
    东区,    194 199,    102 633,    91 566,    180 269,    95 874,  84 395,    12 688,    6 143,    6 545,    1 242,    616,    626,    92.83
    中区,    76 279,    39 158,    37 121,    70 945,    36 558,  34 387,    4 614,    2 256,    2 358,    720,    344,    376,    93.01
    西区,    183 779,    93 839,    89 940,    169 159,    86 913,  82 246,    12 974,    6 120,    6 854,    1 646,    806,    840,    92.04
    郊区,    249 999,    128 866,    121 133,    21 086,    13 002,    8 084,    227 818,    115 367,    112 451,    1 095,    497,    598,    8.43
  淮南市,1 239 952,    648 456,    591 496,    674 429,  358 999,  31 5 430,    551 786,    282 653,    269 133,    13 737,    6 804,    6 933,    54.39
    大通区,    122 442,    63 011,    59 431,    58 195,    30 375,    27 820,    61 914,    31 512,    30 402,    2 333,    1 124,    1 209,    47.53
    田家庵区,    316 350,    165 356,    150 994,    241 111,  126 508,  114 603,    71 781,    37 062,    34 719,    3 458,    1 786,    1 672,    76.22
    谢家集区,    258 474,    133 759,    124 715,    193 873,  102 027,  91 846,    59 964,    29 457,    30 507,    4 637,    2 275,    2 362,    75.01
    八公山区,    164 000,    85 615,    78 385,    120 468,    64 461,  56 007,    40 564,    19 707,    20 857,    2 968,    1 447,    1 521,    73.46
    潘集区,    378 686,    200 715,    177 971,    60 782,    35 628,  25 154,    317 563,    164 915,    152 648,    341,    172,    169,    16.05
  马鞍山市,    445 354,    234 399,    210 955,    297 044,    163 114,  133 930,    142 679,    68 435,    74 244,    5 631,    2 850,    2 781,    66.70
    金家庄区,    84 525,    46 593,    37 932,    68 837,    38 633,    30 204,    14 948,    7 591,    7 357,    740,    369,    371,    81.44
    花山区,    112 285,    58 677,    53 608,    102 965,    53 691,    49 274,    8 944,    4 743,    4 201,    376,    243,    133,    91.70
    雨山区,    101 704,    53 667,    48 037,    88 421,    47 227,41 194,12 770,    6 147,    6 623,    513,    293,    220,    86.94
    向山区,    146 840,    75 462,    71 378,    36 821,    23 563,    13 258,    106 017,    49 954,    56 063,    4 002,    1 945,    2 057,    25.08
  淮北市,    568 904,    305 190,    263 714,    332 054,    189 577,  142 477,    229 594,    112 087,    117 507,    7 256,    3 526,    3 730,    58.37
    杜集区,    265 570,    139 641,    125 929,    109 791,    64 296,    45 495,    152 278,    73 615,    78 663,    3 501,    1 730,    1 771,    41.34
    相山区,    193 355,    103 115,    90 240,    135 607,    74 817,    60 790,    55 313,    27 123,    28 190,    2 435,    1 175,    1 260,    70.13
    烈山区,    109 979,    62 434,    47 545,    86 656,    50 464,    36 192,    22 003,    11 349,    10 654,    1 320,    621,    699,    78.79
  铜陵市,    282 416,    150 561,    131 855,    212 032,    117 033,    94 999,    67 804,    32 255,    35 549,    2 580,    1 273,1 307,    75.08
    铜官山区,    190 381,    102 772,    87 609,    165 410,    89 985,    75 425,    23 708,    12 163,    11 545,    1 263,    624,    639,    86.88
    狮子山区,    45 978,    24 656,    21 322,    35 368,    20 545,    14 823,    10 353,    3 990,    6 363,    257,    121,    136,    76.92
    郊区,    46 057,    23 133,    22 924,    11 254,    6 503,    4 751,    33 743,    16 102,    17 641,    1 060,    528,    532,    24.43
  安庆市,    493 238,    252 619,    240 619,    247 220,    131 865,  115 355,    243 359,    119 388,    123 971,    2 659,    1 366,    1 293,    50.12
    迎江区,    129 331,    66 971,    62 360,    99 721,    52 715,  47 006,    28 874,    13 874,    15 000,    736,    382,    354,    77.11
    大观区,    144 097,    73 934,    70 163,    129 247,    67 323,  61 924,    14 058,    6 196,    7 862,    792,    415,    377,    89.69
    郊区,    219 810,    111 714,    108 096,    18 252,    11 827,    6 425,    200 427,    99 318,    101 109,    1 131,    569,    562,    8.30
  黄山市,    379 569,    197 837,    181 732,    99 603,    56 143,  43 460,    274 187,    138 827,    135 360,    5 779,    2 867,    2 912,    26.24
    屯溪区,    128 472,    66 444,    62 028,    68 097,    37 086,  31 011,    58 657,    28 489,    30 168,    1 718,    869,    849,    53.01
    黄山区,    158 289,    83 855,    74 434,    21 998,    13 019,    8 979,    1 35 166,    70 270,    64 896,    1 125,    566,    559,    13.90
    徽州区,    92 808,    47 538,    45 270,    9 508,    6 038,    3 470,    80 364,    40 068,    40 296,    2 936,    1 432,    1 504,    10.24
  阜阳地区,  2 096 841,  1 061 809,    1 035 032,    304 915,  164 949,    139 966,    1 780 772,    891 449,    889 323,    11 154,    5 411,    5 743,    14.54
    阜阳市,    232 349,    119 125,    113 224,    161 221,    85 679,  75 542,    64 931,    30 410,    34 521,    6 197,    3 036,    3 161,    69.39
    毫州市,    1 222 018,    618 957,    603 061,    90 454,    49 559,  40 895,    1 128 824,    568 106,    560 718,    2 740,    1 292,    1 448,    7.40
    界首市,    642 474,    323 727,    318 747,    53 240,    29 711,  23 529,587 017,    292 933,    294 084,    2 217,    1 083,    1 134,    8.29
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表2-4单位：人、％,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    非农业户口,,,    农业户口,,,    户口待定和暂无户口,,,    非农业
    市名,  合计,    男,    女,,,,,,,,,,    户口占
,,,,  小计,    男,    女,    小计,    男,    女,    小汁,    男,    女,    的比例
  宿县地区,    257 705,    130 522,    127 183,    146 982,    77 686,    69 296,    105 869,    50 406,    55 463,    4 854,    2 430,    2 424,    57.03
    宿州市,    257 705,    130 522,    127 183,    146 982,    77 686,    69 296,    105 869,    50 406,    55 463,    4 854,    2 430,    2 424,    57.03
  滁县地区,    416 926,    213 884,    203 042,    119 561,    63 046,    56 515,    295 197,    149 821,    145 376,2 168,    1 017,    1 151,    28.68
    滁州市,    416 926,    213 884,    203 042,    119 561,    63 046,    56 515,    295 197,    149 821,    145 376,    2 168,    1 017,    1 151,    28.68
  六安地区,    198 179,    102 156,    96 023,    137 401,    71 848,    65 553,    56 253,    27 931,    28 322,    4 525,    2 377,    2 148,    69.33
    六安市,    198 179,    102 156,    96 023,    137 401,    71 848,    65 553,    56 253,    27 931,    28 322,    4 525,    2 377,    2 148,    69.33
  宣城地区,    778 419,    409 836,    368 583,    110 613,    64 377,    46 236,    665 623,    344 258,    321 365,    2 183,    1 201,    982,    14.21
    宣州市,    778 419,    409 836,    368 583,    110 613,    64 377,    46 236,    665 623,    344 258,    321 365,    2 183,    1 201,    982,    14.21
  巢湖地区,    759 557,    389 006,    370 551,    120 053,    70 326,    49 727,    637 632,    317 678,    319 954,    1 872,    1 002,    870,    15.81
    巢湖市,    759 557,    389 006,    370 551,    120 053,    70 326,    49 727,    637 632,    317 678,    319 954,    1 872,    1 002,    870,    15.81
  池州地区,    571 068,    293 805,    277 263,    60 492,    36 178,    24 314,    509 849,    257 263,    252 586,    727,    364,    363,    10.59
    贵池市,    571 068,    293 805,    277 263,    60 492,    36 178,    24 314,    509 849,    257 263,    252 586,    727,    364,    363,    10.59
福建省,  6 375 407,  3 341 760,  3 033 647,  2 640 100, 1 430 191,  1 209 909,    3 555 883,  1 821 917,  1 733 966,    179 424,    89 652,    89 772,    41.41
  福州市,  1 402 584,    729 642,    672 942,    889 920,    477 176,  412 744,    478 053,    233 190,    244 863,    34 611,    19 276,    15 335,    63.45
    鼓楼区,    414 444,    217 476,    196 968,    372 778,    196 407,  176 371,    35 328,    17 476,    17 852,    6 338,    3 593,    2 745,    89.95
    台江区,    296 939,    152 556,    144 383,    261 366,    135 504,  125 862,    28 299,    13 108,    15 191,    7 274,    3 944,    3 330,    88.02
    仓山区,    129 860,    68 821,    61 039,    116 590,    62 606,    53 984,    10 399,    4 507,    5 892,    2 871,1 708,    1 163,    89.78
    马尾区,    45 469,    24 465,    21 004,    28 841,    16 138,    12 703,    14 814,    7 406,    7 408,    1 814,    921,    893,    63.43
    郊区,    515 872,    266 324,    249 548,    110 345,    66 521,    43 824,    389 213,    190 693,    198 520,    16 314,9 110,    7 204,    21.39
  厦门市,    662 270,    346 893,    315 377,    390 947,    207 267,    183 680,    261 684,    134 746,    126 938,    9 639,    4 880,    4 759,    59.03
    鼓浪屿区,    22 834,    11 203,    11 631,    21 225,    10 441,    10 784,    1 208,    559,    649,    401,    203,    198,    92.95
