表2-8省自治区直辖市的县(不含县辖镇)的户数和人口数,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,  省、自治区、直辖市的县(不含县辖镇)的户数和人口数(续01),,,,,,,,,,,,
单位：人、户,,,,,,,,,,,表2-8单位：人、户,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,    合计,,,,    村委会,,,,,,,    村委会,,,,    其它,,,,,,,
,,    人口数,,,    家庭户,,,,,,,    集体户,,,,    家庭户,,,,    集体户,,,
    地区别,,,,,,,,,,,    地区别,,,,,,,,,,,,
,    户数,,,,,    人口数,,,,,,,    人口数,,,,    人口数,,,,    人口数,,
,,    小计,    男,    女,    户数,,,,,,,  户数,,,,    户数,,,,  户数,,,
,,,,,,    小计,    男,    女,,,,,  小计,    男,    女,,    小计,    男,    女,,  小计,    男,    女
总计,    126 539 145,    528 953 454,    272 162 893,    256 790 561,    123 531 922,    513 041 392,    261 959 465,    251 081 927,,,总计,    461 500,  5 596 251,  4 567 113,  1 029 138,    2 512 174,    9 349 079,  4 783 121,  4 565 958,    33 549,    966 732,    853 194,    1 13 538
北京市,    468 956,    1 644 084,    825 159,    818 925,    466 412,    1 594 425,    790 232,    804 193,,,北京市,    2 544,    49 659,    34 927,    14 732,-,-,-,-,-,-,-,-
天津市,    596 281,    2 248 843,    1 131 623,    1 117 220,        592 694,    2 202 641,    1 095 501,    1 107 140,,,天津市,    1 977,    41 001,    33 432,    7 569,    1 605,    5 046,    2 569,    2 477,    5,    155,    121,    34
河北省,    8 152 916,    33 040 787,    16 794 970,    16 245 817,    8 076 160,    32 573 689,    16 469 549,    16 104 140,,,河北省,    17 154,  239 495,    196 781,    42 714,    58 939,    192 410,    95 858,    96 552,    663,    35 193,    32 782,    2 411
山西省,    2 817 112,    11 312 318,    5 833 953,    5 478 365,    2 806 900,    11 160 960,    5 703 499,    5 457 461,,,山西省,    10 212,    151 358,    130 454,    20 904,-,-,-,-,-,-,-,-
