14.15-64岁按不同活产子女数分组的妇女人数,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,    1 5—6 4岁妇女人数,,,,,,,,
    地区别,,,,,,,,,
,    合计,没有活产,,,,,,,活产7个
,,    子女,活产1个,活产2个,    活产3个,活产4个,活产5个,活产6个,
,,,,,,,,,及以上
总计,"    297,274,448","    95,802,295","    33,130,730","    36,703,545","    33,631,913","    28,764,264","    22,970,124","    17,677,632","    28,593,945"
北京市,"    3,281,488","    1,226,752","    565,301","    512,458","    323,504",240993,"    164,083","    109,720","    138,677"
天津市,"    2，689,613","    1，037,081","    428,037","    360,534","    247,137","    203,096","    153,739","    110,037","    1 49,952"
河北省,"    16,406,477",5339760,"    2,157,087","    2,375,506","    1,946,819","    1,576,414","    1,194,015","    834,125","    982,751"
山西省,"    7,440，230","    2,282,477","    817,298","    984,680",922255,    792，851,"    597,274","    419,746","    623,649"
内蒙古自治区,"    5,576,279","    1,860,266","    558,736","    639,174","    602,378","    522,042","    409,241","    323,603","    660,839"
辽宁省,"    11,655,959","    4,029,116","    1,799,475","    1,532,845",1232116,"    946,129","    704,294","    532,961","    879,023"
吉林省,6935208,2361272,"    892,240","    890,068","    728,106","    588,692","    448,687","    353,311","    672,832"
黑龙江省,"    9,839,311","    3,259,236","    1,194,739","    1,288,061","    1,106,663","    905,208","    665,879","    501,034","    918,491"
上海市,"    4,390,639","    1,616,183","    808,422","    685,301","    429,166","    310,283","    216,005","    147,423","    177,856"
江苏省,"    19,285,986","    5,950,01 9","    2,718,612","    2,911,948","    2，238,214","    1,713,337","    1,305,383",991894,"    1,456,579"
浙江省,"    12,001,285","    3,805,977","    1,314,004","    1,815,447","    1,518,537","    1,118,790",836342,"    643,389","    948,799"
安徽省,"    14,031,628","    4,400,906","    1,104,773","    1,532,783","    1,694,325","    1,580,361","    1,294,359","    977,306","    1,446,815"
福建省,"    7,306,873","    2,266,847","    696,281","    916,087","    941,356","    776,241","    603,764","    457,414","    648,883"
江西省,"    8,994,1 71","    2,696,918","    730,802","    998,125","    970,996","    860,910","    727,428","    629,314","    1,379,678"
山东省,"    23,176,999","    7,670,803","    2,970,745","    3,067,347",    2，618，201,2243651,"    1,772,963","    1,286,114","    1,547,175"
河南省,"    21,643,572","    7,152,376",2210516,"    2,418,240","    2,473,693","    2,307,879","    1,904,269","    1,414,133",1762466
湖北省,"    14,302,584","    4,762,195","    1,544,819","    1,720，204","    1,521,344","    1,278,044",1037931,"    833,749","    1,604,298"
湖南省,"    15,634,091","    4,825,256","    1,462,277","    1,844,935","    1,888,376","    1,520,135","    1,186,721","    965,545","    1,940,846"
广东省,"    1 7,314,655","    5,91 7,307",1623356,"    2,000,239","    2,100,241","    1,893,864","    1,530,226","    1,083,413","    1,166,009"
广西壮族自治区,9968328,"    3,409,762","    824,538","    952,307","    1,035,454","    1,073,025","    951,024","    739,949","    982,269"
四川省,"    28,894,490","    8,503,535","    3,466,198","    3,405,675","    3,159,208","    2,742,860","    2,332,1 08","    1,910,818","    3,374,088"
贵州省,"    7,500,149","    2,303,303","    508,832","    660,720","    741,201","    705,021","    643,422","    588,233",1349417
云南省,"    8,981,264",2803569,"    691,332","    870,428",    910，832,"    845,453",    741，732,"    657,439","    1,460,479"
西藏自治区,      -,     -,     -,       -,      -,       -,         -,     -,      -
陕西省,"    8,686,710","    2,815,165","    958,678","    1,083,576","    1,014,630","    867,750","    661,192","    482,724","    802,995"
甘肃省,"    5，631,1 70","    1,748,601","    547,474","    634,379","    649,256","    572,692","    446,141","    345,105","    687,522"
青海省,1060371,"    330,556","    90,561","    104,982",113123,"    109,163",86063,"    67,460","    158,463"
宁夏回族自治区,"    1，044,602","    330,471","    87,549","    97,532","    99,796","    102,801","    82,494","    67,119","    1 76,840"
新疆维吾尔自冶区,"    3,600,316","    1,096,586",    358，048,"    399,964","    404,986","    366,579","    273,345","    204,554","    496,254"
