表1-4省自治区直辖市按市镇县分的人口数(第一种口径),,,,,,,,,,,,,,,,,,,
,,,,,,,   表1-4单位：人,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,,,,,
,,,,,,,,    市,,,,    镇,,,,    县,,,
,    合计,,,,,,    地区别,,,,,,,,,,,,
    地区别,,,,,,,,,,,  其中非,,,,  其中非,,,,  其中非
,,,,    其中非,,,,    小计,    男,    女,,    小计,    男,    女,,  小计,    男,    女,
,    合计,    男,    女,,,,,,,,  农业户口,,,,  农业户口,,,,  农业户口
广西壮族自治区,    42 244 884,    22 156 180,    20 088 704,5 484 006,,,海南省,    874 411,    459 371,    415 040,    390 127,    3 771 352,    1 950 862,    1 820 490,    659 154,    1 912 313,    1 008 627,    903 686,    199 180
海南省,    6 558 076,    3 418 860,    3 139 216,    1 248 461,,,四川省,    20 293 313,    10 532 715,    9 760 598,    8 033 153,  15 613 413,    8 111 879,    7 501 534,    4 992 324,71 311 584,  36 901 051,  34 410 533,  2 223 357
四川省,    107 218 310,    55 545 645,    51 672 665,    15 248 834,,,贵州省,    6 294 978,    3 290 035,    3 004 943,    2 156 652,    4 587 431,    2 375 222,    2 212 209,    1 267 814,  21 508 642,  11 103 553,  10 405 089,    432 225
贵州省,    32 391 051,    16 768 810,    15 622 241,    3 856 691,,,云南省,    5 871 751,    3 033 656,    2 838 095,    2 064 229,    9 497 680,    4 883 222,    4 614 458,    1 719 330,  21 603 156,  11 079 022,  10 524 134,    724 244
云南省,    36 972 587,    18 995 900,    17 976 687,    4 507 803,,,西藏自治区,    219 157,    116 524,    102 633,    121 158,    181 333,    95 546,    85 787,    79 234,    1 795 539,    886 842,    908 697,    78 755
西藏自治区,    2 196 029,    1 098 912,    1 097 117,    279 147,,,陕西省,    8 086 340,    4 221 117,    3 865 223,    3 593 179,    6 872 876,    3 584 944,    3 287 932,    1 678 281,  17 923 070,    9 263 993,    8 659 077,    539 816
陕西省,    32 882 286,    17 070 054,    15 812 232,    5 811 276,,,甘肃省,    6 054 612,    3 154 581,    2 900 031,    2 458 150,    3 185 199,    1 664 959,    1 520 240,    841 410,  13 131 274,    6 772 365,    6 358 909,    291 488
甘肃省,    22 371 085,    11 591 905,    10 779 180,    3 591 048,,,青海省,    833 566,    437 901,    395 665,    640 056,    741 848,    388 157,    353 691,    319 899,    2 881 538,    1 484 125,    1 397 413,    279 809
青海省,    4 456 952,    2 310 183,    2 146 769,    1 239 764,,,宁夏回族自治区,    1 258 698,    651 012,    607 686,    709 469,    678 970,    351 830,    327 140,    278 659,    2 717 777,    1 386 628,    1 331 149,    98 738
宁夏回族自治区,    4 655 445,    2 389 470,    2 265 975,    1 086 866,,,新疆维吾尔自治区,    4 841 701,    2 501 834,    2 339 867,    2 636 518,    1 895 630,    972 594,    923 036,    987 192,    8 419 552,    4 348 767,    4 070 785,    659 222
新疆维吾尔自治区,    15 156 883,    7 823 195,    7 333 688,    4 282 932,,,,,,,,,,,,,,,
