表1-3省自治区直辖市按农业户口和非农业户口分的人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,表1-3单位：人,,,,,,,,,,,,,,,,,,表1-3单位：人,,,,,,
单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    农业户口,,,    非农业户口,,,,,,,,,,,,,,,    其它,,,,,
,,,,    农业户口,,,,,,,,,,,,    人住本县、市不满一年，,,,,,,    常住本县、市，户口在本县3市,,,    常住本县、市一年以上，,,,    人住本县、市不满一年，,,,,,,,,,    原住本县、市，现在国外,,
,    合计,,,,,,,,,,,,,,    地区别,,,,    合计,,,,,,    户口在外县、市,,,    离开户口登记地一年以上,,,,,    地区别,    人住本县、市，户口待定,,,,,
    地区别,,,,    合计,,,    常住本县、市，户口在本县、市,,,    常住本县、市一年以上，,,,,,,    离开户口登记地一年以上,,,,,,,,,,,,,,,,,,,,,    工作或学习，暂无户口,,
,,,,,,,,,,    户口在外县、市,,,,,,  小计,    男,    女,    合计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女
,    合计,    男,    女,    合计,    男,    女,    小计,    男,    女,  小汁,    男,    女,,,总计,1 370 669,  933 107,  437 562, 219 931 980, 120 821 432, 99 110 548, 215 402 531, 118 209 494, 97 193 037, 4 350 276, 2 495 551,1 854 725,  179 173,  116 387,  62 786,,,总计,8 535 536, 4 169 619, 4 365 917,  237 024,  155 470,    81 554
上海市,    13 341 852,    6 806 091,    6 535 761,    4 541 330,  2 209 065,    2 332 265,    4 173 285,    1 963 266,    2 210 019,    319 813,    207 978,    111 835,,,江苏省,    62 868,    39 192,    23 676,  12 589 405,  6 894 053,  5 695 352,  12 284 642,  6 704 898,  5 579 744,    295 619,  183 301,  112 318,    9 144,    5 854,    3 290,,,江苏省,  716 060,  350 537,  365 523,    12 165,    8 925,    3 240
江苏省,    67 056 812,  34 123 252,    32 933 560,  53 739 182,    26 869 737,    26 869 445,    52 740 841,    26 348 277,  26 392 564,    935 473,    482 268,    453 205,,,浙江省,    47 280,    31 142,    16 138,  6 531 406,  3 646 169,  2 885 237,  6 385 078,  3 558 843,  2 826 235,    139 324,    82 263,    57 061,    7 004,    5 063,    1 941,,,浙江省,  327 892,  159 330,  168 562,    4 349,    2 995,    1 354
浙江省,    41 446 015,  21 363 128,    20 082 887,  34 582 368,    17 554 634,    17 027 734,    34 006 026,    17 259 090,  16 746 936,    529 062,    264 402,    264 660,,,安徽省,    32 976,    22 598,    10 378,7 611 246,  4 288 759,  3 322 487,  7 442 864,  4 189 461,  3 253 403,    163 146,    95 847,    67 299,    5 236,    3 451,    1 785,,,安徽省,  324 861,  167 586,  157 275,    3 525,    2 384,    1 141
安徽省,    56 181 005,  29 026 412,    27 154 593,  48 241 373,    24 567 683,    23 673 690,    47 642 693,    24 259 735,  23 382 958,    565 704,    285 350,    280 354,,,福建省,    54 759,    38 603,    16 156,  4 871 999,  2 745 725,  2 126 274,  4 756 611,  2 677 908,  2 078 703,    109 923,    63 966,    45 957,    5 465,    3 851,    1 614,,,福建省,  585 510,  270 188,  315 322,    29 580,    21 518,    8 062
福建省,    30 048 275,  15 434 048,    14 614 227,  24 561 186,    12 396 617,    12 164 569,    23 881 438,    12 045 646,  11 835 792,    624 989,    312 368,    312 621,,,江西省,    30 193,    21 653,    8 540,  6 510 328,  3 664 479,  2 845 849,  6 337 473,  3 566 706,  2 770 767,    168 700,    94 803,    73 897,    4 155,    2 970,    1 185,,,江西省,  336 485,  159 547,  176 938,    1 590,    1 201,    389
江西省,    37 710 177,  19 491 767,    18 218 410,  30 861 774,    15 666 540,    15 195 234,    30 446 928,    15 430 627,  15 016 301,    384 653,    214 260,    170 393,,,山东省,    32 605,    19 888,    12 717,  11 347 369,  6 452 586,  4 894 783,  11 172 675,  6 348 507,  4 824 168,    167 833,    99 597,    68 236,    6 861,    4 482,    2 379,,,山东省,  740 720,  346 707,  394 013,    3 065,    2 277,    788
山东省,    84 392 104,42 913 185,    41 478 919,  72 300 950,    36 111 615,    36 189 335,    71 640 187,    35 768 252,  35 871 935,    628 158,    323 475,    304 683,,,河南省,    69 485,    52 389,    17 096,  10 416 517,  5 941 543,  4 474 974,  10 189 049,  5 803 721,  4 385 328,    217 436,  130 985,    86 451,    10 032,    6 837,    3 195,,,河南省,  696 148,  341 521,  354 627,    1 668,    1 241,    427
河南省,    85 534 200,  43 802 724,    41 731 476,  74 419 867,    37 518 419,    36 901 448,    73 728 704,    37 098 426,  36 630 278,    621 678,    367 604,    254 074,,,湖北省,    44 407,    32 156,    12 251,  10 263 331,  5 685 192,  4 578 139,  10 099 223,  5 588 651,  4 510 572,    158 038,    92 210,    65 828,    6 070,    4 331,    1 739,,,湖北省,  222 934,  111 599,  111 335,    6 591,    4 846,    1 745
湖北省,    53 970 501,  27 828 085,    26 142 416,  43 477 645,    22 026 448,    21 451 197,    42 707 414,    21 596 902,  21 110 512,    725 824,    397 390,    328 434,,,湖南省,    38 547,    25 377,    13 170,  8 732 244,  4 943 438,  3 788 806,  8 534 960,  4 830 696,  3 704 264,    190 502,  108 373,    82 129,    6 782,    4 369,    2 413,,,湖南省,  224 835,  104 152,  120 683,    2 153,    1 460,    693
湖南省,    60 657 992,  31 497 631,    29 160 361,  51 698 760,    26 448 581,    25 250 179,    51 158 278,    26 170 189,  24 988 089,    501 935,    253 015,    248 920,,,广东省,  268 522,  147 322,  121 200,  13 549 082,  7 472 818,  6 076 264,  13 062 459,  7 200 669,  5 861 790,    461 328,  257 806,  203 522,    25 295,    14 343,  10 952,,,广东省,  533 709,  254 764,  278 945,    18 688,11 103,    7 585
