表1-13省自治区直辖市不在业人口状况,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, 表1-13单位：人,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    市镇待业,,,    离休、退休、退职,,,    丧失工作能力,,,    其它,,
,    合计,,,    在校学生,,,    料理家务,,,    待升学,,,,,    地区别,,,,,,,,,,,,
    地区别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
,    合计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,总计,  5 740 225,  2 923 090,  2 817 135, 21 510 485,  13 072 035,    8 438 450,  28 111 328,  12 862 794,  15 248 534,  4 442 300,  3 018 594,  1 423 706
河南省,    10 293 753,    3 783 465,    6 510 288,  2 634 400,    1 536 970,    1 097 430,  3 780 340,    293 761,  3 486 579,    108 696,    58 000,    50 696,,,湖北省,    188 304,    97 187,    91 117,    922 714,    522 631,    400 083,1 114 199,    509 285,    604 914,    263 247,    188 963,    74 284
湖北省,    7 044 214,    2 777 967,    4 266 247,1 672 825,    1 034 426,    638 399,  2 837 099,    397 780,  2 439 319,    45 826,    27 695,    18 131,,,湖南省,    256 447,    129 871,    126 576,  925 848,    626 570,    299 278,  1 716 821,    781 076,    935 745,    155 857,    100 238,    55 619
湖南省,    8 796 492,    3 386 014,    5 410 478,  2 096 818,    1 300 073,    796 745,  3 488 210,    353 919,  3 134 291,    156 491,    94 267,    62 224,,,广东省,    580 922,    320 066,    260 856,  1 282 199,    711 944,    570 255,  1 303 595,    497 959,    805 636,    313 878,    196 184,    117 694
广东省,    10 375 209,    3 909 545,    6 465 664,  2 410 985,    1 499 120,    911 865,  4 397 407,    630 970,  3 766 437,    86 223,    53 302,    32 921,,,广西壮族自治区,    218 706,    117 075,    101 631,    430 748,    247 964,    182 784,    734 568,    307 799,    426 769,    131 910,    95 594,    36 316
广西壮族自治区,    5 217 996,    2 341 535,    2 876 461,  1 533 424,    964 641,    568 783,  2 093 183,    562 153,  1 531 030,    75 457,    46 309,    29 148,,,海南省,    70 363,    36 492,    33 871,    162 888,    87 579,    75 309,    174 585,    59 362,    115 223,    79 301,    46 700,    32 601
海南省,    1 053 587,    468 718,    584 869,    302 478,    184 446,    118 032,    240 769,    40 147,    200 622,    23 203,    13 992,    9 211,,,四川省,    473 514,    234 149,    239 365,  1 876 882,    1 208 184,    668 698,  2 612 963,  1 170 346,  1 442 617,    296 856,    227 142,    69 714
四川省,    13 826 239,    6 117 921,    7 708 318,  3 685 819,    2 234 799,    1 451 020,    4 592 858,    875 469,    3 717 389,    287 347,    167 832,    119 515,,,贵州省,    173 791,    90 585,    83 206,    319 349,    208 546,    110 803,    869 382,    394 316,    475 066,    95 405,    66 661,    28 744
贵州省,    3 793 914,    1 781 271,    2 012 643,  1 074 864,    702 857,    372 007,    1 069 418,    198 101,    871 317,    191 705,    120 205,    71 500,,,云南省,    112 331,    58 152,    54 179,    452 349,    281 311,    171 038,    877 541,    393 238,    484 303,    104 767,    88 003,    16 764
云南省,    4 220 505,    1 906 741,    2 313 764,  1 248 919,    752 069,    496 850,    1 333 431,    281 737,    1 051 694,    91 167,    52 231,    38 936,,,西藏自治区,    4 558,    2 478,    2 080,    18 257,    10 136,    8 121,    85 281,    34 692,    50 589,    10 210,    6 763,    3 447
西藏自治区,    305 712,    91 533,    214 179,    26 722,    15 591,    11 131,    159 953,    21 524,    138 429,    731,    349,    382,,,陕西省,    182 895,    92 022,    90 873,    494 051,    323 334,    170 717,    996 237,    497 311,    498 926,    82 559,    57 881,    24 678
陕西省,    5 285 912,    1 895 949,    3 389 963,  1 297 183,    744 897,    552 286,  2 151 156,    135 830,  2 015 326,    81 831,    44 674,    37 157,,,甘肃省,    120 467,    60 141,    60 326,    224 580,    155 820,    68 760,    432 114,    202 200,    229 914,    39 174,    28 978,    10 196
甘肃省,    2 939 214,    1 256 095,    1 683 119,    992 542,    612 122,    380 420,  1 073 459,    162 188,    911 271,    56 878,    34 646,    22 232,,,青海省,    47 623,    23 657,    23 966,    65 171,    46 265,    18 906,    100 483,    41 434,    59 049,    25 010,    21 094,    3 916
青海省,    673 763,    273 679,    400 084,    186 202,    101 996,    84 206,    228 105,    28 430,    199 675,    21 169,    10 803,    10 366,,,宁夏回族自治区,    34 880,    15 974,    18 906,    64 754,    40 710,    24 044,    85 388,    40 253,    45 135,    15 300,    12 763,    2 537
宁夏回族自治区,    676 017,    293 014,    383 003,    255 787,    145 794,    109 993,    200 246,    26 548,    173 698,    19 662,    10 972,    8 690,,,新疆维吾尔自治区,    153 832,    78 873,    74 959,    436 094,    264 607,    171 487,    281 148,    119 473,    161 675,    156 535,    107 073,    49 462
新疆维吾尔自治区,    2 590 653,    1 028 831,    1 561 822,    731 520,    366 594,    364 926,    757 541,    56 807,    700 734,    73 983,    35 404,    38 579,,,,,,,,,,,,,,,
