表1-2省自治区直辖市按户口状况分的人口数,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,   表1-2单位：人,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,    常住本县、市一年以上，,,,    人住本县、市不满,,    一年，,    人住本县、市，户口待定,,,    原住本县、市，现在国外,,
,    合计,,,    常住本县、市，户口在本县、市,,,,,,    户口在外县、市,,,    离开户口登记地一年,,    以上,,,,    工作或学习，暂无户口,,
  地区别,,,,,,,,,    地区别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,,,,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
海南省,    6 558 076,  3 418 860,  3 139 216,    6 280 303,  3 256 845,  3 023 458,,,海南省,    200 405,    117 722,    82 683,    19 473,    14 412,    5 061,    57 315,    29 468,    27 847,    580,    413,    167
四川省,  107 218 310,  55 545 645,  51 672 665,  105 548 397,  54 665 928,  50 882 469,,,四川省,  1 122 635,    597 720,    524 915,    85 555,    58 279,    27 276,    455 639,    219 051,    236 588,    6 084,    4 667,    1 417
贵州省,  32 391 051,  16 768 810,  15 622 241,  31 738 674,  16 419 050,  15 319 624,,,贵州省,    418 116,    226 594,    191 522,    39 186,    28 405,    10 781,    194 216,    94 051,    100 165,    859,    710,    149
云南省,  36 972 587,  18 995 900,  17 976 687,  36 371 823,  18 622 523,  17 749 300,,,云南省,    492 976,    305 464,    187 512,    48 301,    37 902,    10 399,    58 210,    29 072,    29 138,    1 277,    939,    338
西藏自治区,    2 196 029,  1 098 912,    1 097 117,    2 125 348,  1 055 339,  1 070 009,,,西藏自治区,    58 211,    35 945,    22 266,    4 285,    3 246,    1 039,    8 026,    4 298,    3 728,    159,    84,    75
陕西省,  32 882 286,  17 070 054,  15 812 232,    32 134 603,  16 645 859,  15 488 744,,,陕西省,    451 413,    267 202,    184 211,    33 311,    24 281,    9 030,    259 709,    130 323,    129 386,    3 250,    2 389,    861
甘肃省,  22 371 085,  11 591 905,  10 779 180,    21 936 969,11 350 376,  10 586 593,,,甘肃省,    298 723,    171 769,    126 954,    18 772,    13 372,    5 400,    115 541,    55 574,    59 967,    1 080,    814,    266
青海省,    4 456 952,    2 310 183,  2 146 769,    4 217 376,  2 162 606,  2 054 770,,,青海省,    134 711,    78 480,    56 231,    48 013,    40 774,    7 239,    56 629,    28 170,    28 459,    223,    153,    70
宁夏回族自治区,    4 655 445,    2 389 470,  2 265 975,    4 524 295,  2 315 032,  2 209 263,,,宁夏回族自治区,    90 659,    52 954,    37 705,    7 815,    5 554,    2 261,    32 220,    15 512,    16 708,    456,    418,    38
新疆维吾尔自治区,    15 156 883,    7 823 195,  7 333 688,  14 445 092,  7 416 391,  7 028 701,,,新疆维吾尔自治区,    531 297,    304 880,    226 417,    44 777,    32 429,    12 348,    134 565,    68 622,    65 943,    1 152,    873,    279
