表1-11省自治区直辖市各行业门类的人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,表1-11单位：人,,,,,,,,,,,,,,,,,,表1-11单位：人,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    Ⅳ、建筑业,,,    Ⅴ、交通运输、邮电通讯业,,,    Ⅵ、商业，公共饮食业、,,,Ⅶ、房地产管理、公用事业、,,,Ⅷ、卫生、体育和社会福利事业,,,,,,  Ⅸ、教育、文化艺术和广播电视事业,,,  Ⅹ、科学研究和综合技术服务事业,,,    Ⅺ、金融、保险业,,,Ⅻ、国家机关、政党机关和社会团体,,,    Ⅻ、其他行业,,
,    合计,,,    Ⅰ、农、林、牧、渔、水利业,,,    Ⅱ、工业,,,    Ⅲ、地质普查和勘探业,,,,,    地区别,,,,,,,    物资供销和仓储业,,,    居民服务和咨询服务业,,,,,,,,    地区别,,,,,,,,,,,,,,,
    地区别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女,,,总计,  11 642 485,  9 759 181,  1 883 304,  11 751 280,  9 569 472,  2 181 808, 25 771 405,13 720 036,12 051 369, 6 188 251, 3 422 372, 2 765 879, 5 167 832, 2 407 710,2 760 122,,,总计,  15 102 055,  8 846 725,  6 255 330,  1 450 491,    914 083,    536 408,2 132 142, 1 289 832,  842 310, 12 952 647, 10 019 017,  2 933 630,  115 991,    82 566,  33 425
吉林省,  12 865 126,    7 644 422,    5 220 704,    7 450 084,  4 460 006,    2 990 078,  2 561 575,  1 478 490,  1 083 085,    21 790,    16 952,    4 838,,,黑龙江省,    507 129,    377 085,    130 044,    515 304,    395 948,    119 356,    1 194 959,  578 987,  615 972,  279 268,  140 493,  138 775,  236 044,    92 735,  143 309,,,黑龙江省,    618 707,    312 116,    306 591,    49 018,    30 354,    18 664,    91 376,    54 210,    37 166,    653 955,    470 146,    183 809,    502,    362,    140
黑龙江省,  17 450 242,  10 697 978,    6 752 264,    9 265 711,  5 821 122,    3 444 589,  4 001 466,  2 396 407,  1 605 059,    36 803,    28 013,    8 790,,,上海市,    453 376,    398 994,    54 382,    344 160,    277 871,    66 289,    729 935,  391 881,  338 054,  342 104,  201 295,  140 809,  167 062,    53 604,  113 458,,,上海市,    348 817,    169 315,    179 502,    98 496,    63 940,    34 556,    35 789,    18 845,    16 944,    291 397,    213 561,    77 836,    1 961,    1 314,    647
上海市,    8 058 492,    4 380 222,    3 678 270,    988 546,    419 449,    569 097,  4 252 266,  2 166 329,  2 085 937,    4 583,    3 824,    759,,,江苏省,    779 259,    695 599,    83 660,    846 986,    648 823,    198 163,  1 669 397,  933 463,  735 934,  407 746,  248 227,  159 519,  301 095,  145 163,  155 932,,,江苏省,    884 431,    531 550,    352 881,    72 514,    45 492,    27 022,    106 973,    67 808,    39 165,    621 362,    494 722,    126 640,    2 916,    1 886,    1 030
江苏省,  41 867 966,  22 076 210,  19 791 756,  27 057 068,  13 485 934,    13 571 134,  9 091 645,  4 756 749,  4 334 896,    26 574,    20 794,    5 780,,,浙江省,    504 614,    462 274,    42 340,    569 897,    491 677,    78 220,  1 290 085,  675 281,  614 804,  341 473,  192 304,  149 169,  180 593,    81 653,  98 940,,,浙江省,    482 533,    254 896,    227 637,    33 943,    22 546,    11 397,    84 267,    48 173,    36 094,    417 805,    328 440,    89 365,    5 386,    4 388,    998
浙江省,  24 575 395,  14 360 613,  10 214 782,  15 055 501,  8 974 014,    6 081 487,  5 599 085,  2 816 644,  2 782 441,    10 213,    8 323,    1 890,,,安徽省,    453 746,    388 878,    64 868,    481 266,    387 097,    94 169,  1 055 047,  548 121,  506 926,  220 963,  127 724,    93 239,  199 692,  105 017,  94 675,,,安徽省,    614 307,    410 565,    203 742,    30 836,    19 890,    10 946,    76 786,    47 149,    29 637,    433 050,    336 812,    96 238,    1 560,    1 280,    280
安徽省,  33 465 671,  18 087 812,  15 377 859,  27 128 301,  14 053 095,    13 075 206,  2 745 103,  1 642 550,  1 102 553,    25 014,    19 634,    5 380,,,福建省,    412 000,    374 010,    37 990,    397 771,    349 597,    48 174,    751 594,  439 849,  311 745,  181 764,  113 201,    68 563,  129 513,    64 650,  64 863,,,福建省,    407 467,    234 004,    173 463,    18 623,    12 752,    5 871,    58 273,    35 625,    22 648,    340 634,    270 853,    69 781,    1 868,    1 130,    738
福建省,  14 955 085,    8 914 708,    6 040 377,  10 146 595,  5 770 423,    4 376 172,  2 097 004,  1 238 704,    858 300,    11 979,    9 910,    2 069,,,江西省,    211 989,    168 173,    43 816,    276 241,    217 488,    58 753,    660 816,  337 058,  323 758,  131 563,    71 653,    59 910,  153 261,    77 876,  75 385,,,江西省,    464 272,    298 689,    165 583,    29 517,    18 584,    10 933,    65 442,    38 950,    26 492,    354 187,    279 956,    74 231,    5 196,    3 372,    1 824
江西省,20 444 776,  11 264 435,    9 180 341,  15 942 095,  8 478 282,    7 463 813,  2 118 664,  1 250 856,    867 808,    31 533,    23 498,    8 035,,,山东省,    667 043,    585 410,    81 633,    567 839,    471 858,    95 981,  1 392 005,  783 958,  608 047,  290 901,  162 272,  128 629,  319 995,    158 086,  161 909,,,山东省,  1 032 449,    649 539,    382 910,    56 114,    36 967,    19 147,    132 287,    86 211,    46 076,    808 155,    655 947,    152 208,    4 601,    3 310,    1 291
山东省,  50 772 124,  27 017 542,  23 754 582,  40 009 664,  20 141 929,    19 867 735,  5 455 199,  3 255 021,  2 200 178,    35 872,    27 034,    8 838,,,河南省,    415 591,    354 665,    60 926,    603 849,    493 959,    109 890,  1 387 023,  775 936,  611 087,  268 866,  148 549,  120 317,  333 533,    178 132,  155 401,,,河南省,    979 854,    606 391,    373 463,    47 645,    30 828,    16 817,    139 098,    83 788,    55 310,    800 599,    657 276,    143 323,    16 608,    13 858,    2 750
河南省,  50 191 516,  26 897 539,  23 293 977,  41 408 347,  21 161 620,    20 246 727,  3 714 186,  2 335 426,  1 378 760,    76 317,    57 111,    19 206,,,湖北省,    491 895,    394 956,    96 939,    575 925,    461 610,    114 315,  1 510 243,  776 599,  733 644,  312 236,  162 529,  149 707,  284 175,    134 568,  149 607,,,湖北省,    780 945,    484 217,    296 728,    60 306,    38 311,    21 995,    114 788,    68 047,    46 741,    658 420,    511 222,    147 198,    1 070,    666,    404
湖北省,  31 569 591,  17 105 583,  14 464 008,  22 861 759,  11 912 079,    10 949 680,  3 889 192,  2 139 202,  1 749 990,    28 637,    21 577,    7 060,,,湖南省,    351 717,    301 035,    50 682,    513 300,    423 737,    89 563,  1 077 534,  519 337,  558 197,  221 768,  112 814,  108 954,  217 100,    106 022,  111 078,,,湖南省,    702 680,    418 257,    284 423,    45 170,    28 749,    16 421,    89 464,    53 326,    36 138,    565 083,    445 434,    119 649,    11 642,    7 156,    4 486
湖南省,  34 897 417,  19 323 118,  15 574 299,  27 914 304,  14 996 843,    12 917 461,  3 155 927,  1 886 098,  1 269 829,    31 728,    24 310,    7 418,,,广东省,  1 018 559,    930 575,    87 984,    862 687,    738 768,    123 919,  2 254 133, 1 351 210,  902 923,  589 453,  336 081,  253 372,  286 030,    135 652,  150 378,,,广东省,    736 200,    437 204,    298 996,    50 593,    31 909,    18 684,    150 223,    91 793,    58 430,    855 523,    667 800,    187 723,    1 749,    1 051,    698
广东省,  33 657 219,  18 383 788,  15 273 431,  20 368 884,  10 662 658,    9 706 226,  6 462 358,  2 981 895,  3 480 463,    20 827,    17 192,    3 635,,,广西壮族自治区,    195 385,    157 287,    38 098,    312 394,    247 365,    65 029,    719 509,  367 318,  352 191,  147 890,    79 521,    68 369,  136 029,    63 522,    72 507,,,广西壮族自治区,    477 392,    312 316,    165 076,    24 451,    15 455,    8 996,    64 424,    40 726,    23 698,    342 640,    275 163,    67 477,    4 741,    3 239,    1 502
广西壮族自治区,  22 925 557,  12 316 682,  10 608 875,  19 131 612,  9 940 048,    9 191 564,  1 351 193,    800 455,    550 738,    17 897,    14 267,    3 630,,,海南省,    63 562,    55 417,    8 145,    75 211,    62 393,    12 818,    218 616,  107 919,  110 697,    34 402,    18 237,    16 165,    34 292,    16 168,    18 124,,,海南省,    95 819,    62 709,    33 110,    11 068,    6 486,    4 582,    16 069,    10 441,    5 628,    78 764,    61 851,    16 913,    998,    732,    266
海南省,    3 335 260,    1 800 880,    1 534 380,    2 467 774,  1 245 041,    1 222 733,    236 675,    151 759,    84 916,    2 010,    1 727,    283,,,四川省,    713 000,    572 602,    140 398,    810 004,    653 198,    156 806,  1 941 852, 1 014 876,  926 976,  427 015,  245 293,  181 722,  391 824,  205 173,  186 651,,,四川省,    1 171 031,    712 335,    458 696,    116 665,    73 355,    43 310,    141 473,    83 897,    57 576,    879 188,    683 728,    195 460,    11 644,    7 377,    4 267
四川省,  68 543 731,  36 480 518,  32 063 213,  56 522 735,  28 886 871,    27 635 864,  5 361 814,  3 299 772,  2 062 042,    55 486,    42 041,    13 445,,,贵州省,    175 508,    138 406,    37 102,    179 034,    143 500,    35 534,    418 110,  207 220,  210 890,    84 774,    47 925,  36 849,    89 143,    42 148,    46 995,,,贵州省,    310 794,    205 320,    105 474,    15 394,    9 554,    5 840,    40 470,    25 359,    15 111,    284 232,    217 678,    66 554,    251,    173,    78
贵州省,  18 012 462,    9 517 495,    8 494 967,  15 396 418,  7 825 825,    7 570 593,    998 974,    640 664,    358 310,    19 360,    13 723,    5 637,,,云南省,    295 706,    243 916,    51 790,    287 524,    238 854,    48 670,    480 109,  249 176,  230 933,    91 299,    48 913,  42 386,    110 052,    49 278,    60 774,,,云南省,    391 637,    254 148,    137 489,    25 304,    15 785,    9 519,    54 025,    36 348,    17 677,    331 494,    259 294,    72 200,    771,    437,    334
云南省,  21 047 971,  11 062 940,    9 985 031,  17 727 655,  8 873 034,    8 854 621,  1 226 536,    774 820,    451 716,    25 859,    18 937,    6 922,,,西藏自治区,    18 004,    15 008,    2 996,    20 981,    16 316,    4 665,    27 805,    18 035,    9 770,    6 798,    3 206,    3 592,    10 490,    5 868,    4 622,,,西藏自治区,    47 537,    36 480,11 057,    1 755,    1 081,    674,    3 455,    2 335,    1 120,    46 371,    37 610,    8 761,    10,   7,    3
西藏自治区,    1 108 891,    612 863,    496 028,    882 308,    447 568,    434 740,    40 829,    27 339,    13 490,    2 548,    2 010,    538,,,陕西省,    315 007,    264 599,    50 408,    298 922,    251 762,    47 160,    553 078,  301 247,    251 831,    145 446,    79 704,    65 742,    150 593,    77 128,    73 465,,,陕西省,    490 054,    308 614,    181 440,    75 572,    48 671,    26 901,    60 535,    38 564,    21 971,    370 046,    293 867,    76 179,    2 188,    1 712,    476
陕西省,    18 101 652,  10 221 326,    7 880 326,  13 720 414,  7 351 057,    6 369 357,  1 891 258,  1 181 922,    709 336,    28 539,    22 479,    6 060,,,甘肃省,    191 775,    156 090,    35 685,    182 048,    145 229,    36 819,    340 506,  194 151,    146 355,    78 685,    38 921,    39 764,    91 546,    47 019,    44 527,,,甘肃省,    280 716,    196 142,    84 574,    29 398,    18 942,    10 456,    37 952,    25 046,    12 906,    239 065,    187 555,    51 510,    4 635,    2 962,    1 673
甘肃省,    13 173 638,    7 097 222,    6 076 416,  10 614 665,  5 402 777,    5 211 888,  1 060 210,    664 711,    395 499,    22 437,    17 677,    4 760,,,青海省,    88 897,    71 266,    17 631,    63 555,    50 747,    12 808,    89 732,    49 226,    40 506,    21 679,    11 170,    10 509,    25 457,11 527,    13 930,,,青海省,    84 087,    56 724,    27 363,    6 553,    4 201,    2 352,    11 507,    6 939,    4 568,    78 721,    60 219,    18 502,    1 053,    822,    231
青海省,    2 412 514,    1 337 891,    1 074 623,    1 662 701,    846 734,    815 967,    264 901,    158 045,    106 856,    13 671,    10 271,    3 400,,,宁夏回族自治区,    49 195,    38 798,    10 397,    36 873,    29 039,    7 834,    79 599,    39 728,    39 871,    22 344,    10 800,    11 544,    20 992,    9 244,    11 748,,,宁夏回族自治区,    72 095,    45 257,    26 838,    6 933,    4 398,    2 535,11 428,    7 017,    4 411,    61 750,    47 215,    14 535,    24,    19,    5
宁夏回族自治区,    2 408 769,    1 291 992,    1 116 777,    1 746 058,    872 209,    873 849,    289 614,    179 417,    110 197,    11 864,    8 851,    3 013,,,新疆维吾尔自治区,    247 464,    183 449,    64 015,    196 774,    149 841,    46 933,    339 791,    185 312,    154 479,    79 255,    41 023,    38 232,    98 598,    38 521,    60 077,,,新疆维吾尔自治区,    298 817,    147 836,    150 981,    21 521,    13 134,    8 387,    37 423,    22 701,    14 722,    247 723,    186 477,    61 246,    1 490,    1 032,    458
新疆维吾尔自治区,    7 556 545,    4 239 380,    3 317 165,    5 010 937,  2 696 331,    2 314 606,    952 894,    555 788,    397 106,    23 858,    17 935,    5 923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
