,,,,,,,,,,,,,,,,,,,,,,,,
表7-16全国县按丈夫年龄和夫妻年龄差分的妻子人数(第二口径),,,,,,,,,,,,,,表7-16全国县按丈夫年龄和夫妻年龄差分的妻子人数(第二口径)(续03),,,,,,,,,,
    单位：人,,,,,,,,,,,,,,    单位：人,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,    丈夫年龄与 妻子年龄之差,,,,,,,,,,,,,,    丈夫年龄与妻子年龄之差,,,,,,,,,
    丈夫年龄别,,,,,,,,,,,,,,    丈夫年龄别,,,,,,,,,,
,  10岁及以上,    9岁,    8岁,    7岁,    6岁,    5岁,    4岁,    3岁,    2岁,    1岁,    0岁,,,,    -1岁,    -2岁,    -3岁,    -4岁,    -5岁,    -6岁,    -7岁,    -8岁,    -9岁,    -10岁及以上
  35,    187 692,    115 553,    187 214,    162 021,    149 792,    273 913,    387 951,    680 069,    803 430,    833 981,    844 662,,,  35,    521 969,    291 247,    147 250,    51 380,    21 182,    7 743,    4 260,    2 614,    1 921,    6 075
  36,    202 429,    118 166,    102 643,    96 987,    173 300,    262 050,    487 937,    627 591,    738 098,    866 661,    766 473,,,  36,    477 106,    279 463,    113 376,    45 586,    16 576,    7 483,    4 094,    2 708,    1 845,    6 085
  37,    209 523,    64 713,    61 963,    110 606,    169 109,    334 478,    453 913,    581 356,    789 328,    817 414,    718 019,,,  37,    455 498,    215 128,    107 540,    41 363,    16 012,    7 414,    4 007,    2 617,    1 789,    6 335
  38,    186 856,    41 436,    76 098,    116 051,    229 589,    328 210,    45 1 070,    666 612,    783 981,    781 248,    702 860,,,  38,    386 544,    225 566,    97 965,    38 584,    15 558,    7 238,    4 155,    2 555,    1 713,    5 513
  39,    135 211,    44 465,    70 184,    1 36 908,    195 593,    280 870,    444 820,    547 899,    623 099,    677 844,    555 642,,,  39,    349 759,    173 642,    81 923,    33 881,    13 860,    6 613,    3 541,    2 408,    1 733,    4 713
40-44岁,    651 266,    307 910,    494 793,    740 434,    1 096 430,    1 585 354,    2 092 774,    2 490 613,    2 739 902,    2 610 353,    2 219 807,,,40-44岁,    1 280 433,    687 142,    331 496,    148 546,    72 724,    39 318,    23 565,    15 617,    10 081,    24 525
  40,    147 194,    52 785,    105 586,    148 971,    213 774,    356 668,    466 310,    589 850,    708 012,    643 710,    596 185,,,  40,    330 133,    182 743,    90 806,    39 100,    17 578,    8 679,    5 320,    3 872,    2 972,    5 923
  41,    117 617,    63 757,    90 738,    130 599,    214 154,    311749,    428 562,    537 433,    540 789,    579 025,    457 152,,,  41,    278 676,    154 087,    73 978,    31 783,    13 995,    7 676,    5 358,    3 830,    2 100,    4 936
  42,    125 321,    60 873,    89 294,    1 52 393,    219 828,    319 352,    432 730,    463 005,    558 822,    498 653,    425 435,,,  42,    257 525,    136 043,    60 656,    25 611,    13 445,    7 968,    5 216,    3 122,    1 717,    4 773
  43,    129 644,    61 339,    106 219,    155 809,    227 607,    323 454,    377 411,    490 2 13,    485 327,    472 851,    404 704,,,  43,    220 001,    109 750,    53 725,    25 844,    13 837,    8 157,    4 362,    2 404,    1 669,    4 484
  44,    131 490,    69 156,    102 956,    152 662,    221 067,    274 131,    387 761,    410 112,    446 952,    416 114,    336 331,,,  44,    194 098,    104 519,    52 331,    26 208,    13 869,    6 838,    3 309,    2 389,    1 623,    4 409
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
表7-16全国县按丈夫年龄和夫妻年龄差分的妻子人数(第二口径)(续01),,,,,,,,,,,,,,表7-16全国县按丈夫年龄和夫妻年龄差分的妻子人数(第二口径)(续04),,,,,,,,,,
    单位：人,,,,,,,,,,,,,,        单位：人,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,    丈夫年龄与 妻子年龄之差,,,,,,,,,,,,,,    丈夫年龄与妻子年龄之差,,,,,,,,,
    丈夫年龄别,,,,,,,,,,,,,,    丈夫年龄别,,,,,,,,,,
,  10岁及以上,    9岁,    8岁,    7岁,    6岁,    5岁,    4岁,    3岁,    2岁,    1岁,    0岁,,,,    -1岁,    -2岁,    -3岁,    -4岁,    -5岁,    -6岁,    -7岁,    -8岁,    -9岁,  -10岁及以上
