表7—8全国县15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径),,,,,,,,,,,,,,,,,,
单位：人,,,,,,表7-8全国县15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径)(续13),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,,,单位：人,,,,,,,,,,,,
    和年龄别,,,,,,,,,,,,,,,,,,
,    合计,    男,    女,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    20,    8 351 647,    3 623 658,    4 727 989,,,    20,    6 074 985,    3 058 644,    3 016 341,    2 256 278,    557 490,    1 698 788,    2 584,    1 052,    1 532,    17 800,    6 472,    11 328
    21,    8 713 162,    3 874 151,    4 839 011,,,    21,    5 000 059,    2 817 282,    2 182 777,    3 690 535,    1 046 255,    2 644 280,    4 533,    2 010,    2 523,    18 035,    8 604,    9 431
    22,    7 723 723,    3 476 272,    4 247 451,,,    22,    3 235 670,    2 000 748,    1 234 922,    4 459 157,    1 460 698,    2 998 459,    6 072,    2 940,    3 1 32,    22 824,    11 886,    10 938
    23,    6 957 931,    3 110 534,    3 847 397,,,    23,    1 996 140,    1 364 691,    631 449,    4 930 453,    1 727 931,    3 202 522,    7 804,    4 150,    3 654,    23 534,    1 3 762,    9 772
    24,    6 978 606,    3 073 821,    3 904 785,,,    24,    1 403 729,    1 052 891,    350 838,    5 536 910,    1 998 062,    3 538 848,    10 089,    5 618,    4 471,    27 878,    17 250,    10 628
  25—29岁,    22 935 529,    9 404 726,    13 530 803,,,  25—29岁,    2 299 961,    2 000 264,    299 697,    20 465 009,    7 291 033,    13 173 976,    56 882,    32 034,    24 848,    113 677,    81 395,    32 282
    25,    6 062 087,    2 594 707,    3 467 380,,,    25,    865 903,    705 813,    160 090,    5 156 184,    1 863 915,    3 292 269,    11 125,    6 163,    4 962,    28 875,    18 816,    10 059
    26,    5 549 512,    2 304 274,    3 245 238,,,    26,    591 727,    518 116,    73 611,    4 918 516,    1 760 143,    3 158 373,    12 593,    7 183,    5 410,    26 676,    1 8 832,    7 844
    27,    5 562 839,    2 247 889,    3 314 950,,,    27,    463 012,    421 417,    41 595,    5 057 987,    1 798 255,    3 259 732,    14 796,    8 323,    6 473,    27 044,    19 894,    7 150
    28,    3 394 359,    1 321 249,    2 073 110,,,    28,    232 769,    216 024,    16 745,    3 133 507,    1 086 188,    2 047 319,    10 363,    5 730,    4 633,    17 720,    13 307,    4 413
    29,    2 366 732,    936 607,    1 430 125,,,    29,    146 550,    138 894,    7 656,    2 198 815,    782 532,    1 416 283,    8 005,    4 635,    3 370,    13 362,    10 546,    2 816
  30—34岁,    22 222 949,    9 975 775,    12 247 174,,,  30—34岁,    1 137 815,    1 119 309,    18 506,    20 837 120,    8 672 297,    12 164 823,    120 781,    76 383,    44 398,    127 233,    107 786,    19 447
    30,    3 196 305,    1 354 365,    1 841 940,,,    30,    187 860,    182 389,    5 471,    2 974 841,    1 147 706,    1 827 135,    13 175,    8 011,    5 164,    20 429,    16 259,    4 170
    31,    3 507 290,    1 548 472,    1 958 818,,,    31,    202 693,    198 887,    3 806,    3 267 742,    1 321 759,    1 945 983,    16 377,    10 421,    5 956,    20 478,    17 405,    3 073
    32,    5 024 016,    2 271 679,    2 752 337,,,    32,    267 969,    264 306,    3 663,    4 701 132,    1 966 200,    2 734 932,    26 489,    16 884,    9 605,    28 426,    24 289,    4 137
    33,    5 180 567,    2 346 541,    2 834 026,,,    33,    245 309,    242 170,    3 139,    4 877 217,    2 061170,    2 816 047,    29 777,    18 930,    10 847,    28 264,    24 271,    3 993
    34,    5 314 771,    2 454 718,    2 860 053,,,    34,    233 984,    231 557,    2 427,    5 016 188,    2 175 462,    2 840 726,    34 963,    22 137,    12 826,    29 636,    25 562,    4 074
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-8全国县15岁及15岁以上人口分年龄和文化程度的,,,,,,表7—8全国县15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径)(续17),,,,,,,,,,,,
    婚姻状况(第二口径)(续04)单位：人,,,,,,,,,,,,,,,,,,
,,,,,,单位：人,,,,,,,,,,,,
    文化程度,    合计,,,,,,,,,,,,,,,,,
    和年龄别,,,,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
,    合计,    男,    女,,,    和年龄别,,,,,,,,,,,,
  35—39岁,    30 671 807,    15 435 188,    15 236 619,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女
    35,    6 301 289,    3 033 759,    3 267 530,,,  35—39岁,    1 127 082,    1 117 618,    9 464,    29 032 986,    13 948 246,  15 084 740,    314 463,    197 712,    116 751,    197 276,    171 612,    25 664
    36,    6 315 028,    3 135 873,    3 179 155,,,    35,    260 019,    257 586,    2 433,    5 955 539,    2 713 406,    3 242 133,    47 840,    30 387,    17 453,    37 891,    32 380,    5 511
    37,    6 249 692,    3 181 902,    3 067 790,,,    36,    245 521,    243 476,    2 045,    5 975 640,    2 823 666,    3 151 974,    54 949,    35 121,    19 828,    38 918,    33 610,    5 308
    38,    6 313 925,    3 250 492,    3 063 433,,,    37,    229 748,    227 872,    1 876,    5 915 807,    2 878 113,    3 037 694,    63 980,    40 963,    23 017,    40 157,    34 954,    5 203
    39,    5 491 873,    2 833 162,    2 658 711,,,    38,    214 757,    213 021,    1 736,    5 983 285,    2 954 190,    3 029 095,    73 459,    46 068,    27 391,    42 424,    37 213,    5 211
  40—44岁,    24 954 615,    13 580 524,    11 374 091,,,    39,    177 037,    175 663,    1 374,    5 202 715,    2 578 871,    2 623 844,    74 235,    45 173,    29 062,    37 886,    33 455,    4 431
    40,    5 951 528,    3 164 346,    2 787 182,,,  40-44岁,    783 951,    777 311,    6 640,    23 451 051,    12 323 053,    11 127 998,    518 912,    300 839,    218 073,    200 701,    179 321,    21 380
    41,    5 224 392,    2 836 330,    2 388 062,,,    40,    189 228,    187 805,    1 423,    5 621 058,    2 879 204,    2 741 854,    95 416,    57 178,    38 238,    45 826,    40 159,    5 667
    42,    5 008 450,    2 758 217,    2 250 233,,,    41,    160 470,    159 179,    1 291,    4 927 893,    2 584 061,    2 343 832,    95 499,    56 861,    38 638,      40 530,    36 229,    4 301
    43,    4 684 835,    2 583 641,    2 101 194,,,    42,    154 633,    152 942,    1 691,    4 708 745,    2 507 973,    2 200 772,    105 1 14,    61 530,    43 584,    39 958,    35 772,    4 186
    44,    4 085 410,    2 237 990,    1 847 420,,,    43,    146 246,    144 875,    1 371,    4 387 612,    2 339 400,    2 048 212,    111 895,    64 189,    47 706,    39 082,    35 177,    3 905
  45-49岁,    15 963 125,    9 548 064,    6 415 061,,,    44,    133 374,    132 510,    864,    3 805 743,    2 012 415,    1 793 328,    110 988,    61 081,    49 907,    35 305,    31 984,    3 321
    45,    3 678 835,    2 074 766,    1 604 069,,,  45—49岁,    529 979,    526 325,    3 654,    14 658 200,    8 525 202,    6 132998,    619 642,    353 614,    266 028,    155 304,    142 923,    12 381
    46,    3 352 501,    1 962 827,    1 389 674,,,    45,    123 580,    122 770,    810,    3 407 571,    1 858 728,    1 548 843,    113 988,    62 810,    51 178,    33 696,    30 458,    3 238
    47,    3 005 341,    1 806 069,    1 199 272,,,    46,    110 806,    110 054,    752,    3 092 256,    1 756 727,    1 335 529,    117 612,    66 908,    50 704,    31 827,    29 138,    2 689
    48,    3 005 219,    1 851 881,    1 153 338,,,    47,    100 158,    99 475,    683,    2 758 571,    1 612 606,    1 145 965,    117 400,    66 990,    50 410,    29 212,    26 998,    2 214
    49,    2 921 229,    1 852 521,    1 068 708,,,    48,    101 077,    100 336,    741,    2 743 022,    1 647 966,    1 095 056,    130 586,    75 279,    55 307,    30 534,    28 300,    2 234
  50—54岁,    12 934 954,    8 949 067,    3 985 887,,,    49,    94 358,    93 690,    668,    2 656 780,    1 649 175,    1 007 605,    140 056,    81 627,    58 429,    30 035,    28 029,    2 006
    50,    2 745 986,    1 791 235,    954 751,,,  50—54岁,    370 751,    366 676,    4 075,    11 588 524,    7 925 881,    3 662 643,    829 232,    518 457,    310 775,    146 447,    138 053,    8 394
    51,    2 640 083,    1 791 039,    849 044,,,    50,    85 841,    85 230,    611,    2 484 631,    1 592 774,    891 857,    145 592,    85 489,    60 103,    29 922,    27 742,    2 180
    52,    2 635 752,    1 837 552,    798 200,,,    51,    78 355,    77 735,    620,    2 378 995,    1 591 719,    787 276,    154 110,    94 572,    59 538,    28 623,    27 013,    1 610
    53,    2 511 583,    1 785 382,    726 201,,,    52,    76 920,    75 737,    1 183,    2 359 801,    1 627 607,    732 194,    169 035,    105 840,    63 195,    29 996,    28 368,    1 628
    54,    2 401 550,    1 743 859,    657 691,,,    53,    68 527,    67 420,    1 107,    2 237 623,    1 578 021,    659 602,    176 519,    112 516,    64 003,    28 914,    27 425,    1 489
  55—59岁,    9 535 834,    7 340 790,    2 195 044,,,    54,    61 108,    60 554,    554,    2 127 474,    1 535 760,    591 714,    183 976,    120 040,    63 936,    28 992,    27 505,    1 487
    55,    2 185 992,    1 618 973,    567 019,,,  55—59岁,    198 333,    194 990,    3 343,    8 270 341,    6 375 829,    1 894 512,    947 892,    656 427,    291 465,    119 268,    1 13 544,    5 724
    56,    2 080 928,    1 586 149,    494 779,,,    55,    52 584,    51 993,    591,    1 922 973,    1 419 977,    502 996,    183 357,    121 307,    62 050,    27 078,    25 696,    1 382
    57,    1 970 304,    1 529 041,    441 263,,,    56,    46 189,    45 362,    827,    1 817 032,    1 384 340,    432 692,    191 350,    131 307,    60 043,    26 357,    25 140,    1 217
    58,    1 706 737,    1 339 033,    367 704,,,    57,    39 917,    39 163,    754,    1 708 596,    1 328 608,    379 988,    197 349,    137 968,    59 381,    24 442,    23 302,    1 140
    59,    1 591 873,    1 267 594,    324 279,,,    58,    32 033,    31 413,    620,    1 466 897,    1 156 260,    310 637,    186 209,    130 760,    55 449,    21 598,    20 600,    998
  60岁及以上,    14 826 484,    12 371 221,    2 455 263,,,    59,    27 610,    27 059,    551,    1 354 843,    1 086 644,    268 199,    189 627,    135 085,    54 542,    19 793,    18 806,    987
初中,    163 621 690,    104 019 554,    59 602 136,,,  60岁及以上,    191 407,    177 368,    14 039,    10 841 876,    9 296 052,    1 545 824,    3 640 781,    2 753 911,    886 870,    152 420,    143 890,    8 530
  15—19岁,    41 072 177,    24 320 630,    16 751 547,,,初中,    62 424 255,    39 445 532,    22 978 723,    99 365 031,  63 122 311,    36 242 720,    1 285 704,    1 017 300,    268 404,    546 700,    434 411,    112 289
    15,    7 850 333,    4 582 063,    3 268 270,,,  15—19岁,    40 090 902,    23 862 067,    16 228 835,    975 177,    455 986,    519 191,    1 256,    730,    526,    4 842,    1 847,    2 995
    16,    8 819 758,    5 212 040,    3 607 718,,,    15,    7 845 225,    4 579 374,    3 265 851,    4 935,    2 593,    2 342,    60,    39,    21,    113,    57,    56
    17,    8 543 926,    5 073 829,    3 470 097,,,    16,    8 802 506,    5 204 113,    3 598 393,    16 941,    7 791,    9 150,    99,    58,    41,    212,    78,    134
    18,    7 858 573,    4 684 171,    3 174 402,,,    17,    8 474 522,    5 042 276,    3 432 246,    68 769,    31 292,    37 477,    161,    109,    52,    474,    152,    322
    19,    7 999 587,    4 768 527,    3 231 060,,,    18,    7 624 520,    4 577 011,    3 047 509,    232 287,    106 531,    125 756,    284,    158,    126,    1 482,    471,    1 011
,,,,,,    19,    7 344 129,    4 459 293,    2 884 836,    652 245,    307 779,    344 466,    652,    366,    286,    2 561,    1089,    1 472
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    婚姻状况(第二口径)(续05)单位：人,,,,,,,,,,,,,,,,,,
,,,,,,单位：人,,,,,,,,,,,,
    文化程度,    合计,,,,,,,,,,,,,,,,,
    和年龄别,,,,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
,    合计,    男,    女,,,,,,,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
  20—24岁,    39 692 000,    23 403 214,    16 288 786,,,    和年龄别,,    男,   女,,,,,,,,,
    20,    7 725 669,    4 543 573,    3 182 096,,,,  小计,,,,,,,,,,,
    21,    8 107 324,    4 767 063,    3 340 261,,,  20—24岁,    18 584386,    12 298 815,    6285 571,  21 009 648,    11 043 828,    9 965 820,    26 852,    17 232,    9 620,    71 114,    43 339,    27 775
    22,    7 660 194,    4 533 583,    3 126 611,,,    20,    6 157 223,3 849 428,    2 307 795,    1 561 662,    690 663,    870 999,    1 356,    759,    597,    5 428,    2 723,    2 705
    23,    7 558 443,    4 465 353,    3 093 090,,,    21,    5 113 014,    3 349 254,    1 763 760,    2 982 597,    1 411 224,    1 571 373,    2 936,    1 687,    1 249,    8 777,    4 898,    3 879
    24,    8 640 370,    5 093 642,    3 546 728,,,    22,    3 463 112,    2 346 080,    1 117 032,    4 179 410,    2 176 805,    2 002 605,    4 775,    3 004,    1 771,    12 897,    7 694,    5 203
  25—29岁,    32 121 558,    18 922 367,    13 199 191,,,    23,    2 211 005,    1 552 181,    658 824,    5 322 436,    2 897 274,    2 425 162,    7 062,    4 650,    2 412,    17 940,    11 248,    6 692
    25,    8 295 531,    4 843 177,    3 452 354,,,    24,    1 640 032,    1 201 872,    438 160,     6 963 543,    3 867 862,    3 095 681,    10 723,    7 132,    3 591,    26 072,    16 776,    9 296
    26,    8 171 303,    4 740 138,    3 431 165,,,  25—29岁,    2 510 221,    2 078 873,    431 348,    29 407 792,  16 700 679,    12 707 113,    70 142,    48 313,    21 829,    133 403,    94 502,    38 901
    27,    8 424 717,    4 968 252,    3 456 465,,,    25,    1 009 817,    784 887,    224 930,    7 242 068,    4 029 336,    3 212 732,    13 492,    9 014,    4 478,    30 154,    19 940,    10 214
    28,    4 539 355,    2 733 213,    1 806 142,,,    26,    656 542,    544 088,    112 454,    7 465 361,    4 162 341,    3 303 020,    16 260,    10 997,    5 263,    33 140,    22 712,    10 428
    29,    2 690 652,    1 637 587,    1 053 065,,,    27,    498 017,    433 905,    64 112,    7 870 670,    4 494 812,    3 375 858,    20 059,    13 864,    6 195,    35 971,    25 671,    10 300
  30—34岁,    17 244 393,    11 665 349,    5 579 044,,,    28,    225 344,    203 930,    21 414,    4 280 830,    2 504 785,    1 776 045,    12 463,    8 845,    3 618,    20 718,    15 653,    5 065
    30,    3 166 281,    2 008 258,    1 158 023,,,    29,    120 501,    112 063,    8 438,    2 548 863,    1 509 405,    1 039 458,    7 868,    5 593,    2 275,    13 420,    10 526,    2 894
    31,    3 032 032,    1 995 029,    1 037 003,,,  30-34岁,    597 960,    581 060,    16 900,    16 476 556,    10 947 409,    5 529 147,    78 454,    60 512,    17 942,    91 423,    76 368,    15 055
    32,    3 963 680,    2 702 313,    1 261 367,,,    30,    127 670,    121946,    5 724,    3 010 489,    1 864 414,    1 146 075,    10 879,    8 035,    2 844,    17 243,    13 863,    3 380
    33,    3 731 164,    2 595 701,    1 135 463,,,    31,    116 088,    112 454,    3 634,    2 887 712,    1 860 037,    1 027 675,    12 165,    9 209,    2 956,    16 067,    13 329,    2 738
    34,    3 351 236,    2 364 048,    987188,,,    32,    137 282,    134 009,    3 273,    3 787 749,    2 537 068,    1 250 681,    17 782,    13 647,    4 135,    20 867,    17 589,    3 278
  35—39岁,    13 226 862,    9 677 839,    3 549 023,,,    33,    116 710,    114 249,    2 461,    3 576 460,    2 450 356,    1 126 104,    18 817,    14 828,    3 989,    19 177,    16 268,    2 909
    35,    3 399 568,    2 441 244,    958 324,,,    34,    100 210,    98 402,    1 808,    3 214 146,    2 235 534,    978 612,    18 811,    14 793,    4 018,    18 069,    15 319,    2 750
    36,    2 908 197,    2 106 329,    801 868,,,  35—39岁,    314 327,    309 161,    5 166,    12 729 131,    9 219 748,    3 509 383,    104 010,    81 255,    22 755,    79 394,    67 675,    11 719
    37,    2 552 508,    1 875 737,    676 771,,,    35,    96 338,    94 747,    1 591,    3 262 207,    2 312 944,    949 263,    21 561,    17 043,    4 518,    19 462,    16 510,    2 952
    38,    2 405 039,    1 791 483,    613 556,,,    36,    75 985,    74 813,    1 172,    2 794 075,    2 000 347,    793 728,    20 800,    16 350,    4 450,    17 337,    14 819,    2 518
    39,    1 961 550,    1 463 046,    498 504,,,    37,    59 488,    58 506,    982,    2 456 795,    1 787 931,    668 864,    20 622,    16 069,    4 553,    15 603,    13 231,    2 372
  40—44岁,    7 807 527,    5 790 939,    2 016 588,,,    38,    47 685,    46 863,    822,    2 321 088,    1 715 165,    605 923,    21 431,    16 781,    4 650,    14 835,    12 674,    2 161
    40,    1 931 323,    1 446 832,    484 491,,,    39,    34 831,    34 232,    599,    1 894 966,    1 403 361,    491 605,    19 596,    15 012,    4 584,    12 157,    10 441,    1 716
    41,    1 513 074,    1 129 286,    383 788,,,  40-44岁,    124 495,    121 420,    3 075,    7 511 724,    5 540 280,    1 971 444,    119 219,    84 466,    34 753,    52 089,    44 773,    7 316
    42,        1 413 176,    1 048 073,    365 103,,,    40,    32 536,    31 886,    650,    1 863 209,    1 387 193,    476 016,    22 648,    16 749,    5 899,    12 930,    11 004,    1 926
    43,    1 457 507,    1 071 583,    385 924,,,    41,    24045,    23 531,    514,    1 458 392,    1 082 023,    376 369,    20 463,    15 008,    5 455,    10 174,    8 724,    1 450
    44,    1 492 447,    1 095 165,    397 282,,,    42,    22 568,    21 783,    785,    1 359 320,    1 002 542,    356 778,    21 835,    15 644,    6 191,    9 453,    8 104,    1 349
  45-49岁,    5 909 590,    4 454 237,    1 455 353,,,    43,    22 404,    21 693,    711,    1 400 462,    1 024 348,    376 114,    25 031,    17 263,    7 768,    9 610,    8 279,    1 331
    45,    1 471 727,    1 090 722,    381 005,,,    44,    22 942,    22 527,    415,    1 430 341,    1 044 174,    386 167,    29 242,    19 802,    9 440,    9 922,    8 662,    1 260
    46,    1 352 236,    1 014 190,    338 046,,,  45—49岁,    97 688,    96 019,    1 669,    5 600 740,    4 204 674,    1 396 066,    166 913,    114 165,    52 748,    44 249,    39 379,    4 870
    47,    1 170 201,    881 311,    288 890,,,    45,    23 014,    22 631,    383,    1 404 957,    1 036 514,    368 443,    33 394,    22 521,    10 873,    10 362,    9 056,    1 306
    48,    1 042 401,    792 108,    250 293,,,    46,    21 203,    20 855,    348,    1 287 044,    961 196,    325 848,    34 435,    23 650,    10 785,    9 554,    8 489,    1 065
    49,    873 025,    675 906,    197 119,,,    47,    19 655,    19 324,    331,    1 107 553,    830 706,    276 847,    34 132,    23 390,    10 742,    8 861,    7 891,    970
,,,,,,    48,    18 347,    18 017,    330,    981 482,    743 294,    238 188,    34 229,    23 325,    10 904,    8 343,    7 472,    871
,,,,,,    49,    15 469,    15 192,    277,    819 704,    632 964,    186 740,    30 723,    21 279,    9 444,    7 129,    6 471,    658
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-8全国县15岁及15岁以上人口分年龄和文化程度的,,,,,,,,,,,,,,,,,,
    婚姻状况(第二口径)(续06)单位：人,,,,,,单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,,,    文化程度,        未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    和年龄别,,,,,,    和年龄别,,,,,,,,,,,,
,    合计,    男,    女,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
  50—54岁,    2 708 353,    2 248 696,    459 657,,,  50-54岁,    50 413,    48 982,    1 431,    2 508 222,    2 083 431,    424 791,    124 658,    93 099,    31 559,    25 060,    23 184,    1 876
    50,    713 361,    564 999,    148 362,,,    50,    12 855,    12 649,    206,    666 647,    527 487,    139 160,    27 752,    19 347,    8 405,    6 107,    5 516,    591
    51,    584 130,    477 172,    106 958,,,    51,    10 578,    10 376,    202,    543 214,    443 705,    99 509,    25 203,    18 376,    6 827,    5 135,    4 715,    420
    52,    531 884,    445 685,    86 199,,,    52,    10 643,    10185,    458,    491 519,    412 325,    79 194,    24 743,    18 540,    6 203,    4 979,    4 635,    344
    53,    462 901,    396 851,    66 050,,,    53,    9 033,    8 587,    446,    425 510,    365 630,    59 880,    23 802,    18 368,    5 434,    4 556,    4 266,    290
    54,    416 077,    363 989,    52 088,,,    54,    7 304,    7 185,    119,    381 332,    334 284,    47 048,    23 158,    18 468,    4 690,    4 283,    4 052,    231
  55—59岁,    1 580 386,    1 437 486,    142 900,,,  55—59岁,    25 108,    24 216,    892,    1 418 918,    1 295 529,    123 389,    117 353,    99 451,    17 902,    19 007,    18 290,    717
    55,    365 806,    325 024,    40 782,,,    55,    6 354,    6 231,    123,    332 682,    296 421,    36 261,    22 720,    18 505,    4 215,    4 050,    3 867,    183
    56,    347 566,    314 318,    33 248,,,    56,    6 024,    5 794,    230,    313 653,    284 597,    29 056,    23 700,    19 897,    3 803,    4 189,    4 030,    159
    57,    322 782,    295 288,    27 494,,,    57,    5 291,    5 044,    247,    289 345,    265 723,    23 622,    24 197,    20 724,    3 473,    3 949,    3 797,    152
    58,    279 453,    257 224,    22 229,,,    58,    3 980,    3 831,    149,    249 125,    230 454,    18 671,    22 774,    19 496,    3 278,    3 574,    3 443,    131
    59,    264 779,    245 632,    19 147,,,    59,    3 459,    3 316,    143,    234 113,    2 18 334,    15 779,    23 962,    20 829,    3 133,    3 245,    3 153,    92
  60岁及以上,    2 258 844,    2 098 797,    160 047,,,  60岁及以上,    28 755,    24 919,    3 836,    1 727 123,    1 630 747,    96 376,    476 847,    418 077,    58 770,    26 119,    25 054,      1 065
高中,    32 316 952,    22 622 281,    9 694 671,,,高中,    9 039 552,    6 082 321,    2 957 231,    22 953 701,    16 284 818,    6 668 883,    201 848,    164 404,    37 444,    121 851,    90 738,    31 113
  15-19岁,    4 546 730,    2 954 974,    1 591 756,,,  15-19岁,    4 510 166,    2 935 787,    1 574 379,    36 120,    19 016,    17 104,    81,    43,    38,    363,    128,    235
    15,    183 455,    114 547,    68 908,,,    15,    183 157,    114 362,    68 795,    294,    183,    11 1,     -,    -,     -,    4,    2,    2
    16,    586 561,    373 487,    213 074,,,    16,    585 953,    373 100,    212 853,    591,    378,    213,    5,    4,    1,    12,    5,    7
    17,    1 078 185,    699 330,    378 855,,,    17,    1 075 962,    698 120,    377 842,    2 169,    1 185,    984,    10,    7,3,    44,    18,    26
    18,    1 305 235,    854 879,    450 356,,,    18,    1 297 194,    850 802,    446 392,    7 921,    4 038,    3 883,    21,    12,    9,    99,    27,    72
    19,    1 393 294,    912 731,    480 563,,,    19,    1 367 900,    899 403,    468 497,    25 145,    13 232,    11 913,    45,    20,    25,    204,    76,    128
  20—24岁,    5 419 770,    3 520 397,    1 899 373,,,  20—24岁,    3 644 393,    2 427 833,    1 216 560,    1 766 017,    1 087 049,    678 968,    2 078,    1 377,    701,    7 282,    4 138,    3 144
    20,    1 274 203,    823 205,    450 998,,,    20,    1 198 250,    784 644,    413 606,    75 417,    38 312,    37 105,    114,    70,44,    422,    179,    243
    21,    1 177 541,    757 101,    420 440,,,    21,    1 001 387,    662 213,    339 174,    175 326,    94 440,    80 886,    174,    102,    72,    654,    346,    308
    22,    973 746,    628 775,    344 971,,,    22,    676 195,    452 007,    224 188,    296 119,    176 000,    120 119,    292,    179,    113,    1 140,    589,    551
    23,    885 971,    576 556,    309 415,,,    23,    433 607,    295 088,    138 519,    450 037,    280 054,    169 983,    492,    345,    147,    1 835,    1 069,    766
    24,    1 108 309,    734 760,    373 549,,,    24,    334 954,    233 881,    101 073,    769 118,    498 243,    270 875,    1 006,    681,    325,    3 231,    1 955,    1 276
  25—29岁,    9 211 953,    6 160 952,    3 051 001,,,  25—29岁,    649 578,    497 965,    151 613,    8 505 739,    5 625 313,    2 880 426,    17 866,    12 467,    5 399,    38 770,    25 207,    13 563
    25,    1 406 446,    946 070,    460 376,,,    25,    232 194,    168 716,    63 478,    1 166 951,    772 660,    394 291,    1 856,    1 275,    581,    5 445,    3 419,    2 026
    26,    1 912 673,    1 276 865,    635 808,,,    26,    167 842,    127 083,    40 759,    1 733 840,    1 142 607,    591 233,    3 112,    2 205,    907,    7 879,    4 970,    2 909
    27,    2 712 798,    1 813 136,    899 662,,,    27,    140 935,    111 085,    29 850,    2 555 129,    1 690 995,    864 134,    5 394,    3 723,    1 671,    11 340,    7 333,    4 007
    28,    1 848 375,    1 241 786,    606 589,,,    28,    69 472,    57 277,    12 195,    1 766 686,    1 176 188,    590 498,    4 151,    2 902,    1 249,    8 066,    5 419,    2 647
    29,    1 331 661,    883 095,    448 566,,,    29,    39 135,    33 804,    5 331,    1 283 133,    842 863,    440 270,    3 353,    2 362,    991,    6 040,    4 066,    1 974
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-8全国县15岁及15岁以上人口分年龄和文化程度的,,,,,,表7-8全国县15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径)(续20),,,,,,,,,,,,
    婚姻状况(第二口径)(续07)单位：人,,,,,,,,,,,,,,,,,,
,,,,,,单位：人,,,,,,,,,,,,
    文化程度,    合计,,,,,,,,,,,,,,,,,
    和年龄别,,,,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
,    合计,    男,    女,,,    和年龄别,,,,,,,,,,,,
  30-34岁,    7 339 970,    5 207 307,    2 132 663,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
    30,    1 691 077,    1 149 111,    541 966,,,  30—34岁,    147 345,    135 996,    1 1 349,    7 133 475,    5 027 617,    2 105 858,    25 590,    19 015,    6 575,    33 560,    24 679,    8 881
    31,    1 503 488,    1 045 087,    458 401,,,    30,    40 115,    35 932,    4 183,    1 638 420,    1 104 292,    534128,    4 789,    3 382,    1 407,    7 753,    5 505,    2 248
    32,    1 674 378,    1 192 559,    481 819,,,    31,    33 210,    30 453,    2 757,    1 458 537,    1 006 011,    452 526,    4 806,    3 544,    1 262,    6 935,    5 079,    1 856
    33,    1 367 115,    994 693,    372 422,,,    32,    32 978,    30 905,    2 073,    1 627 805,    1 151 556,    476 249,        5 951,    4 469,    1 482,    7 644,    5 629,    2 015
    34,    1 103 912,    825 857,    278 055,,,    33,    23 385,    22 023,    1 362,    1 332 273,    964 103,    368 170,    5 365,    4 015,    1 350,    6 092,    4 552,    1 540
  35—39岁,    3 037 363,    2 410 881,    626 482,,,    34,    17 657,    16 683,    974,    1 076 440,    801 655,    274 785,    4 679,    3 605,    1 074,    5 136,    3 914,    1 222
    35,    1 030 072,    798 821,    231 251,,,  35—39岁,    47 072,    45 300,    1 772,    2 957 140,    2 338 724,    618 416,    18 048,    14 530,    3 518,    15 103,    12 327,    2 776
    36,    769 564,    609 029,    160 535,,,    35,    15 756,    15 047,    709,    1 004 438,    775 944,    228 494,    5 065,    4 049,    1 016,    4 813,    3 781,    1 032
    37,    544 997,    437 794,    107 203,,,    36,    11 931,    11494,    437,    749 669,    591 072,    158 597,    4 200,    3 387,    813,    3 764,    3 076,    688
    38,    404 409,    329 027,    75 382,,,    37,    8 786,    8 481,    305,    529 909,    424 112,    105 797,    3 487,    2 867,    620,    2 815,    2 334,    481
    39,    288 321,    236 210,    52 111,,,    38,    6 309,    6 104,    205,    393 038,    318 774,    74 264,    2 939,    2 355,    584,    2 123,    1 794,    329
  40—44岁,    974 075,    798 990,    175 085,,,    39,    4 290,    4 174,    116,    280 086,    228 822,    51 264,    2 357,    1 872,    485,    1 588,    1 342,    246
    40,    276 794,    228 004,    48 790,,,  40—44岁,    12 959,    12 400,    559,    944 278,    773 497,    170 781,    10 574,    7 918,    2 656,    6 264,    5 175,    1 089
