,,,,,,,,,,,,,,,,,,
表7-12全国县各职业大类人口分年龄、性别的婚姻状况(第二口径),,,,,,,,,,,,,,,表7-12全国县各职业大类人口分年龄、性别的婚姻状况,,,
    单位：人,,,,,,,,,,,,,,,    (第二口径)(续16)单位：人,,,
,,,,,,,,,,,,,,,,,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    职业和,    离婚,,
    年龄别,,,,,,,,,,,,,,,    年龄别,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,,    小计,    男,    女
    24,    28 771,    23 993,    4 778,    7 615,    6 290,    1 325,    21 091,    17 653,    3 438,    22,    18,    4,,,    24,    43,    32,    11
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,表7-12全国县各职业大类人口分年龄、性别的婚姻状况,,,
,,,,,,,,,,,,,,,    (第二口径)(续20)单位：人,,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,,,,
    年龄别,,,,,,,,,,,,,,,    职业和,    离婚,,
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,  小计,    男,    女,,,    年龄别,,,
  25-29岁,    261 013,    234 900,    26 113,    15 332,    13 268,    2 064,    244 645,    220 821,    23 824,    294,    242,    52,,,,    小计,    男,    女
    25,    40 282,    34 611,    5 671,    6 189,    5 281,    908,    33 958,    29 231,    4 727,    35,    31,    4,,,  25-29岁,    742,    569,    173
    26,    54 984,    48 264,    6 720,    4 352,    3 754,    598,    50447,    44 373,    6 074,    50,    40,    10,,,    25,    100,    68,    32
    27,    74 625,    67 528,    7 097,    2 958,    2 622,    336,    71 353,      64 642,    6 711,    90,    81,    9,,,    26,    135,    97,    38
    28,    50 961,    47 029,    3 932,    1 271,    1 121,    150,    49 458,    45 731,    3 727,    70,    53,    17,,,    27,    224,    183,    41
    29,    40 161,    37 468,    2 693,    562,    490,    72,    39 429,    36 844,    2 585,    49,    37,    12,,,    28,    162,    124,    38
  30-34岁,    423 906,    400 259,    23 647,    1 925,    1 720,    205,    420 319,    397 206,    23 113,    629,    523,    106,,,    29,    121,    97,    24
    30,    56 855,    53 430,    3 425,    537,    477,    60,    56 100,    52 782,    3 318,    72,    56,    16,,,  30-34岁,    1 033,    810,    223
    31,    62 770,    59 155,    3 615,    362,    322,    40,    62 146,    58 612,    3 534,    99,    83,    16,,,    30,    146,    115,    31
    32,    92 383,    87 266,    5 117,    379,    336,    43,    91 645,    86 652,    4 993,    126,    102,    24,,,    31,    163,    138,    25
    33,    102 514,    96 868,    5 646,    317,    285,    32,    101 800,    96 263,    5 537,    153,    129,    24,,,    32,    233,    176,    57
    34,    109 384,    103 540,    5 844,    330,    300,    30,    108 628,    102 897,    5 731,    179,    153,    26,,,    33,    244,    191,    53
  35-39岁,    669 795,    636 833,    32 962,    1 402,    1 279,    123,    665 521,    633 210,    32 311,    1 571,    1 336,    235,,,    34,    247,    190,        57
    35,    133 928,    126 905,    7 023,    327,    293,    34,    133 092,    126 202,    6 890,    236,    196,    40,,,  35-39岁,    1 301,    1 008,    293
    36,    132 578,    125 681,    6 897,        286,    262,    24,    131 787,    125 009,    6 778,    261,    224,    37,,,    35,    273,    214,    59
    37,    132 504,    125 982,    6 522,    281,    249,    32,    131 658,    125 288,    6 370,    305,    256,    49,,,    36,    244,    186,    58
    38,    141 288,    134 678,    6 610,    269,    253,    16,    140 378,    133 887,    6 491,    386,    333,    53,,,    37,    260,    189,    71
    39,    129 497,    123 587,    5 910,    239,    222,    17,    128 606,    122 824,    5 782,    383,    327,    56,,,    38,    255,    205,    50
  40-44岁,    684 401,    653 290,    31 111,    1 144,    1 066,    78,    678 711,    648 370,    30 341,    3 293,    2 843,    450,,,    39,    269,    214,    55
    40,    150 264,    143 503,    6 761,    253,    233,    20,        149 182,    142 558,    6 624,    544,    480,    64,,,  40-44岁,    1 253,    1 011,    242
    41,    134 905,    128 638,    6 267,    222,    206,    16,    133 876,    127 748,    6 128,    575,    498,    77,,,    40,    285,    232,    53
    42,    136 685,    130 194,    6 491,    242,    225,    17,    135 542,    129 202,    6 340,    639,    555,    84,,,    41,    232,    186,    46
    43,    135 340,    129 193,    6 147,    218,    201,    17,    134 139,    128 161,    5 978,    733,    629,    104,,,    42,    262,    212,    50
    44,    127 207,    121 762,    5 445,    209,    201,    8,    125 972,    120 701,    5 271,    802,    681,    121,,,    43,    250,    202,    48
  45-49岁,    535 842,    515 987,    19 855,    1 004,    954,    50,    528 899,    509 875,    19 024,    4 958,    4 339,    619,,,    44,    224,    179,    45
    45,    121 322,    116 580,    4 742,    232,    223,    9,    119 998,    115 415,    4 583,    862,    746,    116,,,  45-49岁,    981,    819,    162
    46,    112 226,    107 953,    4 273,    219,    205,    14,    110 917,    106 801,    4 116,    912,    805,    107,,,    45,    230,    196,    34
    47,    104 056,    100 150,    3 906,    200,    190,    10,    102 715,    98 973,3742,    933,    816,    117,,,    46,    178,    142,    36
    48,    101 309,    97 752,    3 557,    179,    171,    8,    99 840,    96 461,    3 379,    1 099,    964,    135,,,    47,    208,    171,    37
    49,    96 929,    93 552,    3 377,    174,    165,    9,    95 429,    92 225,    3 204,    1 152,    1 008,    144,,,    48,    191,    156,    35
  50-54岁,    370 642,    360 015,    10 627,    725,    687,    38,    362 923,    353 101,    9 822,    6 283,    5 584,    699,,,    49,    174,    154,    20
    50,    87 488,    84 709,    2 779,    1 56,    145,    11,    85 982,    83 374,    2 608,    1 176,    1 038,    138,,,  50-54岁,    711,    643,    68
    51,    79 283,    76 966,    2 317,    170,    159,    11,    77 741,    75 588,    2 153,    1 236,    1 092,    144,,,    50,    174,    152,    22
    52,    76 591,    74 369,    2 222,    140,    132,    8,    74 982,    72 923,    2 059,    1 318,    1 178,    140,,,    51,    136,    127,    9
    53,    66 674,    64 895,    1779,    119,    114,    5,    65 154,    63 532,    1 622,    1 282,    1 140,    142,,,    52,    151,    136,    15
    54,    60 606,    59 076,    1 530,    140,    137,    3,    59 064,    57 684,    1 380,    1 271,    1 136,    135,,,    53,    119,    109,    10
,,,,,,,,,,,,,,,    54,    131,    119,    12
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-12全国县各职业大类人口分年龄、性别的婚姻状况(第二口径)(续05),,,,,,,,,,,,,,,表7-12全国县各职业大类人口分年龄、性别的婚姻状况,,,
    单位：人,,,,,,,,,,,,,,,    (第二口径)(续21)单位：人,,,
,,,,,,,,,,,,,,,,,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    职业和,    离婚,,
    年龄别,,,,,,,,,,,,,,,    年龄别,,,
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,    小计,    男,    女
  55-59岁,    189 219,    186 503,    2 716,    356,    346,    10,    182 661,    180 311,    2 350,    5 738,    5 406,    332,,,  55-59岁,    464,    440,    24
    55,    51 818,    50 804,    1 014,    78,    75,    3,    50 302,    49 412,    890,    1 318,    1 206,    112,,,    55,    120,    111,    9
    56,    46 054,    45 378,    676,    96,    94,    2,    44 654,    44 059,    595,    1 202,    1 131,    71,,,    56,    102,    94,    8
    57,    38 460,    37 998,    462,    78,    76,    2,    37 065,    36 669,    396,    1 211,    1 151,    60,,,    57,    106,    102,    4
    58,    29 628,    29 309,    319,    55,    54,    1,    28 441,    28 172,    269,    1 052,    1 003,    49,,,    58,    80,    80,    -
    59,    23 259,    23 014,    245,    49,    47,    2,    22 199,    21 999,    200,    955,      915,    40,,,    59,    56,    53,    3
  60-64岁,    42 193,    41 613,    580,    118,    112,    6,    39 279,    38 849,    430,    2 607,    2 476,    131,,,  60-64岁,    189,    176,    13
    60,    16 263,    16 050,    213,    31,    31,    -,    15 412,    15 246,    166,    747,    705,    42,,,    60,    73,    68,    5
    61,    9 680,    9 548,    132,    25,    23,    2,    9 026,    8 922,    104,    591,    566,    25,,,    61,    38,    37,    1
    62,    7 408,    7 318,    90,    30,    28,    2,    6 848,    6 787,      61,    501,    477,    24,,,    62,    29,    26,    3
    63,    5 081,    5 006,    75,    18,    16,    2,    4 622,    4 573,    49,    415,    393,    22,,,    63,    26,    24,    2
    64,    3 761,    3 691,    70,    14,    14,    -,    3 371,    3 321,    50,    353,    335,    18,,,    64,    23,    21,    2
  65岁及以上,    10 118,    9 903,    215,    95,    90,    5,    8 578,    8 473,    105,    1 380,    1 277,    103,,,  65岁及以上,    65,    63,     2
办事人员和有关人员,    2 045 509,    1 733 592,    311 917,    331 158,    254 167,    76 991,    1 688 084,    1 458 227,    229 857,    16 860,    13 975,    2 885,,,办事人员和有关人员,    9 407,    7 223,    2 184
  15-19岁,    91 513,    64 594,    26 919,    88 558,    62 384,    26 174,    2 934,    2 199,    735,    5,       2,    3,,,  15-19岁,    16,    9,    7
    15,    2 076,    1 503,    573,    2 054,    1 484,    570,    22,    19,    3,-,-,-,,,    15,-,-,-
    16,    7 038,    4 941,    2 097,    6 981,    4 894,    2 087,    56,    46,    10,    1,    1,     -,,,    16,-,-,-
    17,    16 248,    11 425,    4 823,    16 061,    11 276,    4 785,    185,    148,    37,-,-,-,,,    17,    2,    1,    1
    18,    26 785,    18 989,    7 796,    26 140,    18 481,    7 659,    639,    503,    136,    1,    1,     -,,,    18,    5,    4,    1
    19,    39 366,    27 736,    11 630,    37 322,    26 249,    11 073,    2 032,    1 483,    549,    3,    -,    3,,,    19,    9,    4,    5
  20-24岁,    313 010,    237 832,    75 178,    191 568,    147 165,    44 403,    120 807,    90 241,    30 566,    123,    86,    37,,,  20-24岁,    512,    340,    172
    20,    49 072,    34 949,    14 123,    43 723,    31 313,    12 410,    5 312,    3 614,    1 698,    10,    6,    4,,,    20,    27,    16,    11
    21,    60 089,    43 788,    16 301,    47 958,    35 670,    12 288,    12 063,    8 074,    3 989,    10,    9,    1,,,    21,    58,    35,    23
    22,    60 956,    46 009,    14 947,    40 369,    31 188,    9 181,    20 486,    14 764,    5 722,    19,    11,    8,,,    22,    82,    46,    36
    23,    63 572,    49 623,    13 949,    32 150,    26 049,    6 101,    31 265,    23 472,    7 793,    29,    18,    11,,,    23,    128,    84,    44
    24,    79 321,    63 463,    15 858,    27 368,    22 945,    4 423,    51 681,    40 317,    11 364,    55,    42,    13,,,    24,    217,    159,    58
  25-29岁,    363 826,    297 261,    66 565,    38 405,    32 758,    5 647,    323 103,    263 006,    60 097,    460,    288,    172,,,  25-29岁,    1 858,    1 209,    649
    25,    85 016,    68 757,    16 259,    17 998,    15 328,    2 670,    66 598,    53 158,    13 440,    84,    55,    29,,,    25,    336,    216,    120
    26,    88 166,    71 093,    17 073,    10 516,    8 974,    1 542,    77 115,    61 782,    15 333,    97,    64,    33,,,    26,    438,    273,    165
    27,    94 908,    77 837,    17 071,    6 238,    5 313,    925,    88 042,    72111,    15 931,    125,    71,    54,,,    27,    503,    342,    161
    28,    55 979,    46 579,    9 400,    2 481,    2 146,    335,    53 093,    44 159,    8 934,    81,    54,    27,,,    28,    324,    220,    104
    29,    39 757,    32 995,    6 762,    1 172,    997,    175,    38 255,    31 796,    6 459,    73,    44,    29,,,    29,    257,    158,    99
  30-34岁,    272 491,    226 854,    45 637,    3 650,    3 187,    463,    266 699,    222 296,    44 403,    576,    341,    235,,,  30-34岁,    1 566,    1 030,    536
    30,    49 491,    41 211,    8 280,    1 004,    864,    140,    48 082,    40 088,    7 994,    77,    44,    33,,,    30,    328,    215,    113
    31,    47 926,    40 049,    7 877,    769,    657,    112,      46 785,    39 137,    7 648,    86,    54,    32,,,    31,    286,    201,    85
    32,    60 509,    50 230,    10 279,    790,    690,    100,    59 275,    49 255,    10 020,    114,    68,    46,,,    32,    330,    217,    11 3
    33,    58 139,    48 332,    9 807,    574,    514,    60,    57 083,    47 510,    9 573,    146,    93,    53,,,    33,    336,    215,    121
    34,    56 426,    47 032,    9 394,    513,    462,    51,    55 474,    46 306,    9 168,    153,    82,    71,,,    34,    286,    182,    104
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    表7-12全国县各职业大类人口分年龄、性别的婚姻状况(第二口径)(续06),,,,,,,,,,,,,,,    表7-12全国县各职业大类人口分年龄、性别的婚姻状况,,,
    单位：人,,,,,,,,,,,,,,,    (第二口径)(续22)单位：人,,,
,,,,,,,,,,,,,,,,,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    职业和,    离婚,,
    年龄别,,,,,,,,,,,,,,,    年龄别,,,
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,    小计,    男,    女
  35-39岁,    274 844,    233 124,    41 720,    2 137,    1 992,    145,    270 433,    229 662,    40 771,    1 004,    585,    419,,,  35-39岁,    1 270,    885,    385
    35,    62 631,    52 574,    10 057,    508,    468,    40,    61 627,    51 780,    9 847,    185,    104,    81,,,    35,    311,    222,    89
    36,    57 808,    48 662,    9 146,    431,    394,    37,    56 912,    47 969,    8 943,    192,    113,    79,,,    36,    273,    186,    87
    37,    53 785,    45 591,    8 194,    430,    400,    30,    52 905,    44 896,    8 009,    190,    112,    78,,,    37,    260,    183,    77
    38,    52 937,    45 301,    7 636,    422,    403,    19,    52 093,    44 621,    7 472,    214,    130,    84,,,    38,    208,    147,    61
    39,    47 683,    40 996,    6 687,    346,    327,    19,    46 896,    40 396,    6 500,    223,    126,    97,,,    39,    218,    147,    71
  40-44岁,    242 757,    214 119,    28 638,    1 775,    1 707,    68,    238 343,    210 529,    27 814,    1 521,    992,    529,,,  40-44岁,    1 118,        891,    227
    40,    53 935,    47 012,    6 923,    407,    384,    23,    52 962,    46 195,    6 767,    273,    191,    82,,,    40,    293,    242,    51
    41,    47 028,    41 007,    6 021,    338,    326,    12,    46 205,    40 372,    5 833,    270,    146,    124,,,    41,    215,    163,    52
    42,    47 116,    41 409,    5 707,    331,    320,    11,    46 283,    40 726,    5 557,    284,    191,    93,,,    42,    218,    172,    46
    43,    48 813,    43 433,    5 380,    354,    344,    10,    47 911,    42 697,    5 214,    346,    228,    118,,,    43,    202,    164,    38
    44,    45 865,    41 258,    4 607,    345,    333,    12,    44 982,    40 539,    4 443,    348,    236,    112,,,    44,    190,    150,    40
  45-49岁,    196 678,    179 523,    17 155,    1 665,    1 630,    35,    191 914,    175 517,    16 397,    2 214,    1 614,    600,,,  45-49岁,    885,    762,    123
    45,    43 853,    39 703,    4 150,    345,    336,    9,    42 904,    38 912,    3 992,    399,    287,    112,,,    45,    205,    168,    37
    46,    40 877,    37 276,    3 601,    356,    349,    7,    39 957,    36 481,    3 476,    403,    303,    100,,,    46,    161,    143,    18
    47,    37 894,    34 579,    3 315,    322,    318,    4,    36 976,    33 813,    3 163,    425,    300,    125,,,    47,    171,    148,    23
    48,    37 254,    34 034,    3 220,    320,    312,    8,    36 317,    33 262,    3 055,        465,    334,    131,,,    48,    152,    126,    26
    49,    36 800,    33 931,    2 869,    322,    315,    7,    35 760,    33 049,    2 711,    522,    390,    132,,,    49,    196,    177,    19
  50-54岁,    151 210,    143 496,    7 714,    1 523,    1 501,    22,    145 785,    138 651,    7 134,    3 015,    2 514,    501,,,  50-54岁,    887,    830,    57
    50,    34 247,    32 065,    2 182,    322,    315,    7,    33 233,    31175,    2 058,    505,    404,    101,,,    50,    187,    171,    16
    51,    31 129,    29 362,    1 767,    294,    290,    4,    30 086,    28 424,    1 662,    564,    476,    88,,,    51,    185,    172,    13
    52,    30 639,    29 126,    1 513,    324,    318,    6,    29 473,    28 090,    1 383,    653,    545,    108,,,    52,    189,    173,    16
    53,    28 261,    27 035,    1 226,    288,    283,    5,    27 192,    26 072,    1 120,    616,    523,    93,,,    53,    165,    157,    8
    54,    26 934,    25 908,    1 026,    295,    295,    -,    25 801,    24 890,    911,    677,    566,    111,,,    54,    161,    157,    4
  55-59岁,    100 683,    98 869,    1 814,    1 049,    1 039,    10,    95 467,    93 882,    1 585,    3 414,    3 208,    206,,,  55-59岁,    753,    740,    13
    55,    23 780,    23 083,    697,    259,    256,    3,    22 765,    22 139,    626,    596,    535,    61,,,    55,    160,    153,    7
    56,    23 243,    22 807,    436,    256,    255,    1,    22 130,    21 745,    385,    696,    649,    47,,,    56,    161,    158,    3
    57,    21 218,    20 890,    328,    208,    206,    2,    20 081,    19 799,    282,    762,    719,    43,,,    57,    167,    166,    1
    58,    17 508,    17 304,    204,    169,    165,    4,    16 525,    16 351,    174,    670,    645,    25,,,    58,    144,    143,    1
,,,,,,,,,,,,,,,    59,    121,    120,    1
    59,    14 934,    14 785,    149,    157,    157,    -,    13 966,    13 848,    118,    690,    660,    30,,,  60-64岁,    325,    318,    7
  60-64岁,    27 275,    26 902,    373,    505,    495,    10,    24 240,    23 987,    253,    2 205,    2 102,    103,,,    60,    93,    92,    1
    60,    10 020,    9 913,    107,    148,    146,    2,    9 177,    9 100,    77,    602,    575,    27,,,    61,    79,    77,    2
    61,    6 037,    5 953,    84,    102,    101,    1,    5 421,    5 360,    61,    435,    415,    20,,,    62,    72,    70,    2
    62,    4 882,    4 804,    78,    113,    112,    1,    4 253,    4 195,    58,    444,    427,    17,,,    63,    48,    48,    -
    63,    3 481,    3 427,    54,    75,    70,    5,    2 996,    2 964,    32,    362,    345,    17,,,    64,    33,    31,    2
    64,    2 855,    2 805,    50,    67,    66,    1,    2 393,    2 368,    25,    362,    340,    22,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-12全国县各职业大类人口分年龄、性别的婚姻状况(第二口径)(续07),,,,,,,,,,,,,,,    (第二口径)(续23)单位：人,,,
    单位：人,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    职业和,    离婚,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    年龄别,,,
    年龄别,,,,,,,,,,,,,,,,    小计,    男,    女
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,  65岁及以上,    217,    209,    8
  65岁及以上,    11 222,    11 018,    204,    323,    309,    14,    8 359,    8 257,    102,    2 323,    2 243,    80,,,商业工作人员,    36 885,    24 079,    12 806
商业工作人员,    6 061 052,    3 878 792,    2 182 260,    1 000 555,    574 425,    426 130,    4 909 253,    3 207 663,    1 701 590,    1 14 359,    72 625,    41 734,,,  15-19岁,    127,    48,    79
  15-19岁,    404 811,    195 869,    208 942,    385 368,    186 961,    198 407,    19 288,    8 842,    10 446,    28,    18,    10,,,    15,    3,    1,    2
    15,    20 591,    9 1 56,    11 435,    20 465,    9 091,    11 374,    122,    63,    59,    1,    1,   -,,,    16,    5,2,    3
    16,    44 526,    20 474,    24 052,    44 180,    20 301,    23 879,    338,    169,    169,    3,    2,    1,,,    17,    13,    2,    11
    17,    79 423,    37 760,    41 663,    78 165,    37 193,    40 972,    1 244,    564,    680,    1,    1,     -,,,    18,    39,    11,    28
    18,    112 202,    54 515,    57 687,    107 629,    52 486,    55 143,    4 530,    2 015,    2 515,    4,    3,    1,,,    19,    67,    32,    35
    19,    148 069,    73 964,    74 105,    134 929,    67 890,    67 039,    13 054,    6 031,    7 023,    19,    11,    8,,,  20-24岁,    2 261,    1 075,    1 186
  20-24岁,    985 384,    549 632,    435 752,    483 328,    280 275,    203 053,    499 205,    268 007,    231 198,    590,    275,    315,,,    20,    140,    69,    71
    20,    173 001,    88 615,    84 386,    139 768,    73 908,    65 860,    33 065,    14 627,    18 438,    28,    11,    17,,,    21,    254,    121,    133
    21,    200 100,    107 196,    92 904,    133 266,    75 866,    57 400,    66 511,    31 178,    35 333,    69,    31,    38,,,    22,    401,    178,    223
    22,    191 516,    107 608,    83 908,    95 517,    57 128,    38 389,    95 491,    50 253,    45 238,    107,    49,    58,,,    23,    610,    294,    316
    23,    190 769,    1 10 316,    80 453,    64 194,    40 181,    24 013,    125 815,    69 773,    56 042,    150,    68,    82,,,    24,    856,    413,    443
    24,    229 998,    135 897,    94 101,    50 583,    33 192,    17 391,    178 323,    102 176,    76 147,    236,    1 16,    120,,,  25-29岁,    6 039,    2 883,    3 156
  25-29岁,    1 083 1 12,    650 334,    432 778,    75 339,    53 811,    21 528,    999 870,    592 852,    407 018,    1 864,    788,    1 076,,,    25,    1 209,    584,    625
    25,    241 972,    143 694,    98 278,    31 761,    21 595,    10 166,    208 675,    121 363,    87 312,    327,    152,    175,,,    26,    1 373,    629,    744
    26,    258 538,    153 783,    104 755,    19 756,    14 055,    5 701,    236 976,    138 912,    98 064,    433,    187,    246,,,    27,    1 579,    767,    812
    27,    289 914,    174 703,    115 211,    14 152,    10 517,    3 635,    273 667,    163 194,    110 473,    516,    225,    291,,,    28,    1 050,    511,    539
    28,    170 836,    103 965,    66 871,    6 372,    4 960,    1 412,    163 076,    98 365,    64 711,    338,    129,    209,,,    29,    828,    392,    436
    29,    121 852,    74 189,    47 663,    3 298,    2 684,    614,    117 476,    71 018,    46 458,    250,    95,    155,,,  30-34岁,    5 414,    2 795,    2 619
  30-34岁,    882 804,    558 211,    324 593,    14 693,    13 054,    1 639,    859 631,    541 133,    318 498,    3 066,    1 229,    1 837,,,    30,    1 056,    534,    522
    30,    154 987,    97 279,    57 708,    3 389,    2 843,    546,    150 125,    93 734,    56 391,    417,    168,    249,,,    31,    950,    504,    446
    31,    154 568,    97 709,    56 859,    2 900,    2 527,    373,    150 233,    94 476,    55 757,    485,    202,    283,,,    32,    1 241,    650,    591
    32,    202 947,    128 727,    74 220,    3 300,    2 995,    305,    197 726,    124 817,    72 909,    680,    265,    41 5,,,    33,    1 103,    539,    564
    33,    190 523,    120 633,    69 890,    2 787,    2 545,    242,    185 944,    1 17 254,    68 690,    689,    295,    394,,,    34,    1 064,    568,    496
    34,    179 779,    113 863,    65 916,    2 317,    2 144,    173,    175 603,    110 852,    64 751,    795,    299,    496,,,  35-39岁,    5 368,    2 897,    2 471
  35-39岁,    870 557,    561 593,    308 964,    10 612,    10 020,    592,    849 057,    546 392,    302 665,    5 520,    2 284,    3 236,,,    35,    1 217,    624,    593
    35,    199 247,    127 754,    71 493,    2 479,    2 317,    162,    194 545,    124 382,    70 163,    1 006,    431,    575,,,    36,    1 132,    594,    538
    36,    185 809,    118 966,    66 843,    2 255,    2 119,    136,    181 396,    115 845,    65 551,    1 026,    408,    618,,,    37,    1 082,    586,    496
    37,    172 823,    111 335,    61 488,    2 120,    1 990,    130,    168 528,    108 324,    60 204,    1 093,    435,    658,,,    38,    1 057,    593,    464
    38,    169 441,    110 002,    59 439,    1 974,    1 886,    88,    165 205,    107 031,    58 174,    1 205,    492,    713,,,    39,    880,    500,    380
    39,    143 237,    93 536,    49 701,    1 784,    1 708,    76,    139 383,    90 810,    48 573,    1 190,    518,    672,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,表7-12全国县各职业大类人口分年龄、性别的婚姻状况,,,
,,,,,,,,,,,,,,,    (第二口径)(续24)单位：人,,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,,,,
    年龄别,,,,,,,,,,,,,,,    职业和,    离婚,,
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    年龄别,,,
,,,,,,,,,,,,,,,,    小计,    男,    女
  40-44岁,    606 039,    410 121,    195 918,    8 080,    7 769,    311,    586 369,    396 401,    189 968,    7 473,    3 361,    4 112,,,  40-44岁,    4 117,    2 590,    1 527
    40,    151 611,    100 190,    51 421,    1 860,    1 781,    79,    147 290,    97 211,    50 079,    1 445,    621,    824,,,    40,    1 016,    577,    439
    41,    126 076,    84 244,    41 832,    1 587,    1 504,    83,    122 197,    81 546,    40 651,    1 437,    662,    775,,,    41,    855,    532,    323
    42,    118 139,    80 017,    38 122,    1 588,    1 529,    59,    114 217,    77 271,    36 946,    1 511,    690,    821,,,    42,    823,    527,    296
    43,    110 360,    75 851,    34 509,    1 550,    1 497,    53,    106 560,    73 200,    33 360,    1 495,    659,    836,,,    43,    755,    495,    260
    44,    99 853,    69 819,    30 034,    1 495,    1 458,    37,    96 105,    67 173,    28 932,    1 585,    729,    856,,,    44,    668,    459,    209
  45-49岁,    396 566,    284 649,    111 917,    7 389,    7 270,    119,    376 597,    270 276,    106 321,    9 383,    4 699,    4 684,,,  45-49岁,    3 197,    2 404,    793
    45,    91 681,    65 106,    26 575,    1 518,    1 488,    30,    87 785,    62 317,    25 468,    1 664,    803,    861,,,    45,    714,    498,    216
    46,    84 915,    60 662,    24 253,    1 472,    1 448,    24,    80 985,    57 817,      23 168,    1 773,    890,    883,,,    46,    685,    507,    178
    47,    76 124,    54 752,    21 372,    1 377,    1 357,    20,    72 373,    52 046,    20 327,    1806,    905,    901,,,    47,    568,    444,    124
    48,    73 793,    53 221,    20 572,    1 522,    1 502,    20,    69 715,    50 276,    19 439,1 944,    979,    965,,,    48,    612,    464,    148
    49,    70 053,    50 908,    19 145,    1 500,    1 475,    25,    65 739,    47 820,    17 919,    2 196,    1 122,    1 074,,,    49,    618,    491,    127
  50-54岁,    289 524,    220 712,    68 812,    6 839,    6 714,    125,    266 473,    203 723,    62 750,    13 126,    7 585,    5 541,,,  50-54岁,    3 086,    2 690,    396
    50,    63 682,    47 335,    16 347,    1 483,    1 453,    30,    59 311,    44 188,    15 123,    2 274,    1 196,    1 078,,,    50,    614,    498,    116
    51,    59 145,    44 734,    14 411,    1 407,    1 386,    21,    54 823,    41 502,    13 321,    2 348,    1 357,    991,,,    51,    567,    489,    78
    52,    58 483,    44 804,    13 679,    1 424,    1 401,    23,    53 775,    41 305,    12 470,    2 639,    1 522,    1 117,,,    52,    645,    576,    69
    53,    54 917,    42 320,    12 597,    1 303,    1 272,    31,    50 107,    38 789,    11 318,    2 896,    1 717,    1 179,,,    53,    611,    542,    69
    54,    53 297,    41 519,    11 778,    1 222,    1 202,    20,    48 457,    37 939,    10 518,    2 969,    1 793,    1 176,,,    54,    649,    585,    64
  55-59岁,    226 964,    181 649,    45 315,    4 503,    4 414,    89,    201 480,    162 918,    38 562,    17 932,    11 517,    6 415,,,  55-59岁,    3 049,    2 800,    249
    55,    49 400,    38 876,    10 524,    1 124,    1 109,    15,    44 510,    35 248,    9 262,    3 154,    1 965,    1 189,,,    55,    612,    554,    58
    56,    49 377,    39 216,    10 161,    1 009,    985,    24,    44 164,    35 439,    8 725,    3 511,    2163,    1 348,,,    56,    693,    629,    64
    57,    47 552,    38 314,    9 238,    959,    941,    18,    42 170,    34 308,    7 862,    3 767,    2 453,    1 314,,,    57,    656,    612,    44
    58,    41 500,    33 405,    8 095,    754,    741,    13,    36 576,    29 781,    6 795,    3 584,    2 339,    1 245,,,    58,    586,    544,    42
    59,    39135,    31 838,    7 297,    657,    638,    19,    34 060,    28 142,    5 918,    3 916,    2 597,    1 319,,,    59,    502,    461,    41
  60-64岁,    158 255,    130 573,    27 682,    2 445,    2 357,    88,    133 363,    112 026,    21 337,    20 235,    14 159,    6 076,,,  60-64岁,    2 212,    2 031,    181
    60,    37 260,    30 319,    6 941,    635,    616,    19,    32 097,    26 529,    5 568,    4 047,    2 737,    1 310,,,    60,    481,    437,    44
    61,    33 172,    27 120,    6 052,    521,    505,    16,    28 228,    23 477,    4 751,    3 969,    2 715,    1 254,,,    61,    454,    423,    31
    62,    33 202,    27 390,    5 812,    492,    472,    20,    27 923,    23 510,    4 413,    4 255,    2 920,    1 335,,,    62,    532,    488,    44
    63,    27 990,    23 276,    4 714,    402,    386,    16,    23 289,    19 725,    3 564,    3 914,    2 808,    1 106,,,    63,    385,    357,    28
