,,,,,,,,,,,,,,,,,,
表7-12全国县各职业大类人口分年龄、性别的婚姻状况(第二口径),,,,,,,,,,,,,,,表7-12全国县各职业大类人口分年龄、性别的婚姻状况,,,
    单位：人,,,,,,,,,,,,,,,    (第二口径)(续16)单位：人,,,
,,,,,,,,,,,,,,,,,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    职业和,    离婚,,
    年龄别,,,,,,,,,,,,,,,    年龄别,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,,    小计,    男,    女
  38,    11 508 916,    6 126 987,    5 381 929,    389 880,    385 033,    4 847,    10 914 878,    5 601 519,    5 313 359,    130 802,    77 636,    53 166,,,  38,    73 356,    62 799,    10 557
  39,    9 771 913,    5 202 563,    4 569 350,    319 398,    315 441,    3 957,    9 257 631,    4 756 537,    4 501 094,    130 106,    74 653,    55 453,,,  39,    64 778,    55 932,    8 846
40-44岁,    42 889 233,    23 324 874,    19 564 359,    1 403 078,    1 383 376,    19 702,    40 255 295,    21 175 049,    19 080 246,    898 893,    477 735,    421 1 58,,,40-44岁,    331 967,    288 714,    43 253
  40,    10 310 554,    5 598 021,    4 712 533,    342 118,    337 795,    4 323,    9 725 568,    5 101 241,    4 624 327,    165 119,    92 472,    72 647,,,  40,    77 749,    66 513,    11 236
  41,    8 822 547,    4 793 548,    4 028 999,    285 120,    281 401,    3 719,    8 308 727,    4 364 951,    3 943 776,    162 402,    89 360,    73 042,,,  41,    66 298,    57 836,    8 462
  42,    8 388 020,    4 574 342,    3 813 678,    273 190,    268 887,    4 303,    7 872 521,    4 153 753,    3 718 768,    177 600,    95 355,    82 245,,,  42,    64 709,    56 347,    8 362
  43,    8 005 573,    4 365 247,    3 640 326,    259 941,    255 789,    4 152,    7 489 626,    3 953 461,    3 536 165,    192 427,    100 392,    92 035,,,  43,    63 579,    55 605,    7 974
  44,    7 362 539,    3 993 716,    3 368 823,    242 709,    239 504,    3 205,    6 858 853,    3 601 643,    3 257 210,    201 345,    100 156,    101 189,,,  44,    59 632,    52 413,    7 219
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-12全国县各职业大类人口分年龄、性别的婚姻状况(第二口径)(续01),,,,,,,,,,,,,,,表7-12全国县各职业大类人口分年龄、性别的婚姻状况,,,
,,,,,,,,,,,,,,,    (第二口径)(续17)单位：人,,,
单位：人,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    职业和,    离婚,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    年龄别,,,
    年龄别,,,,,,,,,,,,,,,,    小计,    男,    女
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,  45-49岁,    289 227,    257 659,    31 568
  45—49岁,    32 012 534,    18 042 115,    13 970 419,    1 073 551,    1 058 239,    15 312,    29 355 604,    16 092 127,    13 263 477,    1 294 152,    634 090,    660 062,,,    45,    60 169,    52 540,    7 629
    45,    6 995 286,    3 856 858,    3 138 428,    233 172,    230 013,    3 159,    6 482 276,    3 466 395,    3 015 881,    219 669,    107 910,    111 759,,,    46,    57 396,    51 051,    6 345
    46,    6 636 668,    3 717 128,    2 919 540,    217 465,    214 350,    3 115,    6 124 969,    3 334 089,    2 790 880,    236 838,    117 638,    119 200,,,    47,    55 296,    49 434,    5 862
    47,    6 152 212,    3 478 356,    2 673 856,    205 468,    202 521,    2 947,    5 643 124,    3 104 296,    2 538 828,    248 324,    122 105,    126 219,,,    48,    58 844,    52 624,    6 220
    48,    6 221 424,    3 538 023,    2 683 401,    213 761,    210 586,    3 175,    5 665 187,    3 136 381,    2 528 806,    283 632,    138 432,    145 200,,,    49,    57 522,    52 010,    5 512
    49,    6 006 944,    3 451 750,    2 555 194,    203 685,    200 769,    2 916,    5 440 048,    3 050 966,    2 389 082,    305 689,    148 005,    157 684,,,  50-54岁,    290 480,    265 654,    24 826
  50—54岁,    26 642 257,    16 025 139,  10 617 118,    856 660,    842 120,    14 540,    23 592 468,    13 972 983,    9 619 485,    1 902 649,    944 382,    958 267,,,    50,    59 020,    52 779,    6 241
    50,    5 612 968,    3 281 677,    2 331 291,    190 514,    187 768,    2 746,    5 040 021,    2 885 343,    2 154 678,    323 413,    155 787,    167 626,,,    51,    55 627,    50 943,    4 684
    51,    5 308 681,    3 179 693,    2 128 988,    173 353,    170 854,    2 499,    4 739 282,    2 788 180,    1 951 102,    340 419,    169 716,    170 703,,,    52,    59 184,    54 528,    4 656
    52,    5 391 823,    3 273 681,    2 1 18 142,    177 447,    173 980,    3 467,    4 770 784,    2 852 472,    1 918 312,    384408,    192 701,    191 707,,,    53,    57 750,    53 178,    4 572
    53,    5 218 428,    3 169 567,    2 048 861,    163 280,    159 862,    3 418,    4 586 008,    2 751 348,    1 834 660,    411 390,    205 179,    206 211,,,    54,    58 899,    54 226,    4 673
    54,    5 110 357,    3 120 521,    1 989 836,    152 066,    149 656,    2 410,    4 456 373,    2 695 640,    1 760 733,    443 019,    220 999,    222 020,,,  55-59岁,    259 998,    239 280,    20 718
  55—59岁,    21 326 206,    13 565 698,    7 760 508,    565 386,    553 055,    12 331,    18 090 016,    11 510 905,    6 579111,    2 410 806,    1 262 458,    1 148 348,,,    55,    57 447,    52 708,    4 739
    55,    4 769 242,    2 954 280,    1 814 962,    138 784,    136 294,    2 490,      4 1 18 693,    2 535 607,    1 583 086,    454 318,    229 671,    224 647,,,    56,    56 499,    52 193,    4 306
    56,    4 641 330,    2 923 156,    1 718 174,    129 121,    126 435,    2 686,    3 970 292,    2 492 553,    1 477 739,    485 418,    251 975,    233 443,,,    57,    53 715,    49 612,    4 103
