,,,,,,,,,,,,,,,,,,
表7-1省、自治区、直辖市各种文化程度人口分性别的婚姻状况,,,,,,,,,,,,,,,    婚姻状况(续08)单位：人,,,
    单位：人,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    文化程度,    离婚,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    和地区别,,,
    和地区别,,,,,,    女,    小计,    男,    女,    小计,    男,    女,,,,    小计,    男,    女
河南省,    21 443 044,    13 116 086,    8 326 958,    7 403 401,    4 408 586,  2 994 815,    13 788 945,    8 520 558,    5 268 387,    177 138,    131 024,    46 114,,,山东省,    49 627,    37 065,    12 562
湖北省,    11 724 333,    7 279 633,    4 444 700,    4 100 196,    2 558 665,  1 541 531,    7 466 212,    4 607 056,    2 859 156,    110 190,    80 036,    30 154,,,河南省,    73 560,    55 918,    17 642
湖南省,    12 885 028,    7 694 461,    5 190 567,    4 788 381,    3 034 363,  1 754 018,    7 915 389,    4 531 318,    3 384 071,    125 147,    88 840,    36 307,,,湖北省,    47 735,    33 876,    13 859
广东省,    13 841 090,    8 335 366,    5 505 724,    6 274 346,    3 777 799,  2 496 547,    7 415 908,    4 461 156,    2 954 752,    110 707,    65 965,    44 742,,,湖南省,    56 111,    39 940,    16 171
广西壮族自治区,    7 685 796,    4 836 132,    2 849 664,    2 900 540,    1 912 861,    987 679,    4 672 494,    2 844 156,    1 828 338,    77 309,    52 381,    24 928,,,广东省,    40 129,    30 446,    9 683
海南省,    1 416 864,    876 161,    540 703,    553 471,    355 168,    198 303,    846 838,    509 697,    337 141,    10 731,    6 795,    3 936,,,广西壮族自治区,    35 453,    26 734,    8 719
四川省,    22 069 880,    13 461 783,    8 608 097,    8 521 230,    5 367 555,  3 153 675,    13 235 772,    7 887 927,    5 347 845,    203 838,    139 738,    64 100,,,海南省,    5 824,    4 501,    1 323
贵州省,    4 506 361,    3 168 419,    1 337 942,    1 790 495,    1 227 038,    563 457,    2 636 365,    1 885 118,    751 247,    49 727,    36 608,    13 119,,,四川省,    109 040,    66 563,    42 477
云南省,    4 778 318,    3 120 370,    1 657 948,    1 903 104,    1 226 971,    676 133,    2 809 554,    1 851 047,    958 507,    37 247,    24 578,    12 669,,,贵州省,    29 774,    19 655,    10 119
西藏自治区,    80 075,    56 707,    23 368,    38 461,    28 579,    9 882,40 023,    27 125,    12 898,    892,    625,    267,,,云南省,    28 413,    17 774,    10 639
陕西省,    7 610 530,    4 565 710,    3 044 820,    2 501 629,    1 513 655,    987 974,    5 015 586,    2 987 327,    2 028 259,    61 824,    42 032,    19 792,,,西藏自治区,    699,    378,    321
甘肃省,    3 584 599,    2 367 336,    1 217 263,    1 502 172,    961 025,    541 147,    2 036 768,    1 374 246,    662 522,    29 346,    20 744,    8 602,,,陕西省,    31 491,    22 696,    8 795
青海省,    732 189,    469 280,    262 909,    311 677,    196 827,    114 850,    407 497,    264 135,    143 362,    6 649,    4 365,    2 284,,,甘肃省,    16 313,    11 321,    4 992
宁夏回族自治区,    870 441,    532 821,    337 620,    346 328,  206 504,    139 824,    514 357,    320 550,    193 807,    5 119,    3 060,    2 059,,,青海省,    6 366,    3 953,    2 413
新疆维吾尔自治区,    2 857 998,    1 629 074,    1 228 924,    1 157 808,    702 750,    455 058,    1 624 893,    889 336,    735 557,    25 051,    10 518,    14 533,,,宁夏回族自治区,    4 637,    2 707,    1 930
,,,,,,,,,,,,,,,新疆维吾尔自治区,    50 246,    26 470,    23 776
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
        单位：人,,,,,,,,,,,,,,,    婚姻状况(续12)单位：人,,,
,,,,,,,,,,,,,,,,,,
    文化程度,      合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    文化程度,    离婚,,
    和地区别,,,,,,,,,,,,,,,    和地区别,    小计,    男,    女
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,高中,    402 271,    224 429,    177 842
高中,    72 517 201,    44 583 891,    27 933 310,    22 511565,    13 897 107,    8 614 458,    49 162 403,    30 188 367,    18 974 036,    440 962,    273 988,    166 974,,,北京市,    11 666,    5 203,    6 463
北京市,    1 568 301,    808 301,    760 000,    451 528,    270 960,    180 568,    1 094 596,    528 120,    566476,    10 51 1,    4 018,    6 493,,,天津市,    6 104,    2 981,    3 123
天津市,    1 059 748,    558 093,    501 655,    259 726,    145 594,    114 132,    785 671,    404 534,    381 137,    8 247,    4 984,    3 263,,,河北省,    14 291,    9 192,    5 099
河北省,    3 785 044,    2 284 963,    1 500 081,    881 045,    488 198,    392 847,    2 872 864,    1 776 268,    1 096 596,    16 844,    11 305,    5 539,,,山西省,    9 610,    5 971,    3 639
山西省,    1 992 292,    1 162 031,    830 261,    601 696,    348 624,    253 072,    1 372 948,    802 441,    570 507,    8 038,    4 995,    3 043,,,内蒙古自治区,    8 312,    4 456,    3 856
内蒙古自治区,    1 728 528,    983 454,    745 074,    608 362,    327 489,    280 873,    1 105 015,    647 227,    457 788,    6 839,    4 282,    2 557,,,辽宁省,    28 707,    14 539,    14 168
辽宁省,    3 442 555,    1 924 886,    1 517 669,    922 817,    506 971,    415 846,    2 468 015,    1 390 266,    1 077 749,    23 016,    13 110,    9 906,,,吉林省,    28 223,    13 393,    14 830
吉林省,    2 543 109,    1400 917,    1142 192,    620 350,    344 266,    276 084,    1 879 041,    1 035 277,    843 764,    15 495,    7 981,    7 514,,,黑龙江省,    28 700,    13 531,    15 169
黑龙江省,    3 390 828,    1 877 330,    1 513 498,    992 123,    527 172,    464 951,    2 349 192,    1 325 171,    1024 021,    20 813,    11 456,    9 357,,,上海市,    19 457,    9 635,    9 822
上海市,    2 091 697,    1 144 142,    947 555,    543 844,    359 332,    184 512,    1 506 704,    766 090,    740 614,    21 692,    9 085,    12 607,,,江苏省,    17 056,    10 238,    6 818
江苏省,    4 913 831,    3 130 421,    1 783 410,    1 370 880,  878 778,    492 102,    3 498 902,    2 224 504,    1 274 398,    26 993,    16 901,    10 092,,,浙江省,    10 212,    6 235,    3 977
浙江省,    2 392 784,    1 443 872,    948 912,    942 937,    588 676,    354 261,    1 426 685,    841 336,    585 349,    12 950,    7 625,    5 325,,,安徽省,    9 993,    6 670,    3 323
安徽省,    2 229 528,    1 526 597,    702 931,    736 694,    500 405,    236 289,    1 464 068,    1 005 513,    458 555,    18 773,    14 009,    4 764,,,福建省,    6 471,    4 363,    2 108
福建省,    1 679 768,    1 130 899,    548 869,    587 596,    390 708,    196 888,    1 072 263,    727 447,    344 816,    13 438,    8 381,    5 057,,,江西省,    10 009,    6 593,    3 416
江西省,    2 165 838,    1 470 941,    694 897,    786 746,    537 776,    248 970,    1 355 732,    917 284,    438 448,    13 351,    9 288,    4 063,,,山东省,    13 445,    8 449,    4 996
山东省,    4 81 1 088,    3 162 799,  1 648 289,    1 346 129,    845 640,    500 489,    3 431 288,    2 294 588,    1 136 700,    20 226,    14 122,    6 104,,,河南省,    20 607,    12 682,    7 925
河南省,    5 152 292,    3 292 127,    1 860 165,    1 382 133,    833 669,    548 464,    3 720 343,    2 424 755,    1 295 588,    29 209,    21 021,    8 188,,,湖北省,    19 493,    11 500,    7 993
湖北省,    3 799 002,    2 413 888,    1 385 114,    1 045 044,    690 485,    354 559,    2 711 078,    1 696 142,    1 014 936,    23 387,    15 761,    7 626,,,湖南省,    22 212,    13 344,    8 868
湖南省,    4 041 814,    2 572 004,    1 469 810,    1 259 175,    839 308,    419 867,    2 733 795,    1 700 472,  1 033 323,    26 632,    18 880,    7 752,,,广东省,    16 467,    10 651,    5 816
广东省,    4 742 163,    3 130 766,    1 611 397,    1 701 572,    1 118 332,    583 240,    2 996 817,    1 985 456,1 011 361,    27 307,    16 327,    10 980,,,广西壮族自治区,    12 975,    8 122,    4 853
广西壮族自治区,    2 345 231,    1 533 806,    811 425,    675 744,    451 225,    224 519,    1642 479,    1 065 204,    577 275,    14 033,    9 255,    4 778,,,海南省,    2 203,    1 574,    629
海南省,    574 803,    389 024,    185 779,    195 589,    129 229,    66 360,    374 479,    256 568,    1 17 911,    2 532,    1 653,    879,,,四川省,    33 644,    16 813,    16 831
四川省,    4 443 548,    2 653 271,    1 790 277,    1 583 194,    985 114,    598 080,    2 789 214,    1 628 426,    1160 788,    37 496,    22 918,    14 578,,,贵州省,    7 115,    3 933,    3 182
贵州省,    888 624,    574 977,    313 647,    359 365,    229 882,    129 483,    514 309,    335 965,    178 344,    7 835,    5 197,    2 638,,,云南省,    6 572,    3 514,    3 058
云南省,    1 046 534,    634 611,    411 923,    470 630,    284 882,    185 748,    562 369,    342 071,    220 298,    6 963,    4 144,    2 819,,,西藏自治区,    169,    93,    76
西藏自治区,    22 238,    14 301,    7 937,    11 576,    7 959,    3 617,    10 351,    6 152,    4 199,    142,    97,    45,,,陕西省,    12 846,    7 484,    5 362
陕西省,    2 516 261,    1 509 009,    1 007 252,    784 285,    477 113,    307172,    1 706 147,    1 016 048,    690 099,    12 983,    8 364,    4 619,,,甘肃省,    7 944,    4 577,    3 367
甘肃省,    1 431 084,    937 453,    493 631,    488 329,    313 565,    174 764,    927 477,    614 303,    313 174,    7 334,    5 008,    2 326,,,青海省,    1 857,    969,    888
青海省,    270 992,    150 597,    120 395,    144 387,    78 417,    65 970,    123 460,    70 390,    53 070,    1 288,    821,    467,,,宁夏回族自治区,    1 455,    728,    727
宁夏回族自治区,    282 587,    164 688,    117 899,    133 300,    76 245,    57 055,    146 747,    87 076,    59 671,    1 085,    639,    446,,,新疆维吾尔自治区,    14456,    6 996,    7 460
新疆维吾尔自治区,    1 165 089,    603 723,    561 366,    624 769,    321 093,    303 676,    520 354,    273 273,    247 081,    5 510,    2 361,    3 149,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,表7-1省、自治区、直辖市各种文化程度人口分性别的,,,
,,,,,,,,,,,,,,,    婚姻状况(续13)单位：人,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,,,,
    和地区别,,,,,,,,,,,,,,,    文化程度,    离婚,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,    和地区别,,,
中专,    17 272 055,    10 125 812,    7 146 243,    5 364 777,    2 942 938,  2 421 839,    11 651 079,    7 062 589,    4 588 490,    163 312,    73 564,    89748,,,,    小计,    男,    女
北京市,    484 305,    225 441,    258 864,    154 557,    71 151,    83 406,    322 677,    152 073,    170 604,    3 999,    1 031,    2 968,,,中专,    92 887,    46 721,    46 166
天津市,    339 387,    163 419,    175 968,    98 918,    44 482,    54 436,    235 942,    117 299,    118 643,    2 931,    963,    1 968,,,北京市,    3 072,    1 186,    1 886
河北省,    766 611,    441 127,    325 484,    189 697,    95 239,    94 458,    567 421,    340 939,    226 482,    7 054,    3 703,    3 351,,,天津市,    1 596,    675,    921
山西省,    542 180,    312440,    229 740,    158 776,    79 111,    79 665,    376 849,    229 756,    147 093,    4 265,    2 251,    2 014,,,河北省,    2 439,    1 246,    1 193
内蒙古自治区,    429 462,    247 796,    181 666,    112 354,    59 213,53 141,    311 433,    185 916,    125 517,    3 400,    1 652,    1 748,,,山西省,    2 290,    1 322,    968
辽宁省,    871 657,    456 522,    415 135,    218 491,    101 935,    1 16 556,    639 676,    349 157,    290 519,    8 396,    3 290,    5 106,,,内蒙古自治区,    2 275,    1 015,    1 260
吉林省,    587 713,    306 425,    281 288,    157 595,    70 285,    87 310,    420 895,    232 448,    188 447,    5 376,    2 140,    3 236,,,辽宁省,    5 094,    2 140,    2 954
黑龙江省,    737 777,    372 510,    365 267,    200 838,    85 827,    115 011,    525 899,    282 533,    243 366,    6 161,    2 303,    3 858,,,吉林省,    3 847,    1 552,    2 295
上海市,    514 452,    248 578,    265 874,    183 189,    88 913,    94 276,    323 568,    156 898,    166 670,    4 024,    1 077,    2 947,,,黑龙江省,    4 879,    1 847,    3 032
江苏省,    903 364,    556 748,    346 616,    285 294,    166 044,    119 250,    605 021,    384 404,    220 617,    9 402,    4 215,    5 187,,,上海市,    3 671,    1 690,    1 981
浙江省,    510 807,    305 100,    205 707,    174 564,    105 360,    69 204,    327 736,    195 785,    131 951,    5 566,    2 233,    3 333,,,江苏省,    3 647,    2 085,    1 562
安徽省,    593 959,    379 665,    214 294,    189 472,    114 262,    75 210,    395 721,    260 432,    135 289,    6 079,    3 325,    2 754,,,浙江省,    2 941,    1 722,    1 219
福建省,    418 451,    267 282,    151 169,    144 422,    88 285,    56 137,    267 748,    175 847,    91 901,    4 745,    2 167,    2 578,,,安徽省,    2 687,    1 646,    1 041
江西省,    508 739,    330 193,    178 546,    141 541,    93 489,    48 052,    358 792,    232 165,    126 627,    5 593,    2 824,    2 769,,,福建省,    1 536,    983,    553
山东省,    1 217 082,    759 787,    457 295,    379 594,    203 554,    176 040,    825 434,    549 783,    275 651,    9 213,    5 024,    4 189,,,江西省,    2 813,    1 715,    1 098
河南省,    900 616,    545 015,    355 601,    304 323,    158 565,    145 758,    582 766,    378 859,    203 907,    9 952,    5 657,    4 295,,,山东省,    2 841,    1 426,    1 415
湖北省,    977 286,    578 743,    398 543,    349 247,    192 907,    156 340,    615 275,    379 753,    235 522,    8 270,    3 703,    4 567,,,河南省,    3 575,    1 934,    1 641
湖南省,    817 431,    489 845,    327 586,    284 008,    160 036,    123 972,    521 502,    324 159,    197 343,    7 705,    3 365,    4 340,,,湖北省,    4 494,    2 380,    2 114
广东省,    868 724,    533 336,    335 388,    332 344,    194 263,    138 081,    525 466,    334 054,    191 412,    7 856,    3 345,    4 511,,,湖南省,    4 216,    2 285,    1 931
广西壮族自治区,    532 215,    326 984,    205 231,    196 459,    111 172,    85 287,    328 409,    212 018,    116 391,    4 857,    2 433,    2 424,,,广东省,    3 058,    1 674,    1 384
海南省,    103 622,    67 432,    36 190,    33 177,    18 172,    15 005,    69 258,    48 575,    20 683,    827,    461,    366,,,广西壮族自治区,    2 490,    1 361,    1 129
四川省,    1 326 482,    788 541,    537 941,    329 787,    201 507,    128 280,    969 719,    575 188,    394 531,    16 387,    6 462,    9 925,,,海南省,    360,    224,      136
贵州省,    384 010,    239 810,    144200,    135 800,    87 604,    48 196,    241 615,    149 073,    92 542,    3 561,    1 546,    2 015,,,四川省,    10 589,    5 384,    5 205
云南省,    468 177,    288 432,    179 745,    165 907,    101 372,    64 535,    294 854,    183 223,    11 1 631,    3 984,    1 955,    2 029,,,贵州省,    3 034,    1 587,    1 447
西藏自治区,    24 227,    14 651,    9 576,    7 810,    5 068,    2 742,    15 886,    9 368,    6 518,    191,    64,    127,,,云南省,    3 432,    1 882,    1 550
陕西省,    531 953,    332 980,    198 973,    138 550,    79 536,    59 014,    385 568,    249 479,    136 089,    5 200,    2549,    2 651,,,西藏自治区,    340,    151,    189
甘肃省,    320 634,    209 174,    111 460,    113 346,    69 255,    44 091,    202 935,    137446,    65 489,    2 777,    1 623,    1 154,,,陕西省,    2 635,    1 416,    1219
青海省,    97 181,    59 739,    37 442,    31 206,    18 812,    12 394,    64 260,    40 083,    24 177,    810,    411,    399,,,甘肃省,    1 576,    850,    726
宁夏回族自治区,    89 881,    57 409,    32 472,    24 145,    13 960,    10 185,    64 570,    42 889,    21 681,    654,    303,    351,,,青海省,    905,    433,    472
新疆维吾尔自治区,    403 670,    220 688,    182 982,    129 366,    63 559,    65 807,    264 184,    152 987,    111 197,    4 077,    1 489,    2 588,,,宁夏回族自治区,    512,    257,    255
,,,,,,,,,,,,,,,新疆维吾尔自治区,    6 043,    2 653,    3 390
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,表7-1省、自治区、直辖市各种文化程度人口分性别的,,,
,,,,,,,,,,,,,,,    婚姻状况(续14)单位：人,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,,,,
    和地区别,,,,,,    女,    小计,    男,    女,    小计,    男,    女,,,    文化程度,    离婚,,
,  合计,    男,    女,  小计,    男,,,,,,,,,,    和地区别,,,
大学专科,    9 618 959,    6 559 621,    3 059 338,    2 609 923,    1 614 602,    995 321,    6 882 135,    4 869 521,    2 012 614,    66 755,    39 423,    27 332,,,,    小计,    男,    女
北京市,    402 433,    222 908,    179 525,    84 489,    44 058,    40 431,    310 673,    175 772,    134 901,    3 574,    1 439,    2 135,,,大学专科,    60 146,    36 075,    24 071
天津市,    227 789,    138 302,    89 487,    38 185,    18 989,    19 196,    185 616,    117 110,    68 506,    2 495,    1 434,    1 061,,,北京市,    3 697,    1 639,    2 058
河北省,    371 303,    248 843,    122 460,    76 037,    41 630,    34 407,    291 736,    205 068,    86 668,    2 126,    1 326,    800,,,天津市,    1 493,    769,    724
山西省,    258 462,    174 624,    83 838,    60 142,    33 339,    26 803,    195 513,    139 424,    56 089,    1 546,    1 070,    476,,,河北省,    1 404,    819,    585
内蒙古自治区,    209 026,    136 172,    72 854,    53 068,    28 555,    24 513,    153 501,    106 212,    47 289,    1 118,    680,    438,,,山西省,    1 261,    791,    470
辽宁省,    638 703,    396 002,    242 701,    125 055,    63 485,    61 570,    504 960,    327 985,    176 975,    4 335,    2 321,    2 014,,,内蒙古自治区,    1 339,    725,    614
吉林省,    313 510,    198 049,    1 15 461,    70 181,    36 887,    33 294,    239 128,    158 956,    80 172,    2 060,    1 112,    948,,,辽宁省,    4 353,    2 211,    2 142
黑龙江省,    515 980,    316 843,    199 137,    129 191,    65 948,    63 243,    380 341,    247 692,    132 649,    3 122,    1 594,    1 528,,,吉林省,    2 141,    1 094,    1 047
上海市,    438 521,    290 538,    147 983,    102 726,    63 681,    39 045,    327 467,    222 348,    105 119,    4 511,    2 250,      2 261,,,黑龙江省,    3 326,    1 609,    1 717
江苏省,    620 872,    449 059,    171 813,    168 621,    113 852,    54 769,    444 710,    330 473,    114237,    4 448,    2 680,    1 768,,,上海市,    3 817,    2 259,    1 558
浙江省,    299 450,    212 349,    87 101,    94 025,    62 530,    31 495,    200 987,    146 806,    54 181,    2 416,    1 590,    826,,,江苏省,    3 093,    2 054,    1 039
安徽省,    310 559,    229 234,    81 325,    88 687,    61 099,    27 588,    218 094,    165 498,    52 596,    2 156,    1 478,    678,,,浙江省,    2 022,    1 423,    599
福建省,    212 606,    156 735,    55 871,    74 756,    51 147,    23 609,    135 256,    103 885,    31 371,    1 634,    1 014,    620,,,安徽省,    1 622,    1 159,    463
江西省,    239 855,    185 351,    54 504,    72 915,    55 328,    17 587,    163 932,    127 880,    36 052,    1 671,    1 149,    522,,,福建省,    960,    689,    271
山东省,    554 744,    403 126,    151 618,    138 802,    90 295,    48 507,    411 455,    310 133,    101 322,    2 566,    1 547,    1 019,,,江西省,    1 337,    994,    343
河南省,    507 434,    349 437,    157 997,    135 684,    80 294,    55 390,    365 885,    265 384,    100 501,    3 370,    2 262,    1 108,,,山东省,    1 921,    1 151,    770
湖北省,    546 164,    388 339,    157 825,    165 147,    108 854,    56 293,    374 462,    275 475,    98 987,    3 706,    2 203,    1 503,,,河南省,    2 495,    1 497,    998
湖南省,    482 677,    346 802,    135 875,    165 459,    111971,    53 488,311 652,    231 043,    80 609,    2 767,    1 899,    868,,,湖北省,    2 849,    1 807,    1 042
广东省,    546 541,    394 096,    152 445,    190 524,    128 550,    61 974,    349 386,    261 486,    87 900,    4 112,    2 487,    1 625,,,湖南省,    2 799,    1 889,    910
广西壮族自治区,    213 350,    155 416,    57 934,    65 989,    43 852,    22 137,    144 619,    109 867,    34 752,    1 482,    899,    583,,,广东省,    2 519,    1 573,    946
海南省,    61 910,    49 079,    12 831,    20 793,    14 872,    5 921,    40 558,    33 798,    6 760,    296,    204,    92,,,广西壮族自治区,    1 260,    798,    462
四川省,    606 997,    417 220,    189 777,    161 052,    100 846,    60 206,    435 590,    309 912,    125 678,    4 929,    2 981,    1 948,,,海南省,    263,    205,    58
贵州省,    147 203,    100 892,    46 311,    46 876,    29 528,    17 348,    97 879,    69 817,    28 062,    979,    590,    389,,,四川省,    5 426,    3 481,    1 945
云南省,    178 590,    122 879,    55 711,    63 371,    40 711,    22 660,    112 587,    80 441,    32 146,    1 091,    682,    409,,,贵州省,    1 469,    957,    512
西藏自治区,    7 858,    5 756,    2 102,    2 036,    1 453,    583,    5 667,    4 209,    1 458,    51,    28,    23,,,云南省,    1 541,    1 045,    496
陕西省,    295 650,    199 700,    95 950,    86 068,    49 932,    36 136,    206 062,    147 640,    58 422,    1 845,    1 081,    764,,,西藏自治区,    104,    66,    38
甘肃省,    145 330,    102 438,    42 892,    45 321,    28 682,    16 639,    98 101,    72 514,    25 587,    915,    599,    316,,,陕西省,    1 675,    1 047,    628
青海省,    37 956,    26 447,    11 509,    9 194,    5 589,    3 605,    28 062,    20 404,    7 658,    226,    161,    65,,,甘肃省,    993,    643,    350
宁夏回族自治区,    46 358,    31 674,    14 684,    13 438,    7 863,    5 575,    32 410,    23 514,    8 896,    189,    121,    68,,,青海省,    474,    293,    181
新疆维吾尔自治区,    181 128,    111 311,    69 817,    62 091,    30 782,    31 309,    115 846,    78 775,    37 071,    1 019,    542,    477,,,宁夏回族自治区,    321,    176,    145
,,,,,,,,,,,,,,,新疆维吾尔自治区,    2 172,    1 212,    960
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-1省、自治区、直辖市各种文化程度人口分性别的婚姻状况(续07),,,,,,,,,,,,,,,表7-1省、自治区、直辖市各种文化程度人口分性别的,,,
    单位：人,,,,,,,,,,,,,,,    婚姻状况(续15)单位：人,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,    未 婚,,,    有配偶,,,    丧偶,,,,,    文化程度,    离婚,,
    和地区别,,,,,,,,,,,,,,,    和地区别,,,
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,    小计,    男,    女
大学本科,    6 138 477,    4 418 510,    1 719 967,    2 188 388,    1 532 428,    655 960,    3 851 705,    2 827 916,    1 023 789,    61 699,    35 249,    26 450,,,大学本科,    36 685,    22 917,    13 768
北京市,    603 920,    383 915,    220 005,    218 440,    142 699,    75 741,    373 087,    235 582,    137 505,    7 632,    3 290,    4 342,,,北京市,    4 761,    2 344,    2 417
天津市,    182 493,    117 073,    65 420,    67 600,    41 175,    26 425,    111 576,    74 073,    37 503,    2 278,    1 267,    1 011,,,天津市,    1 039,    558,    481
河北省,    211 195,    145 710,    65 485,    62 549,    39 668,    22 881,    146 454,    104 743,    41 711,    1 502,    893,    609,,,河北省,    690,    406,    284
山西省,    139 203,    98 368,    40 835,    47 747,    30 548,    17 199,    89 922,    66 801,    23 121,    991,    650,    341,,,山西省,    543,    369,    174
内蒙古自治区,    108 323,    74 811,    33 512,    33 701,    20 372,    13 329,    73 316,    53 636,    19 680,    743,    451,    292,,,内蒙古自治区,    563,    352,    211
辽宁省,    384 751,    268 510,    116 241,    118 428,    75 659,    42 769,    261 095,    189 690,    71 405,    3 433,    2 068,    1 365,,,辽宁省,    1 795,    1 093,    702
吉林省,    217 010,    148 047,    68 963,    67 453,    41 612,    25 841,    146 729,    104 863,    41 866,    1 776,    994,    782,,,吉林省,    1 052,    578,    474
黑龙江省,    237 510,    166 558,    70 952,    78 820,    51 326,    27 494,    155 390,    113 310,    42 080,    2 061,    1 217,    844,,,黑龙江省,    1 239,    705,    534
上海市,    433 611,    301 374,    132 237,    167 457,    112 622,    54 835,    255 168,    182 586,    72 582,    7 163,    3 861,    3 302,,,上海市,    3 823,    2 305,    1 518
江苏省,    367 893,    275 098,    92 795,    136 965,    101 627,    35 338,    225 263,    170 059,    55 204,    3 748,    2166,    1582,,,江苏省,    1 917,    1 246,    671
浙江省,    186 042,    139 889,    46 153,    71 766,    53 913,    17 853,    111 312,    83 991,    27 321,    1 829,    1 154,    675,,,浙江省,    1 135,    831,    304
安徽省,    185 319,    145 962,    39 357,    62 078,    49 375,    12 703,    120 517,    94 682,    25 835,    1 722,    1 175,    547,,,安徽省,    1 002,    730,    272
福建省,    156 338,    120 440,    35 898,    57 241,    43 088,    14 153,    96 660,    75 725,    20 935,    1 750,    1 118,    632,,,福建省,    687,    509,    178
江西省,    133 867,    107 523,    26 344,    49 654,    39 566,    10 088,    82 396,    66 634,    15 762,    1 142,    789,    353,,,江西省,    675,    534,    141
山东省,    268 119,    202 201,    65 918,    96 916,    70 926,    25 990,    168 787,    129 799,    38 988,    1 561,    925,    636,,,山东省,    855,    551,    304
河南省,    218 126,    163 836,    54 290,    68 015,    48 388,    19 627,    147 418,    113 660,    33 758,    1 771,    1 187,    584,,,河南省,    922,    601,    321
湖北省,    298 763,    227 185,    71 578,    123 912,    94 723,    29 189,    170 693,    129 932,    40 761,    2 692,    1 548,    1 144,,,湖北省,    1 466,    982,    484
湖南省,    207 230,    160 627,    46 603,    75 804,    57 494,    18 310,    128 077,    100 890,    27 187,    2 038,    1 31 1,    727,,,湖南省,    1 311,    932,    379
广东省,    294 338,    219 726,    74 612,    113 151,    82 996,    30 155,    176 403,    133 848,    42 555,    3 1 14,    1 790,    1 324,,,广东省,    1 670,    1 092,    578
广西壮族自治区,    121 094,    92 809,    28 285,    45 106,    34 076,    11 030,    74 315,    57 656,    16 659,    1 027,    637,    390,,,广西壮族自治区,    646,    440,    206
海南省,    19 863,    16 251,    3 612,    8 457,    6 749,    1 708,    11 202,    9 351,    1 851,    102,    73,    29,,,海南省,    102,    78,    24
四川省,    423 454,    310 981,    112 473,    138 651,    100 929,    37 722,    275 932,    204 730,    71 202,    5 418,    3 074,    2 344,,,四川省,    3 453,    2 248,    1 205
贵州省,    103 400,    74 717,    28 683,    34 800,    24 166,    10 634,    66 555,    49 272,    17 283,    1 126,    647,    479,,,贵州省,    919,    632,    287
云南省,    120 006,    84 595,    35 411,    47 356,    32 558,    14 798,    70 364,    50 594,    19 770,    1 254,    736,    518,,,云南省,    1 032,    707,    325
西藏自治区,    4 559,    3 324,    1 235,    1 484,    1 129,    355,    3 009,    2 155,    854,    8,    5,    3,,,西藏自治区,    58,    35,    23
陕西省,    254 372,    187 490,    66 882,    100 669,    73 327,    27 342,    150 700,    112 344,    38 356,    1 823,    1 063,    760,,,陕西省,    1 180,    756,    424
甘肃省,    101 972,    75 494,    26 478,    36 680,    26 317,    10 363,    63 741,    48 150,    15 591,    978,    635,    343,,,甘肃省,    573,    392,    181
青海省,    28 406,    20 235,    8 171,    9 799,    6 330,    3 469,    18 147,    13 604,    4 543,    197,    124,    73,,,青海省,    263,    177,    86
宁夏回族自治区,    28 609,    20 062,    8 547,    9 306,    6 059,    3 247,    18 945,    13 801,    5 144,    183,    90,    93,,,宁夏回族自治区,    175,    112,    63
新疆维吾尔自治区,    98 691,    65 699,    32 992,    38 383,    23 011,    15 372,    58 532,    41 755,    16 777,    637,    311,    326,,,新疆维吾尔自治区,    1 139,    622,    517
