,,,,,,,,,,,,,,,,,,
表7-1省、自治区、直辖市各种文化程度人口分性别的婚姻状况,,,,,,,,,,,,,,,    婚姻状况(续08)单位：人,,,
    单位：人,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    文化程度,    离婚,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    和地区别,,,
    和地区别,,,,,,    女,    小计,    男,    女,    小计,    男,    女,,,,    小计,    男,    女
甘肃省,    16 112 852,    8 353 317,    7 759 535,    4 255 198,    2 527 980,    1 727 218,    10 881 224,    5 441 507,    5 439 717,    877 084,    311 077,    566 007,,,青海省,    35 915,    17 828,    18 087
青海省,    3 086 277,    1 611 570,    1 474 707,    916 793,    546 596,    370 197,    1 980 030,    999 070,    980 960,    153 539,    48 076,    105 463,,,宁夏回族自治区,    15 617,    9 922,    5 695
宁夏回族自治区,    3 084 786,    1 585 006,    1 499 780,    836 385,    479 145,    357 240,    2 104 461,    1 054 269,    1 050 192,    128 323,    41 670,    86 653,,,新疆维吾尔自治区,    286 162,    152 247,    133 915
新疆维吾尔自治区,    10 147 198,    5 268 211,    4 878 987,    2 883 162,    1 725 649,    1 157 513,    6 524 830,    3 276 825,    3 248 005,    453 044,    113 490,    339 554,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-1省、自治区、直辖市各种文化程度人口分性别的婚姻状况(续01),,,,,,,,,,,,,,,表7-1省、自治区、直辖市各种文化程度人口分性别的,,,
    单位：人,,,,,,,,,,,,,,,    婚姻状况(续09)单位：人,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    文化程度,    离婚,,
    和地区别,,,,,,,,,,,,,,,    和地区别,,,
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,    小计,    男,    女
,,,,,,,,,,,,,,,文盲、半文盲,    1 321 134,    959 035,    362 099
文盲、半文盲,  181 609 097,    54 359 731,  127 249 366,    13 930 980,    8 178 349,  5 752 631,  128 939 021,  37 225 917,    91 713 104,  37 417 962,    7 996 430,  29 421 532,,,北京市,    6 622,    3 565,    3 057
北京市,    942 779,    239 687,    703 092,    39 788,    32 763,    7 025,    626 541,    161 442,    465 099,    269 828,    41 917,    227 911,,,天津市,    4 356,    2 608,    1 748
天津市,    787 597,    183 756,    603 841,    28 552,    23 879,    4 673,    530 052,    123 297,    406 755,    224 637,    33 972,    190 665,,,河北省,    61 197,    48 699,    12 498
河北省,    9 370 841,    2 826 826,    6 544 015,    613 544,    483 180,    130 364,    6 689 103,    1 826 895,    4 862 208,    2 006 997,    468 052,    1 538 945,,,山西省,    41 934,    37 607,    4 327
山西省,    3 266 564,    1 084 713,    2 181 851,    179 253,    153 597,    25 656,    2 184 071,    704 408,    1 479 663,    861 306,    189 101,    672 205,,,内蒙古自治区,    22 915,    18 818,    4 097
内蒙古自治区,    3 328 158,    1 152 023,    2 176 135,    254 958,    187 332,    67 626,    2 497 214,    766 197,    1 731 017,    553 071,    179 676,    373 395,,,辽宁省,    18 237,    12 501,    5 736
辽宁省,    3 487 317,    1 014 263,    2 473 054,    149 841,    127 836,    22 005,    2 332 132,    648 558,    1 683 574,    987 107,    225 368,    761 739,,,吉林省,    16 630,    12 418,    4 212
吉林省,    2 603 289,    881 406,    1 721 883,    128 911,    103 973,    24 938,    1 823 070,    573 490,    1 249 580,    634 678,    191 525,    443 153,,,黑龙江省,    23 845,    17 153,    6 692
黑龙江省,    3 859 223,    1 254 306,    2 604 917,    188 337,    142 887,    45 450,    2 801 195,    843 108,    1 958 087,    845 846,    251 158,    594 688,,,上海市,    12 142,    4 375,    7 767
上海市,    1 474 749,    331 484,    1 143 265,    31 539,    21 727,    9 812,    996 629,    258 671,    737 958,    434 439,    46 711,    387 728,,,江苏省,    65 098,    46 524,    18 574
江苏省,    11 626 835,    3 110 284,    8 516 551,    490 935,    357 164,    133 771,    8 490 422,    2 261 754,    6 228 668,    2 580 380,    444 842,    2 135 538,,,浙江省,    63 161,    54 402,    8 759
浙江省,    7 297 499,    2 164 747,    5 132 752,    316 474,    239 333,    77 141,    5 362 244,    1 601 549,    3 760 695,    1 555 620,    269 463,    1 286 157,,,安徽省,    92 563,    77 125,    15 438
安徽省,    13 818 302,    4 376 198,    9 442 104,    1 531 654,    728 107,    803 547,    10 128 865,    3 095 847,    7 033 018,    2 065 220,    475 119,    1 590 101,,,福建省,    34 915,    28 278,    6 637
福建省,    4 767 273,    1 116 014,    3 651 259,    328 969,    153 367,    175 602,    3 391 598,    781 735,    2 609 863,    1 011791,    152 634,    859 157,,,江西省,    50 023,    40 226,    9 797
江西省,    6 197 208,    1 636 894,    4 560 314,    411 402,    183 460,    227 942,    4 507 873,    1 186 881,    3 320 992,    1 227 910,    226 327,    1 001 583,,,山东省,    70 312,    51 287,    19 025
山东省,    14 256 068,    4 145 182,    10 110 886,    834 228,    530 702,    303 526,    10 290 436,    2 908 941,    7 381 495,    3 061 092,    654 252,    2 406 840,,,河南省,    94 973,    78 150,    16 823
河南省,    13 958 052,    4 335 815,    9 622 237,    1 068 916,    717 225,    351 691,    9 744 330,    2 861 659,    6 882 671,    3 049 833,    678 781,    2 371 052,,,湖北省,    63 254,    51 220,    12 034
湖北省,    8 615 573,    2 492 252,    6 123 321,    484 501,    347 111,    137 390,    6 175 706,    1 640 066,    4 535 640,    1 892 112,    453 855,    1 438 257,,,湖南省,    56 760,    46 624,    10 136
湖南省,    7 425 619,    2 082 098,    5 343 521,    392 797,    270 314,    122 483,    5 110 588,    1 391 108,    3 719 480,    1 865 474,    374 052,    1 491 422,,,广东省,    37 405,    25 628,    11 777
广东省,    6 632 323,    1 294 975,    5 337 348,    364 496,    218 351,    146 145,    4 150 837,    860 925,    3 289 912,    2 079 585,    190 071,    1 889 514,,,广西壮族自治区,    31 224,    22 354,    8 870
广西壮族自治区,    4 572 697,    1 102 216,    3 470 481,    346 548,    185 141,    161 407,    2 972 936,    693 897,    2 279 039,    1 221 989,    200 824,    1 021 165,,,海南省,    7 609,    4 932,    2 677
海南省,    928 652,    225 175,    703 477,    71 230,    32 306,    38 924,    634 955,    158 305,    476 650,    214 858,    29 632,    185 226,,,四川省,    111 133,    74 465,    36 668
四川省,    17 500 653,    5 520 371,    11 980 282,    1 305 648,    878 461,    427 187,    12 151 585,    3 672 608,    8 478 977,    3 932 287,    894 837,    3 037 450,,,贵州省,    38 145,    25 255,    12 890
贵州省,    8 008 639,    2 422 603,    5 586 036,    1 147 545,    429 269,    718 276,    5 765 959,    1 658 471,    4 107 488,    1 056 990,    309 608,    747 382,,,云南省,    63 016,    34 376,    28 640
云南省,    9 467 073,    3 174 149,    6 292 924,    1 162 693,    509 434,    653 259,    6 941 090,    2 290 972,    4 650 118,    1 300 274,    339 367,    960 907,,,西藏自治区,    29 638,    5 643,    23 995
西藏自治区,    980 883,    390 864,    590 019,    299 991,    130 876,    169 115,    556 969,    229 026,    327 943,    94 285,    25 319,    68 966,,,陕西省,    46 455,    39 357,    7 098
陕西省,    5 874 889,    1 985 871,    3 889 018,    482 344,    332 454,    149 890,    4 256 935,    1 303 272,    2 953 663,    1 089 155,    310 788,    778 367,,,甘肃省,    48 538,    35 453,    13 085
甘肃省,    6 310 630,    2 193 551,    4 117 079,    821 674,    410 646,    411 028,    4 700 970,    1 532 354,    3 168 616,    739 448,    21 5 098,    524 350,,,青海省,    19 206,    6 990,    12 216
青海省,    1 235 865,    433 647,    802 218,    212 369,    102 715,    109 654,    877 912,    293 805,    584 107,    126 378,    30 137,    96 241,,,宁夏回族自治区,    5061,    3 512,    1 549
宁夏回族自治区,    1 032 746,    356 081,    676 665,    122 907,    58 537,      64 370,    796 581,    264 502,    532 079,    108 197,    29 530,    78 667,,,新疆维吾尔自治区,    84 767,    49 490,    35 277
新疆维吾尔自治区,    1 981 101,    832 280,    1 148 821,    118 936,    86 202,    32 734,    1 450 223,    632 174,    818 049,    327 175,    64 414,    262 761,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,表7-1省、自治区、直辖市各种文化程度人口分性别的,,,
,,,,,,,,,,,,,,,    婚姻状况(续10)单位：人,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,,,,
    和地区别,,,,,,,,,,,,,,,    文化程度,    离婚,,
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    和地区别,,,
小学,  282 507 460,  147 836 697,  134 670 763,    69 181 843,  38 054 834,  31 127 009,  201 952 523,  102 283 706,    99 668 817,    9 618 727,    6 083 734,  3 534 993,,,,    小计,    男,    女
北京市,    1 466 147,    788 677,    677 470,    129 041,    90 722,    38 319,    1 226 006,    638 141,    587 865,    100 021,    52 439,    47 582,,,小学,    1 754 367,    1 414 423,    339 944
天津市,    1 729 910,    879 099,    850 811,    192 557,    116 663,    75 894,    1 424 534,    700 924,    723 610,    102 920,    54 762,    48 158,,,北京市,    11 079,    7 375,    3 704
河北省,    14 371 159,    7 478 777,    6 892 382,    2 761 067,    1 568 022,    1 193 045,    11 020 138,    5 483 416,    5 536 722,    512 050,    359 732,    152 318,,,天津市,    9 899,    6 750,    3 149
山西省,    6 655 657,    3 362 857,    3 292 800,    1 319 055,    818 516,    500 539,    5 001 048,    2 321 431,    2 679 617,    271 167,    165 633,    105 534,,,河北省,    77 904,    67 607,    10 297
内蒙古自治区,    4 480 206,    2 368 452,    2 111 754,    1 144 352,    678 906,    465 446,    3 185 895,    1 585 737,    1 600 158,    125 281,    84 093,    41 188,,,山西省,    64 387,    57 277,    7 110
辽宁省,    9 205 045,    4 647 284,    4 557 761,    1 367 501,    830 135,    537 366,    7 371 584,    3 529 642,    3 841 942,    403 611,    242 518,    161 093,,,内蒙古自治区,    24 678,    19 716,    4 962
吉林省,    5 744 002,    2 863 722,    2 880 280,    1 083 391,    638 958,    444433,    4 412 917,    2 072 518,    2 340 399,    205 560,    120 994,    84 566,,,辽宁省,    62 349,    44 989,    17 360
黑龙江省,    7 618 150,    3 840 641,    3 777 509,    1 514 451,    891 107,    623 344,    5 779 400,    2 750 442,    3 028 958,    269 665,    159 295,    110 370,,,吉林省,    42 134,    31 252,    10 882
上海市,    2 008 018,    1 037 667,    970 351,    115 237,    78 662,    36 575,    1 711 788,    891 480,    820 308,    162 133,    57 776,    104 357,,,黑龙江省,    54 634,    39 797,    14 837
江苏省,    16 112 630,    8 200 009,    7 912 621,    2 867 189,    1 458 259,    1 408 930,  12 623 825,    6 330 497,    6 293 328,    549 498,    351 278,    198 220,,,上海市,    18 860,    9 749,    9 111
浙江省,    12 200 676,    6 740 099,    5 460 577,    2 348 499,    1 352 497,    996 002,    9 360 714,    5 070 124,    4 290 590,    401 733,    239 593,162 140,,,江苏省,    72 118,    59 975,    12 143
安徽省,    12 626 054,    6 889 361,    5 736 693,    4 322 133,    2 235 637,    2 086 496,    7 950 853,    4 385 084,    3 565 769,    286 577,    209 122,    77 455,,,浙江省,    89 730,    77 885,    1 1 845
福建省,    8 733 103,    4 569 917,    4 163 186,    2 154 835,    1 159 389,    995 446,    6 265 579,    3 211 245,    3 054 334,    259 813,    152 810,    107 003,,,安徽省,    66 491,    59 518,    6 973
江西省,    10 147 214,    5 290 357,    4 856 857,    2 778 400,    1 428 820,    1 349 580,    7 021 026,    3 618 584,    3 402 442,    286 104,    189 040,    97 064,,,福建省,    52 876,    46 473,    6 403
山东省,    20 881 917,    10 081 111,    10 800 806,    4 467 475,    2 101 802,    2 365 673,    15 654 935,    7 452 791,    8 202 144,    677 079,    455 478,    221 601,,,江西省,    61 684,    53 913,    7 771
河南省,    18 305 705,    8 878 688,    9 427 017,    5 028 514,    2 576 509,    2 452 005,    12 610 835,    5 851 215,    6 759 620,    565 137,    362 747,    202 390,,,山东省,    82 428,    71 040,    11 388
湖北省,    12 652 684,    6 503 510,    6 149 174,    3 124 230,    1 588 525,    1 535 705,    9 008 355,    4 537 631,    4 470 724,    445 668,    313 835,    131 833,,,河南省,    101 219,    88 217,    13 002
湖南省,    17 834 110,    9 363 295,    8 470 815,    4 033 324,    2 255 660,    1 777 664,    12 917 566,    6 511 309,    6 406 257,    758 918,    487 437,    271 481,,,湖北省,    74 431,    63 519,    10 912
广东省,    17 107 249,    8 385 068,    8 722 181,    4 216 272,    2 197 820,2 018 452,    12 086 945,    5 750 362,    6 336 583,    712 211,    358 062,    354 149,,,湖南省,    124 302,    108 889,    15 413
广西壮族自治区,    12 673 170,    6 610 854,    6 062 316,    3 916 543,    2 224 717,    1 691 826,    8 154 481,    4 010 490,    4 143 991,    522 032,    305 695,    216 337,,,广东省,    91 821,    78 824,    12 997
