,,,,,,,,,,,,,,,,,,,,,,,,
表7-13全国按丈夫年龄和夫妻年龄差分的妻子人数,,,,,,,,,,,,,,表7-13全国按丈夫年龄和夫妻年龄差分的妻子人数(续03),,,,,,,,,,
        单位：人,,,,,,,,,,,,,,    单位：人,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,    丈夫年龄与 妻子年龄之差,,,,,,,,,,,,,,    丈夫年龄与 妻子年龄之差,,,,,,,,,
    丈夫年龄别,,,,,,,,,,,,,,    丈夫年龄别,,,,,,,,,,
,  10岁及以上,    9岁,    8岁,    7岁,    6岁,    5岁,    4岁,    3岁,    2岁,    1岁,    0岁,,,,    -1岁,    -2岁,    -3岁,    -4岁,    -5岁,    -6岁,    -7岁,    -8岁,    -9岁,  -10岁及以上
35-39岁,    1 094 929,    473 084,    625 349,    806 018,    1 222 577,    2 000 881,    3 064 904,    4 348 213,    5 307 828,    5 733 393,    5 150 284,,,35-39岁,    3 066 773,    1 577 283,    701 927,    262 909,    101 416,    43 649,    23 658,    15 114,    10 448,    34 386
  35,    217 811,    138 980,    229 329,    201 727,    202 537,    376 637,    542 677,    963 752,    1 149 684,    1 223 013,    1 229 561,,,  35,    738 272,    386 296,    187 200,    64 459,    26 318,    9 429,    5 127,    3 147,    2 276,    7 429
  36,    238 313,    144 034,    126 783,    128 561,    234 615,    357 990,    676 355,    878 612,    1 060 589,    1 265 203,    1 119 456,,,  36,    669 143,    370 867,    147 068,    57 658,    20 344,    9 092,    4 900,    3 165,    2 156,    7 352
  37,    249 129,    79 473,    80 145,    145 634,    225 113,    448 545,    615 865,    809 470,    1 112 872,    1 174 358,    1 019 301,,,  37,    631 336,    289 920,    139 304,    51 449,    19 426,    8 845,    4 655,    3 063,    2 049,    7 590
  38,    223 837,    52 918,    98 072,    151 295,    301 623,    435 660,    614 102,    920 990,    1 100 191,    1 104 778,    989 572,,,  38,    538 393,    300 939,    124 205,    47 530,    18 643,    8 500,    4 824,    2 948,    1 962,    6 495
  39,    165 839,    57 679,    91 020,    178 801,    258 689,    382 049,    615 905,    775 389,    884 492,    966 041,    792 394,,,  39,    489 629,    229 261,    104 150,    41 813,    16 685,    7 783,    4 1 52,    2 791,    2 005,    5 520
40-44岁,    823 866,    397 932,    648 580,    986 894,    1 488 178,    2 178 330,    2 905 253,    3 472 406,    3 821 508,    3 656 129,    3 071 450,,,40-44岁,    1 720 434,    889 033,    415 768,    181 837,    87 288,    46 655,    27 689,    18 277,    11619,    28 013
  40,    182 400,    68 454,    136 757,    194 888,    287 337,    488 145,    653 738,    825 305,    993 438,    921 006,    846 639,,,  40,    449 907,    238 661,    114 836,    48 119,    21 032,    10 224,    6 230,    4 553,    3 471,    6 878
  41,    148 387,    81 172,    116 984,    172 285,    290 170,      428 929,    588 338,    739 162,    753 811,    810 709,    626 831,,,  41,    372 109,    199 055,    92 223,    38 701,    16 771,    9 098,    6 285,    4 548,    2 435,    5 654
  42,    158 015,    77 697,    116 507,    202 522,    298 682,    434 990,    590 703,    643 568,    780 071,    690 078,    582 130,,,  42,    344 354,    174 769,    75 936,    31 422,    16 114,    9 500,    6 198,    3 643,    1 965,    5 414
