,,,,,,,,,,,,,,,,,,
  表7-4省、自治区、直辖市的县各科文化程度人口分性别的婚姻状况(第二口径),,,,,,,,,,,,,,,表7-4省、自治区、直辖市的县各种文化程度人口分性别的,,,
    单位：人,,,,,,,,,,,,,,,    婚姻状况(第二口径)(续08)单位：人,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    文化程度,    离婚,,
    和地区别,,,,,,    女,  小计,    男,    女,    小计,    男,    女,,,    和地区别,,,
,  合计,    男,    女,  小计,    男,,,,,,,,,,,    小计,    男,    女
广西壮族自治区,    6 030 674,    3 905 207,    2 125 467,    2 299 569,    1 563 343,    736 226,    3 650 093,    2 276 975,    1 373 118,    58 453,    45 183,    13 270,,,广西壮族自治区,    22 559,    19 706,    2 853
海南省,    1 017 847,    649 528,    368 319,    395 417,    264 683,    130 734,    610 831,    376 075,    234 756,    7 225,    5 149,    2 076,,,海南省,    4 374,    3 621,    753
四川省,    16 175 415,    10 174 127,    6 001 288,    6 624 019,    4 253 821,    2 370 198,    9 363 958,    5 774 994,    3 588 964,    141 073,    111 875,    29 198,,,四川省,    46 365,    33 437,    12 928
贵州省,    3 075 775,    2 327 770,    748 005,    1 259 177,    905 754,    353 423,    1 771 255,    1 382 855,    388 400,    33 599,    29 443,    4 156,,,贵州省,    11 744,    9 718,    2 026
云南省,    3 429 812,    2 345 686,    1 084 126,    1 403 729,    924 256,    479 473,    1 988 609,    1 393 180,    595 429,    23 521,    18 506,    5 015,,,云南省,    13 953,    9 744,    4 209
西藏自治区,    35 231,    27 126,    8 105,    17 775,    13 838,    3 937,    16 599,    12 612,    3 987,    572,    496,    76,,,西藏自治区,    285,    180,    105
陕西省,    5 602 769,    3 416 827,    2 185 942,    1 910 195,    1 168 504,    741 691,    3 631 531,    2 200 271,    1 431 260,    41 869,    32 574,    9 295,,,陕西省,    19 174,    15 478,    3 696
甘肃省,    2 338 427,    1 638 051,    700 376,    1 012 619,    676 937,    335 682,    1 299 710,    938 997,    360 713,    17 655,    15 076,    2 579,,,甘肃省,    8 443,    7 041,    1 402
青海省,    389 822,    271 358,    118 464,    181 566,    118 071,    63 495,    201 724,    148 084,    53 640,    3 762,    3 120,    642,,,青海省,    2 770,    2 083,    687
宁夏回族自治区,    510 309,    330 760,    179 549,    221 810,    133 607,    88 203,    284 832,    194 230,    90 602,    2 262,    1 873,    389,,,宁夏回族自治区,    1 405,    1 050,    355
新疆维吾尔自治区,    1 500 916,    868 765,    632 151,    616 342,    370 616,    245 726,    843 408,    475 738,    367 670,    12 224,    5 955,    6 269,,,新疆维吾尔自治区,    28 942,    16 456,    12 486
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-4省、自治区、直辖市的县各种文化程度人口分性别的婚姻状况(第二口径)(续04),,,,,,,,,,,,,,,表7-4省、自治区、直辖市的县各种文化程度人口分性别的,,,
        单位：人,,,,,,,,,,,,,,,    婚姻状况(第二口径)(续12)单位：人,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    文化程度,    离婚,,
    和地区别,,,,,,,    小计,    男,    女,    小计,    男,    女,,,    和地区别,,,
,  合计,    男,    女,  小计,    男,    女,,,,,,,,,,    小计,    男,    女
高中,    32 316 952,  22 622 281,    9 694 671,    9 039 552,    6 082 321,    2 957 231,    22 953 701,    16 284 818,    6 668 883,    201 848,    164 404,    37 444,,,高中,    121 851,    90 738,    31 113
北京市,    201 650,    100 024,    101 626,    50 961,    25 024,    25 937,    149 402,    74 281,    75 121,    489,    309,    180,,,北京市,    798,    410,    388
天津市,    141 341,    85 526,    55 815,    37 517,    19 512,    18 005,    102 928,    65 338,    37 590,    528,    420,    108,,,天津市,    368,    256,    112
河北省,    2 267 181,    1 473 061,    794 120,    455 205,    257 327,    197 878,    1 793 352,    1 201 305,    592 047,    10 711,    8 367,    2 344,,,河北省,    7 913,    6 062,    1 851
山西省,    928 086,    587 190,    340 896,    253 927,    151 078,    102 849,    665 464,    429 569,    235 895,    4 005,    3 029,    976,,,山西省,    4 690,    3 514,    1 176
内蒙古自治区,    615 853,    411 421,    204 432,    179 694,    105 873,    73 821,    431003,    301 493,    129 510,    2 794,    2 275,    519,,,内蒙古自治区,        2 362,    1 780,    582
辽宁省,    806 232,    520 929,    285 303,    176 464,    99 237,    77 227,    619 226,    413 591,    205 635,    6 576,    5 276,    1 300,,,辽宁省,    3 966,    2 825,    1 141
吉林省,    597 81 1,    377 687,    220 124,    119 635,    67 766,    51869,    470 190,    304 320,    165 870,    4 128,    3 086,    1 042,,,吉林省,    3 858,    2 515,    1 343
黑龙江省,    887 834,    573 239,    314 595,    235 751,    132 091,    103 660,    640 760,    432 746,    208 014,    6 363,    5 007,    1 356,,,黑龙江省,    4 960,    3 395,    1 565
上海市,    320 341,    178 745,    141 596,    68 066,    38 194,    29 872,    249 565,    139 017,    110 548,    1 074,    635,    439,,,上海市,    1 636,    899,    737
江苏省,    2 745 143,    1 920 249,    824 894,    701 799,    478 187,    223 612,    2 024 849,    1 427 404,    597 445,    12 504,    10 237,    2 267,,,江苏省,    5 991,    4 421,    1 570
浙江省,    1 097 366,    736 115,    361 251,    433 400,    292 878,    140 522,    655 345,    436 659,    218 686,    5 083,    3 892,    1 191,,,浙江省,    3 538,    2 686,    852
安徽省,    1 088 484,    867 628,    220 856,    321 752,    245 647,    76 105,    751 786,    608 762,    143 024,    11 134,    9 983,    1 151,,,安徽省,    3 812,    3 236,    576
福建省,    855 823,    656 845,    198 978,    282 106,    206 658,    75 448,    564 931,    443 151,    121 780,    6 121,    4 868,    1 253,,,福建省,    2 665,    2 168,    497
江西省,    1 117 514,    874 394,    243 120,    365 202,    281 794,    83 408,    740 266,    582 468,    157 798,    7 582,    6 451,    1131,,,江西省,    4 464,    3 681,    783
山东省,    2 412 266,    1 761 116,    651 150,    585 135,    397 738,    187 397,    1 810 419,    1 349 510,    460 909,    11 269,    9 538,    1 731,,,山东省,    5 443,    4 330,    1 113
河南省,    3 193 474,    2 224 891,    968 583,    762 591,    489 270,    273 321,    2 400 245,    1 711 081,    689 164,    20 467,    16 766,    3 701,,,河南省,    10 171,    7 774,    2 397
湖北省,    1 674 755,    1 230 086,    444 669,    413 519,    306 243,    107 276,    1 243 745,    909 101,    334 644,    11 701,    10 048,    1 653,,,湖北省,    5 790,    4 694,    1 096
湖南省,    2 403 937,    1 681 635,    722 302,    699 820,    501 750,    198 070,    1 677 241,    1 158 030,    519 211,    17 551,    14 648,    2 903,,,湖南省,    9 325,    7 207,    2 118
广东省,    1 747 455,    1 336 188,    411 267,    520 049,    395 218,    124 831,    1 209 613,    926 321,    283 292,    11 918,    9 484,    2 434,,,广东省,    5 875,    5 165,    710
广西壮族自治区,    1 410 615,    1 016 893,    393 722,    331 629,    240 153,    91 476,    1 063 860,    764 578,    299 282,    9 158,    7 285,    1 873,,,广西壮族自治区,    5 968,    4 877,    1 091
海南省,    327 555,    237 779,    89 776,    101 870,    71 511,    30 359,    222 733,    163 962,    58 771,    1 577,    1 196,    381,,,海南省,    1 375,    1 110,    265
四川省,    2 084 636,    1 420 951,    663 685,    716 129,    486 484,    229 645,    1 341 645,    914 095,    427 550,    18 560,    15 085,    3 475,,,四川省,      8 302,    5 287,    3 015
贵州省,    369 184,    291 907,    77 277,    126 721,    96 138,    30 583,    236 903,    191 071,    45 832,    3 779,    3 321,    458,,,贵州省,    1 781,    1 377,    404
云南省,    516 125,    352 301,    163 824,    224 239,    145 306,    78 933,    286 901,    203 367,    83 534,    2 895,    2 327,    568,,,云南省,    2 090,    1 301,    789
西藏自治区,    6 327,    4 425,    1 902,    3 185,    2 441,    744,    3 027,    1 901,    1 126,    62,    50,    12,,,西藏自治区,    53,    33,    20
陕西省,    1 202 928,    806 712,    396 216,    344 277,    223 071,    121 206,    847 563,    574 905,    272 658,    6 816,    5 566,    1 250,,,陕西省,    4 272,    3 170,    1 102
甘肃省,    675 822,    527 701,    148 121,    217 995,    156 477,    61 518,    451 414,    365 838,    85 576,    3 719,    3 242,    477,,,甘肃省,    2 694,    2 144,    550
青海省,    102 942,    64 005,    38 937,    54 202,    30 453,    23 749,    47 462,    32 631,    14 831,    622,    498,    124,,,青海省,    656,    423,    233
宁夏回族自治区,    115 021,    79 417,    35 604,    55 467,    35 609,    19 858,    58 898,    43 307,    15 591,    362,    299,    63,,,宁夏回族自治区,    294,    202,    92
新疆维吾尔自治区,    403 251,    223 221,    180 030,    201 245,    103 193,    98 052,    192 965,    115 016,    77 949,    2 300,    1 216,    1 084,,,新疆维吾尔自治区,    6 741,    3 796,    2 945
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-4省、自治区、直辖市的县各种文化程度人口分性别的婚姻状况(第二口径)(续05),,,,,,,,,,,,,,,表7-4省、自治区、直辖市的县各种文化程度人口分性别的,,,
    单位：人,,,,,,,,,,,,,,,    婚姻状况(第二口径)(续13)单位：人,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    文化程度,    离婚,,
    和地区别,,,,,,,,,,,,,,,    和地区别,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,,    小计,    男,    女
中专,    3 998 417,    2 921 034,    1 077 383,    999 834,    617 626,    382 208,    2 930 243,    2 252 414,    677 829,    48 934,    37 515,    11 419,,,中专,    19 406,    13 479,    5 927
北京市,    30 880,    18 219,    12 661,    11 116,    5 724,    5 392,    19 493,    12 320,    7 173,    149,    100,    49,,,北京市,    122,    75,    47
天津市,    17 619,    11 190,    6 429,    4 104,    2 079,    2 025,    13 391,    9 031,    4 360,    78,    53,    25,,,天津市,    46,    27,    19
河北省,    174 448,    122 604,    51 844,    27 994,    15 293,    12 701,    143 132,    104 835,    38 297,    2 698,    2 036,    662,,,河北省,    624,    440,    184
山西省,    103 219,    74 384,    28 835,    16 419,    8 700,    7 719,    84 865,    64 145,    20 720,    1 318,    1 075,    243,,,山西省,    617,    464,    153
内蒙古自治区,    83 453,    58 604,    24 849,    18 673,    10 290,    8 383,    63 511,    47 379,    16 132,    847,    645,    202,,,内蒙古自治区,    422,    290,    132
辽宁省,    122 300,    83 341,    38 959,    19 376,    9 378,    9 998,    101 068,    72 611,    28 457,    1 420,    1 088,    332,,,辽宁省,    436,    264,    172
吉林省,    87 633,    60 781,    26 852,    13 133,    5 898,    7 235,    73 015,    53 813,    19 202,    1 034,    793,    241,,,吉林省,    451,    277,    174
黑龙江省,    122 209,    75 972,    46 237,    27 350,    12 161,    15 189,    93 187,    62 732,    30 455,    1 056,    744,    312,,,黑龙江省,    616,    335,    281
上海市,    60 491,    34 874,    25 617,    24 326,    12 772,    1 1 554,    35 628,    21 832,    13 796,    289,    133,    156,,,上海市,    248,    137,    111
江苏省,    247 151,    182 825,    64 326,    56 913,    34 800,    22 113,    186 351,    145 126,    41 225,    3 147,    2 355,    792,,,江苏省,    740,    544,    196
浙江省,    107 046,    77 344,    29 702,    28 841,    19 032,    9 809,    75 892,    56 626,    19 266,    1 555,    1 107,    448,,,浙江省,    758,    579,    179
安徽省,    181 472,    145 088,    36 384,    42 446,    30 311,    12 135,    135 630,    112 007,    23 623,    2 609,    2 141,    468,,,安徽省,    787,    629,    158
福建省,    144 453,    109 040,    35 413,    44 024,    29 519,    14 505,    98 234,    77 896,    20 338,    1 662,    1 196,    466,,,福建省,    533,    429,    104
江西省,    179 383,    141 957,    37 426,    41 465,    31 557,    9 908,    134 575,    107 731,    26 844,    2 360,    1 867,    493,,,江西省,    983,    802,    181
山东省,    283 184,    216 850,    66 334,    62 649,    35 806,    26 843,    216 630,    177 876,    38 754,    3 330,    2 740,    590,,,山东省,    575,    428,    147
河南省,    273 646,    198 760,    74 886,    67 728,    38 853,    28 875,    200 228,    155 457,    44 771,    4 589,    3 659,    930,,,河南省,    1 101,    791,    310
湖北省,    192 505,    142 647,    49 858,    61 938,    37 995,    23 943,    127 546,    102 233,    25 313,    2 226,    1 809,    417,,,湖北省,    795,    610,    185
湖南省,    253 359,    177 016,    76 343,    83 793,    49 291,    34 502,    165 760,    124 902,    40 858,    2 722,    2 029,    693,,,湖南省,    1 084,    794,    290
广东省,    161 798,    123 408,    38 390,    49 665,    31 766,    17 899,    109 621,    89 635,    19 986,    1 869,    1 475,    394,,,广东省,    643,    532,    111
广西壮族自治区,    176 701,    129 741,    46 960,    50 979,    30 709,    20 270,    122 916,    96 809,    26 107,    2 075,    1 659,    416,,,广西壮族自治区,    731,    564,    167
海南省,    36 220,    25 504,    10 716,    11 268,    6 213,    5 055,    24 512,    18 953,    5 559,    293,        232,    61,,,海南省,    147,    106,    41
四川省,    349 528,    254 681,    94 847,    75 612,    51 462,    24 150,    266 756,    198 196,    68 560,    5 083,    3 650,    1 433,,,四川省,    2 077,    1 373,    704
贵州省,    97 886,    77 363,    20 523,    28 476,    21 808,    6 668,    67 858,    54 383,    13 475,    963,    754,    209,,,贵州省,    589,    418,    171
云南省,    151 669,    110 687,    40 982,    49 706,    34 117,    15 589,    99 844,    75 050,    24 794,    1 279,    970,    309,,,云南省,    840,    550,    290
西藏自治区,    10 256,    6 907,    3 349,    2 666,    1 939,    727,    7 334,    4 852,    2 482,    81,    38,    43,,,西藏自治区,    175,    78,    97
陕西省,    126 352,    96 546,    29 806,    23 054,    14 942,    8 1 12,    101 150,    79 923,    21 227,    1 595,    1 287,    308,,,陕西省,    553,    394,    159
甘肃省,    74 349,    62 233,    12 116,    20 230,    14 365,    5 865,    52 754,    46 685,    6 069,    1 055,    942,    113,,,甘肃省,    310,    241,    69
青海省,    28 328,    20 585,    7 743,    8 101,    5 648,    2 453,    19 663,    14 539,    5 124,    267,    211,    56,,,青海省,    297,    187,    110
宁夏回族自治区,    19 792,    16 648,    3 144,    2 926,    2 002,    924,    16 646,    14 464,    2 182,    159,    133,    26,,,宁夏回族自治区,    61,    49,    12
新疆维吾尔自治区,    101 087,    65 235,    35 852,    24 863,    13 196,    11 667,    73 053,    50 373,    22 680,    1 126,    594,    532,,,新疆维吾尔自治区,    2 045,    1 072,    973
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-4省、自治区、直辖市的县各种文化程度人口分性别的婚姻状况(第二口径)(续06),,,,,,,,,,,,,,,表7-4省、自治区、直辖市的县各种文化程度人口分性别的,,,
    单位：人,,,,,,,,,,,,,,,    婚姻状况(第二口径)(续14)单位：人,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    文化程度,    离婚,,
    和地区别,,,,,,,,,,,,,,,    和地区别,,,
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,    小计,    男,    女
大学专科,    1 126 991,    914 912,    212 079,    301 135,    215 382,    85 753,    808 564,    684 613,    123 951,    11 108,    9 814,    1 294,,,大学专科,    6 184,    5 103,    1 081
北京市,    1 1 073,    7 335,    3 738,    3 139,    1 689,    1 450,    7 817,    5 566,    2 251,    60,    41,    19,,,北京市,    57,    39,    18
天津市,    4 508,    3 298,    1 210,    821,    474,    347,    3 635,    2 776,    859,    30,    29,    1,,,天津市,    22,    19,    3
河北省,    45 252,    35 684,    9 568,    7 046,    4 042,    3 004,    37490,    31 038,    6 452,    497,    426,    71,,,河北省,    219,    178,    41
山西省,    25 036,    20 805,    4 231,    3 907,    2 463,    1 444,    20 645,    17 899,    2 746,    326,    304,    22,,,山西省,    158,    139,    19
内蒙古自治区,    18 911,    14 650,    4 261,    3 878,    2 353,    1 525,    14 793,    12 103,    2 690,    146,    123,    23,,,内蒙古自治区,    94,    71,    23
辽宁省,    32 130,    25 225,    6 905,    4 342,    2 431,    1 911,    27 307,    22 363,    4 944,    336,    313,    23,,,辽宁省,    145,    118,    27
吉林省,    19 381,    15 063,    4 318,    2 798,    1 443,    1 355,    16 316,    13 409,    2 907,    165,    1 37,    28,,,吉林省,    102,    74,    28
黑龙江省,    47 681,    33 568,    14 113,    11 363,    6 063,    5 300,    35 776,    27 121,    8 655,    262,    203,    59,,,黑龙江省,    280,    181,    99
上海市,    25 009,    17 656,    7 353,    7 217,    4 404,    2 813,    17 554,    13 074,    4 480,    115,    87,    28,,,上海市,    123,    91,    32
江苏省,    107 387,    91 136,    16 251,    20 912,    16 020,    4 892,    85 248,    74 045,    11 203,    860,    756,    104,,,江苏省,    367,    315,    52
浙江省,    35 235,    28 702,    6 533,    13 906,    10 363,    3 543,    20 556,    17 629,    2 927,    482,    434,    48,,,浙江省,    291,    276,    15
安徽省,    53 141,    46 450,    6 691,    14 014,    11 673,    2 341,    38 243,    33 967,    4 276,    609,    566,    43,,,安徽省,    275,    244,    31
福建省,    44 183,    36 892,    7 291,    16 605,    12 648,    3 957,    27 072,    23 818,    3 254,    329,    271,    58,,,福建省,    177,    155,    22
江西省,    47 063,    41 577,    5 486,    15 810,    13 662,    2 148,    30 494,    27 233,    3 261,    455,    406,    49,,,江西省,    304,    276,    28
山东省,    64 643,    53 860,    10 783,    13 250,    9 620,    3 630,    50 765,    43 704,    7 061,    441,    383,    58,,,山东省,    187,    153,    34
河南省,    95 274,    76 299,    18 975,    21 473,    14 420,    7 053,    72 341,    60 592,    11749,    1 065,    965,    100,,,河南省,    395,    322,    73
湖北省,    51 982,    43 732,    8 250,    15 443,    11 859,    3 584,    35 717,    31 154,    4 563,    543,    475,    68,,,湖北省,    279,    244,    35
湖南省,    84 614,    68 573,    16 041,    28 178,    20 662,    7 516,    55 133,    46 746,    8 387,    823,    751,    72,,,湖南省,    480,    414,    66
广东省,    46 404,    40 155,    6 249,    13 996,    11 011,    2 985,    31 501,    28 315,    3 186,    641,    582,    59,,,广东省,    266,    247,    19
广西壮族自治区,    38 138,    31 466,    6 672,    12 516,    9 212,    3 304,    25 028,    21 736,    3 292,    393,    343,    50,,,广西壮族自治区,    201,    175,    26
海南省,    14 379,    12 100,    2 279,    4 657,    3 517,    1 140,    9 571,    8 449,    1 122,    88,    78,    10,,,海南省,    63,    56,    7
四川省,    75 985,    61 777,    14 208,    18 709,    13 568,    5 141,    55 500,    46 670,    8 830,    1 227,    1 094,    133,,,四川省,    549,    445,    104
贵州省,    17 888,    14 583,    3 305,    5 793,    4 445,    1 348,    11 764,    9 864,    1 900,    170,    149,    21,,,贵州省,    161,    125,    36
云南省,    29 038,    22 308,    6 730,    12 665,    8 913,    3 752,    15 989,    13 074,    2 915,    189,    160,    29,,,云南省,    195,    161,    34
西藏自治区,    1 848,    1 470,    378,    383,    323,    60,    1 432,    1 123,    309,    14,    11,    3,,,西藏自治区,    19,    13,    6
陕西省,    35 304,    28 063,    7 241,    9 084,    5 926,    3 158,    25 653,    21 642,    4 011,    369,    336,    33,,,陕西省,    198,    159,    39
甘肃省,    16 158,    13 761,    2 397,    6 000,    4 420,    1 580,    9 878,    9 084,    794,    187,    177,    10,,,甘肃省,    93,    80,    13
青海省,    7 788,    6 253,    1 535,    1 953,    1 453,    500,    5 681,    4 663,    1 018,        76,    70,    6,,,青海省,    78,    67,    11
宁夏回族自治区,    5 571,    4 504,    1 067,    2 056,    1 412,    644,    3 470,    3 054,    416,    26,    24,    2,,,宁夏回族自治区,    19,    14,    5
新疆维吾尔自治区,    25 987,    17 967,    8 020,    9 221,    4 893,    4 328,    16 195,    12 702,    3 493,    184,    120,    64,,,新疆维吾尔自治区,    387,    252,    135
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-4省、自治区、直辖市的县各种文化程度人口分性别的婚姻状况(第二口径)(续07),,,,,,,,,,,,,,,表7-4省、自治区、直辖市的县各种文化程度人口分性别的,,,
    单位：人,,,,,,,,,,,,,,,    婚姻状况(第二口径)(续15)单位：人,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    文化程度,    离婚,,
    和地区别,,,,,,,,,,,,,,,    和地区别,,,
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,    小计,    男,    女
大学本科,    241 325,    206 371,    34 954,    57 330,    46 537,    10 793,    178 233,    154 780,    23 453,    3 746,    3 330,    416,,,大学本科,    2 016,    1 724,    292
北京市,    5 653,    3 788,    1 865,    3 075,    1 998,    1 077,    2 516,    1 747,    769,    29,    22,    7,,,北京市,    33,    21,    12
天津市,    641,    493,    148,    150,    110,    40,    476,    368,    108,    10,    10,    -,,,天津市,    5,    5,      -
河北省,    7 272,    5 825,    1 447,    1 581,    1 069,    512,    5 522,    4 607,    915,    124,    113,    11,,,河北省,    45,    36,    9
山西省,    3 439,    2 954,    485,    465,    364,    101,    2 845,    2 470,    375,    87,    81,    6,,,山西省,    42,    39,    3
内蒙古自治区,    5 357,    4 466,    891,    717,    562,    155,    4 575,    3 849,    726,    35,    31,    4,,,内蒙古自治区,    30,    24,    6
辽宁省,    5 697,    4 934,    763,    508,    354,    154,    4 993,    4 393,    600,    148,    142,    6,,,辽宁省,    48,    45,    3
吉林省,    5 526,    4 610,    916,    589,    372,    217,    4 819,    4 140,    679,    74,    61,    13,,,吉林省,    44,    37,    7
黑龙江省,    5 659,    4 51 1,    1 148,    668,    416,    252,    4 867,    3 989,    878,    77,    67,    10,,,黑龙江省,    47,    39,    8
,,,,,,,,,,,,,,,上海市,    82,    62,    20
上海市,    11 546,    8 610,    2 936,    3 083,    2 097,    986,    8 292,    6 383,    1 909,    89,    68,    21,,,江苏省,    121,    103,    18
江苏省,    17 755,    15 692,    2 063,    3 407,    2 946,    461,    13 988,    12 438,    1 550,    239,    205,    34,,,浙江省,    122,    114,    8
浙江省,        7 225,    6 413,    812,    2 523,    2 197,    326,    4 410,    3 952,    458,    170,    150,    20,,,安徽省,    1 19,    111,    8
安徽省,    13 178,    11 854,    1 324,    3 704,    3 234,    470,    9 122,    8 294,    828,    233,    215,    18,,,福建省,    84,    78,    6
福建省,    14 153,    12 684,    1 469,    3 780,    3 345,    435,    10 105,    9 097,    1 008,        184,    164,    20,,,江西省,    103,    95,    8
江西省,    11 625,    10 658,    967,    2 601,    2 410,    191,    8 746,    7 993,    753,    175,    160,    15,,,山东省,    60,    50,    10
山东省,    10 344,    9 149,    1 195,    1 688,    1 478,    210,    8 498,    7 534,    964,    98,    87,    11,,,河南省,    118,    99,    19
河南省,    22 846,    19 418,    3 428,    5 081,    3 902,    1 179,    17 372,    1 5 171,    2 201,    275,    246,    29,,,湖北省,    83,    77,    6
湖北省,    9 043,    8 135,    908,    1 889,    1 690,    199,    6 936,    6 247,    689,    135,    121,    14,,,湖南省,    105,    97,    8
湖南省,    11 611,    10 274,    1 337,    2 594,    2 209,    385,    8 645,    7 725,    920,    267,    243,    24,,,广东省,    77,    66,    1 1
广东省,    7 241,    6 570,    671,    1 737,    1 534,    203,    5 224,    4 782,    442,    203,    188,    15,,,广西壮族自治区,    44,    39,    5
广西壮族自治区,    7 384,    6 550,    834,    2 253,    1 996,    257,    4 959,    4 404,    555,    128,    111,    17,,,海南省,    10,    8,    2
海南省,    3 144,    2 641,    503,    1 644,    1 345,    299,    1 464,    1 269,    195,    26,    19,    7,,,四川省,    197,    176,    21
四川省,    16 515,    14 469,    2 046,    2 689,    2 325,    364,    13 119,    11 509,    1 610,    510,    459,    51,,,贵州省,    48,    36,    12
贵州省,    5 086,    4 180,    906,    1 382,    1 148,    234,    3 593,    2 947,    646,    63,    49,    14,,,云南省,    71,    59,    12
云南省,    7 109,    5 948,    1 161,    2 156,    1 796,    360,    4 809,    4 026,    783,    73,    67,    6,,,西藏自治区,    9,    7,    2
西藏自治区,    806,        663,    143,    286,    243,    43,    509,    412,    97,    2,    1,    1,,,陕西省,    73,    63,    10
陕西省,    11 660,    9 628,    2 032,    3 304,    2 591,    713,    8 147,    6 852,    1 295,    136,    122,    14,,,甘肃省,    19,    16,    3
甘肃省,    2 385,    2 190,    195,    579,    498,    81,    1 734,    1 625,    109,    53,    51,    2,,,青海省,    37,    31,    6
青海省,    3 566,    2 958,    608,    1 034,    816,    218,    2 467,    2 085,    382,    28,    26,    2,,,宁夏回族自治区,    4,    4,    -
宁夏回族自治区,    869,    733,    136,    321,    252,    69,    540,    473,    67,    4,    4,     -,,,新疆维吾尔自治区,    136,    87,    49
新疆维吾尔自治区,    6 990,    5 373,    1 617,    1 842,    1 240,    602,    4 941,    3 999,    942,    71,    47,    24,,,,,,
