,,,,,,,,,,,,,,,,,,
  表7-4省、自治区、直辖市的县各科文化程度人口分性别的婚姻状况(第二口径),,,,,,,,,,,,,,,表7-4省、自治区、直辖市的县各种文化程度人口分性别的,,,
    单位：人,,,,,,,,,,,,,,,    婚姻状况(第二口径)(续08)单位：人,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    文化程度,    离婚,,
    和地区别,,,,,,    女,  小计,    男,    女,    小计,    男,    女,,,    和地区别,,,
,  合计,    男,    女,  小计,    男,,,,,,,,,,,    小计,    男,    女
甘肃省,    12 278 951,    6 291 819,    5 987 132,    3 148 568,    1 878 970,    1 269 598,    8 324 051,    4 087 105,    4 236 946,    731 572,    267 042,    464 530,,,甘肃省,    74 760,    58 702,    16 058
青海省,    2 176 197,    1 124 492,    1 051 705,    625 077,    374 396,    250 681,    1 396 996,    695 418,    701 578,    127 388,    41 502,    85 886,,,青海省,    26 736,    13 176,    13 560
宁夏回族自治区,    2 159 704,    1 095 636,    1 064 068,    569 065,    325 557,    243 508,    1 480 457,    729 305,    751 152,    102 101,    34 821,    67 280,,,宁夏回族自治区,    8 081,    5 953,    2 128
新疆维吾尔自治区,    6 353 473,    3 297 527,    3 055 946,    1 611 349,    994 019,    617 330,    4 194 575,    2 099 411,    2 095 164,    328 725,    84 421,    244 304,,,新疆维吾尔自治区,    218 824,    119 676,    99 148
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-4省、自治区、直辖市的县各种文化程度人口分性别的婚姻状况(第二口径)(续01),,,,,,,,,,,,,,,表7-4省、自治区、直辖市的县各种文化程度人口分性别的,,,
    单位：人,,,,,,,,,,,,,,,    婚姻状况(第二口径)(续09)单位：人,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,    未 婚,,,    有配偶,,,    丧偶,,,,,    文化程度,    离婚,,
    和地区别,,,,,,    女,    小计,    男,    女,    小计,    男,    女,,,    和地区别,,,
,  合计,    男,    女,  小计,    男,,,,,,,,,,,    小计,    男,    女
文盲、半文盲,  154 082 595,    47 071 222,    107 011 373,    12 701 716,    7 323 934,    5 377 782,  110 059 622,    32 005 438,    78 054 184,    30 205 095,    6 905 340,  23 299 755,,,文盲半文盲,    1 116 162,    836 510,    279 652
北京市,    405 751,    123 955,    281 796,    21 008,    19 113,    1 895,    277 631,    80 656,    196 975,    104 315,    22 138,    82 177,,,北京市,    2 797,    2 048,    749
天津市,    337 109,    90 464,    246 645,    15 994,    14 309,    1 685,    234 071,    57 537,    176 534,    85 239,    17 278,    67 961,,,天津市,    1 805,    1 340,    465
河北省,    8 436 872,    2 581 747,    5 855 125,    575 320,    450 883,    124 437,    6 044 432,    1 659 324,    4 385 108,    1 761 516,    426 673,    1334 843,,,河北省,    55 604,    44 867,    10 737
山西省,    2 675 765,    905 130,    1 770 635,    155 096,    133 009,    22 087,    1 773 107,    576 729,    1 196 378,    711 129,    162 266,    548 863,,,山西省,    36 433,    33 126,    3 307
内蒙古自治区,    2 614 546,    937 754,    1 676 792,    225 821,    163 238,    62 583,    1 964 575,    613 660,    1 350 915,    405 980,    145 365,    260 615,,,内蒙古自治区,    18 170,    15 491,    2 679
辽宁省,    2 129 241,    678 374,    1 450 867,    108 581,    94 977,    13 604,    1 439 366,    418 666,    1 020 700,    570 634,    156 393,    414 241,,,辽宁省,    10 660,    8 338,    2 322
吉林省,    1 794 742,    645 967,    1 148 775,    103 298,    83 339,    19 959,    1 273 009,    412 563,    860 446,    406 889,    140 698,    266 191,,,吉林省,    11 546,    9 367,    2 179
黑龙江省,    2 451 788,    842 709,    1 609 079,    141 845,    106 501,    35 344,    1 807 946,    553 014,    1 254 932,    486 891,    171 072,    315 819,,,黑龙江省,    15 106,    12 122,    2 984
上海市,    811 053,    207 659,    603 394,    16 680,    12 401,    4 279,    597 055,    164 748,    432 307,    192 322,    27 759,    164 563,,,上海市,    4 996,    2 751,    2 245
江苏省,    10 100 381,    2 730 729,    7 369 652,    440 795,    319 798,    120 997,    7 419 630,    1 974 975,    5 444 655,    2 183 921,    394 290,    1 789 631,,,江苏省,    56 035,    41 666,    14 369
浙江省,    5 636 552,    1 703 063,    3 933 489,    259 270,    194 094,    65 176,    4 188 145,    1 253 299,    2 934 846,    1 141 127,    212 668,    928 459,,,浙江省,    48 010,    43 002,    5 008
安徽省,    12 462 270,    3 973 290,    8 488 980,    1 451 447,    674 415,    777 032,    9 132 067,    2 797 644,    6 334 423,    1 796 218,    430 953,    1 365 265,,,安徽省,    82 538,    70 278,    12 260
