表7—15  全国镇按丈夫年龄和夫妻年龄差分的妻子人数(第二口径),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,        单位：人,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    丈夫年龄与 妻子年龄之差,,,,,,,,,
,    丈夫年龄与 妻子年龄之差,,,,,,,,,,,,,    丈夫年龄别,,,,,,,,,,
    丈夫年龄别,,,,,,,,,,,,,,,    -1岁,    -2岁,    -3岁,    -4岁,    -5岁,    -6岁,    -7岁,    -8岁,    -9岁,  -10岁及以上
,  10岁及以上,    9岁,    8岁,    7岁,    6岁,    5岁,    4岁,    3岁,    2岁,    1岁,    0岁,,,总计,    1 256 673,    661 982,    310 836,    130 995,    57 221,    26 695,    14 217,    8 107,    5 051,    13 764
35-39岁,    56 267,    29 290,    41 940,    58 678,    94 084,    155 207,    237 598,    334 006,    405 189,    441 768,    395 547,,,  36,    50 549,    26 650,    10 208,    3 739,    1 152,    483,    247,    127,    85,    367
  35,    9 445,    7 511,    14 112,    13 388,    15 981,    30 629,    43 857,    76 972,    89 607,    97 597,    97 218,,,  37,    46 376,    21 534,    9 569,    3 188,    1 019,    427,    191,    118,    70,    375
  36,    11 413,    8 728,    8 315,    9 859,    18 919,    28 792,    53 449,    67 705,    82 599,    100 238,    89 323,,,  38,    39 276,    21 182,    7 873,    2 605,    924,    385,    212,    106,    63,    309
  37,    12 946,    5 077,    5 829,    11 090,    17 695,    34 470,    46 809,    61 244,    83 805,    90 1 37,    76 578,,,  39,    36 307,    15 696,    6 360,    2 311,    867,    359,    187,    117,    81,    240
  38,    12 242,    3 724,    6 971,    11 170,    22 367,    32 177,    45 810,    68 440,    82 226,    81 789,    72 700,,,40-44岁,    116 813,    56 503,    24 388,    9 778,    4 372,    2 245,    1 251,    812,    485,    1 025
  39,    10 221,    4 250,    6 713,    13 171,    19 122,    29 139,    47 673,    59 645,    66 952,    72 007,    59 728,,,  40,    32 213,    15 740,    6 981,    2 706,    1 022,    470,    286,    216,    167,    299
40-44岁,    58 431,    29 801,    49 726,    76 910,    117 786,    171 383,    226 754,    264 220,    283 667,    273 476,    224 953,,,  41,    24 712,    12 706,    5 278,    2 057,    832,    440,    285,    207,    107,    208
  40,    12 277,    5 338,    10 348,    14 676,    22 389,    38 388,    52 855,    63 997,    74 231,    70 289,    64 796,,,  42,    22 851,    10 694,    4 374,    1 714,    826,    476,    302,    165,    66,    178
  41,    10 511,    5 899,    8 651,    13 114,    23 029,    33 920,    44 799,    54 529,    55 387,    61 029,    45 525,,,  43,    19 908,    9 196,    4 081,    1 724,    839,    486,    217,    1 12,    76,    185
  42,    10 982,    5 594,    8 749,    15 591,    23 454,    33 377,    44 053,    47 460,    57 821,    50 536,    41 694,,,  44,    17 129,    8 167,    3 674,    1 577,    853,    373,    161,    112,    69,    155
  43,    12 076,    6 046,    10 736,    16 752,    24 811,    34 817,    41065,    53 783,    50 733,    48 805,    40 297,,,,,,,,,,,,,
  44,    12 585,    6 924,    11 242,    16 777,    24 103,    30 881,    43 982,    44 451,    45 495,    42 817,    32 641,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
表7-15全国镇按丈夫年龄和夫妻年龄差分的妻子人数(第二口径)(续01),,,,,,,,,,,,,,表7-15全国镇按丈夫年龄和夫妻年龄差分的妻子人数(第二口径)(续04),,,,,,,,,,
    单位：人,,,,,,,,,,,,,,    单位：人,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,    丈夫年龄与 妻子年龄之差,,,,,,,,,,,,,,    丈夫年龄与 妻子年龄之差,,,,,,,,,
    丈夫年龄别,,,,,,,,,,,,,,    丈夫年龄别,,,,,,,,,,
,  10岁及以上,    9岁,    8岁,    7岁,    6岁,    5岁,    4岁,    3岁,    2岁,    1岁,    0岁,,,,    -1岁,    -2岁,    -3岁,    -4岁,    -5岁,    -6岁,    -7岁,    -8岁,    -9岁,  -10岁及以上
45-49岁,    83009,    40 758,    61 527,    87 837,    119 097,    153 716,    174 297,    184 094,    183 196,    166 556,    133 468,,,45-49岁,    73 327,    38 472,    18 796,    8 233,    3 753,    1 782,    1 083,    601,    363,    956
  45,    14 533,    7 693,    11 744,    17 182,    22 500,    34 939,    37 725,    40 306,    41 504,    37 057,    28 913,,,  45,    15 217,    7 659,    3 844,    1 703,    734,    266,    161,    103,    61,    173
  46,    15 567,    8 067,    12 054,    15 972,    25 831,    29 826,    34 894,    38 556,    37 470,    32 902,    25 852,,,  46,    13 685,    7 427,    3 748,    1 558,    551,    311,    208,    119,    65,    179
  47,    16 546,    7 683,    10 758,    18 465,    22 152,    28 460,    34 070,    35 306,    34 854,    31 646,    25 642,,,  47,    14 991,    8 071,    3 817,    1 570,    716,    339,    248,    123,    84,    197
  48,    17 429,    7 416,    13 418,    17 329,    22 993,    29 885,    33 517,    35 127,    34 560,    31 475,    26 588,,,  48,    14 952,    8 074,    3 464,    1 534,    782,    396,    244,    1 18,    74,    206
  49,    18 934,    9 899,    13 553,    18 889,    25 621,    30 606,    34 091,    34 799,    34 808,    33 476,    26 473,,,  49,    14 482,    7 241,    3 923,    1 868,    970,    470,    222,    138,    79,    201
50-54岁,    115 027,    49 275,    68 596,    92 504,    116 565,    140 151,    156 884,    161 775,    161 184,    144 606,    117 979,,,50-54岁,    70 119,    42 488,    23 979,    12 561,    6 574,    3 372,    1 798,    1 078,    655,    1 234
  50,    21 343,    9 570,    13 836,    19 540,    24 299,    28 944,    31 854,    33 264,    34 774,    31 166,    24 217,,,  50,    13 21 1,    7 906,    4 282,    2 210,    1 110,    560,    334,    185,    1 52,    224
  51,    21 786,    9 592,    13 911,    18 023,    23 370,    27 201,    31 494,    33 058,    32 832,    29 527,    23 417,,,  51,    14 126,    8 095,    4 706,    2 481,    1 241,    639,    310,    221,    132,    243
  52,    24 107,    10 489,    14 041,    19 111,    23 498,    28 450,    32 485,    33 879,    33 380,    28 806,    23 686,,,  52,    13 895,    8 755,    4 933,    2 674,    1 351,    697,    401,    253,    109,    248
  53,    24 002,    9 858,    13 615,    18 062,    22 820,    28 259,    31 688,    32 004,    30 371,    28 253,    23 198,,,  53,    14 561,    8 753,    4 992,    2 774,    1 361,    671,    400,    189,    126,    266
  54,    23 789,    9 766,    13 193,    17 768,    22 578,    27 297,    29 363,    29 570,    29 827,    26 854,    23 461,,,  54,    14 326,    8 979,    5 066,    2 422,    1 511,    805,    353,    230,    136,    253
55-59岁,    120 235,    49 373,    67 612,    86 180,    102 269,    117 629,    125 819,    128 843,    127 333,    117 113,    99 449,,,55-59岁,    64 465,    42 587,    26 364,    14 472,    6 972,    3 398,    1 878,    1 046,    629,    1 229
  55,    23 308,    9 108,    12 578,    16 884,    21 263,    24 993,    26 493,    28 081,    28 128,    26 796,    22 707,,,  55,    13 536,    8 300,    4 945,    3 035,    1 583,    715,    393,    212,    123,    263
  56,    23 720,    9 396,    13 352,    17 932,    21 877,    25 204,    27 483,    28 380,    29 047,    26 049,    22 123,,,  56,    14 595,    9 049,    5 577,    3 343,    1 458,    734,    365,    216,    129,    248
  57,    23 926,    9 920,    14 025,    17 790,    21202,    24 415,    26 146,    26 860,    25 420,    24 320,    21 175,,,  57,    12 827,    8 925,    5 855,    2 792,    1 435,    706,    326,    252,    119,    288
  58,    23 243,    9 962,    13 293,    16 727,    19 372,    21 699,    23 181,    23 207,    23 588,    21 461,    17 1 14,,,  58,    11811,    8 714,    4 820,    2 716,    1 230,    610,    433,    190,    135,    222
  59,    26 038,    10 987,    14 364,    16 847,    18 555,    21 318,    22 516,    22 315,    21 150,    18 487,    16 330,,,  59,    11696,    7 599,    5 167,    2 586,    1 266,    633,    361,    176,    123,    208
60-64岁,    125 408,    47 666,    56 752,    63 553,    69 266,    74 635,    76 906,    74 345,    72 265,    70 182,    62 634,,,60-64岁,    42 875,    31 137,    18 990,    10 603,    5 817,    3 1 56,    1 651,    939,    602,    929
  60,    26 896,    11 348,    13 938,    15 725,    18 207,    20 200,    20 815,    20 375,    17 927,    17178,    16 397,,,  60,    10 788,    8 254,    4 350,    2 222,    1 401,    816,    389,    236,    146,    225
  61,    23 708,    10 011,    11 943,    13 477,    14 937,    16 684,    17 067,    15 585,    15 253,    16 132,    13 781,,,  61,    9 132,    5 708,    3 925,    2 502,    1 265,    659,    376,    220,    125,    204
  62,    26 318,    9 961,    11 911,    13 212,    14 662,    15 620,    15 189,    15 057,    15 973,    13 788,    12 414,,,  62,    8 328,    6 572,    4 327,    2 154,    1 062,    588,    377,    187,    122,    175
  63,    24 572,    8 628,    9 903,    11 303,    11 742,    11 822,    12 818,    12 775,    11 352,    12 334,    10 843,,,  63,    7 470,    5 532,    3 260,    1 793,    1 090,    582,    294,    138,    112,    172
  64,    23 914,    7 718,    9 057,    9 836,    9 718,    10 309,    11 017,    10 553,    1 1 760,    10 750,    9199,,,  64,    7 157,    5 071,    3 128,    1 932,    999,    511,    215,    1 58,    97,    153
65-69岁,    96 376,    27 870,    31 467,    33 983,    34 928,    38 469,    40 095,    40 233,    39 540,    38 389,    34 475,,,65-69岁,    24 323,    17 717,    10 545,    5 729,    2 974,    1 593,    986,    540,    363,    644
  65,    22 900,    7 302,    8 367,    8 324,    8 337,    9 811,    10 470,    10 832,    9 770,    9 735,    9 500,,,  65,    6 625,    4 794,    2 876,    1 507,    709,    323,    241,    132,    80,    174
  66,    20 550,    6 258,    6 498,    7 094,    8 127,    8 640,    9 292,    8 519,    8 704,    9 250,    8 051,,,  66,    5 447,    4 088,    2 381,    1 224,    613,    368,    218,    120,    88,    139
  67,    18 253,    4 907,    5 737,    6 659,    6 543,    7 787,    7 286,    7 201,    8 180,    7 578,    6 206,,,  67,    4 335,    3 213,    1 978,    1 070,    601,    310,    192,    1 18,    77,    110
  68,    18 075,    4 821,    5 857,    6 173,    6 622,    6 520,    6 778,    7 622,    7 487,    6 266,    5 581,,,  68,    4 237,    3 111,    1 786,    1 060,    573,    321,    172,    99,    64,    117
  69,    16 598,    4 582,    5 008,    5 733,    5 299,    5 71 1,    6 269,    6 059,    5 399,    5 560,    5 137,,,  69,    3 679,    2 511,    1 524,    868,    478,    271,    163,    71,    54,    104
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,    单位：人,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,    丈夫年龄与 妻子年龄之差,,,,,,,,,,,,,,    丈夫年龄与 妻子年龄之差,,,,,,,,,
    丈夫年龄别,,,,,,,,,,,,,,    丈夫年龄别,,,,,,,,,,
,  10岁及以上,    9岁,    8岁,    7岁,    6岁,    5岁,    4岁,    3岁,    2岁,    1岁,    0岁,,,,  -1岁,  -2岁,  -3岁,  -4岁,    -5岁,    -6岁,    -7岁,    -8岁,    -9岁,  -10岁及以上
,,,,,,,,,,,,,,70-74岁,    10 531,    7 762,    4 850,    2 789,    1 581,    849,    465,    265,    135,    311
