表7—7  全国镇15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,表7-7全国镇15岁及15岁以上人口分年龄和文化程度的,,,
        单位：人,,,,,,,,,,,,,,,    婚姻状况(第二口径)(续13)单位：人,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    文化程度,    离婚,,
    和年龄别,,,,,,,,,,,,,,,    和年龄别,,,
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,    小计,    男,    女
  37,    1 409 485,    754 861,    654 624,    17 324,    15 294,    2 030,    1 370 767,    730 171,640 596,    8 896,    2 435,    6 461,,,  37,    12 498,    6 961,    5 537
  38,    1 360 429,    732 677,    627 752,    15 832,    14 076,    1 756,    1 323 326,    709 578,    613 748,    9 621,    2 578,    7 043,,,  38,    1 1 650,    6 445,    5 205
  39,    1 194 306,    649 088,    545 218,    13 337,    11 962,    1 375,    1 161 144,    628 851,    532 293,    9 876,    2 663,    7 21 3,,,  39,    9 949,    5 612,    4 337
40—44岁,    5 316 270,    2 981 352,    2 334 918,    58 587,    52 872,    5 715,    5 144 700,    2 883 153,    2 261 547,    68 389,    18 194,    50 195,,,40-44岁,    44 594,    27 133,    17 461
  40,    1 290 020,    716 103,    573 917,    14 991,    13 417,    1 574,    1 251 175,    692 736,    558 439,    12 708,    3 395,    9 313,,,  40,    11 146,    6 555,    4 591
  41,    1 079 854,    598 248,    481 606,    11 961,    10 756,    1 205,    1 046 184,    578 562,    467 622,    12 384,    3 339,    9 045,,,  41,    9 325,    5 591,    3 734
  42,    1 019 800,    570 457,    449 343,    11 096,    9 984,    1 112,    987 058,    551 780,    435 278,    13 143,    3 542,    9 601,,,  42,    8 503,    5 151,    3 352
  43,    1 005 120,    571 767,    433 353,    10 694,    9 664,    1 030,    971 567,    553 077,    418 490,    14 583,    3 862,    10 721,,,  43,    8 276,    5 164,    3 112
  44,    921 476,    524 777,    396 699,    9 845,    9 051,    794,    888 716,    506 998,    381 718,    15 571,    4 056,    11 515,,,  44,    7 344,    4 672,    2 672
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-7全国镇15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径)(续01),,,,,,,,,,,,,,,    婚姻状况(第二口径)(续14)单位：人,,,
    单位：人,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    文化程度,    离婚,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    和年龄别,,,
    和年龄别,,,,,,,,,,,,,,,,    小计,    男,    女
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,45—49岁,    33 041,    21 718,    11 323
  45-49岁,    4 115 148,    2 303 940,    1 811 208,    43 113,    40 185,    2 928,    3 933 623,    2 215 228,    1 718 395,    105 371,    26 809,    78 562,,,  45,    7 242,    4 642,    2 600
