,,,,,,,,,,,,,,,,,,
表7-2省、自治区、直辖市的市各种文化程度人口分性别的婚姻状况(第二口径),,,,,,,,,,,,,,,表7-2省、自治区、直辖市的市各种文化程度人口分性别的,,,
    单位：人,,,,,,,,,,,,,,,    婚姻状况(第二口径)(续08)单位：人,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    文化程度,    离婚,,
    和地区别,,,,,,    女,    小计,    男,    女,    小计,    男,    女,,,    和地区别,,,
,  合计,    男,    女,  小计,    男,,,,,,,,,,,    小计,    男,    女
甘肃省,    953 591,    558 382,    395 209,    375 873,    221 236,    154 637,    562 121,    329 221,    232 900,    9 259,    4 431,    4 828,,,甘肃省,    6 338,    3 494,    2 844
青海省,    244 422,    139 381,    105 041,    90 057,    54 214,    35 843,    149 367,    82 769,    66 598,    2 179,    912,    1 267,,,青海省,    2 819,    1 486,    1 333
宁夏回族自治区,    241 025,    134 357,    106 668,    81 636,    48 112,    33 524,    154 954,    84 234,    70 720,    1 964,    772,    1 192,,,宁夏回族自治区,    2 471,    1 239,    1 232
新疆维吾尔自治区,    1 055 207,    591 044,    464 163,    429 385,    262 145,    167 240,    601 399,    318 157,    283 242,    9 329,    3 449,    5 880,,,新疆维吾尔自治区,    15 094,    7 293,    7 801
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,表7-2省、自治区、直辖市的市各种文化程度人口分性别的,,,
,,,,,,,,,,,,,,,    婚姻状况(第二口径)(续12)单位：人,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,,,,
    和地区别,,,,,,,,,,,,,,,    文化程度,    离婚,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,    和地区别,,,
高中,    28 497 826,    15 337 361,    13 160 465,    9 495 763,    5 513 874,    3 981 889,    18 602 745,    9 640 072,    8 962 673,    181 619,    80 469,    101 150,,,,    小计,    男,    女
北京市,    1 277 552,    659 312,    618 240,    373 741,    229 690,    144 051,    883 668,    421 465,    462 203,        9 708,    3 553,    6 155,,,高中,    217 699,    102 946,    114 753
天津市,    888 235,    455 172,    433 063,    215 881,    122 839,    93 042,    659 114,    325 159,    333 955,    7 601,    4 494,    3 107,,,北京市,    10 435,    4 604,    5 831
河北省,    1 117 792,    583 899,    533 893,    333 870,    182 150,    151 720,    774 226,    397 154,    377 072,    4 708,    2 190,    2 518,,,天津市,    5 639,    2 680,    2 959
山西省,    774 760,    412 909,    361 851,    256 674,    145 726,    110 948,    511 266,    263 798,    247 468,    3 084,    1 510,    1 574,,,河北省,    4 988,        2 405,    2 583
内蒙古自治区,    707 732,    359 413,    348 319,    281 205,    145 635,    135 570,    419 844,    210 734,    209 110,    2 555,    1 213,    1 342,,,山西省,    3 736,    1 875,    1 861
辽宁省,    2 192 406,    1 161 499,    1 030 907,    651 997,    357 264,    294 733,    1 505 513,    787 809,    717 704,    13 711,    6 381,    7 330,,,内蒙古自治区,    4 128,    1 831,    2 297
吉林省,    1 336 714,    699 792,    636 922,    338 050,    188 126,    149 924,    971 695,    499 871,    471 824,    8 324,    3 501,    4 823,,,辽宁省,    21 185,    10 045,    11 140
黑龙江省,    1 652 232,    847 789,    804 443,    524 428,    274 357,    250 071,    1 101 200,    562 091,    539 109,    9 755,    4 229,    5 526,,,吉林省,    18 645,    8 294,    10 351
上海市,    1 659 104,    904 419,    754 685, 4 50 866,    305 874,    144 992,    1 171833,    582 337,    589 496,    19 857,    8 117,    11 740,,,黑龙江省,    16 849,    7 112,    9 737
江苏省,    1 524 597,    847 353,    677 244,    473 104,    287 687,    185 417,    1 031 577,    550 058,    481 519,    11 158,    4 983,    6 175,,,上海市,    16 548,    8 091,    8 457
浙江省,    615 114,    333 693,    281 421,    233 487,    137 177,    96 310,    373 627,    192 741,    180 886,    4 459,    1 927,    2 532,,,江苏省,    8 758,    4 625,    4 133
安徽省,    788 122,    445 071,    343 051,    277 225,    167 756,    109 469,    500 801,    272 131,    228 670,    5 314,    2 566,    2 748,,,浙江省,    3 541,    1 848,    1 693
福建省,    529 859,    300 101,    229 758,    194 948,    116 290,    78 658,    326 995,    179 882,    147 113,    5 241,    2 416,    2 825,,,安徽省,    4 782,    2 618,    2 164
江西省,    650 288,    365 206,    285 082,    262 416,    157 475,    104 941,    380 227,    203 971,    176 256,    3 907,    1 825,    2 082,,,福建省,    2 675,    1 513,    1 162
山东省,    1 656 640,    956 667,    699 973,    534 940,    315 311,    219 629,    1 108 443,    634 544,    473 899,    6 964,    3 568,    3 396,,,江西省,    3 738,    1 935,    1 803
河南省,    1 372 304,    728 754,    643 550,    459 558,    253 764,    205 794,    898 445,    468 368,    430 077,    6 174,    2 844,    3 330,,,山东省,    6 293,    3 244,    3 049
湖北省,    1 600 738,    876 764,    723 974,    470 606,    286 057,    184 549,    1 109 344,    580 656,    528 688,    9 292,    4 361,    4 931,,,河南省,    8 127,    3 778,    4 349
湖南省,    1 109 859,    592 594,    517 265,    390 080,    232 892,    157 188,    703 775,    352 252,    351 523,    6 444,    2 893,    3 551,,,湖北省,    11 496,    5 690,    5 806
广东省,    1 999 036,    1 171 232,    827 804,    804 725,    490 458,    314 267,    1 175 051,    672 031,    503 020,    11 063,    4 585,    6 478,,,湖南省,    9 560,    4 557,    5 003
广西壮族自治区,    468 057,    251 043,    217 014,    167 526,    100 881,    66 645,    293 435,    147 274,    146 161,    2 724,    957,    1 767,,,广东省,    8 197,    4 158,    4 039
海南省,    114 881,    68 519,    46 362,    46 970,    28 264,    18 706,    67 031,    39 812,    27 219,    456,    223,    233,,,广西壮族自治区,    4 372,    1 931,    2 441
四川省,    1 574 075,    809 451,    764 624,    562180,    324 876,    237 304,    979 974,    471 035,    508 939,    12 731,    5 043,    7 688,,,海南省,    424,    220,    204
贵州省,    326 574,    176 009,    150 565,    145 731,    83 972,    61 759,    174 235,    89 068,      85 167,    2 756,    1 195,    1 561,,,四川省,    19 190,    8 497,    10 693
云南省,    244 503,    126 001,    118 502,    107 361,    60 894,    46 467,    132 012,    62 794,    69 218,    2 596,    1 058,    1 538,,,贵州省,    3 852,    1 774,    2 078
西藏自治区,    11 220,    6 802,    4 418,    5 841,    3 671,    2 170,    5 225,    3 047,    2 178,    67,    38,    29,,,云南省,    2 534,    1 255,    1 279
陕西省,    917 879,    482 980,    434 899,    292 960,    170 353,    122 607,    613 663,    307 271,    306 392,    4 769,    2 081,    2 688,,,西藏自治区,    87,    46,    41
甘肃省,    568 843,    305 248,    263 595,    199 265,    116 317,    82 948,    362 557,    185 620,    176 937,    2 871,    1 386,    1 485,,,陕西省,    6 487,    3 275,    3 212
青海省,    115 668,    58 913,    56 755,    59 742,    31 858,    27 884,    54 490,    26401,    28 089,    496,    231,    265,,,甘肃省,    4 150,    1 925,    2 225
宁夏回族自治区,    109 495,    54 638,    54 857,    49 529,    25 576,    23 953,    58 574,    28 430,    30 144,    515,    244,    271,,,青海省,    940,    423,    517
新疆维吾尔自治区,    593 547,    296 118,    297 429,    330 857,    170 684,    160 173,    254 905,    122 268,    132 637,    2 319,    857,    1 462,,,宁夏回族自治区,    877,    388,    489
,,,,,,,,,,,,,,,新疆维吾尔自治区,    5 466,    2 309,    3 157
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-2省、自治区、直辖市的市各种文化程度人口分性别的婚姻状况(第二口径)(续05),,,,,,,,,,,,,,,表7-2省、自治区、直辖市的市各种文化程度人口分性别的,,,
    单位：人,,,,,,,,,,,,,,,    婚姻状况(第二口径)(续13)单位：人,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    文化程度,    离婚,,
    和地区别,,,,,,,,,,,,,,,    和地区别,,,
,    合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,    小计,    男,    女
中专,    8 846 477,    4 610 270,    4 236 207,    3 137 947,    1 650 939,  1 487 008,    5 576 450,    2 913 139,    2 663 311,    78 609,    22 611,    55 998,,,中专,    53 471,      23 581,    29 890
北京市,    405 973,    183 493,    222 480,    127 778,    57 972,    69 806,    271 738,    123 603,    148 135,    3 631,    856,    2 775,,,北京市,    2 826,    1 062,    1 764
天津市,    297 483,    139 961,    157 522,    88 239,    39 457,    48 782,    204 979,    98 995,    105 984,    2 761,    877,    1 884,,,天津市,    1 504,    632,    872
河北省,    381 388,    200 289,    181 099,    120 369,    60 844,    59 525,    256 766,    137 816,    118 950,    2 949,    1 039,    1 910,,,河北省,    1 304,    590,    714
山西省,    286 236,    149 503,    136 733,    105 337,    52 220,    53 117,    177 702,    95 950,    81 752,    2 065,    763,    1 302,,,山西省,    1 132,    570,    562
内蒙古自治区,    233 014,    123 483,    109 531,    73 414,    38 269,    35 145,    156 582,    84 077,    72 505,    1 676,    613,    1 063,,,内蒙古自治区,    1 342,    524,    818
辽宁省,    636 504,    313 060,    323 444,    178 865,    84 190,    94 675,    447 443,    225 342,    222 101,    6 051,    1 857,    4 194,,,辽宁省,    4 145,    1 671,    2 474
吉林省,    362 759,    173 327,    189 432,    115 397,    52 046,    63 351,    241 530,    119 419,    122 111,    3 219,    902,    2 317,,,吉林省,    2 613,    960,    1 653
黑龙江省,    432 027,    203 942,    228 085,    127 345,    54 750,    72 595,    297 915,    147 063,    150 852,    3 611,    1 025,    2 586,,,黑龙江省,    3 156,    1 104,    2 052
上海市,    402 462,    190 021,    212 441,    140 712,    68 364,    72 348,    255 214,    119 353,    135 861,    3 387,    870,    2 517,,,上海市,    3 149,    1 434,    1 715
江苏省,    448 762,    252 391,    196 371,    169 067,    99 743,    69 324,    273 343,    150 300,    123 043,    4 165,    1 166,    2 999,,,江苏省,    2 187,    1 182,    1 005
浙江省,    198 896,    108 894,    90 002,    82 663,    49 113,    33 550,    113 109,    58 766,    54 343,    1 973,    451,    1 522,,,浙江省,    1 151,    564,    587
安徽省,    271 953,    148 114,    123 839,    107 603,    59 977,    47 626,    160 820,    86 726,    74 094,    2 206,    714,    1 492,,,安徽省,    1 324,    697,    627
福建省,    167 297,    92 943,    74 354,    69 346,    40 126,    29 220,    95 299,    51 920,    43 379,    1 997,    548,    1 449,,,福建省,    655,    349,    306
江西省,    190 076,    103 147,    86 929,    63 247,    37 572,    25 675,    123 764,    64 549,    59 215,    1 925,    474,    1 451,,,江西省,    1 140,    552,    588
山东省,    584 570,    328 141,    256 429,    220 889,    117 411,    103 478,    358 030,    208 547,    149 483,    3 974,    1 438,    2 536,,,山东省,    1 677,    745,    932
河南省,    434 888,    231 762,    203 126,    183 825,    92 949,    90 876,    245 603,    136 788,    108 815,    3 553,    1 167,    2 386,,,河南省,    1 907,    858,    1 049
湖北省,    544 999,    291 280,    253 719,    207 295,    111 374,    95 921,    330 380,    177 332,    153 048,    4 499,    1 259,    3 240,,,湖北省,    2 825,    1 315,    1 510
湖南省,    364 786,    192 938,    171 848,    144 436,    78 696,    65 740,    214 733,    112 408,    102 325,    3 356,    806,    2 550,,,湖南省,    2 261,    1 028,    1 233
广东省,    454 670,    251 489,    203 181,    199 717,    115 727,    83 990,    249 265,    134 015,    115 250,    3 880,    935,    2 945,,,广东省,    1 808,    812,    996
广西壮族自治区,    167 162,    88 036,    79 126,    81 594,    45 630,    35 964,    83 187,    41 714,    41 473,    1 372,    278,    1 094,,,广西壮族自治区,    1 009,    414,    595
海南省,    28 220,    15 624,    12 596,    11 056,    5 699,    5 357,    16 836,    9 807,    7 029,    220,    65,    155,,,海南省,    108,    53,    55
四川省,    534 998,    283 490,    251 508,    144 951,    85 494,    59 457,    377 971,    193 865,    184 106,    6 589,    1 584,    5 005,,,四川省,    5 487,    2 547,    2 940
贵州省,    168 245,    90 922,    77 323,    66 005,    38 897,    27 108,    98 940,    50 838,    48 102,    1 652,    442,    1 210,,,贵州省,    1 648,    745,    903
云南省,    131 617,    70 380,    61 237,    50 876,    28 599,    22 277,    77 959,    40 610,    37 349,    1 423,    458,    965,,,云南省,    1 359,    713,    646
西藏自治区,    9 601,    5 206,    4 395,    3 890,    2 279,    1 611,    5 529,    2 867,    2 662,    68,    13,    55,,,西藏自治区,    1 14,    47,    67
陕西省,    242 544,    131 035,    11 1 509,    76 148,    40 982,    35 166,    162 469,    88 633,    73 836,    2 484,    737,    1 747,,,陕西省,    1 443,    683,    760
甘肃省,    165 774,    93 251,    72 523,    67 254,    38 063,    29 191,    96 351,    54 296,    42 055,    1 264,    468,    796,,,甘肃省,    905,    424,    481
青海省,    40 143,    21 825,    18 318,    12 128,    6 614,    5 514,    27 245,    14 909,    12 336,    382,    148,    234,,,青海省,    388,    154,    234
宁夏回族自治区,    38 177,    20 766,    17 411,    13 678,    7 403,    6 275,    23 870,    13 128,    10 742,    322,    92,    230,,,宁夏回族自治区,    307,    143,    164
新疆维吾尔自治区,    221 253,    111 557,    109 696,    84 823,    40 479,    44 344,    131 878,    69 503,    62 375,    1 955,    566,    1 389,,,新疆维吾尔自治区,    2 597,    1 009,    1 588
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-2省、自治区、直辖市的市各种文化程度人口分性别的婚姻状况(第二口径)(续06),,,,,,,,,,,,,,,表7-2省、自治区、直辖市的市各种文化程度人口分性别的,,,
    单位：人,,,,,,,,,,,,,,,    婚姻状况(第二口径)(续14)单位：人,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    文化程度,    离婚,,
    和地区别,,,,,,    女,    小计,    男,    女,    小计,    男,    女,,,    和地区别,,,
,  合计,    男,    女,  小计,    男,,,,,,,,,,,    小计,    男,    女
大学专科,    6 563 398,    4 191 919,    2 371 479,    1 911 195,    1 132 915,    778 280,    4 562 443,    3 011 832,    1 550 61 1,    45 149,    22 539,    22 610,,,大学专科,    44 611,    24 633,    19 978
北京市,    367 197,    200 577,    166 620,    75 779,    39 352,    36 427,    284 416,    158 315,    126 101,    3 434,    1 347,    2 087,,,北京市,    3 568,    1 563,    2 005
天津市,    214 511,    129 224,    85 287,    36 272,    17 950,    18 322,    174 348,    109 145,    65 203,    2 439,    1 390,    1 049,,,天津市,    1 452,    739,    713
河北省,    242 913,    152 807,    90 106,    60 732,    32 705,    28 027,    179 932,    118 898,    61 034,    1 293,    703,    590,,,河北省,    956,    501,    455
山西省,    171 999,    107 547,    64 452,    47 558,    25 503,    22 055,    122 657,    81 003,    41 654,    933,    563,    370,,,山西省,    851,    478,    373
内蒙古自治区,    147 650,    90 886,    56 764,    41 964,    22 048,    19 916,    103 951,    67 925,    36 026,    745,    408,    337,,,内蒙古自治区,    990,    505,    485
辽宁省,    548 715,    330 490,    218 225,    114 350,    57 838,    56 512,    426 805,    268 966,    157 839,    3 625,    1 753,    1 872,,,辽宁省,    3 935,    1 933,    2 002
吉林省,    238 613,    144 276,    94 337,    60 603,    32 139,    28 464,    174 727,    110 515,    64 212,    1 555,    771,    784,,,吉林省,    1 728,    851,    877
黑龙江省,    365 011,    215 498,    149 513,    95 610,    48 844,    46 766,    264 618,    164 465,    100 153,    2 289,    1 045,    1 244,,,黑龙江省,    2 494,    1 144,    1 350
上海市,    385 232,    253 491,    131 741,    88 808,    55 135,    33 673,    288 672,    194 225,    94 447,    4 258,    2 075,    2 183,,,上海市,    3 494,    2 056,    1 438
江苏省,    391 939,    264 965,    126 974,    124 361,    81 437,    42 924,    262 556,    180 711,    81 845,    2 815,    1 437,    1 378,,,江苏省,    2 207,    1 380,    827
浙江省,    161 995,    107 787,    54 208,    52 614,    33 038,    19 576,    107 009,    73 391,    33 618,    1 234,    653,    581,,,浙江省,    1 138,    705,    433
安徽省,    193 339,    132 111,    61 228,    61 134,    39 454,    21 680,    129 980,    91 321,    38 659,    1 128,    605,    523,,,安徽省,    1 097,    731,    366
福建省,    123 112,    83 989,    39 123,    47 451,    30 669,    16 782,    74 100,    52 431,    21 669,    980,    518,    462,,,福建省,    581,    371,    210
江西省,    134 576,    95 575,    39 001,    45 567,    32 190,    13 377,    87 418,    62 427,    24 991,    857,    474,    383,,,江西省,    734,    484,    250
山东省,    354 589,    243 232,    111 357,    102 495,    64 819,    37 676,    248 890,    176 676,    72 214,    1 728,    911,    817,,,山东省,    1 476,    826,    650
河南省,    321 378,    203 433,    117 945,    101 770,    57 894,    43 876,    216 093,    143 661,    72 432,    1 730,    902,    828,,,河南省,    1 785,    976,    809
湖北省,    386 201,    259 452,    126 749,    120 979,    76 311,    44 668,    260 365,    180 460,    79 905,    2 654,    1 376,    1 278,,,湖北省,    2 203,    1 305,    898
湖南省,    299 464,    201 162,    98 302,    115 569,    75 365,    40 204,    180 671,    123 940,    56 731,    1 422,    768,    654,,,湖南省,    1 802,    1 089,    713
广东省,    366 084,    244 944,    121 140,    141 230,    91 570,    49 660,    220 219,    150 950,    69 269,    2 705,    1 331,    1 374,,,广东省,    1 930,    1 093,    837
广西壮族自治区,    103 475,    68 587,    34 888,    35 614,    22 296,    13 318,    66 457,    45 610,    20 847,    666,    279,    387,,,广西壮族自治区,    738,    402,    336
海南省,    27 151,    19 610,    7 541,    11 466,    7 730,    3 736,    15 473,    11 762,    3 711,    104,    51,    53,,,海南省,    108,    67,    41
四川省,    366 080,    234 035,    132 045,    110 052,    66 212,    43 840,    249 833,    164 494,    85 339,    2 592,    1 186,    1 406,,,四川省,    3 603,    2 143,    1 460
贵州省,    91 797,    58 093,    33 704,    32 063,    18 856,    13 207,    58 180,    38 374,    19 806,    594,    295,    299,,,贵州省,    960,    568,    392
云南省,    88 854,    56 450,    32 404,    31 938,    19 369,    12 569,    55 359,    36 174,    19 185,    653,    342,    311,,,云南省,    904,    565,    339
西藏自治区,    4 407,    3 149,    1 258,    1 220,    844,    376,    3 106,    2 255,    851,    23,    14,    9,,,西藏自治区,    58,    36,    22
陕西省,    192 258,    119 998,    72 260,    64 054,    35 559,    28 495,    125 862,    83 225,    42 637,    1 205,    567,    638,,,陕西省,    1 137,    647,    490
甘肃省,    97 674,    63 728,    33 946,    31 347,    18 555,    12 792,    65 021,    44 426,    20 595,    572,    310,    262,,,甘肃省,    734,    437,    297
青海省,    22 042,    14 276,    7 766,    5 520,    3 037,    2 483,    16 095,    11 006,    5 089,    122,    70,    52,,,青海省,    305,    163,    142
宁夏回族自治区,    26 235,    16 519,    9 716,    7 537,    3 965,    3 572,    18 349,    12 366,    5 983,    109,    58,    51,,,宁夏回族自治区,    240,    130,    1 10
新疆维吾尔自治区,    128 907,    76 028,    52 879,    45 538,    22 231,    23 307,    81 281,    52 715,    28 566,    685,    337,    348,,,新疆维吾尔自治区,    1 403,    745,    658
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-2省、自治区、直辖市的市各种文化程度人口分性别的婚姻状况(第二口径)(续07),,,,,,,,,,,,,,,表7-2省、自治区、直辖市的市各种文化程度人口分性别的,,,
    单位：人,,,,,,,,,,,,,,,    婚姻状况(第二口径)(续15)单位：人,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    文化程度,    离婚,,
    和地区别,,,,,,,,,,,,,,,    和地区别,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,,    小计,    男,    女
大学本科,    5 211 755,    3 652 521,    1 559 234,    2 000 865,    1 382 908,    617 957,    3 128 026,    2 223 564,    904 462,    51 917,    27 613,    24 304,,,大学本科,    30 947,    18 436,    12 511
北京市,    583 541,    370 130,    213 411,    209 304,    136 577,    72 727,    362040,    228 050,    133 990,    7 520,    3 212,    4 308,,,北京市,    4 677,    2 291,    2 386
天津市,    178 894,    114 452,    64 442,    66 973,    40 729,    26 244,    108 648,    71 932,    36 716,    2 245,    1 241,    1 004,,,天津市,    1 028,    550,    478
河北省,    176 429,    118 949,    57 480,    57 507,    36 248,    21 259,    117 141,    81 704,    35 437,    1 225,    684,    541,,,河北省,    556,    313,    243
山西省,    113 044,    77 557,    35 487,    42 225,    26 729,    15 496,    69 609,    50 069,    19 540,    783,    479,    304,,,山西省,    427,    280,    147
内蒙古自治区,    90 119,    60 080,    30 039,    31 354,    18 605,    12 749,    57 701,    40 846,    16 855,    605,    347,    258,,,内蒙古自治区,    459,    282,    177
辽宁省,    361 566,    249 589,    111 977,    116 848,    74 641,    42 207,    239 942,    172 170,    67 772,    3 094,    1 775,    1 319,,,辽宁省,    1 682,    1 003,    679
吉林省,    191 127,    127 486,    63 641,    65 525,    40 365,    25 160,    123 160,        85 833,    37 327,    1 522,    807,    715,,,吉林省,    920,    481,    439
黑龙江省,    209 108,    144 950,    64 158,    73 713,    48 352,    25 361,    132 561,    95 022,    37 539,    1 764,    992,    772,,,黑龙江省,    1 070,    584,    486
上海市,    400 106,    276 657,    123 449,    157 093,    105 328,    51 765,    232 558,    165 521,    67 037,    6 869,    3 666,    3 203,,,上海市,    3 586,    2 142,    1 444
江苏省,    306 140,    222 759,    83 381,    126 924,    93 163,    33 761,    174 587,    126 972,    47 615,    3 067,    1 649,    1 418,,,江苏省,    1 562,    975,    587
浙江省,    134 811,    97 267,    37 544,    58 875,    42 861,    16 014,    73 955,    53 214,    20 741,    1 229,    689,    540,,,浙江省,    752,    503,    249
安徽省,    145 035,    110 513,    34 522,    53 931,    42 225,    11 706,    89 143,    67 033,    22 110,    1 212,    748,    464,,,安徽省,    749,    507,    242
福建省,    119 763,    88 587,    31 176,    48 794,    35 810,    12 984,    69 097,    51 624,    17 473,    1 357,    795,    562,,,福建省,    515,    358,    157
江西省,    100 881,    77 861,    23 020,    43 188,    33 663,    9 525,    56 434,    43 358,    13 076,    801,    501,    300,,,江西省,    458,    339,    119
山东省,    214 753,    157 696,    57 057,    86 486,    62 814,    23 672,    126 281,    93 731,    32 550,    1 280,    716,    564,,,山东省,    706,    435,    271
河南省,    170 989,    124 185,    46 804,    59 324,    41 795,    17 529,    109 643,    81 164,    28 479,    1 302,    786,    516,,,河南省,    720,    440,    280
湖北省,    263 716,    196 479,    67 237,    117 349,    88 983,    28 366,    142 739,    105 392,    37 347,    2 368,    1 302,    1 066,,,湖北省,    1 260,    802,    458
湖南省,    171 302,    128 949,    42 353,    69 354,    51 881,    17 473,    99 374,    75 491,    23 883,    1 518,    867,    651,,,湖南省,    1 056,    710,    346
广东省,    257 527,    187 369,    70 158,    105113,    76 077,    29 036,    148 335,    108 999,    39 336,    2 597,    1 355,    1 242,,,广东省,    1 482,    938,    544
广西壮族自治区,    85 173,    62 154,    23 019,    35 628,    25 970,    9 658,    48 379,    35 517,    12 862,    688,    366,    322,,,广西壮族自治区,    478,    301,    177
海南省,    13 119,    10 367,    2 752,    5 860,    4 553,    1 307,    7 127,    5 722,    1 405,    58,    37,    21,,,海南省,    74,    55,    19
四川省,    331 383,    235 681,    95 702,    125 487,    89 910,    35 577,    199 364,    142 191,    57 173,    3 877,    1 937,    1 940,,,四川省,    2 655,    1 643,    1 012
贵州省,    81 003,    56 415,    24 588,    29 239,    19 634,    9 605,    50 154,    35 820,    14 334,    888,    481,    407,,,贵州省,    722,    480,    242
云南省,    86 196,    57 832,    28 364,    37 778,    25 030,    12 748,    46 719,    31 810,    14 909,    950,    506,    444,,,云南省,    749,    486,    263
西藏自治区,    2 884,    2 035,    849,    934,    667,    267,    1 910,    1 341,    569,    5,    4,    1,,,西藏自治区,    35,    23,    12
陕西省,    210 700,    151 351,    59 349,    92 729,    66 774,    25 955,    115 576,    83 236,    32 340,    1 472,    784,    688,,,陕西省,    923,    557,    366
甘肃省,    88 432,    63 721,    24 711,    34 115,    24 056,    10 059,    53 017,    38 850,    14 167,    819,    501,    318,,,甘肃省,    481,    314,    167
青海省,    20 663,    14 020,    6 643,    7 718,    4 747,    2 971,    12 613,    9 068,    3 545,    145,    85,    60,,,青海省,    187,    120,    67
宁夏回族自治区,    20 713,    13 832,    6 881,    6 950,    4 273,    2 677,    13 492,    9 423,    4 069,    143,    62,    81,,,宁夏回族自治区,    128,    74,    54
新疆维吾尔自治区,    82 638,    53 598,    29 040,    34 547,    20 448,    14 099,    46 727,    32 461,    14 266,    514,    239,    275,,,新疆维吾尔自治区,    850,    450,    400
