,,,,,,,,,,,,,,,,,,
表7-2省、自治区、直辖市的市各种文化程度人口分性别的婚姻状况(第二口径),,,,,,,,,,,,,,,表7-2省、自治区、直辖市的市各种文化程度人口分性别的,,,
    单位：人,,,,,,,,,,,,,,,    婚姻状况(第二口径)(续08)单位：人,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    文化程度,    离婚,,
    和地区别,,,,,,    女,    小计,    男,    女,    小计,    男,    女,,,    和地区别,,,
,  合计,    男,    女,  小计,    男,,,,,,,,,,,    小计,    男,    女
安徽省,    5 355 866,    2 806 989,    2 548 877,    1 443 424,    863 430,    579 994,    3 625 695,    1 854 515,    1 771 180,    252 031,    66 283,    185 748,,,福建省,    17 629,    10 761,    6 868
福建省,    3 083 895,    1 599 210,    1 484 685,    818 729,    497 514,    321 215,    2 064 502,    1 055 003,    1 009 499,    183 035,    35 932,    147 103,,,江西省,    25 477,    15 784,    9 693
江西省,    3 896 440,    2 020 188,    1 876 252,    1 063 565,    632 301,    431 264,    2 604 601,    1 319 467,    1 285 134,    202 797,    52 636,    150 161,,,山东省,    50 526,    31 411,    19 115
山东省,    12 833 897,    6 561 374,    6 272 523,    3 197 538,    1 846 617,    1 350 921,    8 891 899,    4 495 092,    4 396 807,    693 934,    188 254,    505 680,,,河南省,    42 299,    23 609,    18 690
河南省,    6 874 645,    3 620 915,    3 253 730,    1 832 616,    1 060 022,    772 594,    4 696 060,    2 460 880,    2 235 180,    303 670,    76 404,    227 266,,,湖北省,    57 565,    34 022,    23 543
湖北省,    8 947 393,    4 611 979,    4 335 414,    2 231 237,    1 304 007,    927 230,    6 192 859,    3 145 388,    3 047 471,    465 732,    128 562,    337 170,,,湖南省,    51 655,    30 621,    21 034
湖南省,    6 011 771,    3 147 126,    2 864 645,    1 617 848,    970 383,    647 465,    4 039 472,    2 064 447,    1 975 025,    302 796,    81 675,    221 121,,,广东省,    52 258,    32 711,    19 547
广东省,    11 928 085,    6 067 154,    5 860 931,    4 007 243,    2 235 255,    1 771 988,    7 207 125,    3 676 171,    3 530 954,    661 459,    123 017,    538 442,,,广西壮族自治区,    22 077,    11 085,    10 992
广西壮族自治区,    2 439 899,    1 270 591,    1 169 308,    729 205,    432 651,    296 554,    1 568 095,    803 919,    764 176,    120 522,    22 936,    97 586,,,海南省,    2 683,    1 451,    1 232
海南省,    594 496,    312 599,    281 897,    197 462,    117 042,    80 420,    365 692,    188 777,    176 915,    28 659,    5 329,    23 330,,,四川省,    125 672,    71 622,    54 050
四川省,    12 482 905,    6 519 834,    5 963 071,    3 142 420,    1 894 521,    1 247 899,    8 508 723,    4 351 532,    4 157 191,    706 090,    202 159,    503 931,,,贵州省,    34 758,    20 184,    14 574
贵州省,    3 169 282,    1 678 650,    1 490 632,    938 708,    563 748,    374 960,    2 044 350,    1 048 515,    995 835,    151 466,    46 203,    105 263,,,云南省,    23 389,    13 537,    9 852
云南省,    1 926 037,    1 020 168,    905 869,    564 793,    343 341,    221 452,    1 244 937,    640 380,    604 557,    92 918,    22 910,    70 008,,,西藏自治区,    2 167,    724,    1 443
西藏自治区,    129 531,    71 316,    58 215,    44 537,    27 509,    17 028,    76 852,    41 708,    35 144,    5 975,    1 375,    4 600,,,陕西省,    25 696,    14 777,    10 919
陕西省,    3 874 348,    2 038 673,    1 835 675,    1 007 123,    599 950,    407 173,    2 680 127,    1 381 747,    1 298 380,    161 402,    42 199,    119 203,,,甘肃省,    19 948,    11 620,    8 328
甘肃省,    3 015 612,    1 597 387,    1 418 225,    867 565,    509 858,    357 707,    2 003 919,    1 037 629,    966 290,    124 180,    38 280,    85 900,,,青海省,    6 916,    3 564,    3 352
青海省,    638 698,    337 278,    301 420,    197 413,    116 081,    81 332,    414 822,    212 691,    202 131,    19 547,    4 942,    14 605,,,宁夏回族自治区,    5 683,    2 944,    2 739
宁夏回族自治区,    616 625,    321 846,    294 779,    176 299,    100 981,    75 318,    415 541,    212 951,    202 590,    19 102,    4 970,    14 132,,,新疆维吾尔自治区,    44 574,    22 013,    22 561
新疆维吾尔自治区,    2 929 632,    1 523 041,    1 406 591,    1 003 214,    574 580,    428 634,    1 790 303,    904 128,    886 175,    91 541,    22 320,    69 221,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-2省、自治区、直辖市的市各种文化程度人口分性别的婚姻状况(第二口径)(续01),,,,,,,,,,,,,,,表7-2省、自治区、直辖市的市各种文化程度人口分性别的,,,
    单位：人,,,,,,,,,,,,,,,    婚姻状况(第二口径)(续09)单位：人,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    文化程度,    离婚,,
    和地区别,,,,,,,,,,,,,,,    和地区别,,,
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,    小计,    男,    女
文盲、半文盲,    20 113 289,    5 364 710,    14 748 579,    885 818,    615 230,    270 588,    13 760 247,    3 843 465,    9 916 782,    5 320 689,    818 840,    4 501 849,,,文盲、半文盲,    146 535,    87 175,    59 360
北京市,    502 882,    108 243,    394 639,    17 61 5,    12 682,    4 933,    326 560,    75 762,    250 798,    155 109,    18 405,    136 704,,,北京市,    3 598,    1 394,    2 204
天津市,    438 309,    90 062,    348 247,    11 966,    9 052,    2 914,    288 083,    63 654,    224 429,    135 779,    16 140,    119 639,,,天津市,    2 481,    1 216,    1 265
河北省,    688 248,    175 763,    512 485,    23 880,    20 026,    3 854,    471 802,    122 699,    349 103,    188 765,    30 590,    1 58 175,,,河北省,    3 801,    2 448,    1 353
山西省,    508 244,    156 202,    352 042,    20 686,    17 583,    3 103,    353 130,    111 100,    242 030,    129 728,    23 684,    106 044,,,山西省,    4 700,    3 835,    865
内蒙古自治区,    461 152,    141 406,    319 746,    19 306,    16 305,    3 001,    343 960,    101 027,    242 933,    94 632,    21 743,    72 889,,,内蒙古自治区,    3 254,    2 331,    923
辽宁省,    1 139 285,    280 133,    859 1 52,    33 498,    26 330,    7 168,    748 659,    194 152,    554 507,    350 690,    56 212,    294 478,,,辽宁省,    6 438,    3 439,    2 999
吉林省,    554 352,    163 541,    390 811,    17 937,    14 358,    3 579,    372 553,    111 526,    261 027,    160 125,    35 471,    124 654,,,吉林省,    3 737,    2 186,    1 551
黑龙江省,    972 501,    287 013,    685 488,    31 915,    24 811,    7 104,    688 871,    205 848,    483 023,    245 602,    52 929,    192 673,,,黑龙江省,    6 113,    3 425,    2 688
上海市,    620 239,    112 725,    507 514,    13 604,    8 404,    5 200,    370 756,    85 206,    285 550,    229 299,    17 714,    21 1 585,,,上海市,    6 580,    1 401,    5179
江苏省,    1 118 275,    281 316,    836 959,    35 919,    27 111,    8 808,    783 849,    212 422,    571 427,    291 807,    38 141,    253 666,,,江苏省,    6 700,    3 642,    3 058
浙江省,    890 393,    259 975,    630 418,    29 923,    24 813,    5 110,    624 368,    194 686,    429 682,    226 978,    33 416,    193 562,,,浙江省,    9 124,    7 060,    2 064
安徽省,    954 009,    292 899,    661 110,    55 714,    38 098,    17 616,    706 756,    217 981,    488 775,    184 271,    31745,    152 526,,,安徽省,    7 268,    5 075,    2 193
福建省,    433 556,    89 304,    344 252,    22 739,    12 325,    10 414,    289 621,    65 395,    224 226,    118 728,    10 248,    108 480,,,福建省,    2 468,    1 336,    1 132
江西省,    476 376,    126 819,    349 557,    18 670,    11 900,    6 770,    320 949,    92 959,    227 990,    132 803,    19 323,    113 480,,,江西省,    3 954,    2 637,    1 317
山东省,    2 136 386,    563 445,    1 572 941,    91 847,    68 713,    23 134,    1 514 086,    402 122,    1 1 1 1 964,    520 187,    86 446,    433 741,,,山东省,    10 266,    6 164,    4 102
河南省,    760 879,    207 941,    552 938,    31 126,    26 413,    4 713,    512 476,    145 816,    366 660,    211 666,    32 095,    179 571,,,河南省,    5 611,    3 617,    1 994
湖北省,    1 178 763,    299 855,    878 908,    38 615,    28 192,    10 423,    810 208,    211 520,    598 688,    321 997,    55 036,    266 961,,,湖北省,    7 943,    5 107,    2 836
湖南省,    566 625,    148 600,    418 025,    23 484,    17 844,    5 640,    359 282,    101 717,    257 565,    178 879,    25 711,    153 168,,,湖南省,    4 980,    3 328,    1 652
